date,open,high,low,close,volume
2026-06-08,"2,262.00","2,289.00","2,262.00","2,269.00","19,654,189.50"
2026-06-05,"2,262.00","2,289.00","2,262.00","2,269.00",0.12
2026-06-04,"2,268.00","2,295.00","2,266.20","2,266.20",-0.1
2026-06-03,"2,287.00","2,295.80","2,268.30","2,268.50",-0.85
2026-06-02,"2,250.00","2,296.00","2,250.00","2,288.00",0.13
2026-06-01,"2,360.00","2,360.00","2,277.00","2,285.00",-1.25
2026-05-27,"2,290.00","2,324.00","2,285.00","2,314.00",0.96
2026-05-26,"2,360.20","2,360.20","2,281.00","2,292.00",-1.38
2026-05-25,"2,300.00","2,328.00","2,286.00","2,324.00",1.04
2026-05-22,"2,152.00","2,300.00","2,152.00","2,300.00",1.55
2026-05-21,"2,299.90","2,299.90","2,260.00","2,265.00",-0.91
2026-05-20,"2,240.10","2,291.00","2,240.10","2,285.90",1.28
2026-05-19,"2,256.00","2,268.90","2,242.50","2,257.00",0.22
2026-05-18,"2,250.00","2,269.00","2,250.00","2,252.10",-0.31
2026-05-15,"2,240.00","2,288.00","2,240.00","2,259.20",-0.43
2026-05-14,"2,267.00","2,280.00","2,230.00","2,269.00",-0.57
2026-05-13,"2,300.10","2,300.10","2,260.00","2,282.00",-0.65
2026-05-12,"2,400.00","2,400.00","2,293.00","2,297.00",-2.05
2026-05-11,"2,302.00","2,345.00","2,302.00","2,345.00",2.0
2026-05-08,"2,210.50","2,311.00","2,210.00","2,299.00",4.02
2026-05-07,"2,177.00","2,220.00","2,177.00","2,210.20",0.46
2026-05-06,"2,210.00","2,229.00","2,156.10","2,200.00",0.09
2026-05-05,"2,192.00","2,271.00","2,140.00","2,198.00",0.03
2026-05-04,"2,261.10","2,262.00","2,195.20","2,197.40",-2.81
2026-04-30,"2,236.10","2,280.00","2,222.00","2,260.90",-1.27
2026-04-29,"2,313.00","2,319.50","2,251.00","2,290.00",-0.99
2026-04-28,"2,314.50","2,349.00","2,291.00","2,313.00",-0.06
2026-04-27,"2,300.00","2,329.10","2,295.00","2,314.50",0.63
2026-04-24,"2,300.00","2,320.00","2,281.00","2,300.00",-0.43
2026-04-23,"2,350.00","2,350.00","2,298.00","2,310.00",-1.7
2026-04-22,"2,325.00","2,350.00","2,288.00","2,350.00",0.26
2026-04-21,"2,398.20","2,398.90","2,328.00","2,344.00",-1.1
2026-04-20,"2,370.00","2,388.00","2,350.00","2,370.00",-0.42
2026-04-17,"2,403.00","2,417.90","2,365.00","2,380.10",-0.95
2026-04-16,"2,400.10","2,440.00","2,400.00","2,403.00",-1.52
2026-04-15,"2,480.00","2,480.00","2,440.00","2,440.00",-1.21
2026-04-13,"2,449.90","2,470.00","2,405.10","2,470.00",0.82
2026-04-10,"2,518.00","2,518.00","2,423.00","2,449.90",-0.77
2026-04-09,"2,441.00","2,487.00","2,419.00","2,469.00",1.23
2026-04-08,"2,350.00","2,439.00","2,350.00","2,439.00",2.95
2026-04-07,"2,378.00","2,417.00","2,332.00","2,369.00",-0.38
2026-04-06,"2,290.00","2,395.00","2,290.00","2,378.00",4.07
2026-04-05,"2,380.00","2,380.00","2,280.00","2,285.00",-5.44
2026-04-02,"2,388.00","2,430.00","2,325.30","2,416.50",0.77
2026-04-01,"2,500.00","2,500.00","2,394.00","2,398.00",-3.46
2026-03-31,"2,366.70","2,495.90","2,366.70","2,484.00",2.86
2026-03-30,"2,491.00","2,500.00","2,415.00","2,415.00",-3.01
2026-03-29,"2,561.00","2,575.00","2,480.00","2,490.00",-3.86
2026-03-26,"2,570.00","2,590.00","2,540.00","2,590.00",0.62
2026-03-25,"2,566.00","2,605.00","2,566.00","2,574.00",-0.81
