date,open,high,low,close,volume
2026-06-08,"1,770.00","1,770.00","1,746.00","1,755.00","19,441,432.00"
2026-06-05,"1,770.00","1,770.00","1,746.00","1,755.00",-0.5
2026-06-04,"1,761.00","1,770.00","1,761.00","1,763.90",-0.29
2026-06-03,"1,785.00","1,785.00","1,765.00","1,769.00",-0.06
2026-06-02,"1,760.00","1,784.00","1,760.00","1,770.00",-0.49
2026-06-01,"1,860.00","1,860.00","1,772.00","1,778.70",-0.02
2026-05-27,"1,777.00","1,779.50","1,765.00","1,779.00",0.79
2026-05-26,"1,772.00","1,776.00","1,760.20","1,765.10",-0.39
2026-05-25,"1,767.00","1,789.90","1,765.00","1,772.00",0.28
2026-05-22,"1,760.00","1,774.90","1,760.00","1,767.00",0.03
2026-05-21,"1,770.00","1,774.00","1,755.00","1,766.50",-0.2
2026-05-20,"1,769.00","1,774.00","1,760.50","1,770.00",0.45
2026-05-19,"1,769.00","1,778.00","1,756.00","1,762.00",-0.37
2026-05-18,"1,763.00","1,768.50","1,755.00","1,768.50",0.31
2026-05-15,"1,790.00","1,790.00","1,760.00","1,763.00",-0.23
2026-05-14,"1,800.00","1,800.00","1,760.00","1,767.00",0.06
2026-05-13,"1,765.00","1,775.00","1,760.00","1,766.00",-0.24
2026-05-12,"1,785.00","1,785.00","1,770.00","1,770.20",-0.23
2026-05-11,"1,780.00","1,780.00","1,770.00","1,774.20",0.24
2026-05-08,"1,761.00","1,775.00","1,750.00","1,770.00",0.57
2026-05-07,"1,770.00","1,770.00","1,750.00","1,760.00",-0.28
2026-05-06,"1,699.90","1,770.00","1,699.90","1,765.00",0.72
2026-05-05,"1,750.00","1,770.00","1,745.00","1,752.40",0.08
2026-05-04,"1,774.00","1,774.00","1,746.00","1,751.00",-0.85
2026-04-30,"1,780.00","1,780.00","1,746.00","1,766.00",-0.11
2026-04-29,"1,767.10","1,769.90","1,763.00","1,768.00",0.05
2026-04-28,"1,770.00","1,774.00","1,760.00","1,767.10",-0.16
2026-04-27,"1,772.40","1,780.00","1,765.00","1,770.00",-0.14
2026-04-24,"1,780.00","1,785.00","1,765.10","1,772.40",-0.43
2026-04-23,"1,770.00","1,788.00","1,770.00","1,780.00",-0.56
2026-04-22,"1,785.00","1,793.00","1,767.10","1,790.00",0.27
2026-04-21,"1,799.00","1,799.00","1,782.00","1,785.10",0.01
2026-04-20,"1,800.00","1,800.00","1,775.00","1,785.00",-0.11
2026-04-17,"1,790.00","1,791.00","1,781.10","1,787.00",-0.06
2026-04-16,"1,805.00","1,819.90","1,786.50","1,788.10",-0.61
2026-04-15,"1,796.00","1,809.00","1,791.00","1,799.00",0.17
2026-04-13,"1,785.00","1,802.00","1,785.00","1,796.00",0.17
2026-04-10,"1,790.00","1,803.90","1,783.00","1,793.00",-0.39
2026-04-09,"1,791.00","1,800.00","1,775.00","1,800.00",0.28
2026-04-08,"1,815.40","1,815.40","1,780.20","1,795.00",0.85
2026-04-07,"1,795.00","1,812.00","1,773.00","1,779.90",-0.55
2026-04-06,"1,758.00","1,794.00","1,758.00","1,789.80",1.81
2026-04-05,"1,790.00","1,790.00","1,746.00","1,758.00",-2.12
2026-04-02,"1,780.00","1,807.00","1,750.00","1,796.00",-0.22
2026-04-01,"1,824.00","1,824.00","1,780.00","1,800.00",-1.32
2026-03-31,"1,820.00","1,826.00","1,800.00","1,824.00",-0.27
2026-03-30,"1,847.00","1,848.00","1,827.00","1,829.00",-1.0
2026-03-29,"1,880.00","1,880.00","1,847.50","1,847.50",-1.73
2026-03-26,"1,850.00","1,880.00","1,850.00","1,880.00",0.53
2026-03-25,"1,895.00","1,900.00","1,862.00","1,870.00",-0.95
2026-03-24,"1,875.10","1,900.00","1,860.00","1,888.00",0.8
2026-03-23,"1,860.00","1,873.00","1,846.00","1,873.00",0.91
2026-03-22,"1,826.00","1,864.00","1,826.00","1,856.10",0.88
2026-03-19,"1,850.00","1,850.00","1,822.00","1,840.00",0.82
2026-03-17,"1,830.00","1,830.00","1,815.00","1,825.00",0.22
2026-03-16,"1,858.00","1,858.00","1,820.00","1,821.00",-1.24
2026-03-15,"1,850.00","1,855.00","1,840.00","1,843.90",-0.01
2026-03-12,"1,816.00","1,860.00","1,801.00","1,844.00",0.6
2026-03-11,"1,869.00","1,888.00","1,817.00","1,833.00",-1.87
2026-03-10,"1,913.00","1,913.00","1,800.00","1,868.00",-0.41
2026-03-09,"1,839.00","1,875.70","1,839.00","1,875.70",4.03
2026-03-03,"1,789.60","1,805.00","1,778.00","1,803.00",0.75
2026-03-01,"1,760.00","1,798.00","1,745.00","1,789.50",1.16
2026-02-26,"1,765.00","1,771.50","1,758.00","1,769.00",0.8
2026-02-25,"1,750.00","1,755.00","1,748.00","1,755.00",0.28
2026-02-24,"1,742.00","1,755.00","1,737.00","1,750.10",0.49
2026-02-23,"1,747.90","1,750.00","1,740.00","1,741.50",0.03
2026-02-22,"1,740.00","1,755.00","1,735.10","1,741.00",0.32
2026-02-17,"1,750.00","1,750.00","1,735.10","1,735.50",-0.32
2026-02-16,"1,760.00","1,760.00","1,740.00","1,741.00",-0.85
2026-02-12,"1,755.00","1,760.00","1,755.00","1,756.00",0.23
2026-02-11,"1,750.00","1,755.00","1,745.00","1,752.00",0.71
2026-02-10,"1,746.00","1,750.00","1,739.00","1,739.70",-0.31
2026-02-09,"1,757.00","1,760.00","1,745.10","1,745.10",-0.85
2026-02-08,"1,783.00","1,783.00","1,755.00","1,760.00",0.11
2026-02-05,"1,760.00","1,762.00","1,750.00","1,758.00",-0.06
2026-02-04,"1,740.00","1,768.00","1,740.00","1,759.00",0.06
2026-02-03,"1,775.00","1,785.00","1,756.00","1,758.00",-0.4
2026-02-02,"1,759.00","1,780.00","1,759.00","1,765.00",0.05
2026-02-01,"1,773.00","1,780.00","1,752.00","1,764.10",-0.5
2026-01-29,"1,783.00","1,783.00","1,771.00","1,773.00",-0.56
2026-01-28,"1,797.90","1,797.90","1,770.00","1,783.00",0.06
2026-01-27,"1,790.00","1,798.00","1,775.00","1,782.00",-0.39
2026-01-26,"1,800.00","1,818.10","1,780.00","1,789.00",-0.44
2026-01-25,"1,799.90","1,800.00","1,775.00","1,796.90",1.23
2026-01-22,"1,777.00","1,785.00","1,770.00","1,775.00",-0.11
2026-01-21,"1,770.00","1,800.00","1,770.00","1,776.90",0.11
2026-01-20,"1,800.00","1,800.00","1,769.30","1,775.00",0.5
