date,open,high,low,close,volume
2026-06-08,376.10,407.00,374.40,402.00,"195,999,747.90"
2026-06-05,376.10,407.00,374.40,402.00,7.06
2026-06-04,375.20,384.00,372.90,375.50,-1.05
2026-06-03,393.10,393.10,375.00,379.50,1.36
2026-06-02,375.00,380.00,369.00,374.40,0.92
2026-06-01,390.00,390.00,365.00,371.00,-3.61
2026-05-27,390.00,397.90,384.00,384.90,-1.05
2026-05-26,382.00,390.00,377.10,389.00,2.64
2026-05-25,374.00,383.90,373.00,379.00,2.16
2026-05-22,370.90,375.80,368.00,371.00,-1.04
2026-05-21,409.10,409.10,366.00,374.90,-3.8
2026-05-20,370.00,389.80,363.20,389.70,5.9
2026-05-19,375.30,375.30,349.20,368.00,-6.84
2026-05-18,377.20,404.00,377.20,395.00,-0.5
2026-05-15,382.90,415.00,382.90,397.00,-1.49
2026-05-14,415.00,415.00,396.00,403.00,-0.98
2026-05-13,422.90,422.90,404.00,407.00,-1.93
2026-05-12,430.00,430.00,404.70,415.00,-2.35
2026-05-11,424.00,435.90,420.00,425.00,0.24
2026-05-08,399.10,428.00,399.10,424.00,0.93
2026-05-07,427.00,436.00,420.10,420.10,-0.92
2026-05-06,434.00,447.00,424.00,424.00,-2.75
2026-05-05,430.10,442.40,423.10,436.00,0.46
2026-05-04,450.00,450.00,434.00,434.00,-3.13
2026-04-30,450.20,460.00,447.10,448.00,-3.03
2026-04-29,474.80,470.00,455.00,462.00,-2.7
2026-04-28,497.10,497.10,456.00,474.80,-9.25
2026-04-27,455.00,523.20,428.30,523.20,14.99
2026-04-24,442.00,455.00,442.00,455.00,0.02
2026-04-23,455.00,455.70,450.00,454.90,-0.15
2026-04-22,478.20,478.20,440.30,455.60,0.02
2026-04-21,465.00,465.00,453.30,455.50,-2.32
2026-04-20,477.70,477.70,460.00,466.30,-2.39
2026-04-17,474.60,480.00,471.30,477.70,0.36
2026-04-16,485.00,490.00,475.00,476.00,-3.31
2026-04-15,473.00,498.00,471.10,492.30,3.99
2026-04-13,474.00,479.00,468.10,473.40,-0.13
2026-04-10,482.90,482.90,472.00,474.00,-1.46
2026-04-09,477.90,482.00,471.50,481.00,0.65
2026-04-08,466.50,478.00,466.50,477.90,1.25
2026-04-07,473.20,477.00,468.00,472.00,0.43
2026-04-06,461.00,470.00,452.10,470.00,3.98
