date,open,high,low,close,volume
2026-06-08,"1,260.00","1,333.00","1,240.00","1,254.50","9,626,752.00"
2026-06-05,"1,260.00","1,333.00","1,240.00","1,254.50",-1.06
2026-06-04,"1,344.00","1,344.00","1,250.00","1,268.00",-0.94
2026-06-03,"1,262.00","1,300.00","1,205.00","1,280.00",4.39
2026-06-02,"1,247.00","1,401.00","1,190.00","1,226.20",-2.39
2026-06-01,"1,400.00","1,400.00","1,229.00","1,256.20",-6.95
2026-05-27,"1,234.00","1,357.00","1,190.00","1,350.00",8.52
2026-05-26,"1,238.00","1,275.00","1,215.00","1,244.00",-0.07
2026-05-25,"1,252.10","1,260.00","1,143.00","1,244.90",-5.55
2026-05-22,"1,140.00","1,318.00","1,120.00","1,318.00",14.81
2026-05-21,"1,150.00","1,179.00","1,140.00","1,148.00",-0.17
2026-05-20,"1,142.00","1,149.90","1,111.10","1,149.90",1.76
2026-05-19,"1,149.80","1,194.80","1,100.00","1,130.00",0.01
2026-05-18,"1,130.00","1,171.00","1,110.10","1,129.90",-0.69
2026-05-15,"1,268.40","1,268.40","1,060.00","1,137.80",-5.81
2026-05-14,"1,139.10","1,208.00","1,080.00","1,208.00",9.22
2026-05-13,"1,193.80","1,193.80","1,106.00","1,106.00",-2.73
2026-05-12,"1,179.00","1,179.00","1,120.50","1,137.00",-0.23
2026-05-11,"1,080.00","1,178.00","1,076.00","1,139.60",5.37
2026-05-08,"1,120.00","1,120.00","1,054.00","1,081.50",0.72
2026-05-07,"1,127.50","1,127.50","1,055.00","1,073.80",-0.01
2026-05-06,"1,126.50","1,126.50","1,050.80","1,073.90",0.09
2026-05-05,"1,020.00","1,078.00","1,017.00","1,072.90",0.84
2026-05-04,"1,080.00","1,122.00","1,055.10","1,064.00",-4.33
2026-04-30,"1,130.00","1,160.00","1,112.00","1,112.10",-2.45
2026-04-29,"1,194.70","1,254.40","1,140.00","1,140.00",-4.58
2026-04-28,"1,147.00","1,242.30","1,147.00","1,194.70",0.39
2026-04-27,"1,192.00","1,224.00","1,176.80","1,190.00",-0.17
2026-04-24,"1,230.00","1,271.00","1,166.30","1,192.00",-0.58
2026-04-23,"1,240.00","1,240.00","1,188.00","1,199.00",-2.42
2026-04-22,"1,200.00","1,229.90","1,190.00","1,228.70",0.3
2026-04-21,"1,221.00","1,230.00","1,218.00","1,225.00",-0.08
2026-04-20,"1,270.00","1,309.00","1,210.30","1,226.00",-0.72
2026-04-17,"1,254.60","1,279.00","1,210.00","1,234.90",0.4
2026-04-16,"1,270.00","1,280.00","1,227.00","1,230.00",-4.65
2026-04-15,"1,281.00","1,305.00","1,281.00","1,290.00",0.08
2026-04-13,"1,338.90","1,365.50","1,275.00","1,289.00",-1.81
2026-04-10,"1,339.00","1,339.00","1,277.00","1,312.80",-0.77
2026-04-09,"1,299.00","1,325.00","1,280.10","1,323.00",2.25
2026-04-08,"1,250.00","1,293.90","1,241.00","1,293.90",3.93
2026-04-07,"1,260.00","1,284.00","1,221.00","1,245.00",0.24
2026-04-06,"1,172.10","1,250.00","1,172.10","1,242.00",3.85
2026-04-05,"1,341.50","1,341.50","1,196.00","1,196.00",-9.06
2026-04-02,"1,324.00","1,350.00","1,311.00","1,315.20",-2.65
2026-04-01,"1,369.00","1,369.00","1,291.00","1,351.00",-0.07
2026-03-31,"1,347.00","1,360.00","1,330.00","1,352.00",0.37
2026-03-30,"1,385.00","1,385.00","1,330.00","1,347.00",-1.54
2026-03-29,"1,390.10","1,390.10","1,355.00","1,368.00",-1.95
2026-03-26,"1,391.00","1,420.00","1,390.00","1,395.20",-1.05
2026-03-25,"1,400.00","1,410.00","1,390.00","1,410.00",0.0
2026-03-24,"1,420.00","1,420.00","1,395.00","1,410.00",0.48
2026-03-23,"1,403.00","1,430.00","1,401.20","1,403.30",-1.07
2026-03-22,"1,425.00","1,440.00","1,416.00","1,418.50",-0.77
2026-03-19,"1,385.00","1,432.00","1,385.00","1,429.50",3.21
2026-03-17,"1,432.00","1,432.00","1,380.10","1,385.00",-1.35
2026-03-16,"1,423.50","1,479.00","1,368.10","1,404.00",-1.47
2026-03-15,"1,444.00","1,450.00","1,400.00","1,425.00",-0.06
2026-03-12,"1,430.00","1,459.00","1,419.00","1,425.90",-0.84
2026-03-11,"1,500.00","1,500.00","1,435.00","1,438.00",-3.43
2026-03-10,"1,532.90","1,532.90","1,445.00","1,489.00",-2.86
2026-03-09,"1,417.90","1,533.00","1,417.90","1,532.90",8.1
2026-03-03,"1,355.00","1,418.00","1,311.10","1,418.00",6.04
2026-03-01,"1,322.10","1,402.80","1,322.10","1,337.20",-0.87
2026-02-26,"1,380.00","1,380.00","1,335.00","1,349.00",-1.53
2026-02-25,"1,372.00","1,374.00","1,323.00","1,370.00",-2.14
2026-02-24,"1,346.00","1,400.00","1,295.00","1,400.00",6.06
2026-02-23,"1,305.00","1,348.00","1,300.00","1,320.00",-0.75
2026-02-22,"1,330.00","1,339.00","1,310.00","1,330.00",0.15
2026-02-17,"1,361.00","1,385.00","1,326.00","1,328.00",-4.12
2026-02-16,"1,418.10","1,418.10","1,365.00","1,385.00",-4.28
2026-02-12,"1,391.00","1,447.00","1,316.00","1,447.00",6.09
2026-02-11,"1,450.00","1,489.00","1,361.30","1,364.00",-5.8
2026-02-10,"1,475.00","1,475.00","1,430.00","1,448.00",-1.76
2026-02-09,"1,480.00","1,495.00","1,440.00","1,474.00",-1.01
2026-02-08,"1,490.00","1,530.00","1,461.00","1,489.00",-0.72
2026-02-05,"1,470.00","1,588.00","1,441.00","1,499.80",2.17
2026-02-04,"1,474.00","1,484.00","1,435.00","1,468.00",-0.41
2026-02-03,"1,475.00","1,499.00","1,427.00","1,474.00",-0.54
2026-02-02,"1,537.40","1,537.40","1,441.00","1,482.00",-5.53
2026-02-01,"1,450.00","1,568.70","1,384.80","1,568.70",8.19
2026-01-29,"1,499.00","1,515.00","1,422.00","1,450.00",-2.36
2026-01-28,"1,519.80","1,519.80","1,426.00","1,485.00",-0.34
2026-01-27,"1,465.00","1,566.00","1,382.00","1,490.00",0.0
2026-01-26,"1,495.00","1,520.00","1,440.00","1,490.00",-0.33
2026-01-25,"1,333.00","1,496.00","1,333.00","1,495.00",9.93
2026-01-22,"1,309.00","1,362.00","1,307.00","1,360.00",4.21
2026-01-21,"1,264.20","1,341.30","1,264.20","1,305.00",1.16
2026-01-20,"1,250.00","1,295.00","1,250.00","1,290.00",3.2
2026-01-18,"1,225.00","1,259.90","1,223.30","1,250.00",1.55
2026-01-14,"1,228.00","1,284.80","1,222.00","1,230.90",-0.33
2026-01-13,"1,250.00","1,257.90","1,227.00","1,235.00",-0.4
2026-01-12,"1,218.00","1,252.90","1,216.00","1,240.00",1.14
2026-01-08,"1,230.00","1,240.00","1,221.10","1,226.00",-1.74
2026-01-07,"1,251.00","1,270.00","1,230.00","1,247.70",-0.34
2026-01-06,"1,275.10","1,297.00","1,252.00","1,252.00",-1.73
2026-01-05,"1,220.00","1,275.00","1,215.00","1,274.00",4.0
2026-01-04,"1,197.00","1,228.00","1,181.10","1,225.00",2.34
2026-01-01,"1,202.10","1,222.00","1,196.00","1,197.00",-1.85
2025-12-31,"1,205.00","1,220.00","1,200.50","1,219.50",1.2
2025-12-29,"1,229.00","1,229.00","1,205.00","1,205.00",-1.95
2025-12-28,"1,212.00","1,229.00","1,200.00","1,229.00",0.9
2025-12-24,"1,211.00","1,218.00","1,196.60","1,218.00",-0.08
2025-12-23,"1,215.00","1,246.00","1,181.00","1,219.00",1.75
2025-12-22,"1,201.00","1,214.90","1,191.40","1,198.00",-1.32
2025-12-21,"1,220.00","1,230.00","1,195.00","1,214.00",-1.14
2025-12-18,"1,234.10","1,249.00","1,228.00","1,228.00",-1.13
2025-12-17,"1,255.00","1,279.00","1,242.00","1,242.00",-1.34
2025-12-16,"1,265.90","1,289.00","1,228.00","1,258.90",1.43
2025-12-15,"1,249.90","1,287.90","1,221.00","1,241.10",0.25
