date,open,high,low,close,volume
2026-06-08,"1,455.00","1,466.00","1,455.00","1,455.00","1,359,047.30"
2026-06-05,"1,455.00","1,466.00","1,455.00","1,455.00",-1.01
2026-06-04,"1,466.00","1,480.00","1,466.00","1,469.90",0.47
2026-06-03,"1,455.00","1,480.00","1,455.00","1,463.00",-0.14
2026-06-02,"1,478.00","1,478.00","1,453.00","1,465.00",-0.88
2026-06-01,"1,495.00","1,495.00","1,455.10","1,478.00",0.54
2026-05-27,"1,480.00","1,480.00","1,452.00","1,470.00",0.0
2026-05-26,"1,450.10","1,480.00","1,439.00","1,470.00",0.0
2026-05-25,"1,482.00","1,485.00","1,463.00","1,470.00",-0.01
2026-05-22,"1,487.00","1,492.00","1,465.00","1,470.10",-1.14
2026-05-21,"1,491.00","1,514.90","1,451.00","1,487.00",-0.33
2026-05-20,"1,488.00","1,492.00","1,469.00","1,491.90",0.26
2026-05-19,"1,443.00","1,490.00","1,443.00","1,488.00",0.89
2026-05-18,"1,457.00","1,498.00","1,457.00","1,474.90",0.6
2026-05-15,"1,450.00","1,490.00","1,450.00","1,466.10",-0.4
2026-05-14,"1,470.00","1,488.00","1,470.00","1,472.00",0.0
2026-05-13,"1,443.20","1,552.20","1,443.20","1,472.00",0.54
2026-05-12,"1,491.00","1,525.90","1,460.10","1,464.10",-2.39
2026-05-11,"1,470.00","1,506.90","1,470.00","1,500.00",2.04
2026-05-08,"1,457.00","1,487.90","1,457.00","1,470.00",0.89
2026-05-07,"1,453.30","1,484.80","1,453.10","1,457.00",0.25
2026-05-06,"1,462.00","1,463.00","1,453.30","1,453.30",-2.59
2026-05-05,"1,431.10","1,503.00","1,431.10","1,492.00",2.19
2026-05-04,"1,515.00","1,515.00","1,455.00","1,460.00",-2.01
2026-04-30,"1,480.00","1,497.00","1,455.30","1,490.00",0.68
2026-04-29,"1,495.00","1,519.80","1,467.30","1,480.00",-1.0
2026-04-28,"1,497.00","1,523.90","1,460.00","1,495.00",-0.13
2026-04-27,"1,492.00","1,536.00","1,495.00","1,497.00",0.34
2026-04-24,"1,518.00","1,525.00","1,455.00","1,492.00",-1.71
2026-04-23,"1,540.00","1,540.00","1,518.00","1,518.00",-1.43
2026-04-22,"1,545.00","1,545.00","1,508.00","1,540.00",-0.32
2026-04-21,"1,634.00","1,634.00","1,500.10","1,545.00",-0.76
2026-04-20,"1,627.50","1,627.50","1,531.40","1,556.80",0.44
2026-04-17,"1,526.90","1,632.00","1,526.90","1,550.00",-0.51
2026-04-16,"1,574.00","1,600.00","1,530.00","1,558.00",-0.76
2026-04-15,"1,531.80","1,574.00","1,531.80","1,570.00",0.45
2026-04-13,"1,552.00","1,565.00","1,551.00","1,563.00",-0.45
2026-04-10,"1,600.00","1,600.00","1,538.00","1,570.00",0.06
2026-04-09,"1,585.00","1,585.00","1,534.10","1,569.00",0.71
2026-04-08,"1,551.00","1,565.00","1,536.10","1,558.00",1.17
2026-04-07,"1,552.00","1,574.80","1,540.00","1,540.00",-1.79
2026-04-06,"1,540.00","1,574.90","1,540.00","1,568.00",2.48
2026-04-05,"1,560.00","1,598.00","1,530.00","1,530.10",-3.77
2026-04-02,"1,558.30","1,600.00","1,558.30","1,590.00",0.0
2026-04-01,"1,595.20","1,649.00","1,568.90","1,590.00",-1.85
2026-03-31,"1,600.00","1,690.00","1,598.00","1,620.00",-0.61
2026-03-30,"1,715.00","1,715.00","1,620.20","1,630.00",-6.86
2026-03-29,"1,609.10","1,768.40","1,607.10","1,750.00",7.1
2026-03-26,"1,612.10","1,634.00","1,612.10","1,634.00",-0.66
2026-03-25,"1,615.10","1,650.00","1,615.10","1,644.90",-0.19
2026-03-24,"1,612.10","1,650.00","1,612.10","1,648.00",0.18
2026-03-23,"1,681.00","1,681.00","1,613.00","1,645.00",-0.24
2026-03-22,"1,637.00","1,650.00","1,606.50","1,649.00",2.74
2026-03-19,"1,581.00","1,606.00","1,581.00","1,605.00",0.31
2026-03-17,"1,604.00","1,607.50","1,580.00","1,600.00",-0.25
2026-03-16,"1,600.00","1,620.00","1,580.00","1,604.00",-0.37
2026-03-15,"1,640.00","1,640.00","1,591.10","1,610.00",0.12
2026-03-12,"1,632.00","1,632.00","1,580.40","1,608.00",0.5
2026-03-11,"1,590.00","1,615.00","1,586.00","1,600.00",-0.61
2026-03-10,"1,661.00","1,665.00","1,580.00","1,609.90",-3.08
2026-03-09,"1,628.90","1,661.00","1,628.90","1,661.00",4.01
2026-03-03,"1,573.00","1,599.00","1,560.00","1,597.00",1.53
