date,open,high,low,close,volume
2026-06-08,620.00,626.50,618.00,621.00,"11,242,689.20"
2026-06-05,620.0,626.5,618.0,621.0,-1.43
2026-06-04,644.0,652.0,620.0,630.0,-2.17
2026-06-03,640.0,652.8,625.0,644.0,2.24
2026-06-02,623.0,632.0,617.1,629.9,1.11
2026-06-01,630.0,654.0,618.5,623.0,-2.66
2026-05-27,693.0,693.0,639.0,640.0,-3.03
2026-05-26,670.0,675.0,655.0,660.0,-1.49
2026-05-25,650.0,684.9,650.0,670.0,0.28
2026-05-22,625.0,670.0,624.3,668.1,6.05
2026-05-21,641.0,648.9,623.0,630.0,-2.01
2026-05-20,656.2,656.2,620.0,642.9,2.86
2026-05-19,603.0,629.9,600.0,625.0,3.61
2026-05-18,572.0,607.5,572.0,603.2,2.59
2026-05-15,585.0,596.9,585.0,588.0,0.0
2026-05-14,600.0,609.0,582.0,588.0,-1.18
2026-05-13,587.0,597.0,587.0,595.0,-0.34
2026-05-12,617.0,617.0,592.0,597.0,-3.38
2026-05-11,602.0,618.0,602.0,617.9,3.16
2026-05-08,584.0,600.0,579.0,599.0,3.06
2026-05-07,579.5,587.0,576.0,581.2,-0.65
2026-05-06,585.0,600.0,580.0,585.0,-0.51
2026-05-05,586.0,595.0,576.0,588.0,0.34
2026-05-04,598.7,602.5,586.0,586.0,-2.22
2026-04-30,634.2,634.2,594.0,599.3,-0.78
2026-04-29,610.0,618.0,595.0,604.0,-0.98
2026-04-28,618.5,622.0,605.0,610.0,-1.37
2026-04-27,638.6,638.6,615.0,618.5,-0.24
2026-04-24,618.0,620.0,601.2,620.0,0.08
2026-04-23,631.0,639.9,618.0,619.5,-1.82
2026-04-22,625.1,643.7,615.0,631.0,-1.41
2026-04-21,681.3,681.3,635.0,640.0,-1.37
2026-04-20,654.0,654.0,620.0,648.9,2.19
2026-04-17,622.3,647.0,622.3,635.0,0.0
2026-04-16,645.0,653.0,633.2,635.0,-2.91
2026-04-15,655.8,658.0,640.0,654.0,1.08
2026-04-13,650.0,659.9,640.0,647.0,-1.37
2026-04-10,680.0,680.0,646.0,656.0,-1.94
2026-04-09,665.0,678.3,655.0,669.0,2.14
2026-04-08,626.0,657.9,615.0,655.0,6.68
2026-04-07,625.0,642.0,611.4,614.0,-0.97
2026-04-06,592.0,634.0,588.0,620.0,3.68
2026-04-05,659.9,660.0,594.0,598.0,-9.38
2026-04-02,647.8,675.0,647.8,659.9,-0.17
2026-04-01,695.0,695.0,653.1,661.0,-4.89
2026-03-31,690.0,703.8,671.3,695.0,0.14
2026-03-30,705.0,711.0,689.0,694.0,-1.98
2026-03-29,747.4,747.4,703.0,708.0,-3.4
2026-03-26,715.0,734.0,715.0,732.9,2.5
2026-03-25,705.0,727.0,698.0,715.0,1.42
2026-03-24,703.0,707.7,698.0,705.0,0.43
2026-03-23,705.0,719.0,693.0,702.0,-0.71
2026-03-22,705.1,716.0,701.0,707.0,0.27
2026-03-19,705.0,717.2,698.1,705.1,0.16
2026-03-17,711.0,711.0,695.0,704.0,-0.85
2026-03-16,723.0,725.0,704.1,710.0,-2.61
2026-03-15,810.0,810.0,729.0,729.0,-10.0
2026-03-12,745.0,813.0,718.1,810.0,9.46
2026-03-11,768.0,788.0,735.3,740.0,-3.65
2026-03-10,800.0,810.0,750.0,768.0,-3.51
2026-03-09,750.6,795.9,750.6,795.9,8.15
2026-03-03,724.0,740.0,717.1,735.9,1.5
2026-03-01,714.5,730.0,687.0,725.0,-0.55
2026-02-26,744.6,744.6,710.0,729.0,-0.14
2026-02-25,719.0,730.0,696.0,730.0,1.53
2026-02-24,690.0,719.0,673.1,719.0,5.74
2026-02-23,680.0,693.0,665.0,680.0,-0.44
2026-02-22,720.0,729.0,680.0,683.0,-5.14
2026-02-17,743.5,743.5,698.0,720.0,-1.23
2026-02-16,721.0,740.0,712.0,729.0,1.11
2026-02-12,727.3,739.5,720.0,721.0,-2.83
2026-02-11,756.8,770.0,722.0,742.0,0.0
2026-02-10,716.0,755.0,716.0,742.0,1.64
2026-02-09,735.0,753.0,715.0,730.0,-2.67
2026-02-08,745.0,770.0,740.8,750.0,-1.06
2026-02-05,744.8,774.7,744.8,758.0,-0.26
2026-02-04,789.1,790.0,755.1,760.0,-3.68
2026-02-03,820.0,877.0,784.0,789.0,-3.31
2026-02-02,761.0,820.0,761.0,816.0,7.24
2026-02-01,747.8,777.0,721.0,760.9,-0.28
2026-01-29,825.2,840.0,760.0,763.0,-9.38
2026-01-28,834.0,918.9,794.0,842.0,-1.06
2026-01-27,790.0,860.0,775.0,851.0,8.41
2026-01-26,739.0,813.8,717.0,785.0,6.1
2026-01-25,689.0,753.0,689.0,739.9,7.25
2026-01-22,652.0,700.0,652.0,689.9,4.69
2026-01-21,652.0,678.0,652.0,659.0,-0.9
2026-01-20,670.0,680.3,662.0,665.0,-0.6
2026-01-18,645.0,670.1,641.0,669.0,3.24
2026-01-14,650.0,679.0,642.0,648.0,-1.22
2026-01-13,650.0,679.8,650.0,656.0,-1.06
2026-01-12,662.0,673.2,639.1,663.0,2.03
2026-01-08,615.0,650.0,611.1,649.8,3.64
2026-01-07,642.0,664.0,620.0,627.0,-4.13
2026-01-06,675.0,708.0,642.1,654.0,-1.8
2026-01-05,620.0,666.0,605.0,666.0,9.54
2026-01-04,584.0,608.0,575.1,608.0,3.95
2026-01-01,568.0,589.9,560.0,584.9,2.43
2025-12-31,570.0,576.0,556.0,571.0,1.6
2025-12-29,567.6,576.0,555.0,562.0,-0.99
2025-12-28,547.0,570.0,547.0,567.6,2.45
2025-12-24,555.0,577.0,550.0,554.0,-0.18
2025-12-23,555.0,565.0,546.2,555.0,0.02
2025-12-22,559.0,567.9,547.0,554.9,-0.77
2025-12-21,572.0,573.9,556.0,559.2,-2.32
2025-12-18,565.5,585.0,565.5,572.5,-0.78
2025-12-17,585.1,594.9,576.5,577.0,-1.7
2025-12-16,575.0,599.0,575.0,587.0,1.4
2025-12-15,573.1,579.0,566.0,578.9,1.21
2025-12-14,583.0,590.0,570.0,572.0,-2.22
2025-12-11,585.0,599.0,580.0,585.0,-0.17
2025-12-10,591.1,607.0,584.0,586.0,-2.33
2025-12-09,576.3,609.9,576.3,600.0,2.04
2025-12-08,586.0,600.0,580.2,588.0,-0.34
2025-12-07,630.0,630.0,587.3,590.0,-5.19
2025-12-03,607.0,640.0,605.2,622.3,2.86
2025-12-02,578.0,617.0,561.1,605.0,6.27
2025-12-01,561.0,572.3,553.1,569.3,0.94
2025-11-30,566.2,579.0,560.0,564.0,-1.74
2025-11-27,571.0,583.0,566.1,574.0,0.53
2025-11-26,591.0,595.0,571.0,571.0,-3.38
2025-11-25,550.0,591.0,548.1,591.0,6.87
2025-11-24,556.0,568.0,551.0,553.0,-0.54
2025-11-23,555.0,572.0,555.0,556.0,-1.77
2025-11-20,600.0,619.0,561.0,566.0,-4.91
2025-11-19,551.9,595.2,537.0,595.2,10.0
2025-11-18,545.8,555.0,538.1,541.1,0.39
2025-11-17,534.4,554.0,510.0,539.0,2.86
2025-11-16,558.0,558.0,523.0,524.0,-6.09
2025-11-13,520.0,574.0,502.0,558.0,6.88
2025-11-12,580.0,580.0,520.0,522.1,-8.72
2025-11-11,545.8,588.7,545.8,572.0,6.88
2025-11-10,491.2,535.2,491.2,535.2,9.99
2025-11-09,451.0,486.6,451.0,486.6,9.99
2025-11-06,402.2,442.4,402.2,442.4,10.0
