date,open,high,low,close,volume
2026-06-08,300.00,308.90,300.00,302.00,"2,707,070.20"
2026-06-05,300.0,308.9,300.0,302.0,-0.07
2026-06-04,302.0,304.9,300.1,302.2,-1.24
2026-06-03,303.0,306.4,300.0,306.0,0.33
2026-06-02,303.0,305.0,299.0,305.0,-0.97
2026-06-01,312.0,312.0,298.0,308.0,0.65
2026-05-27,309.0,315.0,303.0,306.0,0.0
2026-05-26,309.0,309.0,298.0,306.0,1.16
2026-05-25,303.0,311.0,302.5,302.5,0.17
2026-05-22,303.0,303.0,296.1,302.0,0.67
2026-05-21,303.5,303.5,295.0,300.0,-1.25
2026-05-20,298.0,303.8,292.1,303.8,2.19
2026-05-19,295.1,298.0,295.1,297.3,-0.23
2026-05-18,292.1,299.9,292.1,298.0,0.34
2026-05-15,305.9,305.9,297.0,297.0,-0.27
2026-05-14,301.0,301.0,295.5,297.8,1.43
2026-05-13,292.6,297.0,292.6,293.6,-1.77
2026-05-12,319.0,319.0,295.0,298.9,-1.65
2026-05-11,305.0,305.0,297.1,303.9,2.32
2026-05-08,307.6,307.6,292.0,297.0,1.37
2026-05-07,293.0,295.0,290.0,293.0,0.0
2026-05-06,306.9,306.9,291.5,293.0,0.24
2026-05-05,299.0,299.2,292.2,292.3,-0.92
2026-05-04,304.0,304.0,291.0,295.0,-1.67
2026-04-30,298.0,300.0,293.0,300.0,0.33
2026-04-29,301.0,301.0,296.3,299.0,-0.66
2026-04-28,304.0,306.0,300.0,301.0,-0.99
2026-04-27,300.1,309.0,300.0,304.0,1.3
2026-04-24,307.0,305.5,298.0,300.1,-2.25
2026-04-23,305.0,312.9,301.6,307.0,0.66
2026-04-22,300.3,314.9,299.9,305.0,-1.29
2026-04-21,320.0,320.0,292.0,309.0,1.18
2026-04-20,317.0,317.0,305.4,305.4,-2.43
2026-04-17,305.0,313.0,303.5,313.0,1.62
2026-04-16,313.2,318.0,307.0,308.0,-3.6
2026-04-15,319.0,321.0,307.7,319.5,1.78
2026-04-13,308.0,314.0,308.0,313.9,-0.03
2026-04-10,312.0,323.0,306.0,314.0,-0.95
2026-04-09,307.3,317.9,307.3,317.0,1.44
2026-04-08,313.0,313.0,302.0,312.5,1.79
2026-04-07,316.0,316.0,304.1,307.0,-0.97
2026-04-06,289.0,312.9,289.0,310.0,7.27
2026-04-05,304.29,306.0,288.0,289.0,-5.86
2026-04-02,305.0,312.1,300.2,307.0,-0.97
2026-04-01,325.9,325.9,308.0,310.0,-3.22
2026-03-31,316.0,328.0,310.7,320.3,1.04
2026-03-30,325.0,331.0,313.1,317.0,-2.91
2026-03-29,342.0,344.0,321.1,326.5,-3.97
2026-03-26,342.0,342.0,332.0,340.0,1.13
2026-03-25,340.0,340.9,335.0,336.2,-1.12
2026-03-24,332.3,340.0,327.0,340.0,4.29
2026-03-23,333.0,333.6,323.6,326.0,-1.81
2026-03-22,344.0,345.0,323.0,332.0,-2.06
2026-03-19,335.0,340.0,328.5,339.0,2.11
2026-03-17,314.0,332.0,314.0,332.0,5.06
2026-03-16,321.3,322.0,315.0,316.0,-2.62
2026-03-15,325.0,327.0,320.0,324.5,0.46
2026-03-12,319.0,325.5,315.0,323.0,1.25
2026-03-11,325.0,325.9,313.0,319.0,-1.18
2026-03-10,330.0,330.4,311.3,322.8,-0.37
2026-03-09,312.1,324.0,312.1,324.0,5.88
2026-03-03,300.0,307.0,300.0,306.0,1.32
2026-03-01,293.7,302.0,293.1,302.0,0.83
2026-02-26,291.0,305.0,291.0,299.5,1.18
2026-02-25,303.5,303.5,295.0,296.0,-0.6
2026-02-24,294.0,298.0,290.2,297.8,1.29
2026-02-23,300.0,300.0,293.0,294.0,-1.01
2026-02-22,298.2,304.0,295.1,297.0,-2.27
2026-02-17,308.0,308.0,302.0,303.9,-0.65
2026-02-16,318.0,320.2,305.9,305.9,-1.96
2026-02-12,301.5,318.8,300.6,312.0,1.96
2026-02-11,312.0,319.2,303.0,306.0,-0.29
2026-02-10,313.0,314.0,304.0,306.9,-1.32
2026-02-09,314.0,318.5,307.0,311.0,-2.48
2026-02-08,320.0,328.0,316.2,318.9,1.53
2026-02-05,305.0,320.0,296.5,314.1,4.35
2026-02-04,303.0,306.7,298.0,301.0,0.0
2026-02-03,305.0,308.9,300.5,301.0,-0.66
2026-02-02,311.0,311.0,302.7,303.0,-1.46
2026-02-01,305.3,309.8,303.5,307.5,0.72
2026-01-29,302.0,317.9,302.0,305.3,1.09
2026-01-28,303.0,308.0,298.1,302.0,-0.66
2026-01-27,310.0,318.0,299.0,304.0,-3.0
2026-01-26,309.1,321.0,308.7,313.4,-0.48
2026-01-25,306.1,316.0,306.1,314.9,3.08
2026-01-22,300.0,306.0,300.0,305.5,1.5
2026-01-21,302.5,305.0,298.0,301.0,-0.33
2026-01-20,293.1,308.0,293.0,302.0,2.37
2026-01-18,295.0,295.0,290.1,295.0,1.9
2026-01-14,290.0,295.9,289.0,289.5,1.58
2026-01-13,290.7,291.0,285.0,285.0,0.0
2026-01-12,290.1,297.9,285.0,285.0,-3.06
2026-01-08,285.2,296.7,285.2,294.0,1.03
2026-01-07,291.0,292.0,288.0,291.0,-0.41
2026-01-06,295.9,295.9,290.5,292.2,0.72
2026-01-05,283.7,299.5,283.7,290.1,0.38
2026-01-04,291.0,292.9,287.4,289.0,-0.89
2026-01-01,292.0,296.0,290.0,291.6,-1.45
2025-12-31,294.0,297.0,294.0,295.9,0.0
2025-12-29,292.2,295.9,292.2,295.9,0.65
2025-12-28,288.0,298.0,288.0,294.0,2.08
2025-12-24,287.0,288.0,285.0,288.0,0.35
2025-12-23,293.0,293.6,285.0,287.0,-0.35
2025-12-22,285.2,291.0,285.2,288.0,-0.35
2025-12-21,291.1,294.0,289.0,289.0,-2.0
2025-12-18,302.8,302.8,292.0,294.9,-0.71
2025-12-17,300.0,300.0,294.0,297.0,0.68
2025-12-16,295.0,297.9,292.0,295.0,-0.3
2025-12-15,294.0,296.0,291.0,295.9,0.31
2025-12-14,294.2,299.9,292.0,295.0,0.1
2025-12-11,297.0,298.9,293.1,294.7,-0.1
2025-12-10,298.0,298.0,294.9,295.0,-1.04
2025-12-09,302.9,302.9,296.9,298.1,0.37
2025-12-08,294.0,300.0,294.0,297.0,0.0
2025-12-07,300.0,300.0,294.0,297.0,-1.0
2025-12-03,299.0,310.9,299.0,300.0,-1.67
2025-12-02,305.0,313.0,301.1,305.1,-0.62
2025-12-01,305.5,313.0,300.0,307.0,0.0
2025-11-30,304.5,318.0,300.0,307.0,2.78
2025-11-27,293.0,304.0,293.0,298.7,-0.03
2025-11-26,304.8,304.8,293.0,298.8,-0.03
2025-11-25,308.0,308.0,295.0,298.9,-1.03
2025-11-24,309.6,315.0,299.0,302.0,-0.53
2025-11-23,305.8,305.8,294.0,303.6,1.23
2025-11-20,294.1,301.8,288.0,299.9,0.0
2025-11-19,304.9,309.4,296.0,299.9,0.3
2025-11-18,288.1,306.0,288.1,299.0,2.75
2025-11-17,286.2,295.0,286.2,291.0,0.1
2025-11-16,285.2,296.79,281.0,290.7,-0.1
2025-11-13,283.2,300.9,283.2,291.0,1.04
2025-11-12,286.2,291.9,286.2,288.0,-1.37
2025-11-11,283.0,295.8,283.0,292.0,1.39
2025-11-10,292.7,292.7,284.0,288.0,0.35
2025-11-09,287.7,300.0,283.2,287.0,-2.21
2025-11-06,285.2,301.0,280.0,293.5,0.86
2025-11-05,295.9,296.0,286.5,291.0,-0.34
2025-11-04,293.7,293.7,285.0,292.0,-1.95
2025-11-03,307.0,307.0,292.0,297.8,-1.19
2025-11-02,292.0,304.0,291.1,301.4,1.48
2025-10-30,291.2,300.0,286.2,297.0,1.92
2025-10-29,288.0,296.9,284.0,291.4,-0.03
2025-10-28,280.4,296.9,278.0,291.5,1.92
2025-10-26,278.0,286.0,273.0,286.0,1.06
2025-10-19,290.0,290.0,280.0,283.0,-0.7
2025-10-16,282.0,297.8,276.0,285.0,-0.7
2025-10-15,290.0,299.5,279.1,287.0,-2.65
2025-10-14,305.5,305.9,274.8,294.8,-2.03
2025-10-13,280.0,309.0,278.4,300.9,6.7
2025-10-12,289.0,289.0,278.1,282.0,-2.42
2025-10-09,293.7,310.0,288.0,289.0,0.35
2025-10-08,286.3,292.0,286.3,288.0,-1.03
2025-10-07,294.0,298.2,288.7,291.0,-3.0
2025-09-28,301.9,307.0,296.0,300.0,1.35
2025-09-25,294.0,304.0,293.1,296.0,-1.33
2025-09-24,297.2,302.0,295.0,300.0,-0.86
2025-09-23,300.0,303.0,297.0,302.6,1.21
2025-09-21,272.5,299.7,265.0,298.99,9.72
2025-09-18,278.0,278.0,272.5,272.5,-3.92
2025-09-08,285.4,295.0,283.0,283.62,-2.21
2025-09-07,298.9,299.5,288.1,290.04,-1.17
2025-09-04,305.0,305.9,291.3,293.48,-3.45
2025-09-03,310.0,310.0,303.3,303.96,-0.56
2025-09-02,303.5,315.0,303.5,305.66,-1.3
2025-09-01,310.0,314.0,308.0,309.68,-0.98
2025-08-31,318.0,318.0,308.0,312.74,-0.46
2025-08-28,314.0,320.0,314.0,314.18,-1.46
2025-08-27,311.0,322.9,310.0,318.84,2.29
2025-08-26,310.0,313.0,308.0,311.71,0.16
2025-08-25,309.0,317.9,306.0,311.2,-0.17
2025-08-24,322.0,328.0,310.0,311.74,-3.25
2025-08-21,326.0,337.6,320.0,322.22,-0.98
2025-08-20,315.0,332.0,315.0,325.41,1.74
2025-08-19,317.0,322.0,314.0,319.85,1.19
2025-08-18,306.1,324.0,306.1,316.1,3.19
2025-08-17,308.0,317.1,305.2,306.34,0.47
2025-08-14,305.1,309.0,303.0,304.9,-0.16
2025-08-13,308.0,312.0,303.3,305.4,-0.93
2025-08-12,307.1,313.9,307.1,308.27,-1.12
2025-08-11,324.0,324.0,310.0,311.77,-2.73
2025-08-07,326.0,326.0,317.2,320.52,-0.2
2025-08-06,320.1,325.0,320.0,321.17,0.43
2025-08-05,330.0,330.0,318.2,319.79,-1.32
2025-08-04,328.9,335.0,317.0,324.08,0.45
2025-08-03,325.5,329.9,322.0,322.64,-1.56
2025-07-31,326.5,339.2,326.0,327.76,-1.45
2025-07-30,338.0,343.0,331.5,332.58,-2.59
2025-07-29,344.6,350.0,339.1,341.42,1.05
2025-07-28,348.1,348.1,331.3,337.87,-1.03
2025-07-27,354.0,354.0,340.1,341.37,-2.09
2025-07-24,358.0,358.2,345.0,348.66,-0.74
2025-07-23,343.0,362.9,338.0,351.26,3.11
2025-07-22,326.0,342.0,326.0,340.65,2.46
2025-07-21,333.0,341.6,327.4,332.48,-1.25
2025-07-20,342.7,348.0,333.0,336.69,-0.29
2025-07-17,325.0,339.0,324.0,337.66,4.27
2025-07-16,328.0,328.1,323.1,323.83,0.38
2025-07-15,322.1,325.9,321.1,322.61,0.25
2025-07-14,321.0,325.0,320.5,321.8,-0.65
2025-07-13,330.1,334.0,323.1,323.91,0.08
2025-07-10,324.2,330.0,322.5,323.65,0.39
2025-07-09,326.0,330.0,321.5,322.4,-0.48
2025-07-08,321.0,325.0,320.0,323.97,0.79
2025-07-07,323.5,327.3,321.0,321.44,-0.89
2025-07-06,329.0,334.4,324.0,324.34,-1.88
2025-07-03,334.8,341.0,325.2,330.57,0.06
2025-07-02,329.0,335.0,322.6,330.37,1.56
2025-07-01,331.0,337.4,323.1,325.29,0.14
2025-06-30,336.9,336.9,323.5,324.83,-1.68
2025-06-29,333.0,336.0,327.9,330.38,-0.79
2025-06-26,344.9,344.9,332.0,333.01,-1.6
2025-06-25,336.9,340.5,333.3,338.43,2.44
2025-06-24,330.0,350.0,330.0,330.38,1.45
2025-06-23,330.0,331.0,323.9,325.67,0.39
2025-06-22,342.8,342.8,322.2,324.39,-3.79
2025-06-19,332.9,345.0,329.0,337.17,2.54
2025-06-18,327.0,332.0,321.0,328.82,2.44
2025-06-17,328.9,328.9,319.0,320.99,-0.46
2025-06-16,329.0,329.0,321.1,322.48,-0.06
2025-06-15,329.9,329.9,318.2,322.67,-0.6
2025-06-12,322.0,327.4,319.0,324.62,1.41
2025-06-11,328.0,331.0,318.5,320.1,-1.67
2025-06-10,330.0,332.0,325.0,325.54,-0.2
2025-06-09,321.5,327.9,316.0,326.19,2.37
2025-06-08,316.1,323.0,312.0,318.63,0.3
2025-06-05,322.0,328.0,317.0,317.67,-1.26
2025-06-04,325.0,332.0,320.0,321.73,-1.17
2025-06-03,342.7,342.7,324.0,325.55,-3.13
2025-06-02,344.0,346.7,332.0,336.07,-1.21
2025-05-28,347.0,370.0,335.1,340.18,-3.91
2025-05-27,334.2,369.2,333.1,354.04,4.2
2025-05-26,342.9,353.0,334.0,339.78,1.06
2025-05-25,341.0,351.9,333.6,336.23,-3.21
2025-05-22,352.0,362.9,345.0,347.39,-3.13
2025-05-21,366.5,379.0,355.1,358.63,-0.2
2025-05-20,337.6,374.0,337.6,359.36,4.34
2025-05-19,345.0,358.0,335.0,344.41,1.57
2025-05-18,362.0,367.0,337.0,339.08,-4.5
2025-05-15,357.0,392.0,353.6,355.05,-2.11
2025-05-14,367.0,383.0,360.1,362.7,-1.89
2025-05-13,359.0,375.0,359.0,369.67,1.3
2025-05-11,358.0,370.0,358.0,364.93,0.05
2025-05-08,350.0,369.3,348.0,364.73,2.85
2025-05-07,327.7,356.0,327.7,354.63,7.14
2025-05-06,334.4,334.4,322.0,331.01,0.95
2025-05-05,335.0,341.0,326.9,327.91,-2.9
2025-05-04,336.2,347.8,336.2,337.7,-0.85
2025-04-30,340.3,353.4,338.1,340.6,-1.74
2025-04-29,350.0,357.0,346.0,346.62,-1.14
2025-04-28,353.0,365.0,349.5,350.61,-2.37
2025-04-27,364.6,368.0,350.0,359.13,0.42
2025-04-24,357.0,369.9,353.0,357.63,-1.8
2025-04-23,378.9,378.9,361.2,364.18,-2.31
2025-04-22,362.0,381.8,358.0,372.79,1.63
2025-04-21,373.0,388.0,363.0,366.8,-3.26
2025-04-20,379.0,396.0,374.9,379.15,-1.54
2025-04-17,387.1,409.8,382.2,385.08,-2.23
2025-04-16,387.0,398.0,387.0,393.88,0.09
2025-04-15,387.0,399.9,387.0,393.52,-0.16
2025-04-13,407.0,407.0,389.1,394.16,-3.35
2025-04-10,378.0,415.0,378.0,407.83,5.9
2025-04-09,374.5,392.0,374.5,385.1,0.79
2025-04-08,379.0,386.5,377.1,382.07,-1.06
2025-04-07,387.0,398.0,385.1,386.17,-2.15
2025-04-03,392.1,403.0,390.1,394.65,-1.06
2025-04-02,397.0,408.0,396.0,398.88,-1.04
2025-04-01,394.0,408.0,392.1,403.08,0.51
2025-03-30,385.0,406.0,385.0,401.04,2.21
2025-03-27,383.0,395.7,382.1,392.36,0.89
2025-03-26,375.2,395.0,375.0,388.9,1.61
2025-03-25,403.0,408.0,380.0,382.75,-6.05
2025-03-24,404.0,412.0,404.0,407.41,-0.82
2025-03-23,423.0,423.0,404.0,410.76,-1.58
2025-03-20,417.0,423.0,410.0,417.37,0.11
2025-03-19,400.0,420.0,400.0,416.9,2.18
2025-03-18,399.9,412.8,399.9,408.0,0.0
2025-03-17,402.8,415.0,402.8,408.0,-0.73
2025-03-16,419.9,427.2,405.2,411.0,-2.12
2025-03-12,396.4,420.0,390.1,419.9,7.67
2025-03-11,391.3,405.6,388.1,390.0,-2.01
2025-03-10,392.1,408.0,392.0,398.0,-0.15
2025-03-09,402.0,417.5,398.6,398.6,-2.64
2025-03-06,402.3,418.0,402.3,409.4,-0.27
2025-03-05,413.9,416.2,400.2,410.5,0.86
2025-03-04,424.0,427.0,402.0,407.0,-2.4
2025-03-03,388.0,418.2,385.0,417.0,9.45
2025-03-02,380.0,390.9,375.1,381.0,1.09
2025-02-27,374.3,378.3,366.0,376.9,2.7
2025-02-25,372.3,372.3,365.0,367.0,0.55
2025-02-24,345.0,366.0,345.0,365.0,6.41
2025-02-23,344.0,347.0,335.0,343.0,-2.28
2025-02-20,358.8,369.0,345.1,351.0,-4.12
2025-02-18,364.6,393.2,348.3,366.1,2.41
2025-02-17,330.0,357.5,326.2,357.5,10.0
2025-02-16,316.2,325.9,316.2,325.0,2.27
2025-02-13,317.0,320.8,314.1,317.8,0.25
2025-02-12,320.0,321.4,312.1,317.0,0.0
2025-02-11,310.1,317.0,310.0,317.0,0.83
2025-02-10,324.0,325.0,310.0,314.4,-1.6
2025-02-09,330.0,330.0,318.1,319.5,-1.27
2025-02-06,324.2,327.0,320.5,323.6,0.25
2025-02-05,318.0,324.9,318.0,322.8,1.25
2025-02-04,310.0,320.0,310.0,318.8,1.85
2025-02-03,324.9,324.9,313.0,313.0,-1.88
2025-02-02,316.2,324.0,316.0,319.0,2.9
2025-01-28,305.0,320.0,305.0,310.0,0.65
2025-01-27,310.0,313.0,306.0,308.0,0.0
2025-01-26,316.2,316.2,307.0,308.0,-0.65
2025-01-23,316.0,319.9,307.8,310.0,-2.15
2025-01-22,318.2,318.8,309.2,316.8,1.54
2025-01-21,322.3,322.3,310.0,312.0,-1.27
2025-01-20,321.7,325.0,314.0,316.0,0.19
2025-01-19,332.5,332.5,313.1,315.4,-3.25
2025-01-16,324.8,341.0,323.4,326.0,2.35
2025-01-15,302.9,320.0,302.9,318.5,3.07
2025-01-13,306.7,317.0,306.7,309.0,-1.25
2025-01-12,308.1,317.9,308.1,312.9,1.59
2025-01-09,308.0,313.0,305.0,308.0,0.65
2025-01-08,304.0,308.0,298.0,306.0,0.1
2025-01-07,312.0,312.0,301.0,305.7,-0.1
2025-01-06,295.0,311.0,295.0,306.0,4.08
2025-01-05,295.5,295.5,284.0,294.0,1.38
2025-01-02,287.0,297.0,287.0,290.0,-0.82
2025-01-01,292.9,292.9,285.0,292.4,1.53
2024-12-31,305.0,305.0,280.0,288.0,-4.1
2024-12-29,303.0,310.0,300.0,300.3,-2.82
2024-12-26,311.0,315.0,301.9,309.0,-1.28
2024-12-24,325.0,327.0,308.9,313.0,-2.0
2024-12-23,310.1,321.0,308.0,319.4,3.7
2024-12-22,307.0,310.9,300.0,308.0,2.33
2024-12-19,313.0,313.0,300.0,301.0,-1.95
2024-12-18,306.0,320.0,300.1,307.0,2.33
2024-12-17,304.0,307.0,299.0,300.0,0.33
2024-12-16,312.0,315.0,298.5,299.0,-4.17
2024-12-12,323.0,326.0,307.0,312.0,-3.41
2024-12-11,318.0,323.7,313.1,323.0,3.53
2024-12-10,320.0,325.0,307.0,312.0,-2.32
2024-12-09,319.3,325.0,310.0,319.4,2.01
2024-12-08,336.0,337.0,308.0,313.1,-7.09
2024-12-05,324.0,350.0,311.3,337.0,2.12
2024-12-04,318.6,343.6,318.6,330.0,5.63
2024-12-03,284.0,312.4,284.0,312.4,10.0
2024-12-02,270.0,291.7,265.0,284.0,6.77
2024-12-01,270.0,270.0,262.0,266.0,-0.37
2024-11-28,277.0,277.0,266.9,267.0,-1.84
2024-11-27,271.0,273.9,267.3,272.0,1.12
2024-11-26,265.2,286.0,261.0,269.0,3.46
2024-11-25,263.8,269.0,259.0,260.0,0.5
2024-11-24,267.0,267.8,258.7,258.7,-1.63
2024-11-21,270.0,285.0,261.0,263.0,-0.75
2024-11-20,270.0,270.0,263.1,265.0,-0.38
2024-11-19,280.0,280.0,265.3,266.0,-3.62
2024-11-17,272.1,283.0,270.0,276.0,3.45
2024-11-14,268.2,268.2,259.7,266.8,1.44
2024-11-13,268.0,273.0,260.0,263.0,0.0
2024-11-12,267.3,278.0,260.2,263.0,0.34
2024-11-11,277.8,281.0,262.0,262.1,-3.99
2024-11-10,266.2,274.9,266.2,273.0,4.6
2024-11-06,256.0,265.0,255.0,261.0,3.98
2024-11-05,252.5,257.2,249.0,251.0,1.21
2024-10-30,253.0,253.0,248.0,248.0,-1.59
2024-10-29,251.0,252.0,248.0,252.0,2.02
2024-10-28,237.6,247.8,237.6,247.0,2.07
2024-10-27,241.9,244.0,235.0,242.0,0.0
2024-10-24,246.8,246.8,239.0,242.0,0.0
2024-10-23,245.8,250.6,242.0,242.0,0.41
2024-10-22,242.0,245.0,239.1,241.0,1.43
2024-10-21,247.0,247.0,237.0,237.6,-3.81
2024-10-20,258.0,258.0,245.0,247.0,-4.26
2024-10-17,268.0,268.0,255.0,258.0,-1.9
2024-10-16,259.5,275.1,254.5,263.0,3.34
2024-10-15,257.0,272.0,247.0,254.5,0.99
2024-10-09,255.0,255.0,246.7,252.0,0.8
2024-10-08,250.0,254.6,241.6,250.0,1.63
2024-10-07,244.1,250.0,240.0,246.0,2.76
2024-10-06,228.0,240.0,226.1,239.4,4.54
2024-10-02,242.7,246.9,228.0,229.0,-3.78
2024-10-01,222.8,238.6,222.0,238.0,8.92
2024-09-30,216.6,220.9,213.1,218.5,0.88
2024-09-29,220.0,222.0,215.0,216.6,-1.55
2024-09-26,232.5,237.1,220.0,220.0,-3.51
2024-09-25,233.0,233.0,221.0,228.0,-0.44
2024-09-24,243.7,243.7,226.0,229.0,-4.18
2024-09-23,245.0,245.0,239.0,239.0,-2.45
2024-09-22,245.8,252.0,245.0,245.0,1.66
2024-09-18,243.0,245.0,240.0,241.0,-0.41
2024-09-16,248.0,252.0,242.0,242.0,-4.35
2024-09-15,259.9,267.0,245.4,253.0,-0.75
2024-09-12,242.5,263.0,242.5,254.9,5.16
2024-09-11,244.0,249.0,241.0,242.4,-0.74
2024-09-10,245.0,251.1,242.6,244.2,0.49
2024-09-09,249.9,251.9,243.0,243.0,-0.82
2024-09-08,254.1,264.0,245.0,245.0,-1.69
2024-09-05,251.0,259.8,247.0,249.2,-2.66
2024-09-04,268.0,273.3,248.1,256.0,-3.4
2024-09-03,264.0,274.3,248.8,265.0,2.36
2024-09-02,246.0,270.0,246.0,258.9,5.24
2024-09-01,253.0,259.0,244.6,246.0,-1.2
2024-08-29,245.2,260.1,241.0,249.0,0.2
2024-08-28,260.0,276.4,245.0,248.5,-2.55
2024-08-27,272.3,277.0,247.2,255.0,-4.49
2024-08-25,286.0,294.3,267.0,267.0,-5.65
2024-08-22,286.9,295.0,281.3,283.0,-1.36
2024-08-21,299.8,300.0,284.4,286.9,-2.41
2024-08-18,293.0,298.0,284.0,294.0,0.34
2024-08-15,300.0,312.0,290.0,293.0,-0.68
2024-08-14,285.0,300.9,267.0,295.0,4.65
2024-08-13,290.7,290.7,275.1,281.9,-1.09
2024-08-12,266.0,286.5,266.0,285.0,9.2
2024-08-11,242.0,261.0,242.0,261.0,8.75
2024-08-08,251.9,262.0,238.0,240.0,-2.83
2024-08-07,238.0,248.0,233.0,247.0,3.83
2024-08-06,253.0,257.0,233.5,237.9,-5.97
2024-08-05,259.9,264.2,245.0,253.0,-2.5
2024-08-01,260.0,273.0,254.8,259.5,0.39
