date,open,high,low,close,volume
2026-06-08,"1,160.10","1,160.10","1,160.00","1,160.00","34,801.00"
2026-06-05,"1,160.10","1,160.10","1,160.00","1,160.00",1.75
2026-06-02,"1,140.00","1,140.00","1,140.00","1,140.00",-1.14
2026-06-01,"1,140.10","1,153.10","1,140.10","1,153.10",-0.59
2026-05-27,"1,160.00","1,160.00","1,160.00","1,160.00",-0.85
2026-05-25,"1,197.00","1,197.00","1,170.00","1,170.00",-2.34
2026-05-22,"1,198.00","1,198.00","1,198.00","1,198.00",-0.17
2026-05-21,"1,170.00","1,205.00","1,170.00","1,200.00",3.9
2026-05-20,"1,170.00","1,170.00","1,155.00","1,155.00",1.67
2026-05-13,"1,136.00","1,136.00","1,136.00","1,136.00",-1.22
2026-05-12,"1,150.00","1,150.00","1,150.00","1,150.00",-1.03
2026-04-30,"1,130.00","1,162.00","1,130.00","1,162.00",1.93
2026-04-29,"1,136.00","1,141.00","1,130.00","1,140.00",0.35
2026-04-28,"1,143.00","1,170.00","1,136.00","1,136.00",-0.61
2026-04-27,"1,140.00","1,143.00","1,143.00","1,143.00",0.26
2026-04-24,"1,150.00","1,169.00","1,140.00","1,140.00",-0.87
2026-04-23,"1,133.00","1,150.00","1,133.00","1,150.00",0.88
2026-04-22,"1,140.00","1,140.00","1,140.00","1,140.00",0.44
2026-04-21,"1,125.00","1,135.00","1,125.00","1,135.00",0.0
2026-04-20,"1,135.00","1,135.00","1,135.00","1,135.00",-2.16
2026-04-16,"1,177.00","1,177.00","1,160.00","1,160.00",-1.44
2026-04-15,"1,195.00","1,200.00","1,177.00","1,177.00",-1.92
2026-04-13,"1,200.00","1,200.00","1,200.00","1,200.00",0.0
2026-04-09,"1,200.00","1,200.00","1,200.00","1,200.00",0.5
2026-04-08,"1,192.00","1,194.00","1,190.00","1,194.00",1.97
2026-04-07,"1,170.90","1,170.90","1,170.90","1,170.90",1.99
2026-04-05,"1,148.00","1,148.00","1,148.00","1,148.00",0.26
2026-04-01,"1,145.00","1,145.00","1,145.00","1,145.00",-0.95
2026-03-31,"1,170.00","1,170.00","1,170.00","1,156.00",-1.2
2026-03-30,"1,150.00","1,170.00","1,150.00","1,170.00",-0.26
2026-03-26,"1,194.00","1,225.00","1,147.70","1,173.00",0.2
2026-03-25,"1,170.70","1,170.70","1,170.70","1,170.70",-1.62
2026-03-23,"1,193.00","1,193.00","1,190.00","1,190.00",1.71
2026-03-22,"1,170.00","1,170.00","1,170.00","1,170.00",-1.68
2026-03-19,"1,170.10","1,190.00","1,170.10","1,190.00",-0.25
2026-03-17,"1,170.00","1,193.00","1,170.00","1,193.00",1.97
2026-03-16,"1,130.10","1,170.00","1,130.10","1,170.00",3.08
2026-03-15,"1,136.00","1,136.00","1,136.00","1,135.00",-0.53
2026-03-12,"1,145.00","1,145.00","1,135.00","1,141.00",-2.06
2026-03-11,"1,165.00","1,165.00","1,165.00","1,165.00",-0.77
2026-03-03,"1,174.00","1,174.00","1,174.00","1,174.00",2.0
2026-02-25,"1,151.00","1,151.00","1,151.00","1,151.00",-0.35
2026-02-24,"1,155.00","1,155.00","1,155.00","1,155.00",-0.86
2026-02-22,"1,166.00","1,166.00","1,165.00","1,165.00",1.57
2026-02-16,"1,150.00","1,150.00","1,150.00","1,147.00",-1.97
2026-02-11,"1,175.00","1,175.00","1,170.00","1,170.00",-0.85
2026-02-09,"1,180.00","1,180.00","1,180.00","1,180.00",-1.5
2026-02-08,"1,195.00","1,198.00","1,195.00","1,198.00",1.53
2026-02-05,"1,180.00","1,180.00","1,180.00","1,180.00",-1.67
2026-02-02,"1,185.00","1,200.00","1,185.00","1,200.00",2.3
2026-02-01,"1,140.00","1,150.00","1,140.00","1,173.00",2.89
2026-01-28,"1,141.00","1,141.00","1,140.00","1,140.00",-1.21
2026-01-25,"1,225.00","1,225.00","1,154.00","1,154.00",-5.8
2026-01-14,"1,225.00","1,225.00","1,225.00","1,225.00",-1.21
2026-01-13,"1,240.00","1,240.00","1,240.00","1,240.00",1.56
2026-01-12,"1,221.00","1,221.00","1,221.00","1,221.00",0.0
