date,open,high,low,close,volume
2026-06-08,583.50,595.80,583.50,588.20,"1,511,834.90"
2026-06-05,583.50,595.80,583.50,588.20,-0.1
2026-06-04,605.00,605.00,588.00,588.80,-0.94
2026-06-03,604.00,604.00,586.30,594.40,0.93
2026-06-02,578.00,590.00,575.00,588.90,1.71
2026-06-01,572.20,589.00,572.20,579.00,-0.65
2026-05-27,578.90,584.00,577.30,582.80,-0.36
2026-05-26,590.90,591.00,576.30,584.90,-0.2
2026-05-25,583.00,595.00,583.00,586.10,1.05
2026-05-22,573.00,584.00,571.10,580.00,0.02
2026-05-21,582.00,588.00,576.20,579.90,-0.36
2026-05-20,587.90,587.90,580.00,582.00,0.4
2026-05-19,580.00,582.00,576.00,579.70,-0.03
2026-05-18,574.00,579.90,573.20,579.90,0.0
2026-05-15,584.00,584.00,572.10,579.90,0.85
2026-05-14,581.00,582.00,573.20,575.00,-1.0
2026-05-13,579.00,585.00,575.30,580.80,0.29
2026-05-12,560.00,585.00,560.00,579.10,-1.28
2026-05-11,589.00,600.00,581.10,586.60,1.77
2026-05-08,575.00,582.00,575.00,576.40,0.77
2026-05-07,571.00,575.90,563.10,572.00,0.0
2026-05-06,588.00,588.00,566.00,572.00,0.0
2026-05-05,555.00,583.00,555.00,572.00,0.16
2026-05-04,577.70,579.00,569.60,571.10,-1.14
2026-04-30,580.00,583.20,572.00,577.70,-0.74
2026-04-29,547.20,653.20,547.20,582.00,1.04
2026-04-28,552.00,585.50,552.00,576.00,-0.67
2026-04-27,581.80,583.90,577.00,579.90,-0.33
2026-04-24,579.00,584.00,575.00,581.80,0.31
2026-04-23,572.20,586.00,572.20,580.00,0.0
2026-04-22,580.00,584.60,576.10,580.00,-0.51
2026-04-21,585.00,589.90,581.40,583.00,-0.39
2026-04-20,560.00,594.10,560.00,585.30,-0.05
2026-04-17,585.00,590.00,580.30,585.60,0.0
2026-04-16,588.10,589.90,585.10,585.60,-1.66
2026-04-15,590.00,599.00,590.00,595.50,1.17
2026-04-13,590.00,593.00,586.60,588.60,-0.54
2026-04-10,597.00,597.00,590.10,591.80,-0.87
2026-04-09,589.50,602.00,586.50,597.00,2.21
2026-04-08,587.50,589.00,580.00,584.10,1.39
2026-04-07,585.00,593.00,576.10,576.10,-1.86
2026-04-06,567.20,590.00,567.20,587.00,2.1
2026-04-05,582.10,589.00,565.00,574.90,-2.89
2026-04-02,586.00,597.00,585.50,592.00,-0.42
2026-04-01,601.00,606.90,590.60,594.50,-2.2
2026-03-31,600.00,610.00,592.50,607.90,1.49
2026-03-30,598.40,615.00,598.00,599.00,-1.79
2026-03-29,623.00,623.00,607.00,609.90,-1.95
2026-03-26,626.90,626.90,615.00,622.00,0.31
2026-03-25,645.00,645.00,620.00,620.10,-2.33
2026-03-24,633.70,683.40,622.00,634.90,2.19
2026-03-23,635.00,636.00,620.20,621.30,-1.69
2026-03-22,634.90,639.00,624.70,632.00,1.44
