date,open,high,low,close,volume
2026-06-08,800.00,800.00,782.00,788.80,"5,203,084.30"
2026-06-05,800.00,800.00,782.00,788.80,-0.15
2026-06-04,790.00,799.00,785.00,790.00,-0.38
2026-06-03,791.00,800.00,790.00,793.00,0.76
2026-06-02,827.40,827.40,782.00,787.00,-0.13
2026-06-01,831.60,831.60,783.00,788.00,-0.51
2026-05-27,789.10,799.90,787.00,792.00,0.75
2026-05-26,803.80,805.50,783.80,786.10,-1.61
2026-05-25,792.00,799.00,792.00,799.00,1.49
2026-05-22,785.00,794.00,780.00,787.30,-0.59
2026-05-21,807.00,807.00,779.90,792.00,-1.49
2026-05-20,800.00,810.10,790.00,804.00,2.02
2026-05-19,797.00,800.20,786.10,788.10,-1.12
2026-05-18,797.00,805.00,792.10,797.00,0.13
2026-05-15,795.50,810.10,795.10,796.00,0.01
2026-05-14,799.00,804.90,785.00,795.90,0.37
2026-05-13,820.00,820.00,780.00,793.00,-1.49
2026-05-12,874.00,874.00,790.00,805.00,-12.4
2026-05-11,810.00,925.00,804.00,919.00,14.19
2026-05-08,796.00,806.00,796.00,804.80,0.6
2026-05-07,760.00,807.00,760.00,800.00,2.56
2026-05-06,795.00,820.90,780.00,780.00,-1.02
2026-05-05,781.00,800.00,775.30,788.00,-0.24
2026-05-04,785.00,807.00,780.00,789.90,-0.64
2026-04-30,769.50,817.00,769.50,795.00,-1.85
2026-04-29,802.10,810.00,795.00,810.00,0.98
2026-04-28,806.00,830.00,801.00,802.10,-0.48
2026-04-27,800.30,814.90,802.40,806.00,0.71
2026-04-24,802.00,805.00,798.30,800.30,-1.19
2026-04-23,800.20,819.40,800.00,809.90,-0.14
2026-04-22,800.00,824.00,795.00,811.00,1.12
2026-04-21,848.90,848.90,800.00,802.00,-0.84
2026-04-20,780.50,834.90,780.50,808.80,-1.37
2026-04-17,820.50,829.00,795.00,820.00,0.0
2026-04-16,825.00,841.40,815.30,820.00,-2.38
2026-04-15,830.00,848.00,828.00,840.00,1.76
2026-04-13,846.90,847.00,823.00,825.50,-0.67
2026-04-10,846.00,860.00,826.10,831.10,-1.76
2026-04-09,855.00,855.00,833.00,846.00,0.71
2026-04-08,810.00,849.00,810.00,840.00,3.83
2026-04-07,825.90,825.90,808.00,809.00,-0.12
2026-04-06,795.00,826.00,788.50,810.00,2.66
2026-04-05,800.70,810.00,774.30,789.00,-3.43
2026-04-02,819.00,830.00,790.10,817.00,0.25
2026-04-01,830.50,842.00,811.00,815.00,-3.44
2026-03-31,845.00,854.00,824.00,844.00,0.48
2026-03-30,855.00,862.00,838.00,840.00,-1.75
2026-03-29,890.00,890.00,850.00,855.00,-3.76
2026-03-26,896.00,896.00,871.20,888.40,-0.96
2026-03-25,927.00,927.00,872.00,897.00,-1.34
2026-03-24,953.60,953.60,897.30,909.20,-6.56
2026-03-23,904.90,982.00,877.00,973.00,8.96
2026-03-22,858.80,902.70,842.00,893.00,6.06
2026-03-19,817.00,842.00,817.00,842.00,3.19
2026-03-17,802.10,820.00,802.10,816.00,0.12
2026-03-16,825.00,830.00,810.10,815.00,-0.97
2026-03-15,825.00,837.90,820.50,823.00,-0.84
2026-03-12,812.10,837.40,812.10,830.00,1.1
2026-03-11,830.30,842.00,821.00,821.00,-2.77
2026-03-10,880.00,880.00,825.00,844.40,-4.05
2026-03-09,817.00,881.00,817.00,880.00,9.86
2026-03-03,795.00,809.00,795.00,801.00,0.75
2026-03-01,789.10,799.50,789.00,795.00,0.13
2026-02-26,789.00,804.00,789.00,794.00,-0.61
2026-02-25,799.00,809.00,792.10,798.90,0.05
2026-02-24,786.00,807.90,778.00,798.50,2.85
2026-02-23,768.40,781.00,768.40,776.40,0.31
2026-02-22,773.00,779.00,768.00,774.00,-0.64
2026-02-17,782.10,785.00,778.00,779.00,-0.93
2026-02-16,790.00,799.90,785.00,786.30,-0.34
2026-02-12,780.00,803.90,775.00,789.00,1.15
2026-02-11,804.70,818.00,780.00,780.00,-1.14
2026-02-10,799.00,799.00,784.00,789.00,0.25
2026-02-09,787.00,798.00,785.00,787.00,-0.88
2026-02-08,816.00,816.00,794.00,794.00,-0.75
2026-02-05,793.40,809.70,793.40,800.00,0.9
2026-02-04,784.00,814.90,784.00,792.90,-0.89
2026-02-03,786.00,814.90,786.00,800.00,-0.25
2026-02-02,813.50,816.00,798.00,802.00,0.25
2026-02-01,807.00,818.00,796.00,800.00,-1.84
2026-01-29,812.10,828.90,805.00,815.00,-1.01
2026-01-28,823.00,825.00,812.00,823.30,-0.08
2026-01-27,830.10,849.90,815.20,824.00,-1.9
2026-01-26,860.30,860.30,830.00,840.00,-0.41
2026-01-25,820.00,852.00,820.00,843.50,3.36
2026-01-22,827.70,837.00,815.50,816.10,-2.26
2026-01-21,843.50,843.90,825.00,835.00,0.85
2026-01-20,823.90,845.00,812.00,828.00,2.26
2026-01-18,811.00,822.60,800.70,809.70,1.07
2026-01-14,795.00,812.00,795.00,801.10,0.77
2026-01-13,799.80,800.00,788.00,795.00,0.25
2026-01-12,795.00,809.00,790.50,793.00,-1.25
2026-01-08,805.10,819.00,798.00,803.00,-1.47
2026-01-07,785.00,836.00,784.00,815.00,3.35
2026-01-06,785.00,795.00,780.10,788.60,1.1
2026-01-05,765.20,785.00,765.20,780.00,2.17
2026-01-04,775.00,779.80,761.10,763.40,-0.87
2026-01-01,779.00,779.90,770.00,770.10,-1.26
2025-12-31,780.10,789.80,776.00,779.90,-0.35
2025-12-29,790.00,795.90,782.60,782.60,-1.06
2025-12-28,785.00,795.00,776.40,791.00,1.67
2025-12-24,779.00,781.00,767.20,778.00,1.04
2025-12-23,771.10,785.00,762.20,770.00,-0.18
2025-12-22,770.00,777.00,767.20,771.40,0.84
2025-12-21,772.00,785.00,765.00,765.00,-1.92
2025-12-18,790.00,795.00,779.00,780.00,-1.33
2025-12-17,803.00,803.90,790.50,790.50,-0.08
2025-12-16,775.00,799.90,775.00,791.10,0.13
2025-12-15,776.20,793.00,776.20,790.10,0.66
2025-12-14,780.00,800.00,780.00,784.90,-0.65
2025-12-11,800.00,800.00,787.00,790.00,-1.74
2025-12-10,786.00,809.80,786.00,804.00,0.25
2025-12-09,809.00,814.70,800.00,802.00,0.25
2025-12-08,815.00,819.90,799.20,800.00,-1.84
2025-12-07,818.00,818.00,813.00,815.00,-1.09
2025-12-03,836.50,840.00,815.00,824.00,-0.78
2025-12-02,826.30,840.00,826.30,830.50,-0.06
2025-12-01,834.90,839.00,820.10,831.00,0.12
2025-11-30,850.00,851.00,829.00,830.00,-2.7
2025-11-27,906.50,906.50,850.00,853.00,-7.78
2025-11-26,842.00,933.00,835.00,925.00,8.95
2025-11-25,852.00,855.00,840.00,849.00,-0.71
2025-11-24,855.90,859.10,845.20,855.10,1.52
2025-11-23,830.00,852.00,828.00,842.30,3.39
2025-11-20,814.70,829.90,814.70,814.70,-1.13
2025-11-19,830.00,838.00,818.20,824.00,-1.67
2025-11-18,825.00,852.00,825.00,838.00,0.98
2025-11-17,829.00,836.90,820.20,829.90,-0.13
2025-11-16,844.50,844.50,815.00,831.00,0.36
2025-11-13,821.90,838.00,821.90,828.00,-1.25
2025-11-12,835.00,839.00,805.90,838.50,0.42
2025-11-11,839.10,840.00,816.30,835.00,0.72
2025-11-10,838.00,841.00,811.00,829.00,0.36
2025-11-09,841.10,850.00,825.00,826.00,-3.4
2025-11-06,862.00,941.00,854.10,855.10,-2.71
2025-11-05,931.00,931.00,860.00,878.90,-7.48
2025-11-04,857.10,957.00,857.00,950.00,9.2
2025-11-03,871.00,894.00,863.10,870.00,-1.81
2025-11-02,899.00,956.00,870.00,886.00,0.11
2025-10-30,813.50,896.00,813.50,885.00,6.61
2025-10-29,849.00,894.00,830.00,830.10,-0.93
2025-10-28,788.90,845.30,782.00,837.90,8.12
2025-10-26,744.70,778.00,744.30,775.00,2.11
2025-10-19,755.00,776.00,750.10,759.00,-0.78
2025-10-16,784.00,784.00,744.00,765.00,-0.52
2025-10-15,789.00,789.00,750.10,769.00,-1.28
2025-10-14,805.00,807.00,772.30,779.00,-2.01
2025-10-13,772.00,802.00,772.00,795.00,1.02
2025-10-12,812.00,812.00,750.20,787.00,-1.99
2025-10-09,799.60,831.00,790.00,803.00,2.42
2025-10-08,818.40,820.00,780.00,784.00,-5.53
2025-10-07,837.00,902.00,815.00,829.90,-0.79
2025-09-28,846.60,846.60,827.00,836.50,0.78
2025-09-25,833.00,842.00,828.00,830.00,-0.95
2025-09-24,850.00,866.90,837.00,838.00,-3.12
2025-09-23,832.00,900.00,820.20,865.00,5.72
2025-09-21,761.50,836.40,761.50,818.21,5.3
2025-09-18,807.30,807.30,762.00,777.00,-5.67
2025-09-08,836.00,843.00,820.10,823.74,-1.42
2025-09-07,835.00,855.00,835.00,835.64,-0.85
