date,open,high,low,close,volume
2026-06-08,"1,059.00","1,059.00","1,035.00","1,039.00","4,346,155.80"
2026-06-05,"1,059.00","1,059.00","1,035.00","1,039.00",-1.89
2026-06-04,"1,066.90","1,066.90","1,048.00","1,059.00",-0.09
2026-06-03,"1,053.00","1,061.00","1,040.00","1,060.00",0.62
2026-06-02,"1,041.00","1,053.50","1,040.00","1,053.50",1.69
2026-06-01,"1,063.00","1,066.00","1,036.00","1,036.00",-2.45
2026-05-27,"1,041.00","1,063.00","1,041.00","1,062.00",1.41
2026-05-26,"1,067.50","1,067.50","1,041.60","1,047.20",-0.74
2026-05-25,"1,068.90","1,068.90","1,047.00","1,055.00",1.05
2026-05-22,"1,055.00","1,058.00","1,036.10","1,044.00",-0.19
2026-05-21,"1,064.00","1,069.90","1,046.00","1,046.00",-0.66
2026-05-20,"1,040.00","1,054.90","1,038.00","1,053.00",1.74
2026-05-19,"1,043.20","1,045.10","1,035.00","1,035.00",-0.77
2026-05-18,"1,060.00","1,061.00","1,041.10","1,043.00",-1.51
2026-05-15,"1,050.00","1,075.00","1,050.00","1,059.00",0.86
2026-05-14,"1,041.00","1,070.00","1,041.00","1,050.00",-0.01
2026-05-13,"1,060.00","1,076.90","1,046.10","1,050.10",-0.93
2026-05-12,"1,065.00","1,097.00","1,050.00","1,060.00",-3.46
2026-05-11,"1,100.00","1,124.00","1,080.00","1,098.00",-0.18
2026-05-08,"1,095.10","1,130.00","1,090.00","1,100.00",-2.47
2026-05-07,"1,364.00","1,364.00","1,105.00","1,127.90",-13.24
2026-05-06,"1,110.00","1,314.00","1,109.00","1,300.00",13.74
2026-05-05,"1,268.00","1,268.00","1,072.00","1,143.00",-9.31
2026-05-04,"1,100.00","1,260.40","1,082.00","1,260.40",15.0
2026-04-30,"1,105.00","1,109.90","1,090.30","1,096.00",-2.4
2026-04-29,"1,102.20","1,123.00","1,083.20","1,123.00",1.89
2026-04-28,"1,130.00","1,138.00","1,100.00","1,102.20",-2.46
2026-04-27,"1,069.50","1,153.00","1,069.50","1,130.00",1.35
2026-04-24,"1,080.00","1,120.00","1,080.00","1,115.00",1.82
2026-04-23,"1,140.00","1,140.00","1,095.10","1,095.10",-3.52
2026-04-22,"1,200.00","1,200.00","1,110.00","1,135.00",-0.7
2026-04-21,"1,210.00","1,210.00","1,120.00","1,143.00",-0.95
2026-04-20,"1,142.10","1,162.00","1,121.20","1,154.00",-0.77
2026-04-17,"1,186.90","1,186.90","1,145.00","1,163.00",-2.01
2026-04-16,"1,190.00","1,212.90","1,160.00","1,186.90",0.33
2026-04-15,"1,172.90","1,220.00","1,160.00","1,183.00",1.48
2026-04-13,"1,174.00","1,174.00","1,143.00","1,165.70",0.49
2026-04-10,"1,169.90","1,169.90","1,134.00","1,160.00",0.87
2026-04-09,"1,142.00","1,156.90","1,135.00","1,150.00",0.7
2026-04-08,"1,101.00","1,142.00","1,101.00","1,142.00",2.88
2026-04-07,"1,110.00","1,117.50","1,081.00","1,110.00",0.91
2026-04-06,"1,085.00","1,104.90","1,066.00","1,100.00",3.27
2026-04-05,"1,147.50","1,147.50","1,065.00","1,065.20",-5.32
2026-04-02,"1,125.00","1,131.90","1,093.00","1,125.00",-0.18
2026-04-01,"1,159.90","1,159.90","1,115.60","1,127.00",-2.0
2026-03-31,"1,153.00","1,160.00","1,108.00","1,150.00",0.97
2026-03-30,"1,104.00","1,162.00","1,104.00","1,138.90",3.07
2026-03-29,"1,150.00","1,150.00","1,100.00","1,105.00",-2.04
2026-03-26,"1,152.00","1,152.00","1,117.00","1,128.00",-0.18
2026-03-25,"1,160.00","1,160.00","1,126.10","1,130.00",-1.72
2026-03-24,"1,159.90","1,159.90","1,139.00","1,149.80",0.42
2026-03-23,"1,174.00","1,174.00","1,134.00","1,145.00",-0.52
2026-03-22,"1,130.00","1,152.00","1,090.00","1,151.00",3.88
2026-03-19,"1,108.00","1,108.00","1,088.00","1,108.00",1.47
2026-03-17,"1,092.00","1,100.00","1,082.00","1,092.00",0.0
2026-03-16,"1,099.90","1,099.90","1,077.10","1,092.00",0.18
2026-03-15,"1,115.00","1,115.00","1,086.00","1,090.00",-0.37
2026-03-12,"1,098.00","1,098.00","1,077.00","1,094.00",-0.08
2026-03-11,"1,100.10","1,110.00","1,085.00","1,094.90",-0.46
2026-03-10,"1,140.00","1,149.00","1,060.00","1,100.00",-2.75
2026-03-09,"1,087.30","1,131.10","1,087.30","1,131.10",6.11
2026-03-03,"1,078.00","1,078.00","1,057.00","1,066.00",0.85
2026-03-01,"1,050.00","1,062.00","1,040.30","1,057.00",0.67
2026-02-26,"1,034.00","1,060.00","1,034.00","1,050.00",0.67
2026-02-25,"1,041.00","1,047.00","1,033.50","1,043.00",0.29
2026-02-24,"1,045.00","1,045.00","1,032.20","1,040.00",-0.48
2026-02-23,"1,038.00","1,045.00","1,030.00","1,045.00",0.67
2026-02-22,"1,040.20","1,055.00","1,037.00","1,038.00",-1.24
2026-02-17,"1,051.00","1,070.00","1,048.60","1,051.00",-0.66
2026-02-16,"1,080.00","1,082.00","1,050.00","1,058.00",-0.28
2026-02-12,"1,050.00","1,062.00","1,048.20","1,061.00",0.95
2026-02-11,"1,082.00","1,082.00","1,043.30","1,051.00",-0.94
2026-02-10,"1,070.00","1,095.00","1,041.10","1,061.00",-0.73
2026-02-09,"1,060.00","1,068.80","1,050.00","1,068.80",-0.58
2026-02-08,"1,080.00","1,089.90","1,063.00","1,075.00",-0.46
2026-02-05,"1,090.00","1,090.00","1,063.30","1,080.00",0.09
2026-02-04,"1,054.10","1,085.00","1,054.10","1,079.00",0.75
2026-02-03,"1,095.00","1,095.00","1,012.40","1,071.00",-1.56
2026-02-02,"1,080.00","1,089.90","1,071.10","1,088.00",0.74
2026-02-01,"1,095.00","1,098.50","1,074.10","1,080.00",-1.37
2026-01-29,"1,095.00","1,109.90","1,085.00","1,095.00",-0.1
2026-01-28,"1,085.20","1,100.00","1,085.20","1,096.10",-0.35
2026-01-27,"1,118.00","1,137.00","1,098.10","1,100.00",-1.96
2026-01-26,"1,115.00","1,180.00","1,115.00","1,122.00",-1.15
2026-01-25,"1,134.00","1,156.50","1,115.00","1,135.00",1.61
2026-01-22,"1,099.90","1,119.50","1,094.70","1,117.00",1.55
2026-01-21,"1,088.10","1,109.00","1,088.00","1,099.90",0.26
2026-01-20,"1,104.60","1,105.00","1,085.00","1,097.00",1.29
2026-01-18,"1,094.00","1,094.00","1,076.00","1,083.00",0.09
