date,open,high,low,close,volume
2026-06-08,"1,110.00","1,115.00","1,110.00","1,115.00","44,475.00"
2026-06-05,"1,110.00","1,115.00","1,110.00","1,115.00",-0.27
2026-06-04,"1,118.00","1,122.60","1,118.00","1,118.00",2.95
2026-06-03,"1,086.00","1,086.00","1,086.00","1,086.00",-2.86
2026-06-02,"1,086.00","1,118.00","1,085.00","1,118.00",3.04
2026-06-01,"1,080.00","1,085.00","1,080.00","1,085.00",0.0
2026-05-27,"1,085.00","1,085.00","1,085.00","1,085.00",-1.36
2026-05-26,"1,080.20","1,081.30","1,080.20","1,100.00",0.0
2026-05-25,"1,120.00","1,120.00","1,100.00","1,100.00",-1.79
2026-05-22,"1,100.00","1,120.00","1,100.00","1,120.00",0.0
2026-05-21,"1,100.00","1,120.00","1,100.00","1,120.00",1.16
2026-05-20,"1,100.00","1,107.18","1,100.00","1,107.18",2.04
2026-05-19,"1,072.20","1,100.00","1,072.20","1,085.00",0.84
2026-05-18,"1,076.10","1,076.10","1,076.00","1,076.00",-0.01
2026-05-15,"1,080.00","1,080.00","1,073.10","1,076.10",-0.36
2026-05-14,"1,080.00","1,080.00","1,080.00","1,080.00",0.45
2026-05-12,"1,075.00","1,075.20","1,074.00","1,075.20",0.02
2026-05-07,"1,072.00","1,075.00","1,072.00","1,075.00",0.0
2026-05-04,"1,075.00","1,075.00","1,075.00","1,075.00",-2.27
2026-04-30,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2026-04-29,"1,088.50","1,100.00","1,090.00","1,100.00",1.06
2026-04-28,"1,071.90","1,088.50","1,071.90","1,088.50",1.55
2026-04-27,"1,074.90","1,071.90","1,071.90","1,071.90",-0.28
2026-04-24,"1,068.80","1,074.90","1,068.80","1,074.90",-0.33
2026-04-23,"1,073.00","1,078.50","1,072.10","1,078.50",0.26
2026-04-22,"1,075.00","1,075.70","1,075.00","1,075.70",0.07
2026-04-21,"1,075.00","1,075.00","1,075.00","1,075.00",0.0
2026-04-20,"1,075.00","1,075.00","1,075.00","1,075.00",-0.08
2026-04-17,"1,068.90","1,090.00","1,068.90","1,075.90",-0.01
2026-04-16,"1,075.00","1,085.00","1,075.00","1,076.00",0.33
2026-04-15,"1,070.00","1,072.50","1,070.00","1,072.50",0.23
2026-04-13,"1,068.20","1,070.00","1,068.20","1,070.00",0.09
2026-04-09,"1,067.10","1,069.00","1,067.10","1,069.00",-0.19
2026-04-08,"1,067.10","1,071.00","1,067.10","1,071.00",-1.2
2026-04-07,"1,066.10","1,066.10","1,066.10","1,084.00",1.92
2026-04-06,"1,063.60","1,063.60","1,063.60","1,063.60",-0.89
2026-04-05,"1,072.10","1,073.10","1,072.10","1,073.10",-1.63
2026-04-02,"1,069.60","1,090.90","1,069.60","1,090.90",-0.05
2026-04-01,"1,070.00","1,091.40","1,070.00","1,091.40",2.19
2026-03-31,"1,068.00","1,068.00","1,068.00","1,068.00",-0.19
2026-03-30,"1,066.10","1,070.00","1,066.10","1,070.00",-0.93
2026-03-29,"1,074.10","1,080.00","1,074.10","1,080.00",-1.38
2026-03-26,"1,073.70","1,095.10","1,073.70","1,095.10",0.44
2026-03-25,"1,067.10","1,090.30","1,067.10","1,090.30",1.66
2026-03-24,"1,093.70","1,093.70","1,072.50","1,072.50",-3.9
2026-03-19,"1,081.70","1,116.00","1,081.70","1,116.00",1.13
2026-03-17,"1,103.50","1,103.50","1,103.50","1,103.50",1.92
2026-03-16,"1,081.70","1,090.00","1,081.70","1,082.70",-1.57
2026-03-15,"1,080.00","1,100.00","1,080.00","1,100.00",0.92
2026-03-12,"1,090.00","1,090.00","1,090.00","1,090.00",1.58
2026-03-11,"1,069.00","1,073.00","1,069.00","1,073.00",-0.65
2026-03-10,"1,075.00","1,081.00","1,075.00","1,080.00",0.47
2026-03-01,"1,068.70","1,075.00","1,068.70","1,075.00",0.75
2026-02-26,"1,067.00","1,067.00","1,067.00","1,067.00",0.19
2026-02-25,"1,065.00","1,065.00","1,065.00","1,065.00",0.37
2026-02-24,"1,061.00","1,061.10","1,061.00","1,061.10",-0.42
2026-02-22,"1,065.60","1,065.60","1,065.60","1,065.60",-2.0
2026-02-17,"1,066.10","1,087.30","1,066.00","1,087.30",1.99
2026-02-16,"1,066.10","1,066.10","1,066.10","1,066.10",-0.47
2026-02-12,"1,071.10","1,071.10","1,071.10","1,071.10",0.01
2026-02-11,"1,071.00","1,071.00","1,071.00","1,071.00",0.04
2026-02-10,"1,071.00","1,071.00","1,070.60","1,070.60",0.04
2026-02-09,"1,070.10","1,070.20","1,070.10","1,070.20",-0.55
2026-02-08,"1,075.10","1,076.10","1,075.10","1,076.10",0.28
2026-02-05,"1,070.40","1,073.10","1,070.40","1,073.10",0.14
2026-02-04,"1,073.00","1,073.00","1,073.00","1,071.60",-1.24
2026-02-03,"1,085.00","1,085.00","1,085.00","1,085.00",0.46
2026-02-02,"1,070.00","1,083.00","1,070.00","1,080.00",-0.92
