date,open,high,low,close,volume
2026-06-08,239.00,239.50,237.10,238.10,"21,293,463.10"
2026-06-05,239.0,239.5,237.1,238.1,-0.25
2026-06-04,240.0,241.7,238.3,238.7,-0.54
2026-06-03,240.4,240.5,237.0,240.0,-0.17
2026-06-02,241.0,241.0,238.0,240.4,-0.08
2026-06-01,242.0,242.0,238.0,240.6,0.08
2026-05-27,239.0,241.0,238.0,240.4,0.59
2026-05-26,238.0,240.0,236.2,239.0,0.46
2026-05-25,236.0,239.0,235.2,237.9,0.46
2026-05-22,237.5,237.6,234.3,236.8,0.68
2026-05-21,240.0,240.8,235.0,235.2,-0.88
2026-05-20,234.1,237.7,234.1,237.3,0.17
2026-05-19,236.9,237.3,234.0,236.9,-0.04
2026-05-18,234.2,237.0,232.3,237.0,1.2
2026-05-15,233.3,237.0,231.6,234.2,-0.34
2026-05-14,234.8,235.0,231.4,235.0,0.21
2026-05-13,233.0,234.8,231.1,234.5,0.64
2026-05-12,241.0,241.0,230.8,233.0,-2.06
2026-05-11,234.0,237.9,234.0,237.9,1.67
2026-05-08,230.0,234.0,230.0,234.0,1.3
2026-05-07,231.0,232.5,228.6,231.0,0.0
2026-05-06,233.0,233.0,229.0,231.0,0.43
2026-05-05,230.0,231.8,228.0,230.0,0.44
2026-05-04,219.5,232.8,219.5,229.0,-0.87
2026-04-30,231.0,232.2,227.0,231.0,0.43
2026-04-29,232.0,233.8,228.4,230.0,-0.86
2026-04-28,237.0,237.0,228.0,232.0,-1.28
2026-04-27,232.5,235.0,232.0,235.0,1.08
2026-04-24,232.0,236.0,230.0,232.5,-0.21
2026-04-23,236.0,236.0,231.1,233.0,-0.47
2026-04-22,235.0,236.9,232.2,234.1,-0.38
2026-04-21,237.0,239.9,234.5,235.0,-0.84
2026-04-20,240.0,240.0,234.2,237.0,0.0
2026-04-17,240.0,242.0,234.5,237.0,-0.42
2026-04-16,240.0,240.0,237.3,238.0,-0.83
2026-04-15,240.5,242.7,236.0,240.0,0.84
2026-04-13,237.9,240.0,237.0,238.0,0.04
2026-04-10,240.0,243.0,234.0,237.9,-0.88
2026-04-09,240.0,241.8,236.0,240.0,0.63
2026-04-08,239.7,239.7,230.5,238.5,1.49
2026-04-07,240.4,240.5,233.5,235.0,-1.18
2026-04-06,228.0,238.1,226.1,237.8,3.71
2026-04-05,235.0,235.0,227.7,229.3,-2.96
2026-04-02,242.0,242.0,235.0,236.3,-1.13
2026-04-01,244.0,245.5,236.2,239.0,-2.05
2026-03-31,241.0,246.8,240.0,244.0,1.24
2026-03-30,245.0,250.0,240.4,241.0,-2.07
2026-03-29,254.0,254.0,246.1,246.1,-3.41
2026-03-26,247.6,256.0,247.6,254.8,0.87
2026-03-25,260.0,260.0,252.0,252.6,-2.85
2026-03-24,260.8,260.8,252.0,260.0,1.68
2026-03-23,257.9,258.9,251.0,255.7,-0.47
2026-03-22,253.9,258.2,250.0,256.9,3.17
2026-03-19,237.0,251.0,237.0,249.0,3.32
2026-03-17,239.1,241.0,237.7,241.0,0.84
2026-03-16,244.3,244.3,238.4,239.0,-2.17
2026-03-15,245.0,249.0,243.6,244.3,0.0
2026-03-12,244.4,248.0,236.0,244.3,1.92
2026-03-11,250.0,250.0,239.5,239.7,-2.4
2026-03-10,254.0,255.0,240.1,245.6,-1.76
2026-03-09,235.6,250.0,235.6,250.0,8.23
2026-03-03,232.5,232.5,221.5,231.0,1.32
2026-03-01,231.2,231.2,224.5,228.0,0.57
2026-02-26,229.3,229.3,225.0,226.7,0.8
2026-02-25,224.0,225.0,222.0,224.9,0.4
2026-02-24,225.0,225.0,221.1,224.0,1.31
2026-02-23,224.0,224.0,220.5,221.1,-0.09
2026-02-22,223.2,225.0,220.6,221.3,-0.85
2026-02-17,224.0,225.0,223.1,223.2,-0.45
2026-02-16,229.0,229.0,224.0,224.2,-0.31
2026-02-12,226.0,226.2,224.5,224.9,-0.49
2026-02-11,228.9,229.4,224.1,226.0,0.67
2026-02-10,223.8,225.0,223.2,224.5,-0.04
2026-02-09,227.0,227.0,223.8,224.6,-0.49
2026-02-08,226.1,228.1,225.4,225.7,0.13
2026-02-05,227.5,227.5,225.0,225.4,-0.18
2026-02-04,221.6,228.9,221.6,225.8,-0.13
2026-02-03,226.1,228.0,224.0,226.1,-0.75
2026-02-02,223.4,229.0,223.4,227.8,-0.04
2026-02-01,228.9,228.9,226.1,227.9,0.57
