date,open,high,low,close,volume
2026-06-08,786.00,793.80,771.50,780.00,"2,933,841.40"
2026-06-05,786.00,793.80,771.50,780.00,-0.76
2026-06-04,780.10,800.00,780.10,786.00,-0.19
2026-06-03,789.80,790.00,776.00,787.50,0.7
2026-06-02,770.00,782.00,770.00,782.00,1.05
2026-06-01,772.10,794.80,772.00,773.90,-1.29
2026-05-27,776.00,789.90,776.00,784.00,0.4
2026-05-26,781.00,785.10,773.10,780.90,-0.01
2026-05-25,788.00,788.00,766.00,781.00,0.66
2026-05-22,768.00,780.50,768.00,775.90,0.65
2026-05-21,791.00,791.00,767.50,770.90,-0.79
2026-05-20,779.50,779.50,763.00,777.00,1.04
2026-05-19,774.90,774.90,760.20,769.00,0.52
2026-05-18,773.00,778.00,761.30,765.00,-1.03
2026-05-15,773.00,780.00,765.00,773.00,0.14
2026-05-14,775.00,780.00,759.20,771.90,1.27
2026-05-13,771.00,773.00,761.00,762.20,-1.14
2026-05-12,783.00,783.00,766.60,771.00,-1.53
2026-05-11,765.00,785.00,765.00,783.00,1.56
2026-05-08,769.90,772.80,752.50,771.00,1.06
2026-05-07,744.00,763.80,733.30,762.90,2.54
2026-05-06,730.00,744.90,730.00,744.00,0.81
2026-05-05,740.00,747.00,738.00,738.00,-0.28
2026-05-04,750.00,750.00,740.10,740.10,-1.32
2026-04-30,740.20,753.00,740.00,750.00,-0.27
2026-04-29,763.00,763.00,749.20,752.00,-1.44
2026-04-28,768.00,769.80,748.20,763.00,-0.65
2026-04-27,762.00,770.00,757.20,768.00,0.79
2026-04-24,750.00,762.00,745.00,762.00,-0.77
2026-04-23,756.00,767.90,756.00,767.90,-0.84
2026-04-22,776.00,776.00,756.00,774.40,-0.08
2026-04-21,778.50,778.50,761.00,775.00,-0.45
2026-04-20,753.00,779.00,753.00,778.50,1.12
2026-04-17,775.00,775.00,761.00,769.90,-0.4
2026-04-16,780.00,789.00,766.00,773.00,-0.9
2026-04-15,799.50,799.50,773.00,780.00,-0.64
2026-04-13,769.00,800.00,769.00,785.00,0.08
2026-04-10,775.10,790.00,775.10,784.40,-0.71
2026-04-09,776.00,790.00,764.00,790.00,1.8
2026-04-08,762.00,776.20,760.00,776.00,1.84
2026-04-07,765.00,780.00,756.50,762.00,-1.04
2026-04-06,765.00,772.00,760.00,770.00,1.58
2026-04-05,768.00,775.00,755.00,758.00,-2.19
2026-04-02,775.10,781.30,765.00,775.00,-0.51
