date,open,high,low,close,volume
2026-06-08,660.00,675.00,649.10,669.00,"33,097,078.80"
2026-06-05,660.00,675.00,649.10,669.00,1.36
2026-06-04,677.00,679.90,655.00,660.00,-0.3
2026-06-03,680.00,682.20,661.00,662.00,-1.62
2026-06-02,630.00,679.00,625.00,672.90,8.44
2026-06-01,623.00,627.00,617.09,620.50,-0.4
2026-05-27,622.10,630.00,620.00,623.00,-0.35
2026-05-26,628.20,629.00,625.00,625.20,-0.33
2026-05-25,635.00,643.00,627.30,627.30,-1.21
2026-05-22,620.10,635.00,620.10,635.00,1.11
2026-05-21,644.50,644.50,627.00,628.00,0.0
2026-05-20,628.90,631.90,620.10,628.00,1.78
2026-05-19,622.00,622.00,616.10,617.00,-1.74
2026-05-18,620.00,629.90,619.00,627.90,0.34
2026-05-15,610.00,629.00,607.20,625.80,1.76
2026-05-14,620.00,620.00,611.00,615.00,-0.32
2026-05-13,625.00,625.00,616.10,617.00,-1.28
2026-05-12,631.00,632.50,615.00,625.00,-0.48
2026-05-11,630.00,635.00,623.40,628.00,1.34
2026-05-08,620.00,620.00,607.00,619.70,1.59
2026-05-07,600.00,615.00,598.00,610.00,1.16
2026-05-06,610.10,612.00,597.00,603.00,0.17
2026-05-05,600.00,615.00,599.00,602.00,-1.15
2026-05-04,620.00,620.00,603.00,609.00,-1.81
2026-04-30,612.00,623.00,611.20,620.20,-0.61
2026-04-29,621.50,624.00,616.00,624.00,0.4
2026-04-28,627.00,625.00,621.00,621.50,-0.88
2026-04-27,625.00,634.90,625.00,627.00,0.32
2026-04-24,624.50,628.00,617.00,625.00,0.08
2026-04-23,624.00,625.00,618.00,624.50,0.22
2026-04-22,620.00,635.00,619.00,623.10,0.1
2026-04-21,631.00,640.00,622.50,622.50,-0.88
2026-04-20,650.00,650.00,627.00,628.00,-1.1
2026-04-17,640.00,640.00,630.20,635.00,-1.24
2026-04-16,648.00,654.90,630.00,643.00,-0.77
2026-04-15,655.90,655.90,646.00,648.00,0.75
2026-04-13,658.90,658.90,643.20,643.20,-0.76
2026-04-10,652.00,659.90,643.10,648.10,-0.9
2026-04-09,644.00,654.80,640.00,654.00,1.87
2026-04-08,647.00,647.00,635.00,642.00,1.1
2026-04-07,640.00,650.00,628.30,635.00,-0.78
2026-04-06,624.00,654.00,620.00,640.00,2.15
2026-04-05,636.00,640.20,622.40,626.50,-3.17
2026-04-02,640.00,663.00,630.20,647.00,0.15
2026-04-01,671.00,671.00,645.00,646.00,-3.73
2026-03-31,650.00,673.00,648.00,671.00,2.76
2026-03-30,660.00,684.00,652.00,653.00,-2.83
2026-03-29,703.80,703.80,665.00,672.00,-2.61
2026-03-26,687.00,690.00,676.00,690.00,1.02
2026-03-25,713.70,713.70,680.00,683.00,-2.43
2026-03-24,706.00,706.00,691.00,700.00,-0.71
2026-03-23,716.00,716.00,695.10,705.00,0.43
2026-03-22,695.00,706.00,685.10,702.00,2.93
2026-03-19,684.00,685.00,662.00,682.00,1.64
2026-03-17,660.00,680.00,660.00,671.00,-0.34
2026-03-16,688.00,689.90,670.30,673.30,-1.98
2026-03-15,690.00,690.00,677.00,686.90,0.67
2026-03-12,685.00,695.00,676.10,682.30,0.04
2026-03-11,708.00,708.00,675.00,682.00,-2.57
2026-03-10,725.00,725.00,688.00,700.00,-2.19
2026-03-09,688.00,715.70,688.00,715.70,6.09
2026-03-03,658.00,674.60,650.00,674.60,2.52
2026-03-01,629.00,670.00,611.30,658.00,3.62
2026-02-26,628.00,638.00,628.00,635.00,1.11
2026-02-25,637.59,640.00,628.00,628.00,-0.79
2026-02-24,622.10,634.80,622.10,633.00,1.26
2026-02-23,633.00,640.00,616.00,625.10,0.66
2026-02-22,635.00,638.00,620.00,621.00,-2.97
2026-02-17,644.00,651.00,637.10,640.00,-1.54
2026-02-16,649.90,656.80,643.00,650.00,1.4
2026-02-12,628.00,655.00,628.00,641.00,0.94
2026-02-11,649.00,649.00,635.00,635.00,-0.47
2026-02-10,652.00,652.00,633.20,638.00,-1.85
2026-02-09,662.00,664.00,645.00,650.00,-2.26
2026-02-08,659.00,680.00,657.00,665.00,1.17
2026-02-05,655.00,667.00,654.00,657.30,0.5
2026-02-04,651.00,667.50,651.00,654.00,-1.18
2026-02-03,662.50,672.50,656.00,661.80,-1.52
2026-02-02,677.00,684.90,662.00,672.00,-1.47
2026-02-01,688.00,695.00,658.00,682.00,1.04
2026-01-29,703.00,706.00,666.00,675.00,-2.15
2026-01-28,670.00,691.00,670.00,689.80,3.45
2026-01-27,696.00,699.00,665.00,666.80,-4.17
2026-01-26,703.20,709.50,685.00,695.80,-1.16
2026-01-25,725.00,730.00,700.00,704.00,-2.49
2026-01-22,685.00,724.00,684.50,722.00,5.4
2026-01-21,700.00,708.00,676.30,685.00,-2.16
2026-01-20,724.20,738.00,691.40,700.10,-1.39
2026-01-18,660.00,712.00,660.00,710.00,6.93
2026-01-14,630.00,673.00,628.00,664.00,5.73
2026-01-13,639.80,639.80,625.00,628.00,-0.63
2026-01-12,625.00,642.00,625.00,632.00,1.14
2026-01-08,647.50,647.50,624.50,624.90,-2.05
2026-01-07,644.00,650.60,627.00,638.00,0.02
2026-01-06,611.00,648.70,606.00,637.90,5.46
2026-01-05,593.00,605.00,591.50,604.90,2.87
2026-01-04,590.00,595.00,582.00,588.00,-0.34
2026-01-01,591.00,591.00,578.20,590.00,0.34
2025-12-31,589.90,593.70,581.00,588.00,0.55
2025-12-29,585.90,594.80,579.00,584.80,1.72
2025-12-28,567.20,575.00,562.00,574.90,3.38
2025-12-24,568.00,574.00,555.00,556.10,-1.58
2025-12-23,565.00,566.10,560.00,565.00,-0.7
2025-12-22,581.40,581.40,560.00,569.00,-0.18
2025-12-21,581.20,581.20,566.30,570.00,-1.93
2025-12-18,598.00,598.00,581.20,581.20,-2.6
2025-12-17,598.90,600.00,587.00,596.70,0.71
2025-12-16,590.00,593.90,586.00,592.50,0.25
2025-12-15,575.00,591.00,571.00,591.00,3.14
2025-12-14,588.00,588.00,571.00,573.00,-0.69
2025-12-11,585.00,587.50,577.00,577.00,-0.52
2025-12-10,591.00,591.00,577.40,580.00,-2.52
2025-12-09,590.10,596.00,590.00,595.00,0.02
2025-12-08,585.20,600.00,583.10,594.90,0.15
2025-12-07,609.50,609.50,591.00,594.00,-0.82
2025-12-03,600.00,605.00,590.10,598.90,1.17
2025-12-02,590.00,595.00,583.00,592.00,0.34
2025-12-01,580.00,595.00,577.30,590.00,0.68
2025-11-30,590.10,605.00,585.00,586.00,-0.68
2025-11-27,598.80,600.00,589.00,590.00,-1.17
2025-11-26,595.00,600.00,590.00,597.00,-0.17
2025-11-25,600.00,612.00,588.00,598.00,-0.17
2025-11-24,593.00,599.80,588.10,599.00,1.87
2025-11-23,584.00,590.00,574.00,588.00,2.6
2025-11-20,572.00,580.00,572.00,573.10,-0.85
2025-11-19,579.10,582.00,575.00,578.00,0.16
2025-11-18,587.00,588.00,577.10,577.10,0.19
2025-11-17,566.00,580.00,561.50,576.00,1.05
2025-11-16,573.40,575.00,569.00,570.00,-1.72
2025-11-13,562.60,582.50,562.60,580.00,1.05
2025-11-12,578.10,600.00,571.40,574.00,-2.5
2025-11-11,592.00,592.00,579.20,588.70,-0.39
2025-11-10,589.00,608.50,587.00,591.00,-1.34
2025-11-09,605.50,607.00,595.00,599.00,-2.76
2025-11-06,627.00,631.00,610.00,616.00,-0.47
2025-11-05,590.10,619.00,586.10,618.90,3.36
2025-11-04,605.00,609.00,590.00,598.80,-1.51
2025-11-03,597.00,623.00,597.00,608.00,1.84
2025-11-02,583.00,600.00,583.00,597.00,4.1
2025-10-30,570.10,580.00,560.40,573.50,0.6
2025-10-29,580.00,589.90,570.00,570.10,-0.85
2025-10-28,569.00,580.00,569.00,575.00,2.68
2025-10-26,555.00,560.00,550.00,560.00,-0.88
2025-10-19,572.00,572.00,561.00,565.00,0.71
2025-10-16,589.00,589.50,560.00,561.00,-2.94
2025-10-15,580.00,590.00,574.00,578.00,-1.28
2025-10-14,593.00,599.00,585.00,585.50,-1.78
2025-10-13,597.00,608.00,591.00,596.10,-0.15
2025-10-12,601.40,621.00,590.00,597.00,-2.55
2025-10-09,612.10,637.70,609.00,612.60,2.08
2025-10-08,615.10,621.00,593.00,600.10,-4.29
2025-10-07,605.10,627.00,593.00,627.00,1.62
2025-09-28,610.00,617.00,609.00,617.00,0.15
2025-09-25,641.00,641.00,615.00,616.10,-2.05
2025-09-24,635.00,640.00,611.00,629.00,-1.72
2025-09-23,617.10,650.00,617.10,640.00,5.79
2025-09-21,550.00,605.00,528.30,605.00,10.0
2025-09-18,586.50,586.50,550.00,550.00,-8.09
2025-09-08,615.00,615.00,597.00,598.40,-1.64
2025-09-07,608.00,616.00,605.00,608.40,-0.13
2025-09-04,625.00,626.00,608.00,609.21,-0.61
2025-09-03,615.00,623.00,610.00,612.94,-0.28
2025-09-02,623.96,623.96,613.00,614.64,-1.49
2025-09-01,630.00,630.00,620.10,623.96,0.51
2025-08-31,632.00,643.00,620.40,620.79,-1.54
2025-08-28,642.00,643.90,630.00,630.53,-1.37
2025-08-27,630.00,645.00,630.00,639.30,1.8
2025-08-26,635.00,637.90,628.00,628.00,-0.7
2025-08-25,630.10,636.00,624.00,632.42,-0.05
2025-08-24,625.00,643.80,625.00,632.75,0.24
2025-08-21,640.00,641.00,631.00,631.24,-1.37
2025-08-20,635.70,654.00,635.70,640.00,-0.25
2025-08-19,657.00,657.00,641.00,641.62,-0.48
2025-08-18,658.00,669.90,638.30,644.69,-0.19
2025-08-17,660.90,661.00,643.00,645.89,-1.32
2025-08-14,673.90,673.90,653.10,654.55,-1.03
2025-08-13,652.00,677.30,652.00,661.35,-0.5
2025-08-12,680.00,680.00,662.30,664.69,-1.72
2025-08-11,697.70,697.70,675.00,676.35,-1.12
2025-08-07,684.00,685.00,675.00,684.02,1.38
2025-08-06,680.00,685.00,665.00,674.72,-0.35
2025-08-05,685.00,705.00,675.00,677.07,-2.54
