date,open,high,low,close,volume
2026-06-08,"1,111.10","1,130.00","1,111.10","1,130.00","404,995.10"
2026-06-05,"1,111.10","1,130.00","1,111.10","1,130.00",-0.53
2026-06-04,"1,137.00","1,137.80","1,107.10","1,136.00",-0.35
2026-06-03,"1,120.00","1,140.00","1,117.00","1,140.00",1.06
2026-06-02,"1,122.80","1,128.00","1,106.10","1,128.00",0.46
2026-06-01,"1,147.00","1,147.00","1,112.10","1,122.80",-1.51
2026-05-27,"1,132.00","1,154.30","1,121.00","1,140.00",0.71
2026-05-26,"1,130.80","1,155.00","1,130.60","1,132.00",-1.99
2026-05-25,"1,125.00","1,157.00","1,125.00","1,155.00",2.21
2026-05-22,"1,096.10","1,142.90","1,093.00","1,130.00",0.44
2026-05-21,"1,096.10","1,125.00","1,096.00","1,125.00",0.9
2026-05-20,"1,130.00","1,130.00","1,082.00","1,115.00",-0.89
2026-05-19,"1,110.00","1,125.00","1,101.30","1,125.00",0.45
2026-05-18,"1,120.10","1,144.80","1,120.00","1,120.00",0.0
2026-05-15,"1,106.10","1,120.00","1,106.00","1,120.00",0.81
2026-05-14,"1,115.00","1,120.00","1,105.00","1,111.00",-0.49
2026-05-13,"1,128.00","1,132.00","1,116.00","1,116.50",-1.89
2026-05-12,"1,120.00","1,149.40","1,115.10","1,138.00",1.96
2026-05-11,"1,120.00","1,149.90","1,115.00","1,116.10",-0.17
2026-05-08,"1,093.00","1,118.00","1,084.10","1,118.00",1.64
2026-05-07,"1,089.00","1,100.00","1,080.00","1,100.00",1.85
2026-05-06,"1,080.00","1,093.00","1,075.00","1,080.00",-0.69
2026-05-05,"1,107.50","1,107.50","1,085.20","1,087.50",-1.81
2026-05-04,"1,100.20","1,107.50","1,081.00","1,107.50",0.66
2026-04-30,"1,100.00","1,110.50","1,076.70","1,100.20",-1.77
2026-04-29,"1,120.00","1,120.00","1,111.00","1,120.00",0.0
2026-04-28,"1,113.00","1,139.00","1,112.00","1,120.00",0.63
2026-04-27,"1,114.00","1,116.80","1,110.00","1,113.00",-0.09
2026-04-24,"1,117.00","1,120.00","1,114.00","1,114.00",-0.27
2026-04-23,"1,135.00","1,135.00","1,101.00","1,117.00",-1.59
2026-04-22,"1,140.00","1,152.00","1,113.30","1,135.00",0.41
2026-04-21,"1,130.10","1,142.00","1,130.10","1,130.40",-0.84
2026-04-20,"1,137.00","1,140.00","1,130.00","1,140.00",0.26
2026-04-17,"1,132.00","1,149.00","1,127.00","1,137.00",-1.13
2026-04-16,"1,155.00","1,155.00","1,150.00","1,150.00",-0.16
2026-04-15,"1,150.00","1,165.00","1,150.00","1,151.90",0.69
2026-04-13,"1,138.50","1,150.00","1,138.50","1,144.00",-0.56
2026-04-10,"1,150.60","1,173.00","1,150.10","1,150.50",-1.75
2026-04-09,"1,155.00","1,172.00","1,155.00","1,171.00",2.72
2026-04-08,"1,128.00","1,147.50","1,128.00","1,140.00",0.71
2026-04-07,"1,157.70","1,159.00","1,120.50","1,132.00",-0.61
2026-04-06,"1,115.00","1,159.00","1,115.00","1,138.90",2.14
2026-04-05,"1,132.30","1,145.00","1,105.10","1,115.00",-3.43
2026-04-02,"1,126.50","1,170.00","1,126.20","1,154.60",0.49
2026-04-01,"1,173.00","1,173.00","1,149.00","1,149.00",-3.85
2026-03-31,"1,157.10","1,199.90","1,155.00","1,195.00",2.15
2026-03-30,"1,174.00","1,200.00","1,159.00","1,169.90",-1.85
2026-03-29,"1,210.00","1,210.00","1,192.00","1,192.00",-2.32
2026-03-26,"1,250.00","1,250.00","1,220.00","1,220.30",-0.55
2026-03-25,"1,244.50","1,244.50","1,210.30","1,227.00",-1.41
2026-03-24,"1,266.00","1,268.00","1,236.00","1,244.50",-1.7
2026-03-23,"1,258.00","1,280.00","1,230.00","1,266.00",2.27
2026-03-22,"1,171.00","1,249.00","1,169.00","1,237.90",4.2
2026-03-19,"1,156.00","1,199.00","1,156.00","1,188.00",1.16
2026-03-17,"1,190.00","1,190.00","1,170.00","1,174.40",-1.31
2026-03-16,"1,190.00","1,199.50","1,178.20","1,190.00",-1.65
2026-03-15,"1,184.00","1,210.00","1,182.30","1,210.00",0.83
2026-03-12,"1,175.00","1,219.90","1,175.00","1,200.00",0.51
2026-03-11,"1,239.10","1,239.10","1,173.10","1,193.90",-1.73
2026-03-10,"1,196.40","1,214.90","1,185.00","1,214.90",3.57
2026-03-09,"1,173.00","1,173.00","1,173.00","1,173.00",2.0
2026-03-03,"1,112.10","1,150.00","1,112.00","1,150.00",2.59
2026-03-01,"1,106.00","1,133.40","1,106.00","1,121.00",0.85
2026-02-26,"1,130.00","1,132.00","1,104.00","1,111.60",0.05
2026-02-25,"1,111.00","1,113.00","1,111.00","1,111.10",-0.08
2026-02-24,"1,100.00","1,115.00","1,100.00","1,112.00",1.0
2026-02-23,"1,108.00","1,108.00","1,100.00","1,101.00",-0.63
