date,open,high,low,close,volume
2026-06-08,"1,761.10","1,813.90","1,761.10","1,813.90","493,589.70"
2026-06-05,"1,761.10","1,813.90","1,761.10","1,813.90",1.34
2026-06-04,"1,795.00","1,800.00","1,790.00","1,790.00",0.0
2026-06-03,"1,770.00","1,800.00","1,770.00","1,790.00",-1.76
2026-06-02,"1,791.20","1,825.00","1,777.70","1,822.00",1.72
2026-06-01,"1,800.00","1,800.10","1,790.00","1,791.20",-1.69
2026-05-27,"1,832.00","1,832.00","1,800.00","1,822.00",-0.55
2026-05-26,"1,815.00","1,833.40","1,780.00","1,832.00",0.38
2026-05-25,"1,830.00","1,850.00","1,805.00","1,825.00",0.88
2026-05-22,"1,791.00","1,809.00","1,791.00","1,809.00",1.01
2026-05-21,"1,780.50","1,791.00","1,761.60","1,791.00",0.59
2026-05-20,"1,780.20","1,820.00","1,780.20","1,780.50",-0.53
2026-05-19,"1,782.70","1,809.00","1,780.00","1,790.00",0.44
2026-05-18,"1,790.00","1,790.00","1,770.00","1,782.10",-0.44
2026-05-15,"1,780.00","1,829.90","1,780.00","1,790.00",0.56
2026-05-14,"1,780.00","1,780.00","1,780.00","1,780.00",0.0
2026-05-13,"1,771.00","1,800.00","1,760.00","1,780.00",-1.39
2026-05-12,"1,840.00","1,840.00","1,805.00","1,805.00",-2.15
2026-05-11,"1,874.00","1,874.00","1,818.00","1,844.70",1.36
2026-05-08,"1,800.00","1,838.00","1,800.00","1,819.90",1.67
2026-05-07,"1,760.00","1,790.00","1,760.00","1,790.00",1.7
2026-05-06,"1,800.00","1,816.00","1,760.00","1,760.00",-0.23
2026-05-05,"1,710.00","1,800.00","1,710.00","1,764.00",0.8
2026-05-04,"1,770.00","1,770.00","1,750.00","1,750.00",-0.79
2026-04-30,"1,837.90","1,837.90","1,761.00","1,763.90",-1.18
2026-04-29,"1,800.00","1,800.00","1,775.00","1,785.00",-0.83
2026-04-28,"1,815.00","1,815.00","1,780.00","1,800.00",-0.83
2026-04-27,"1,793.00","1,845.00","1,790.00","1,815.00",1.23
2026-04-24,"1,814.00","1,836.00","1,792.10","1,793.00",-1.16
2026-04-23,"1,810.00","1,815.00","1,810.00","1,814.00",0.22
2026-04-22,"1,807.00","1,810.00","1,771.10","1,810.00",0.17
2026-04-21,"1,827.00","1,838.00","1,802.00","1,807.00",-1.09
2026-04-20,"1,796.00","1,841.00","1,796.00","1,827.00",1.73
2026-04-17,"1,790.00","1,815.00","1,780.00","1,796.00",-0.22
2026-04-16,"1,800.10","1,810.00","1,790.00","1,800.00",-0.55
2026-04-15,"1,800.00","1,836.00","1,800.00","1,810.00",0.56
2026-04-13,"1,844.80","1,845.00","1,800.00","1,800.00",-0.55
2026-04-10,"1,801.00","1,830.00","1,801.00","1,810.00",-0.82
2026-04-09,"1,815.00","1,840.00","1,786.00","1,825.00",1.11
2026-04-08,"1,836.00","1,839.50","1,801.00","1,805.00",0.28
2026-04-07,"1,869.00","1,869.00","1,785.00","1,800.00",-1.91
2026-04-06,"1,749.30","1,836.00","1,749.00","1,835.00",7.0
2026-04-05,"1,838.50","1,869.90","1,705.20","1,715.00",-8.58
2026-04-02,"1,900.00","1,914.00","1,870.00","1,876.00",-1.99
2026-04-01,"1,935.00","1,940.00","1,895.10","1,914.00",-1.09
2026-03-31,"1,940.00","1,950.00","1,905.00","1,935.00",-0.26
2026-03-30,"1,933.60","1,969.90","1,918.00","1,940.00",-1.67
2026-03-29,"2,000.00","2,000.00","1,935.00","1,973.00",-0.35
2026-03-26,"2,003.90","2,003.90","1,960.00","1,980.00",0.35
2026-03-25,"1,957.00","1,990.00","1,955.10","1,973.00",-1.1
2026-03-24,"2,000.00","2,005.00","1,970.20","1,995.00",-0.25
2026-03-23,"1,985.00","2,029.00","1,966.60","2,000.00",0.76
2026-03-22,"1,969.00","2,004.00","1,940.00","1,985.00",2.46
2026-03-19,"1,900.00","1,957.80","1,900.00","1,937.30",0.59
2026-03-17,"1,930.00","1,948.00","1,920.00","1,926.00",-0.21
2026-03-16,"1,959.90","1,959.90","1,920.00","1,930.00",-1.53
2026-03-15,"1,938.30","1,976.00","1,900.10","1,959.90",-0.76
2026-03-12,"1,970.00","1,975.00","1,895.00","1,975.00",0.25
2026-03-11,"2,000.00","2,009.00","1,935.00","1,970.00",-1.94
2026-03-10,"1,990.00","2,080.00","1,990.00","2,009.00",1.57
2026-03-09,"1,978.00","1,978.00","1,978.00","1,978.00",1.96
2026-03-03,"1,923.00","1,940.00","1,890.00","1,940.00",0.88
2026-03-01,"1,887.00","1,923.00","1,882.10","1,923.00",0.16
2026-02-26,"1,905.00","1,941.00","1,890.00","1,919.90",0.78
2026-02-25,"1,931.00","1,937.00","1,900.00","1,905.00",0.27
2026-02-24,"1,880.00","1,905.00","1,838.60","1,899.90",1.27
2026-02-23,"1,876.00","1,881.10","1,876.00","1,876.10",-0.72
2026-02-22,"1,890.10","1,890.10","1,875.00","1,889.80",-0.23
2026-02-17,"1,932.00","1,932.00","1,894.10","1,894.10",-1.96
2026-02-16,"1,929.00","1,940.90","1,911.00","1,932.00",0.16
2026-02-12,"1,905.10","1,938.00","1,903.50","1,929.00",0.47
2026-02-11,"1,963.50","1,963.50","1,915.00","1,920.00",-2.22
2026-02-10,"1,925.00","1,984.00","1,925.00","1,963.50",0.83
2026-02-09,"1,997.80","1,997.80","1,947.30","1,947.30",-1.95
2026-02-08,"1,958.00","1,993.00","1,940.00","1,986.00",1.74
2026-02-05,"1,980.00","2,051.90","1,945.00","1,952.00",0.51
2026-02-04,"2,019.60","2,019.60","1,941.00","1,942.00",-3.84
2026-02-03,"2,030.10","2,030.10","1,951.20","2,019.60",-0.51
2026-02-02,"2,050.20","2,050.20","2,001.00","2,030.00",1.0
2026-02-01,"2,050.00","2,050.00","2,010.00","2,010.00",-2.62
2026-01-29,"2,065.00","2,077.00","2,030.00","2,064.00",0.15
2026-01-28,"2,040.00","2,071.80","2,040.00","2,061.00",0.54
