date,open,high,low,close,volume
2026-06-08,"1,299.00","1,299.00","1,272.20","1,297.90","62,525.00"
2026-06-05,"1,299.00","1,299.00","1,272.20","1,297.90",-0.08
2026-06-04,"1,320.00","1,320.00","1,271.10","1,299.00",0.08
2026-06-03,"1,272.00","1,310.10","1,270.00","1,297.90",0.08
2026-06-02,"1,265.00","1,298.90","1,265.00","1,296.90",0.15
2026-06-01,"1,272.10","1,300.00","1,272.00","1,295.00",-1.06
2026-05-27,"1,346.90","1,346.90","1,280.00","1,308.90",-0.16
2026-05-26,"1,342.90","1,342.90","1,280.00","1,311.00",0.38
2026-05-25,"1,261.00","1,315.00","1,261.00","1,306.00",1.56
2026-05-22,"1,363.90","1,363.90","1,281.00","1,286.00",-1.0
2026-05-21,"1,292.00","1,319.90","1,272.00","1,299.00",-1.88
2026-05-20,"1,362.00","1,362.00","1,284.00","1,323.90",-0.01
2026-05-19,"1,261.10","1,324.00","1,261.10","1,324.00",2.16
2026-05-18,"1,295.60","1,326.00","1,257.10","1,296.00",-2.89
2026-05-15,"1,327.00","1,334.60","1,296.30","1,334.60",0.57
2026-05-14,"1,325.00","1,328.00","1,305.00","1,327.00",-0.44
2026-05-13,"1,308.00","1,332.90","1,303.00","1,332.90",0.38
2026-05-12,"1,366.00","1,366.00","1,305.00","1,327.90",-0.68
2026-05-11,"1,361.00","1,390.00","1,336.00","1,337.00",1.13
2026-05-08,"1,319.90","1,325.00","1,290.20","1,322.00",1.3
2026-05-07,"1,312.00","1,312.00","1,275.10","1,305.00",2.45
2026-05-06,"1,280.00","1,317.00","1,273.80","1,273.80",-0.87
2026-05-05,"1,338.00","1,338.00","1,259.10","1,285.00",-1.15
2026-05-04,"1,301.00","1,305.00","1,289.00","1,300.00",-0.77
2026-04-30,"1,290.00","1,337.00","1,290.00","1,310.10",-1.42
2026-04-29,"1,358.00","1,397.00","1,306.10","1,329.00",-2.14
2026-04-28,"1,367.80","1,358.00","1,327.00","1,358.00",-0.72
2026-04-27,"1,380.00","1,367.80","1,338.80","1,367.80",-0.88
2026-04-24,"1,350.00","1,380.00","1,300.00","1,380.00",2.22
2026-04-23,"1,398.80","1,420.00","1,335.00","1,350.00",-6.38
2026-04-22,"1,321.00","1,442.00","1,280.00","1,442.00",9.16
2026-04-21,"1,350.00","1,350.00","1,317.00","1,321.00",-2.15
2026-04-20,"1,333.00","1,350.00","1,331.00","1,350.00",0.07
2026-04-17,"1,375.00","1,375.00","1,341.00","1,349.10",-1.73
2026-04-16,"1,378.00","1,385.00","1,365.00","1,372.90",-1.08
2026-04-15,"1,381.00","1,390.00","1,363.10","1,387.90",0.57
2026-04-13,"1,374.00","1,380.00","1,350.10","1,380.00",-0.93
2026-04-10,"1,372.00","1,398.00","1,360.00","1,393.00",-0.43
2026-04-09,"1,375.90","1,400.00","1,353.00","1,399.00",1.68
2026-04-08,"1,373.00","1,375.90","1,349.00","1,375.90",1.99
2026-04-07,"1,332.50","1,360.00","1,332.10","1,349.00",1.28
2026-04-06,"1,298.50","1,358.00","1,298.50","1,332.00",0.53
2026-04-05,"1,340.90","1,345.00","1,314.00","1,325.00",-3.16
2026-04-02,"1,347.00","1,401.00","1,343.00","1,368.20",-0.13
2026-04-01,"1,405.00","1,440.00","1,370.00","1,370.00",-3.11
2026-03-31,"1,392.00","1,448.00","1,392.00","1,414.00",-0.42
2026-03-30,"1,427.00","1,471.00","1,399.00","1,420.00",-2.34
2026-03-29,"1,460.00","1,477.00","1,401.50","1,454.00",0.07
2026-03-26,"1,447.00","1,474.80","1,445.00","1,453.00",-1.42
2026-03-25,"1,475.00","1,516.00","1,445.00","1,474.00",-1.27
2026-03-24,"1,490.00","1,493.00","1,475.00","1,493.00",-0.86
2026-03-23,"1,519.00","1,519.00","1,469.10","1,506.00",-0.86
2026-03-22,"1,487.00","1,526.00","1,465.00","1,519.00",4.04
2026-03-19,"1,470.00","1,472.50","1,447.00","1,460.00",0.91
2026-03-17,"1,444.90","1,478.90","1,440.10","1,446.90",-1.44
2026-03-16,"1,440.10","1,468.00","1,438.00","1,468.00",1.24
2026-03-15,"1,450.00","1,450.00","1,450.00","1,450.00",-0.38
2026-03-12,"1,431.00","1,469.00","1,431.00","1,455.50",0.0
2026-03-11,"1,480.00","1,483.00","1,440.10","1,455.50",0.1
2026-03-10,"1,505.30","1,527.50","1,451.00","1,454.00",-5.34
2026-03-09,"1,448.40","1,536.00","1,448.40","1,536.00",8.17
2026-03-03,"1,406.50","1,428.00","1,400.50","1,420.00",1.43
2026-03-01,"1,386.10","1,445.00","1,386.10","1,400.00",-0.85
2026-02-26,"1,466.90","1,466.90","1,412.00","1,412.00",-1.94
2026-02-25,"1,413.00","1,440.00","1,390.00","1,440.00",0.48
2026-02-24,"1,405.00","1,433.10","1,405.00","1,433.10",0.01
2026-02-23,"1,426.00","1,445.00","1,398.00","1,433.00",-1.51
2026-02-22,"1,487.10","1,487.10","1,385.10","1,455.00",-0.21
2026-02-17,"1,464.20","1,523.00","1,408.00","1,458.00",-2.41
2026-02-16,"1,420.00","1,494.00","1,392.00","1,494.00",5.96
2026-02-12,"1,412.00","1,424.00","1,400.00","1,410.00",-1.95
2026-02-11,"1,420.00","1,444.00","1,420.00","1,438.00",0.0
2026-02-10,"1,435.10","1,463.00","1,435.10","1,438.00",-1.7
2026-02-09,"1,479.00","1,479.00","1,450.00","1,462.80",-0.49
2026-02-08,"1,499.00","1,499.00","1,452.00","1,470.00",-0.54
2026-02-05,"1,480.00","1,480.00","1,467.00","1,478.00",0.41
2026-02-04,"1,504.00","1,504.00","1,465.00","1,472.00",-0.53
2026-02-03,"1,495.00","1,495.00","1,467.00","1,479.90",-0.81
2026-02-02,"1,470.00","1,492.00","1,470.00","1,492.00",0.95
2026-02-01,"1,519.00","1,519.00","1,470.10","1,478.00",-1.34
2026-01-29,"1,529.00","1,529.00","1,470.20","1,498.00",-0.13
2026-01-28,"1,480.00","1,514.00","1,478.00","1,500.00",-0.53
2026-01-27,"1,483.00","1,510.00","1,483.00","1,508.00",-0.33
2026-01-26,"1,525.00","1,528.90","1,490.00","1,513.00",-0.46
2026-01-25,"1,535.00","1,565.00","1,452.00","1,520.00",0.66
2026-01-22,"1,480.00","1,510.00","1,480.00","1,510.00",0.0
2026-01-21,"1,550.80","1,550.80","1,495.00","1,510.00",-0.92
2026-01-20,"1,520.00","1,534.80","1,492.10","1,524.00",0.33
2026-01-18,"1,515.00","1,525.00","1,493.50","1,519.00",1.34
2026-01-14,"1,495.00","1,498.90","1,470.00","1,498.90",0.26
2026-01-13,"1,505.00","1,508.00","1,485.10","1,495.00",-0.33
2026-01-12,"1,510.00","1,525.00","1,486.00","1,500.00",1.32
2026-01-08,"1,518.90","1,524.00","1,480.20","1,480.40",-2.53
2026-01-07,"1,500.00","1,518.90","1,500.00","1,518.90",-0.17
2026-01-06,"1,501.20","1,521.50","1,492.00","1,521.50",0.1
2026-01-05,"1,483.10","1,520.00","1,480.00","1,520.00",0.66
2026-01-04,"1,494.50","1,510.00","1,471.00","1,510.00",-0.92
2026-01-01,"1,495.00","1,524.00","1,490.10","1,524.00",0.0
2025-12-31,"1,515.00","1,524.00","1,482.10","1,524.00",2.56
2025-12-29,"1,499.00","1,510.00","1,470.00","1,486.00",-2.81
2025-12-28,"1,490.10","1,529.00","1,490.10","1,529.00",0.59
2025-12-24,"1,520.00","1,524.00","1,520.00","1,520.00",-0.26
2025-12-23,"1,518.00","1,524.00","1,518.00","1,524.00",0.4
2025-12-22,"1,525.00","1,525.00","1,471.80","1,518.00",1.34
2025-12-21,"1,485.90","1,497.90","1,475.00","1,497.90",0.98
2025-12-18,"1,506.00","1,506.00","1,482.60","1,483.30",-1.53
2025-12-17,"1,505.00","1,507.90","1,505.00","1,506.30",0.09
2025-12-16,"1,500.10","1,529.00","1,500.10","1,505.00",-1.31
2025-12-15,"1,516.00","1,525.00","1,500.00","1,525.00",0.63
2025-12-14,"1,515.00","1,597.00","1,514.00","1,515.50",-1.27
2025-12-11,"1,580.00","1,580.00","1,500.00","1,535.00",-1.1
2025-12-10,"1,521.60","1,552.00","1,521.60","1,552.00",0.19
2025-12-09,"1,586.00","1,586.00","1,524.00","1,549.00",-0.58
2025-12-08,"1,520.00","1,558.00","1,520.00","1,558.00",0.52
2025-12-07,"1,525.00","1,550.00","1,524.00","1,550.00",0.0
2025-12-03,"1,532.80","1,563.80","1,503.00","1,550.00",-0.9
2025-12-02,"1,507.60","1,664.00","1,507.60","1,564.00",1.69
2025-12-01,"1,544.00","1,569.00","1,537.70","1,538.00",-2.35
2025-11-30,"1,640.00","1,640.00","1,545.00","1,575.00",-2.84
2025-11-27,"1,520.00","1,621.00","1,512.20","1,621.00",5.6
2025-11-26,"1,520.10","1,545.00","1,520.10","1,535.00",-0.27
2025-11-25,"1,546.00","1,576.90","1,515.10","1,539.10",-2.4
2025-11-24,"1,598.00","1,598.00","1,508.00","1,577.00",0.59
2025-11-23,"1,520.00","1,600.00","1,520.00","1,567.80",3.21
2025-11-20,"1,517.00","1,519.00","1,517.00","1,519.00",0.13
2025-11-19,"1,520.00","1,520.00","1,490.00","1,517.00",-0.19
2025-11-18,"1,500.00","1,520.00","1,500.00","1,519.90",2.63
2025-11-17,"1,472.20","1,505.00","1,472.20","1,481.00",-0.74
2025-11-16,"1,539.00","1,539.00","1,491.30","1,492.00",-1.19
2025-11-13,"1,554.90","1,554.90","1,509.30","1,510.00",-0.98
2025-11-12,"1,530.00","1,530.00","1,507.40","1,525.00",-0.85
2025-11-11,"1,530.10","1,538.10","1,520.00","1,538.10",-1.4
2025-11-10,"1,580.00","1,580.00","1,517.00","1,560.00",-1.88
2025-11-09,"1,612.40","1,612.40","1,511.00","1,589.90",0.58
2025-11-06,"1,569.90","1,580.80","1,509.20","1,580.80",1.2
2025-11-05,"1,555.40","1,585.00","1,524.40","1,562.00",-1.58
2025-11-04,"1,531.00","1,587.10","1,525.00","1,587.10",2.0
2025-11-03,"1,616.00","1,616.00","1,535.00","1,556.00",-1.83
2025-11-02,"1,649.00","1,649.00","1,540.00","1,585.00",-2.16
2025-10-30,"1,451.00","1,620.00","1,451.00","1,620.00",9.46
2025-10-29,"1,505.00","1,505.00","1,451.00","1,480.00",-0.66
2025-10-28,"1,450.00","1,490.00","1,445.00","1,489.90",2.43
2025-10-19,"1,478.00","1,478.00","1,426.00","1,454.50",0.0
2025-10-16,"1,450.60","1,454.50","1,395.00","1,454.50",-1.66
2025-10-15,"1,473.10","1,479.00","1,440.00","1,479.00",-1.4
2025-10-14,"1,504.00","1,504.00","1,475.00","1,500.00",-2.22
2025-10-13,"1,528.90","1,556.00","1,500.00","1,534.00",-1.67
2025-10-12,"1,570.00","1,570.00","1,495.00","1,560.00",-1.88
2025-10-09,"1,610.00","1,688.00","1,561.00","1,589.90",-0.13
2025-10-08,"1,533.00","1,592.00","1,503.00","1,592.00",1.99
2025-10-07,"1,580.00","1,580.00","1,561.00","1,561.00",-1.2
2025-09-28,"1,572.00","1,588.00","1,572.00","1,580.00",-1.25
2025-09-25,"1,596.10","1,600.00","1,595.10","1,600.00",-1.7
2025-09-24,"1,638.00","1,638.00","1,605.30","1,627.60",-2.6
2025-09-23,"1,638.90","1,671.00","1,585.00","1,671.00",3.79
2025-09-21,"1,571.00","1,610.00","1,510.00","1,610.00",0.63
2025-09-18,"1,560.00","1,600.00","1,560.00","1,600.00",0.57
2025-09-08,"1,565.00","1,595.00","1,565.00","1,591.00",-0.2
2025-09-07,"1,602.00","1,602.00","1,565.00","1,594.15",0.39
2025-09-04,"1,595.00","1,595.00","1,558.00","1,588.00",0.89
2025-09-03,"1,560.20","1,600.00","1,560.00","1,573.98",0.88
2025-09-02,"1,570.00","1,570.00","1,560.20","1,560.20",-1.92
2025-09-01,"1,600.00","1,605.00","1,575.00","1,590.71",-1.39
2025-08-31,"1,581.30","1,620.00","1,580.00","1,613.11",0.03
2025-08-28,"1,640.00","1,648.00","1,572.00","1,612.67",-1.66
2025-08-27,"1,554.10","1,647.00","1,554.10","1,639.93",4.31
2025-08-26,"1,583.00","1,590.00","1,570.00","1,572.19",-1.74
2025-08-25,"1,581.00","1,605.00","1,574.00","1,600.00",0.72
2025-08-24,"1,583.00","1,589.10","1,558.00","1,588.55",0.35
2025-08-21,"1,615.00","1,615.00","1,582.70","1,583.00",-1.0
2025-08-20,"1,565.00","1,599.00","1,565.00","1,599.00",0.87
2025-08-19,"1,561.00","1,609.50","1,561.00","1,585.25",0.02
2025-08-18,"1,600.00","1,600.00","1,577.00","1,585.00",-0.93
