date,open,high,low,close,volume
2026-06-08,"1,353.00","1,380.00","1,322.10","1,329.00","3,467,663.40"
2026-06-05,"1,353.00","1,380.00","1,322.10","1,329.00",-1.85
2026-06-04,"1,375.00","1,380.00","1,330.10","1,354.00",-1.17
2026-06-03,"1,400.00","1,404.00","1,330.00","1,370.00",0.0
2026-06-02,"1,268.70","1,398.00","1,260.50","1,370.00",4.75
2026-06-01,"1,282.00","1,318.00","1,280.00","1,307.90",2.02
2026-05-27,"1,322.90","1,322.90","1,271.00","1,282.00",-1.23
2026-05-26,"1,280.00","1,324.90","1,280.00","1,298.00",0.39
2026-05-25,"1,270.00","1,300.00","1,261.00","1,293.00",1.82
2026-05-22,"1,260.00","1,283.00","1,260.00","1,269.90",-0.32
2026-05-21,"1,271.10","1,280.00","1,260.00","1,274.00",-0.86
2026-05-20,"1,252.00","1,286.00","1,251.10","1,285.00",1.18
2026-05-19,"1,291.00","1,291.00","1,259.00","1,270.00",1.27
2026-05-18,"1,242.00","1,295.00","1,242.00","1,254.10",-1.95
2026-05-15,"1,285.00","1,315.00","1,250.30","1,279.00",-0.07
2026-05-14,"1,230.00","1,329.00","1,230.00","1,279.90",-0.78
2026-05-13,"1,300.00","1,300.00","1,261.20","1,290.00",-0.77
2026-05-12,"1,359.90","1,359.90","1,290.20","1,300.00",-2.82
2026-05-11,"1,332.90","1,364.90","1,286.10","1,337.70",3.3
2026-05-08,"1,270.00","1,300.00","1,251.00","1,295.00",1.09
2026-05-07,"1,280.00","1,318.00","1,257.30","1,281.00",0.08
2026-05-06,"1,301.30","1,339.00","1,275.00","1,280.00",-3.76
2026-05-05,"1,280.00","1,344.00","1,256.00","1,330.00",1.61
2026-05-04,"1,280.10","1,315.00","1,250.00","1,308.90",2.26
2026-04-30,"1,298.90","1,298.90","1,236.00","1,280.00",-0.78
2026-04-29,"1,350.00","1,320.00","1,280.00","1,290.00",-4.44
2026-04-28,"1,370.00","1,360.00","1,333.70","1,350.00",-1.46
2026-04-27,"1,375.00","1,389.00","1,356.00","1,370.00",-0.36
2026-04-24,"1,390.00","1,400.00","1,355.10","1,375.00",-1.08
2026-04-23,"1,442.00","1,442.00","1,390.00","1,390.00",-3.47
2026-04-22,"1,440.00","1,460.00","1,390.00","1,440.00",-1.37
2026-04-21,"1,503.00","1,503.00","1,455.00","1,460.00",-1.09
2026-04-20,"1,500.00","1,515.00","1,476.00","1,476.10",-2.89
2026-04-17,"1,510.00","1,522.00","1,505.00","1,520.00",-0.26
2026-04-16,"1,530.00","1,540.00","1,500.00","1,524.00",-1.65
2026-04-15,"1,560.00","1,622.00","1,529.00","1,549.50",-1.24
2026-04-13,"1,530.00","1,610.00","1,510.00","1,568.90",0.96
2026-04-10,"1,540.00","1,570.00","1,510.00","1,554.00",-0.38
2026-04-09,"1,500.00","1,584.90","1,500.00","1,560.00",1.96
2026-04-08,"1,489.60","1,550.00","1,488.70","1,530.00",0.66
2026-04-07,"1,535.00","1,549.90","1,506.00","1,519.90",-1.05
2026-04-06,"1,455.30","1,570.90","1,455.30","1,536.00",3.43
2026-04-05,"1,617.00","1,617.00","1,485.00","1,485.00",-9.99
2026-04-02,"1,620.00","1,650.00","1,585.20","1,649.90",-0.01
2026-04-01,"1,702.00","1,705.00","1,635.00","1,650.00",-4.35
2026-03-31,"1,716.10","1,730.00","1,700.30","1,725.00",0.03
2026-03-30,"1,710.00","1,740.00","1,700.00","1,724.50",-0.89
2026-03-29,"1,751.00","1,774.50","1,700.10","1,739.90",-1.97
2026-03-26,"1,740.00","1,774.80","1,732.10","1,774.80",2.0
2026-03-25,"1,742.00","1,756.00","1,735.00","1,740.00",-0.8
2026-03-24,"1,765.00","1,770.00","1,745.00","1,754.00",-0.9
2026-03-23,"1,791.90","1,791.90","1,760.00","1,770.00",0.63
2026-03-22,"1,756.00","1,783.00","1,748.00","1,759.00",0.23
2026-03-19,"1,745.00","1,769.90","1,745.00","1,755.00",0.57
2026-03-17,"1,720.20","1,750.00","1,720.00","1,745.00",0.58
2026-03-16,"1,740.00","1,758.00","1,700.00","1,735.00",-1.41
2026-03-15,"1,736.00","1,760.00","1,736.00","1,759.90",0.15
2026-03-12,"1,745.10","1,785.00","1,745.10","1,757.20",-1.28
2026-03-11,"1,786.00","1,810.70","1,762.00","1,780.00",-2.2
2026-03-10,"1,900.00","1,900.00","1,770.00","1,820.00",-2.93
2026-03-09,"1,803.00","1,875.00","1,803.00","1,875.00",6.0
2026-03-03,"1,725.10","1,778.00","1,725.10","1,768.80",0.5
2026-03-01,"1,714.30","1,760.00","1,714.30","1,760.00",0.63
2026-02-26,"1,720.20","1,748.90","1,715.00","1,748.90",0.55
2026-02-25,"1,700.00","1,739.40","1,700.00","1,739.40",1.87
2026-02-24,"1,695.10","1,725.00","1,695.10","1,707.40",-0.44
2026-02-23,"1,705.00","1,720.00","1,700.00","1,715.00",0.59
2026-02-22,"1,715.00","1,739.00","1,701.90","1,705.00",-1.45
2026-02-17,"1,705.00","1,735.00","1,701.00","1,730.00",0.23
2026-02-16,"1,720.00","1,737.00","1,720.00","1,726.00",-1.09
2026-02-12,"1,731.00","1,749.00","1,725.00","1,745.00",-1.02
2026-02-11,"1,750.10","1,785.00","1,732.00","1,762.90",-1.24
2026-02-10,"1,770.00","1,785.00","1,756.00","1,785.00",0.73
2026-02-09,"1,799.00","1,802.00","1,770.40","1,772.00",-1.56
2026-02-08,"1,800.00","1,888.90","1,800.00","1,800.00",-1.8
2026-02-05,"1,770.00","1,840.00","1,770.00","1,833.00",2.92
2026-02-04,"1,782.10","1,790.00","1,780.00","1,781.00",0.06
2026-02-03,"1,760.00","1,800.00","1,760.00","1,780.00",-0.67
2026-02-02,"1,752.10","1,822.70","1,751.50","1,792.00",1.3
2026-02-01,"1,751.00","1,777.00","1,751.00","1,769.00",-0.62
2026-01-29,"1,791.10","1,826.00","1,769.00","1,780.00",-1.39
2026-01-28,"1,796.10","1,828.00","1,780.20","1,805.00",-1.12
2026-01-27,"1,919.00","1,948.90","1,815.20","1,825.50",-4.87
2026-01-26,"1,948.00","1,949.00","1,886.50","1,919.00",-0.56
2026-01-25,"1,789.90","1,935.00","1,776.00","1,929.90",8.79
2026-01-22,"1,729.20","1,778.00","1,727.00","1,774.00",0.92
2026-01-21,"1,730.00","1,767.90","1,730.00","1,757.80",-0.01
2026-01-20,"1,710.00","1,780.00","1,707.00","1,758.00",1.62
2026-01-18,"1,710.00","1,755.00","1,710.00","1,730.00",1.7
2026-01-14,"1,702.00","1,729.90","1,695.00","1,701.00",-0.3
2026-01-13,"1,715.00","1,720.00","1,705.50","1,706.10",-0.8
2026-01-12,"1,700.20","1,725.00","1,700.20","1,719.90",0.51
2026-01-08,"1,706.00","1,740.00","1,706.00","1,711.10",-0.23
2026-01-07,"1,725.00","1,774.00","1,712.00","1,715.00",-1.44
2026-01-06,"1,750.00","1,785.00","1,740.00","1,740.00",-0.57
2026-01-05,"1,701.00","1,751.30","1,700.00","1,750.00",2.46
2026-01-04,"1,720.00","1,720.00","1,694.00","1,708.00",-0.7
2026-01-01,"1,700.20","1,727.90","1,700.20","1,720.00",-0.12
2025-12-31,"1,739.20","1,773.00","1,720.00","1,722.00",0.99
2025-12-29,"1,712.00","1,728.00","1,705.10","1,705.10",-0.4
2025-12-28,"1,705.00","1,736.00","1,700.00","1,712.00",-0.98
2025-12-24,"1,711.00","1,730.00","1,700.00","1,729.00",0.06
2025-12-23,"1,700.00","1,740.00","1,700.00","1,728.00",1.27
2025-12-22,"1,710.20","1,717.00","1,700.10","1,706.30",-1.44
2025-12-21,"1,750.00","1,750.00","1,726.00","1,731.20",-1.52
2025-12-18,"1,760.10","1,770.00","1,752.10","1,758.00",-0.96
2025-12-17,"1,761.00","1,795.00","1,761.00","1,775.00",0.77
2025-12-16,"1,760.10","1,795.00","1,760.10","1,761.50",-0.59
2025-12-15,"1,765.00","1,795.00","1,765.00","1,772.00",0.28
2025-12-14,"1,777.00","1,810.00","1,767.00","1,767.00",-0.56
2025-12-11,"1,765.00","1,822.00","1,765.00","1,777.00",-0.72
2025-12-10,"1,784.00","1,800.00","1,780.00","1,789.90",-0.95
2025-12-09,"1,792.00","1,820.00","1,783.90","1,807.00",0.71
2025-12-08,"1,820.00","1,856.40","1,790.00","1,794.20",-0.27
2025-12-07,"1,835.00","1,835.00","1,775.10","1,799.00",-1.96
2025-12-03,"1,811.00","1,846.00","1,806.10","1,835.00",0.54
2025-12-02,"1,830.00","1,868.00","1,822.00","1,825.10",-0.81
2025-12-01,"1,860.00","1,866.60","1,831.10","1,840.00",0.55
2025-11-30,"1,840.00","1,900.00","1,830.00","1,830.00",-2.14
2025-11-27,"1,871.00","1,900.00","1,861.00","1,870.00",-0.95
2025-11-26,"1,900.00","1,930.00","1,866.00","1,888.00",-0.63
2025-11-25,"1,916.00","1,916.00","1,881.00","1,900.00",-0.84
2025-11-24,"1,889.90","1,988.00","1,841.30","1,916.00",3.23
2025-11-23,"1,788.50","1,887.00","1,788.50","1,856.00",1.7
2025-11-20,"1,788.60","1,851.00","1,788.60","1,825.00",-0.01
2025-11-19,"1,850.00","1,851.10","1,825.10","1,825.10",-1.35
2025-11-18,"1,887.90","1,964.00","1,850.00","1,850.10",-0.05
2025-11-17,"1,801.30","1,870.50","1,792.10","1,851.00",0.87
2025-11-16,"1,755.10","1,924.00","1,755.10","1,835.00",3.09
