date,open,high,low,close,volume
2026-06-08,"1,060.00","1,099.90","1,060.00","1,065.00","8,857,638.20"
2026-06-05,"1,060.00","1,099.90","1,060.00","1,065.00",-0.47
2026-06-04,"1,081.10","1,099.90","1,070.00","1,070.00",-2.71
2026-06-03,"1,055.00","1,179.00","1,055.00","1,099.80",2.8
2026-06-02,"1,053.00","1,075.00","1,050.10","1,069.80",0.08
2026-06-01,"1,070.00","1,086.00","1,056.00","1,068.90",-1.57
2026-05-27,"1,062.00","1,097.00","1,062.00","1,086.00",1.02
2026-05-26,"1,081.00","1,099.90","1,065.00","1,075.00",-3.14
2026-05-25,"1,061.10","1,129.90","1,061.10","1,109.90",-0.01
2026-05-22,"1,049.00","1,110.00","1,049.00","1,110.00",1.37
2026-05-21,"1,037.90","1,164.00","1,037.90","1,095.00",1.01
2026-05-20,"1,035.00","1,084.30","1,035.00","1,084.00",2.96
2026-05-19,"1,025.00","1,147.00","1,025.00","1,052.80",2.11
2026-05-18,"1,024.00","1,040.50","1,000.00","1,031.00",0.67
2026-05-15,990.30,"1,048.00",990.30,"1,024.10",-1.15
2026-05-14,"1,035.00","1,040.00","1,022.00","1,036.00",-0.77
2026-05-13,"1,042.00","1,049.90","1,025.00","1,044.00",0.19
2026-05-12,"1,061.00","1,065.00","1,036.00","1,042.00",-1.6
2026-05-11,"1,068.00","1,101.20","1,046.40","1,058.90",2.0
2026-05-08,"1,092.00","1,092.00","1,021.00","1,038.10",-0.18
2026-05-07,"1,031.10","1,060.00","1,031.10","1,040.00",-0.95
2026-05-06,"1,059.00","1,065.00","1,040.00","1,050.00",-1.78
2026-05-05,"1,021.10","1,098.00","1,021.10","1,069.00",2.8
2026-05-04,"1,090.00","1,094.90","1,037.00","1,039.90",-5.46
2026-04-30,"1,094.00","1,125.00","1,075.00","1,100.00",0.0
2026-04-29,"1,143.00","1,153.00","1,087.00","1,100.00",-3.76
2026-04-28,"1,118.80","1,173.40","1,115.10","1,143.00",2.16
2026-04-27,"1,047.00","1,148.00","1,031.00","1,118.80",6.86
2026-04-24,"1,046.00","1,054.40","1,026.00","1,047.00",-0.95
2026-04-23,"1,046.00","1,067.00","1,046.00","1,057.00",0.48
2026-04-22,"1,050.00","1,065.00","1,046.00","1,052.00",-0.39
2026-04-21,"1,041.00","1,074.90","1,041.00","1,056.10",-0.36
2026-04-20,"1,094.20","1,094.20","1,045.10","1,059.90",1.71
2026-04-17,"1,036.00","1,093.90","1,026.00","1,042.10",-0.68
2026-04-16,"1,050.70","1,069.80","1,048.00","1,049.20",-1.75
2026-04-15,"1,040.50","1,079.00","1,040.50","1,067.90",0.75
2026-04-13,"1,061.50","1,079.70","1,050.10","1,060.00",-1.81
2026-04-10,"1,059.00","1,084.10","1,050.00","1,079.50",1.55
2026-04-09,"1,041.20","1,080.00","1,039.00","1,063.00",0.28
2026-04-08,"1,033.50","1,074.80","1,033.50","1,060.00",1.34
2026-04-07,"1,050.20","1,065.90","1,034.40","1,046.00",-2.03
2026-04-06,"1,010.00","1,074.90","1,010.00","1,067.70",5.55
2026-04-05,"1,073.50","1,073.50","1,011.60","1,011.60",-7.65
2026-04-02,"1,100.00","1,125.00","1,060.00","1,095.40",-2.2
2026-04-01,"1,117.20","1,130.00","1,070.00","1,120.00",-1.75
2026-03-31,"1,080.40","1,208.90","1,074.20","1,140.00",3.73
2026-03-30,"1,115.00","1,149.00","1,097.00","1,099.00",-2.74
2026-03-29,"1,150.60","1,209.00","1,116.00","1,130.00",-3.75
2026-03-26,"1,202.40","1,202.40","1,160.50","1,174.00",-0.42
2026-03-25,"1,199.60","1,199.60","1,153.00","1,178.90",0.24
2026-03-24,"1,153.00","1,186.00","1,141.10","1,176.10",1.84
2026-03-23,"1,156.40","1,181.00","1,141.50","1,154.80",-2.14
2026-03-22,"1,142.70","1,190.00","1,142.70","1,180.00",1.2
2026-03-19,"1,086.90","1,184.90","1,086.90","1,166.00",5.14
2026-03-17,"1,124.00","1,124.00","1,088.90","1,109.00",0.0
2026-03-16,"1,070.10","1,116.90","1,069.10","1,109.00",1.93
2026-03-15,"1,086.00","1,088.00","1,050.00","1,088.00",1.84
2026-03-12,"1,065.00","1,094.00","1,059.00","1,068.30",-1.07
2026-03-11,"1,095.00","1,134.00","1,072.00","1,079.90",-3.15
2026-03-10,"1,137.50","1,157.00","1,087.80","1,115.00",-1.98
2026-03-09,"1,093.40","1,137.50","1,093.40","1,137.50",6.11
2026-03-03,"1,060.00","1,081.20","1,040.00","1,072.00",1.13
2026-03-01,"1,050.00","1,066.70","1,040.20","1,060.00",0.01
2026-02-26,"1,058.00","1,065.90","1,050.00","1,059.90",-0.84
2026-02-25,"1,056.10","1,090.00","1,049.00","1,068.90",-0.06
2026-02-24,"1,040.00","1,085.00","1,030.00","1,069.50",1.77
2026-02-23,"1,030.00","1,064.90","1,030.00","1,050.90",0.27
2026-02-22,"1,062.00","1,072.00","1,045.00","1,048.10",-2.5
2026-02-17,"1,075.00","1,111.00","1,042.00","1,075.00",-1.46
2026-02-16,"1,114.00","1,114.00","1,078.00","1,090.90",-0.2
2026-02-12,"1,068.00","1,122.00","1,051.00","1,093.10",2.35
2026-02-11,"1,111.60","1,111.60","1,053.50","1,068.00",-2.01
2026-02-10,"1,105.00","1,109.00","1,084.20","1,089.90",-0.19
2026-02-09,"1,120.00","1,148.90","1,090.80","1,092.00",-3.11
2026-02-08,"1,136.00","1,155.00","1,125.00","1,127.00",-2.34
2026-02-05,"1,128.00","1,171.00","1,128.00","1,154.00",0.48
2026-02-04,"1,145.00","1,174.00","1,140.00","1,148.50",-1.32
2026-02-03,"1,184.00","1,190.00","1,149.10","1,163.90",-1.72
2026-02-02,"1,151.00","1,204.90","1,150.00","1,184.30",2.89
2026-02-01,"1,175.00","1,188.00","1,139.00","1,151.00",-3.16
2026-01-29,"1,245.00","1,290.00","1,188.00","1,188.50",-6.41
2026-01-28,"1,258.00","1,280.00","1,220.30","1,269.90",0.87
2026-01-27,"1,220.00","1,320.00","1,220.00","1,258.90",2.36
2026-01-26,"1,160.00","1,236.00","1,138.00","1,229.90",6.03
2026-01-25,"1,148.00","1,182.00","1,115.00","1,160.00",2.88
2026-01-22,"1,122.10","1,148.80","1,104.60","1,127.50",-1.53
2026-01-21,"1,150.00","1,150.00","1,123.00","1,145.00",0.26
2026-01-20,"1,128.00","1,173.00","1,128.00","1,142.00",-0.7
2026-01-18,"1,119.00","1,159.90","1,119.00","1,150.00",2.9
2026-01-14,"1,127.90","1,145.00","1,105.50","1,117.60",0.69
2026-01-13,"1,115.00","1,130.00","1,100.90","1,109.90",-0.46
2026-01-12,"1,113.00","1,137.90","1,111.00","1,115.00",-0.96
2026-01-08,"1,126.00","1,138.90","1,118.00","1,125.80",-1.76
2026-01-07,"1,156.40","1,169.10","1,125.70","1,146.00",-2.88
