date,open,high,low,close,volume
2026-06-08,578.00,581.00,568.00,581.00,"33,073,141.90"
2026-06-05,578.00,581.00,568.00,581.00,3.01
2026-06-04,579.00,579.90,560.00,564.00,0.0
2026-06-03,578.00,580.00,561.10,564.00,-2.22
2026-06-02,540.00,582.00,534.00,576.80,9.26
2026-06-01,543.10,543.10,525.00,527.90,-1.88
2026-05-27,544.00,545.00,535.00,538.00,-0.19
2026-05-26,532.00,542.00,532.00,539.00,-0.46
2026-05-25,520.00,544.80,520.00,541.50,1.21
2026-05-22,530.00,535.00,527.10,535.00,0.94
2026-05-21,540.00,540.00,525.40,530.00,-0.56
2026-05-20,522.00,533.00,521.00,533.00,1.91
2026-05-19,520.00,523.00,518.00,523.00,0.58
2026-05-18,520.00,524.00,519.00,520.00,-0.02
2026-05-15,525.00,530.00,520.10,520.10,0.12
2026-05-14,521.00,521.00,516.00,519.50,-0.67
2026-05-13,522.00,530.90,518.60,523.00,0.19
2026-05-12,530.20,532.00,520.00,522.00,-2.96
2026-05-11,534.00,537.90,529.30,537.90,2.07
2026-05-08,520.00,528.00,517.50,527.00,1.76
2026-05-07,528.00,528.00,515.10,517.90,-0.21
2026-05-06,511.00,525.20,511.00,519.00,0.66
2026-05-05,506.50,520.00,506.00,515.60,0.9
2026-05-04,518.00,520.10,510.00,511.00,-1.39
2026-04-30,513.00,518.20,513.00,518.20,0.88
2026-04-29,511.50,519.90,509.00,513.70,0.43
2026-04-28,517.00,528.00,511.10,511.50,-1.06
2026-04-27,516.50,524.60,516.00,517.00,0.1
2026-04-24,522.00,523.50,515.00,516.50,-1.05
2026-04-23,525.00,534.00,507.00,522.00,0.0
2026-04-22,538.00,538.00,520.10,522.00,-0.95
2026-04-21,536.00,536.00,525.10,527.00,-1.31
2026-04-20,530.00,540.00,530.00,534.00,-0.54
2026-04-17,526.60,540.00,526.60,536.90,1.3
2026-04-16,545.00,549.00,525.40,530.00,-2.57
2026-04-15,544.00,550.00,538.00,544.00,1.68
2026-04-13,544.00,549.00,535.00,535.00,-1.65
2026-04-10,557.00,557.00,535.00,544.00,-1.14
2026-04-09,541.00,558.70,541.00,550.30,1.2
2026-04-08,530.00,544.00,530.00,543.80,2.6
2026-04-07,538.50,546.50,528.30,530.00,0.19
2026-04-06,523.00,539.00,523.00,529.00,1.73
2026-04-05,540.00,540.00,516.20,520.00,-4.46
2026-04-02,545.10,555.00,530.00,544.30,-0.15
2026-04-01,557.00,557.00,545.10,545.10,-3.86
2026-03-31,562.00,570.90,545.00,567.00,0.73
2026-03-30,572.50,579.00,560.00,562.90,-1.63
2026-03-29,600.00,600.00,571.00,572.20,-3.51
2026-03-26,591.00,594.40,585.60,593.00,0.32
2026-03-25,601.00,601.00,591.10,591.10,-1.65
2026-03-24,601.00,607.00,595.00,601.00,0.17
2026-03-23,605.00,613.00,593.00,600.00,-0.83
2026-03-22,602.00,610.00,595.00,605.00,2.2
2026-03-19,579.70,596.50,579.70,592.00,3.86
2026-03-17,573.00,573.00,564.20,570.00,-0.52
2026-03-16,586.00,586.00,567.60,573.00,-1.55
