date,open,high,low,close,volume
2026-06-08,201.00,202.00,200.00,201.00,"10,874,591.90"
2026-06-05,201.0,202.0,200.0,201.0,0.0
2026-06-04,200.0,202.0,200.0,201.0,0.2
2026-06-03,200.0,202.1,200.0,200.6,-0.3
2026-06-02,200.0,203.0,200.0,201.2,0.35
2026-06-01,200.0,204.0,200.0,200.5,-2.15
2026-05-27,202.1,204.9,202.1,204.9,0.0
2026-05-26,202.0,207.0,199.9,204.9,-0.53
2026-05-25,202.0,207.0,200.8,206.0,1.48
2026-05-22,204.8,206.0,200.0,203.0,-0.88
2026-05-21,203.6,204.8,202.1,204.8,0.64
2026-05-20,201.5,204.5,200.1,203.5,0.69
2026-05-19,202.0,205.0,201.0,202.1,-0.88
2026-05-18,203.9,205.0,202.0,203.9,0.0
2026-05-15,201.5,203.9,201.1,203.9,0.1
2026-05-14,203.0,203.7,202.0,203.7,0.0
2026-05-13,203.0,205.0,201.7,203.7,-0.1
2026-05-12,208.0,210.0,203.0,203.9,-1.97
2026-05-11,205.5,209.0,205.0,208.0,1.46
2026-05-08,200.0,205.0,200.0,205.0,0.1
2026-05-07,200.1,204.8,200.0,204.8,1.99
2026-05-06,202.5,204.9,200.1,200.8,-0.84
2026-05-05,200.0,203.0,197.3,202.5,1.2
2026-05-04,202.0,204.0,199.9,200.1,-0.94
2026-04-30,202.9,204.9,200.0,202.0,-0.44
2026-04-29,206.8,206.8,200.0,202.9,-1.89
2026-04-28,207.1,210.0,203.0,206.8,-0.14
2026-04-27,203.0,208.1,203.0,207.1,0.34
2026-04-24,204.0,209.9,204.0,206.4,-1.24
2026-04-23,206.0,209.9,204.5,209.0,1.46
2026-04-22,208.8,210.0,203.1,206.0,-1.34
2026-04-21,211.0,211.0,208.1,208.8,-1.14
2026-04-20,213.0,213.0,209.0,211.2,-0.85
2026-04-17,210.0,213.3,209.1,213.0,-0.23
2026-04-16,215.0,217.0,211.2,213.5,-0.7
2026-04-15,204.4,216.0,204.4,215.0,3.12
2026-04-13,210.0,212.5,208.0,208.5,-0.81
2026-04-10,211.0,213.0,208.1,210.2,-0.85
2026-04-09,211.0,214.2,208.0,212.0,1.34
2026-04-08,205.2,209.9,205.0,209.2,1.45
2026-04-07,210.0,212.0,205.2,206.2,-1.29
2026-04-06,198.0,209.9,198.0,208.9,5.51
2026-04-05,205.0,207.0,197.0,198.0,-4.58
2026-04-02,208.0,211.9,205.0,207.5,-0.67
2026-04-01,218.0,218.0,206.8,208.9,-2.7
2026-03-31,208.0,216.0,207.8,214.7,1.32
2026-03-30,221.0,221.0,210.0,211.9,-3.24
2026-03-29,230.0,230.0,218.1,219.0,-4.16
2026-03-26,223.0,229.0,222.0,228.5,1.06
2026-03-25,227.5,231.9,226.0,226.1,-2.5
2026-03-24,236.6,236.6,229.0,231.9,-0.04
2026-03-23,235.0,237.0,228.6,232.0,-0.94
2026-03-22,230.3,237.0,229.0,234.2,3.72
2026-03-19,217.0,230.4,217.0,225.8,4.06
2026-03-17,210.0,218.8,206.0,217.0,2.41
2026-03-16,215.0,216.0,210.0,211.9,-2.35
2026-03-15,216.0,219.9,214.0,217.0,0.32
2026-03-12,211.1,217.0,205.0,216.3,4.49
2026-03-11,213.0,214.9,205.9,207.0,-2.73
2026-03-10,216.2,220.5,206.0,212.8,0.38
2026-03-09,200.0,212.1,200.0,212.0,8.11
2026-03-03,195.2,197.6,188.0,196.1,2.46
2026-03-01,189.0,191.7,186.0,191.4,1.54
2026-02-26,191.2,191.2,187.4,188.5,0.53
2026-02-25,187.0,189.9,187.0,187.5,-0.05
2026-02-24,185.5,189.0,185.5,187.6,0.86
2026-02-23,184.4,187.5,184.4,186.0,-0.48
2026-02-22,188.0,189.0,185.5,186.9,-0.9
2026-02-17,185.0,190.0,185.0,188.6,0.05
2026-02-16,190.0,190.5,188.0,188.5,-0.79
2026-02-12,188.0,191.0,188.0,190.0,0.05
2026-02-11,186.0,193.8,186.0,189.9,0.74
2026-02-10,188.0,189.0,187.2,188.5,0.16
2026-02-09,188.8,190.0,187.0,188.2,-0.84
2026-02-08,190.0,192.5,188.9,189.8,-0.11
2026-02-05,187.0,190.0,187.0,190.0,0.53
2026-02-04,186.0,191.0,186.0,189.0,0.0
2026-02-03,187.0,190.0,187.0,189.0,0.11
2026-02-02,188.1,191.0,188.1,188.8,-1.62
2026-02-01,192.0,193.0,190.4,191.9,-1.03
2026-01-29,195.0,195.0,190.1,193.9,0.47
2026-01-28,192.0,197.8,190.3,193.0,-0.36
2026-01-27,198.0,200.2,193.6,193.7,-2.17
2026-01-26,198.5,202.3,195.5,198.0,-0.25
2026-01-25,192.0,198.5,192.0,198.5,2.43
2026-01-22,191.0,194.0,191.0,193.8,-0.05
2026-01-21,195.0,197.0,192.0,193.9,-0.36
2026-01-20,193.0,195.0,191.1,194.6,1.35
2026-01-18,188.0,192.0,188.0,192.0,1.05
2026-01-14,193.0,193.0,187.5,190.0,0.0
2026-01-13,187.1,191.6,187.1,190.0,0.0
2026-01-12,190.1,193.8,187.6,190.0,-0.05
2026-01-08,189.0,191.0,187.7,190.1,0.16
2026-01-07,186.9,191.6,186.9,189.8,-0.47
2026-01-06,190.8,193.7,188.0,190.7,-0.05
2026-01-05,186.3,192.0,186.3,190.8,0.37
2026-01-04,188.0,191.5,187.2,190.1,-0.21
2026-01-01,187.0,190.6,187.0,190.5,-0.05
2025-12-31,189.0,192.0,187.0,190.6,0.79
2025-12-29,191.9,192.9,188.4,189.1,-1.46
2025-12-28,186.0,191.9,186.0,191.9,2.13
2025-12-24,186.0,188.7,185.0,187.9,0.7
2025-12-23,186.0,188.0,185.5,186.6,-0.27
2025-12-22,187.0,187.9,186.0,187.1,0.0
2025-12-21,191.6,191.6,186.5,187.1,-0.43
2025-12-18,190.9,190.9,187.1,187.9,0.37
2025-12-17,188.7,190.0,186.8,187.2,-0.79
2025-12-16,186.0,189.9,186.0,188.7,0.64
2025-12-15,186.0,189.0,185.6,187.5,0.48
2025-12-14,187.1,189.0,185.3,186.6,-0.27
2025-12-11,185.0,188.1,185.0,187.1,0.05
2025-12-10,185.0,189.8,185.0,187.0,-0.43
2025-12-09,186.8,188.4,184.0,187.8,0.54
2025-12-08,186.3,188.0,186.0,186.8,-0.48
2025-12-07,190.0,190.2,186.9,187.7,-1.52
2025-12-03,193.0,194.9,190.0,190.6,-1.7
2025-12-02,194.0,194.9,192.7,193.9,-1.32
2025-12-01,193.0,203.0,190.4,196.5,0.0
2025-11-30,195.0,198.5,193.3,196.5,-1.21
2025-11-27,193.0,200.0,190.2,198.9,3.06
2025-11-26,190.0,195.8,189.3,193.0,0.05
2025-11-25,193.0,196.0,190.1,192.9,0.0
2025-11-24,184.6,193.3,184.6,192.9,2.44
2025-11-23,186.0,190.0,185.3,188.3,0.21
2025-11-20,185.9,190.0,185.9,187.9,0.7
2025-11-19,190.9,190.9,185.9,186.6,-0.32
2025-11-18,185.0,189.5,185.0,187.2,0.16
2025-11-17,187.0,190.0,184.3,186.9,-0.48
2025-11-16,186.0,188.0,186.0,187.8,-0.63
2025-11-13,189.8,191.0,186.3,189.0,-0.68
2025-11-12,191.0,192.0,189.8,190.3,-1.6
2025-11-11,190.1,193.4,190.1,193.4,0.21
2025-11-10,193.0,195.0,190.6,193.0,-0.26
2025-11-09,204.0,204.0,192.8,193.5,-3.25
2025-11-06,195.1,202.7,195.1,200.0,0.5
2025-11-05,196.5,200.0,196.3,199.0,0.0
2025-11-04,197.0,199.0,197.0,199.0,0.0
2025-11-03,198.0,202.0,197.0,199.0,-0.5
2025-11-02,199.0,202.4,198.0,200.0,0.25
2025-10-30,199.0,200.7,197.2,199.5,0.3
2025-10-29,198.3,203.0,198.3,198.9,-1.34
2025-10-28,194.8,202.2,194.8,201.6,1.46
2025-10-26,195.1,198.8,192.0,198.7,-0.15
2025-10-19,194.0,199.9,192.0,199.0,2.16
2025-10-16,194.0,196.0,192.1,194.8,0.41
2025-10-15,195.0,198.9,194.0,194.0,-1.47
2025-10-14,196.0,198.0,195.1,196.9,-0.51
2025-10-13,198.0,198.0,195.0,197.9,-0.05
2025-10-12,198.0,199.0,192.4,198.0,-1.0
2025-10-09,201.0,207.9,198.1,200.0,1.01
2025-10-08,200.0,201.0,196.1,198.0,-1.93
2025-10-07,203.8,203.8,199.9,201.9,-0.93
2025-09-28,201.0,203.8,199.1,203.8,1.14
2025-09-25,194.8,201.9,194.8,201.5,1.41
2025-09-24,196.2,200.0,196.2,198.7,-0.7
2025-09-23,198.0,201.0,198.0,200.1,0.91
2025-09-21,184.0,204.0,184.0,198.29,6.04
2025-09-18,196.6,196.6,186.3,187.0,-6.76
2025-09-08,200.0,203.0,200.0,200.55,-0.9
2025-09-07,200.0,203.5,200.0,202.38,-0.71
2025-09-04,200.0,206.7,200.0,203.83,0.63
2025-09-03,204.0,204.2,200.1,202.56,0.06
2025-09-02,202.0,206.0,198.0,202.43,-1.78
2025-09-01,209.3,209.3,202.0,206.09,0.41
2025-08-31,209.59,210.8,203.5,205.24,-2.08
2025-08-28,213.0,213.0,207.5,209.59,-0.8
2025-08-27,212.6,212.6,207.9,211.27,1.34
2025-08-26,214.0,214.0,207.7,208.48,-0.8
2025-08-25,212.0,213.0,208.0,210.16,0.06
2025-08-24,214.0,214.0,209.0,210.03,-1.4
2025-08-21,218.0,218.0,211.0,213.02,-0.56
2025-08-20,217.0,217.8,212.1,214.23,-0.87
2025-08-19,216.8,217.5,213.5,216.12,1.08
2025-08-18,213.0,216.4,212.4,213.81,0.17
2025-08-17,214.4,218.0,213.0,213.44,-1.24
2025-08-14,217.0,219.9,214.0,216.11,-0.66
2025-08-13,220.0,221.3,217.0,217.55,-1.59
2025-08-12,224.5,225.0,219.4,221.07,-2.22
2025-08-11,225.0,237.2,225.0,226.1,-1.02
2025-08-07,233.0,233.0,228.0,228.44,-0.21
2025-08-06,232.0,232.0,228.2,228.92,0.16
2025-08-05,236.0,239.8,228.2,228.55,-1.91
2025-08-04,227.0,239.8,225.1,232.99,2.57
2025-08-03,238.0,238.0,226.7,227.16,-2.66
2025-07-31,236.0,239.0,233.0,233.36,-2.0
2025-07-30,246.0,246.0,237.7,238.13,-1.51
2025-07-29,242.0,250.9,237.5,241.78,1.7
2025-07-28,239.6,249.0,229.4,237.74,-0.51
2025-07-27,248.2,248.3,238.5,238.95,-2.76
2025-07-24,249.6,250.7,245.0,245.72,-1.53
2025-07-23,245.0,254.8,245.0,249.55,-0.17
2025-07-22,250.0,252.0,246.1,249.98,0.76
2025-07-21,245.0,255.0,241.1,248.1,1.45
2025-07-20,250.0,255.0,243.6,244.55,-1.61
2025-07-17,241.0,261.0,236.0,248.56,4.75
2025-07-16,237.7,241.9,230.3,237.3,1.82
2025-07-15,233.1,234.0,226.4,233.05,1.95
2025-07-14,238.9,238.9,227.0,228.6,-2.61
2025-07-13,233.2,242.0,230.0,234.72,2.62
2025-07-10,223.0,235.0,223.0,228.72,2.35
2025-07-09,221.0,230.0,216.3,223.46,1.28
2025-07-08,220.0,222.0,215.9,220.64,0.32
2025-07-07,223.0,224.0,216.0,219.93,-0.95
2025-07-06,226.0,227.5,220.0,222.04,-0.45
2025-07-03,229.3,229.3,220.4,223.04,-0.81
2025-07-02,223.0,225.6,220.6,224.86,0.63
2025-07-01,216.0,227.4,216.0,223.46,2.95
2025-06-30,218.0,221.9,216.5,217.05,-0.75
2025-06-29,215.0,219.3,213.0,218.69,2.65
2025-06-26,212.0,215.0,212.0,213.05,-0.17
2025-06-25,217.0,217.0,213.0,213.41,-0.43
2025-06-24,213.6,217.9,212.1,214.33,0.55
2025-06-23,211.0,218.3,211.0,213.16,-0.54
2025-06-22,215.0,223.0,212.1,214.31,-0.46
2025-06-19,220.6,220.6,215.0,215.29,-0.48
2025-06-18,215.0,219.3,214.7,216.32,-0.77
2025-06-17,221.0,222.8,216.2,218.0,-0.72
2025-06-16,217.1,221.0,217.1,219.58,0.07
2025-06-15,220.0,222.0,218.0,219.43,-0.33
2025-06-12,224.0,224.9,219.0,220.15,-0.11
2025-06-11,224.9,228.9,219.0,220.4,-0.44
2025-06-10,219.0,224.0,218.0,221.37,1.36
2025-06-09,219.7,220.0,216.2,218.4,-0.59
2025-06-08,222.0,225.0,215.1,219.7,-1.03
2025-06-05,223.1,246.8,220.4,221.98,-1.33
2025-06-04,219.8,246.0,219.5,224.98,0.34
2025-06-03,234.9,234.9,222.6,224.22,-2.84
2025-06-02,237.0,237.7,226.2,230.77,-2.32
2025-05-28,234.0,239.0,228.0,236.25,2.23
2025-05-27,225.0,232.4,224.0,231.09,1.22
2025-05-26,234.2,238.0,225.0,228.3,-0.61
2025-05-25,231.0,233.8,225.1,229.7,-0.66
2025-05-22,224.0,232.5,220.3,231.23,4.0
2025-05-21,227.2,235.0,222.0,222.33,-0.2
2025-05-20,213.0,228.0,213.0,222.77,2.81
2025-05-19,217.0,219.8,212.0,216.69,1.36
2025-05-18,213.0,216.0,213.0,213.79,-0.59
2025-05-15,221.2,221.2,210.0,215.05,-0.85
2025-05-14,217.0,219.0,215.2,216.9,0.11
2025-05-13,221.0,223.0,216.0,216.66,-0.22
2025-05-11,216.0,224.7,215.7,217.13,-1.45
2025-05-08,227.0,227.0,215.3,220.32,-1.59
2025-05-07,218.0,230.9,210.8,223.89,4.51
2025-05-06,215.0,218.0,214.0,214.23,-0.4
2025-05-05,216.26,218.9,214.1,215.09,-0.54
2025-05-04,215.5,220.3,211.3,216.26,0.56
2025-04-30,215.5,216.1,212.1,215.05,-0.6
2025-04-29,220.0,221.1,215.5,216.35,-1.38
2025-04-28,228.9,229.0,218.0,219.38,-2.61
2025-04-27,225.04,228.2,220.0,225.25,0.09
2025-04-24,222.0,236.5,219.5,225.04,1.63
2025-04-23,224.0,227.0,220.1,221.43,-1.79
2025-04-22,233.0,233.0,225.0,225.47,-1.61
2025-04-21,229.0,233.9,228.3,229.15,-1.91
2025-04-20,233.1,236.0,230.8,233.62,-1.75
