date,open,high,low,close,volume
2026-06-08,"1,175.00","1,177.00","1,166.00","1,168.00","23,662,507.70"
2026-06-05,"1,175.00","1,177.00","1,166.00","1,168.00",-0.68
2026-06-04,"1,170.00","1,180.00","1,170.00","1,176.00",-0.25
2026-06-03,"1,175.00","1,232.00","1,170.00","1,179.00",1.03
2026-06-02,"1,165.00","1,173.00","1,164.00","1,167.00",0.17
2026-06-01,"1,175.00","1,179.90","1,165.00","1,165.00",-0.85
2026-05-27,"1,173.80","1,176.90","1,168.00","1,175.00",0.1
2026-05-26,"1,170.00","1,176.90","1,162.00","1,173.80",0.5
2026-05-25,"1,180.00","1,180.00","1,168.00","1,168.00",0.01
2026-05-22,"1,180.00","1,180.00","1,160.00","1,167.90",0.59
2026-05-21,"1,162.00","1,171.00","1,160.00","1,161.00",0.0
2026-05-20,"1,159.00","1,163.00","1,157.00","1,161.00",0.26
2026-05-19,"1,160.00","1,169.00","1,152.20","1,158.00",0.26
2026-05-18,"1,151.00","1,160.00","1,151.00","1,155.00",-0.26
2026-05-15,"1,151.00","1,164.80","1,151.00","1,158.00",0.09
2026-05-14,"1,150.00","1,164.90","1,148.00","1,157.00",-0.09
2026-05-13,"1,169.00","1,169.00","1,150.00","1,158.00",0.09
2026-05-12,"1,180.00","1,180.00","1,155.20","1,157.00",-1.54
2026-05-11,"1,160.00","1,180.00","1,155.00","1,175.10",1.74
2026-05-08,"1,149.80","1,157.00","1,149.80","1,155.00",0.45
2026-05-07,"1,153.00","1,160.00","1,148.00","1,149.80",-0.1
2026-05-06,"1,153.00","1,156.50","1,150.00","1,151.00",0.09
2026-05-05,"1,147.00","1,155.00","1,142.00","1,150.00",0.34
2026-05-04,"1,169.00","1,169.00","1,145.10","1,146.10",0.01
2026-04-30,"1,140.00","1,148.00","1,135.20","1,146.00",0.26
2026-04-29,"1,148.20","1,150.00","1,142.20","1,143.00",-0.45
2026-04-28,"1,206.40","1,206.40","1,148.00","1,148.20",-0.07
2026-04-27,"1,146.00","1,152.00","1,140.00","1,149.00",0.26
2026-04-24,"1,148.00","1,150.00","1,135.00","1,146.00",-0.26
2026-04-23,"1,166.00","1,166.00","1,141.10","1,149.00",-0.61
2026-04-22,"1,168.00","1,168.00","1,145.00","1,156.00",-0.09
2026-04-21,"1,174.00","1,174.00","1,155.00","1,157.00",-0.43
2026-04-20,"1,181.00","1,181.00","1,160.00","1,162.00",-0.68
2026-04-17,"1,175.00","1,175.00","1,161.00","1,170.00",0.0
2026-04-16,"1,180.00","1,181.00","1,168.00","1,170.00",-0.85
2026-04-15,"1,189.90","1,189.90","1,170.00","1,180.00",1.04
2026-04-13,"1,175.00","1,185.00","1,166.00","1,167.90",-0.65
2026-04-10,"1,195.00","1,200.00","1,170.00","1,175.50",-0.47
2026-04-09,"1,175.00","1,185.00","1,175.00","1,181.00",0.85
2026-04-08,"1,170.00","1,180.00","1,160.00","1,171.00",0.77
2026-04-07,"1,182.00","1,182.00","1,159.00","1,162.00",0.18
2026-04-06,"1,140.00","1,180.00","1,137.00","1,159.90",1.83
2026-04-05,"1,161.00","1,161.00","1,130.00","1,139.00",-2.63
2026-04-02,"1,170.00","1,183.00","1,150.00","1,169.80",-0.02
