date,open,high,low,close,volume
2026-06-08,570.00,573.90,550.00,565.00,"7,877,277.30"
2026-06-05,570.0,573.9,550.0,565.0,-0.88
2026-06-04,585.0,589.8,568.0,570.0,-2.73
2026-06-03,590.0,592.0,566.9,586.0,3.92
2026-06-02,545.0,575.0,544.0,563.9,2.9
2026-06-01,540.0,570.0,540.0,548.0,2.24
2026-05-27,547.6,547.6,530.5,536.0,0.6
2026-05-26,535.0,535.0,531.3,532.8,-0.41
2026-05-25,535.0,583.0,533.0,535.0,-0.17
2026-05-22,530.0,536.0,528.0,535.9,0.77
2026-05-21,532.0,537.0,528.0,531.8,0.17
2026-05-20,522.0,530.9,515.1,530.9,0.93
2026-05-19,530.0,530.0,520.2,526.0,-0.75
2026-05-18,539.9,540.0,522.0,530.0,-0.38
2026-05-15,545.0,545.0,530.1,532.0,-0.84
2026-05-14,537.0,538.0,527.0,536.5,1.28
2026-05-13,516.2,530.0,516.2,529.7,0.13
2026-05-12,524.0,553.6,520.0,529.0,-1.93
2026-05-11,536.4,540.0,530.0,539.4,1.79
2026-05-08,533.0,533.0,521.0,529.9,1.9
2026-05-07,530.0,530.0,515.1,520.0,0.19
2026-05-06,520.0,520.0,509.0,519.0,0.19
2026-05-05,519.1,523.6,510.1,518.0,-0.19
2026-05-04,510.0,520.0,510.0,519.0,0.58
2026-04-30,503.3,516.0,503.2,516.0,1.78
2026-04-29,516.0,517.0,506.2,507.0,-1.74
2026-04-28,515.0,516.0,502.0,516.0,0.19
2026-04-27,515.0,516.0,505.0,515.0,0.0
2026-04-24,514.0,517.1,503.1,515.0,0.19
2026-04-23,520.0,529.0,514.0,514.0,-2.1
2026-04-22,510.0,525.0,502.5,525.0,1.35
2026-04-21,550.0,550.0,515.0,518.0,-1.13
2026-04-20,517.5,523.9,515.1,523.9,-0.19
2026-04-17,528.0,528.0,516.0,524.9,0.17
2026-04-16,525.0,525.2,520.0,524.0,-1.32
2026-04-15,520.0,532.0,520.0,531.0,1.53
2026-04-13,530.9,530.9,518.1,523.0,0.38
2026-04-10,524.0,524.0,519.0,521.0,-0.78
2026-04-09,532.5,532.5,515.0,525.1,0.56
2026-04-08,515.0,523.0,513.0,522.2,0.81
2026-04-07,528.9,528.9,510.0,518.0,-0.84
2026-04-06,520.0,523.7,507.0,522.4,1.63
2026-04-05,519.5,519.5,509.0,514.0,-3.02
2026-04-02,520.5,540.0,515.6,530.0,0.76
2026-04-01,545.5,545.5,526.0,526.0,-3.82
2026-03-31,540.0,546.9,520.0,546.9,2.03
2026-03-30,540.1,549.0,529.5,536.0,-2.72
2026-03-29,557.0,567.0,550.1,551.0,-2.99
2026-03-26,557.09,568.0,557.09,568.0,0.89
2026-03-25,560.0,579.0,560.0,563.0,-1.09
2026-03-24,570.9,580.8,555.7,569.2,-0.11
2026-03-23,564.5,573.9,560.0,569.8,-1.08
2026-03-22,552.0,576.0,552.0,576.0,3.78
2026-03-19,545.0,565.0,539.5,555.0,2.78
2026-03-17,540.0,540.0,530.0,540.0,0.95
2026-03-16,537.0,540.0,532.0,534.9,-1.31
2026-03-15,538.0,542.0,535.0,542.0,1.48
2026-03-12,531.1,535.2,525.1,534.1,0.56
2026-03-11,540.0,540.0,531.1,531.1,-0.58
2026-03-10,544.6,555.4,532.0,534.2,0.04
2026-03-09,533.1,534.0,533.1,534.0,2.16
2026-03-03,508.0,525.0,507.4,522.7,0.97
2026-03-01,504.1,518.0,504.1,517.7,1.11
2026-02-26,501.2,513.0,501.2,512.0,1.45
2026-02-25,514.7,514.7,503.0,504.7,-1.0
2026-02-24,505.9,515.0,504.7,509.8,0.35
2026-02-23,513.8,513.8,502.0,508.0,0.2
2026-02-22,495.0,511.0,495.0,507.0,2.42
2026-02-17,498.0,505.0,490.0,495.0,-2.25
2026-02-16,502.0,506.9,495.5,506.4,0.88
2026-02-12,506.9,507.8,500.0,502.0,-0.99
2026-02-11,505.0,508.0,500.0,507.0,0.2
2026-02-10,495.1,507.0,495.1,506.0,0.2
2026-02-09,510.0,511.0,503.0,505.0,-1.94
2026-02-08,523.0,524.0,515.0,515.0,-0.19
2026-02-05,510.0,516.1,505.2,516.0,1.18
2026-02-04,518.9,518.9,503.5,510.0,-0.2
2026-02-03,513.0,515.0,502.0,511.0,-0.39
2026-02-02,507.3,516.8,506.1,513.0,-0.77
2026-02-01,513.0,520.0,513.0,517.0,0.66
2026-01-29,510.1,525.0,510.1,513.6,-1.21
2026-01-28,515.0,519.9,512.5,519.9,0.76
2026-01-27,521.5,530.0,515.0,516.0,-2.64
2026-01-26,540.0,540.0,525.2,530.0,-0.93
2026-01-25,524.0,539.0,520.1,535.0,2.12
2026-01-22,517.0,525.0,516.5,523.9,0.17
2026-01-21,520.1,525.0,515.0,523.0,-0.57
2026-01-20,515.0,529.9,505.1,526.0,2.2
2026-01-18,514.7,514.7,498.0,514.7,1.94
2026-01-14,498.0,505.0,497.0,504.9,0.18
2026-01-13,500.0,507.0,499.0,504.0,-0.69
2026-01-12,508.9,512.0,500.1,507.5,-0.28
2026-01-08,506.0,509.0,500.0,508.9,0.57
2026-01-07,507.0,507.0,500.1,506.0,-0.2
2026-01-06,514.9,514.9,504.0,507.0,0.2
2026-01-05,500.0,507.0,500.0,506.0,0.0
2026-01-04,513.0,513.0,502.5,506.0,-0.2
2026-01-01,512.7,512.7,504.2,507.0,-1.36
2025-12-31,506.5,515.0,506.5,514.0,0.78
2025-12-29,504.0,511.0,501.0,510.0,0.0
2025-12-28,500.0,510.0,495.0,510.0,2.0
2025-12-24,491.0,501.0,491.0,500.0,-0.2
2025-12-23,500.0,501.0,490.0,501.0,0.83
2025-12-22,494.0,496.9,485.0,496.9,-1.39
2025-12-21,488.1,503.9,482.1,503.9,1.18
2025-12-18,507.9,507.9,481.0,498.0,0.0
2025-12-17,491.9,498.0,490.0,498.0,1.74
2025-12-16,486.1,492.0,476.1,489.5,1.56
2025-12-15,485.0,493.0,480.0,482.0,-1.43
2025-12-14,490.0,497.3,487.6,489.0,-1.41
2025-12-11,495.9,496.0,486.6,496.0,0.02
2025-12-10,500.0,500.0,488.0,495.9,-0.72
2025-12-09,500.0,503.0,495.0,499.5,0.5
2025-12-08,490.0,504.8,490.0,497.0,-0.18
2025-12-07,504.0,504.0,491.2,497.9,0.0
2025-12-03,500.0,508.0,494.0,497.9,-0.42
2025-12-02,513.0,513.0,495.0,500.0,-1.36
2025-12-01,493.6,508.0,493.0,506.9,1.04
2025-11-30,508.0,520.0,501.7,501.7,-0.85
2025-11-27,505.9,506.0,500.5,506.0,0.6
2025-11-26,502.0,504.9,499.1,503.0,-1.12
2025-11-25,497.0,509.9,497.0,508.7,0.34
2025-11-24,498.0,508.9,495.0,507.0,3.58
2025-11-23,475.1,491.0,475.1,489.5,2.84
2025-11-20,483.0,483.0,475.2,476.0,-1.24
2025-11-19,482.0,485.0,477.3,482.0,-0.15
2025-11-18,494.0,494.0,476.0,482.7,-0.37
2025-11-17,485.0,485.0,476.2,484.5,0.06
2025-11-16,471.0,488.0,471.0,484.2,1.09
2025-11-13,480.0,485.0,476.5,479.0,-1.44
2025-11-12,493.4,493.4,482.1,486.0,-1.18
2025-11-11,484.0,491.8,480.5,491.8,1.61
2025-11-10,483.1,484.0,479.0,484.0,-0.76
2025-11-09,482.0,489.0,481.0,487.7,-0.43
2025-11-06,498.6,504.0,486.0,489.8,0.16
2025-11-05,480.0,490.0,480.0,489.0,0.82
2025-11-04,506.9,508.8,481.0,485.0,-3.0
2025-11-03,497.0,512.9,490.0,500.0,-0.99
2025-11-02,490.0,507.0,490.0,505.0,1.02
2025-10-30,485.0,504.0,478.1,499.9,2.65
2025-10-29,490.0,499.0,482.0,487.0,-0.43
2025-10-28,470.0,493.8,470.0,489.1,3.45
2025-10-26,460.0,475.0,458.0,472.8,1.46
2025-10-19,460.0,475.0,460.0,466.0,1.06
2025-10-16,479.5,479.5,461.0,461.1,-1.91
2025-10-15,482.0,484.0,467.8,470.1,-1.51
2025-10-14,485.0,485.0,476.5,477.3,-0.56
2025-10-13,475.0,483.0,473.4,480.0,0.0
2025-10-12,501.0,501.0,477.0,480.0,-5.14
2025-10-09,514.0,534.0,504.0,506.0,0.24
2025-10-08,510.7,514.5,494.0,504.8,-2.96
2025-10-07,523.0,523.6,511.0,520.2,-0.73
2025-09-28,524.0,534.4,519.5,524.0,0.0
2025-09-25,521.0,526.5,514.7,524.0,-0.19
2025-09-24,538.5,546.0,520.0,525.0,-2.23
2025-09-23,528.0,537.0,521.0,537.0,1.64
2025-09-21,550.0,550.0,504.0,528.33,-5.66
2025-09-18,560.0,560.0,560.0,560.0,-1.76
2025-09-08,582.0,582.0,566.0,570.05,-0.86
2025-09-07,573.0,580.0,566.0,574.98,0.45
2025-09-04,590.0,590.0,566.0,572.41,-1.25
2025-09-03,591.0,591.0,578.0,579.65,-0.25
2025-09-02,581.0,592.8,580.8,581.11,-1.11
2025-09-01,598.0,598.0,580.1,587.63,-0.3
2025-08-31,605.0,610.0,587.1,589.39,-2.0
2025-08-28,590.0,605.5,582.1,601.39,2.08
2025-08-27,573.2,591.2,573.2,589.13,2.41
2025-08-26,584.0,585.0,574.0,575.27,-0.53
2025-08-25,577.0,584.0,573.0,578.36,0.19
2025-08-24,580.0,587.0,577.1,577.28,-0.51
2025-08-21,580.0,583.0,571.0,580.24,1.24
2025-08-20,581.0,581.0,572.0,573.16,-1.07
2025-08-19,586.9,586.9,570.0,579.33,0.63
2025-08-18,565.3,584.0,565.3,575.7,0.89
2025-08-17,571.1,573.0,569.0,570.6,-0.43
2025-08-14,577.0,577.0,570.0,573.04,0.36
2025-08-13,574.95,578.0,567.1,571.0,-0.69
2025-08-12,571.0,581.3,570.0,574.95,-0.6
2025-08-11,595.5,595.5,575.0,578.4,-0.95
2025-08-07,580.1,585.1,578.0,583.92,0.25
2025-08-06,587.0,588.9,580.0,582.44,-1.2
