date,open,high,low,close,volume
2026-06-08,887.00,899.90,883.30,899.90,"110,835.20"
2026-06-05,887.00,899.90,883.30,899.90,1.45
2026-06-04,914.00,914.00,887.00,887.00,-0.79
2026-06-03,880.00,901.00,878.00,894.10,-0.77
2026-06-02,890.00,901.00,865.00,901.00,1.24
2026-06-01,860.00,890.00,857.00,890.00,1.02
2026-05-27,889.00,903.00,880.00,881.00,-0.68
2026-05-26,883.10,887.00,883.10,887.00,-1.99
2026-05-25,910.00,920.00,893.00,905.00,0.78
2026-05-22,877.20,898.00,877.20,898.00,2.05
2026-05-21,894.00,894.00,880.00,880.00,-1.57
2026-05-20,873.50,894.00,873.50,894.00,2.35
2026-05-19,877.30,877.30,873.00,873.50,-0.43
2026-05-18,890.00,890.00,877.10,877.30,-1.43
2026-05-15,880.20,892.00,880.20,890.00,0.0
2026-05-14,870.00,896.00,870.00,890.00,0.0
2026-05-13,883.00,900.00,880.00,890.00,-1.55
2026-05-12,911.00,911.00,886.70,904.00,-0.33
2026-05-11,904.00,908.00,895.10,907.00,0.8
2026-05-08,872.20,899.80,872.20,899.80,1.1
2026-05-07,872.60,898.00,872.30,890.00,-0.56
2026-05-06,900.00,908.00,895.00,895.00,-0.56
2026-05-05,871.50,900.00,871.50,900.00,0.22
2026-05-04,870.00,898.00,870.00,898.00,1.01
2026-04-30,900.00,900.00,873.00,889.00,1.47
2026-04-29,880.30,880.00,870.10,876.10,-0.48
2026-04-28,880.30,881.00,878.20,880.30,0.0
2026-04-27,900.00,923.90,873.00,880.30,-2.19
2026-04-24,907.00,900.00,884.10,900.00,-0.77
2026-04-23,920.00,920.00,885.20,907.00,-0.33
2026-04-22,881.00,910.00,868.00,910.00,0.78
2026-04-21,877.00,903.00,877.00,903.00,0.33
2026-04-20,897.20,905.00,893.50,900.00,-1.64
2026-04-17,900.40,918.00,900.00,915.00,-0.33
2026-04-16,923.00,923.00,906.10,918.00,0.44
2026-04-15,920.00,943.00,912.10,914.00,-1.18
2026-04-13,935.00,936.00,909.00,924.90,-0.01
2026-04-10,918.00,929.00,900.00,925.00,-0.86
2026-04-09,932.00,936.00,906.00,933.00,1.52
2026-04-08,899.00,919.00,899.00,919.00,2.22
2026-04-07,905.00,919.80,895.00,899.00,-0.33
2026-04-06,914.90,914.90,885.00,902.00,0.56
2026-04-05,904.60,912.00,885.00,897.00,-2.82
2026-04-02,918.50,925.00,907.10,923.00,0.33
2026-04-01,928.00,938.10,910.00,920.00,-2.13
2026-03-31,916.00,944.60,915.50,940.00,1.08
2026-03-30,921.00,956.00,910.00,930.00,-0.85
2026-03-29,985.00,985.00,938.00,938.00,-3.1
2026-03-26,947.60,979.20,947.60,968.00,0.83
2026-03-25,994.00,994.00,959.60,960.00,-3.42
2026-03-24,970.00,"1,005.00",970.00,994.00,0.71
2026-03-23,989.50,998.00,970.00,987.00,1.74
