date,open,high,low,close,volume
2026-06-08,631.10,679.00,631.10,661.00,"52,201,593.90"
2026-06-05,631.10,679.00,631.10,661.00,-0.5
2026-06-04,670.00,679.90,663.00,664.30,-0.78
2026-06-03,693.00,697.00,668.00,669.50,-3.39
2026-06-02,675.00,699.70,660.00,693.00,2.76
2026-06-01,645.00,719.00,635.00,674.40,3.75
2026-05-27,659.80,659.80,648.00,650.00,-0.6
2026-05-26,659.90,660.00,647.00,653.90,0.02
2026-05-25,641.00,661.00,640.50,653.80,1.93
2026-05-22,635.00,645.00,630.00,641.40,0.22
2026-05-21,660.00,660.00,631.09,640.00,-0.78
2026-05-20,630.00,646.90,630.00,645.00,1.9
2026-05-19,631.00,635.00,629.50,633.00,-0.61
2026-05-18,631.00,644.00,631.00,636.90,0.94
2026-05-15,626.00,648.50,626.00,631.00,0.8
2026-05-14,643.30,650.00,584.00,626.00,-7.55
2026-05-13,680.00,687.00,671.00,677.10,-0.72
2026-05-12,709.00,715.00,681.00,682.00,-3.13
2026-05-11,680.00,705.00,680.00,704.00,3.83
2026-05-08,694.10,694.10,660.00,678.00,2.56
2026-05-07,650.00,662.00,650.00,661.10,1.05
2026-05-06,688.00,688.00,640.40,654.20,-0.18
2026-05-05,627.00,669.50,627.00,655.40,-0.7
2026-05-04,671.10,678.90,655.00,660.00,-1.65
2026-04-30,677.00,679.00,666.00,671.10,-1.19
2026-04-29,685.50,685.00,676.10,679.20,-0.92
2026-04-28,677.00,691.00,677.00,685.50,1.24
2026-04-27,683.00,687.00,675.00,677.10,-0.86
2026-04-24,680.00,690.00,665.10,683.00,-0.29
2026-04-23,670.00,709.00,670.00,685.00,-1.47
2026-04-22,738.00,738.00,679.00,695.20,-1.11
2026-04-21,680.00,715.00,680.00,703.00,-0.28
2026-04-20,715.00,716.00,701.00,705.00,-1.43
2026-04-17,705.00,720.00,701.00,715.20,0.31
2026-04-16,730.00,730.00,712.00,713.00,-2.61
2026-04-15,740.00,747.00,725.20,732.10,-1.33
2026-04-13,750.00,756.00,739.90,742.00,-1.85
2026-04-10,769.00,782.20,750.80,756.00,-1.81
2026-04-09,720.00,784.00,720.00,769.90,7.53
2026-04-08,740.00,740.00,710.00,716.00,-1.51
2026-04-07,728.00,744.00,720.00,727.00,0.97
2026-04-06,691.00,747.00,665.00,720.00,2.17
2026-04-05,767.40,767.40,704.70,704.70,-10.0
2026-04-02,786.90,798.90,745.00,783.00,-0.5
2026-04-01,819.00,827.00,785.00,786.90,-5.76
2026-03-31,850.00,850.00,818.30,835.00,-1.41
2026-03-30,855.00,866.90,842.00,846.90,-1.06
2026-03-29,885.00,885.00,851.00,856.00,-2.95
2026-03-26,858.70,888.40,858.70,882.00,0.66
2026-03-25,900.00,902.00,876.20,876.20,-2.44
2026-03-24,923.00,923.00,892.00,898.10,-0.76
2026-03-23,928.00,928.00,895.00,905.00,-0.55
2026-03-22,887.90,920.00,887.90,910.00,2.49
2026-03-19,887.00,894.90,870.00,887.90,2.06
2026-03-17,895.50,895.50,869.10,870.00,-0.91
2026-03-16,899.00,899.00,875.00,878.00,-0.45
2026-03-15,890.00,899.10,880.00,882.00,-0.68
2026-03-12,903.70,903.70,876.00,888.00,0.23
2026-03-11,906.00,909.00,885.10,886.00,-2.21
2026-03-10,950.00,950.00,885.00,906.00,-4.1
2026-03-09,876.00,944.70,876.00,944.70,9.99
2026-03-03,861.90,861.90,830.00,858.90,1.64
2026-03-01,822.20,850.00,822.20,845.00,0.73
2026-02-26,853.70,853.70,837.00,838.90,0.23
2026-02-25,833.00,846.00,830.00,837.00,0.48
2026-02-24,827.00,835.90,827.00,833.00,0.73
2026-02-23,825.10,832.00,825.10,827.00,-0.11
2026-02-22,835.00,837.00,827.00,827.90,-0.97
2026-02-17,840.00,848.00,833.00,836.00,-0.43
