date,open,high,low,close,volume
2026-06-08,255.10,257.50,250.10,252.50,"10,724,763.20"
2026-06-05,255.1,257.5,250.1,252.5,-0.98
2026-06-04,256.0,258.0,254.0,255.0,-0.86
2026-06-03,257.7,259.0,256.0,257.2,-0.19
2026-06-02,256.0,259.0,253.3,257.7,0.94
2026-06-01,260.0,262.0,255.0,255.3,-2.71
2026-05-27,262.1,264.0,260.1,262.4,0.11
2026-05-26,269.0,270.0,259.0,262.1,-1.84
2026-05-25,262.0,269.0,262.0,267.0,1.52
2026-05-22,254.6,263.0,254.6,263.0,2.18
2026-05-21,254.7,258.9,254.6,257.4,0.16
2026-05-20,248.2,257.0,248.2,257.0,2.8
2026-05-19,252.6,253.2,248.2,250.0,-0.99
2026-05-18,255.0,257.0,252.0,252.5,-0.16
2026-05-15,253.0,256.5,252.0,252.9,0.36
2026-05-14,253.0,254.5,250.6,252.0,-0.67
2026-05-13,254.9,254.9,252.4,253.7,-0.9
2026-05-12,264.8,265.9,255.1,256.0,-2.66
2026-05-11,256.0,263.0,254.0,263.0,3.95
2026-05-08,250.0,253.0,247.6,253.0,2.22
2026-05-07,249.0,249.4,246.0,247.5,0.24
2026-05-06,253.0,253.0,246.0,246.9,-1.24
2026-05-05,245.1,254.9,245.1,250.0,1.26
2026-05-04,253.0,255.0,246.0,246.9,-3.18
2026-04-30,242.2,257.8,242.2,255.0,0.04
2026-04-29,260.0,260.0,252.2,254.9,-1.96
2026-04-28,262.9,264.8,255.0,260.0,-1.1
2026-04-27,262.0,264.0,260.5,262.9,0.34
2026-04-24,263.0,263.9,257.0,262.0,-0.91
2026-04-23,257.5,272.0,257.5,264.4,-2.44
2026-04-22,262.0,275.0,258.0,271.0,2.65
2026-04-21,258.4,276.9,258.4,264.0,-2.94
2026-04-20,280.0,280.0,270.1,272.0,-2.68
2026-04-17,279.1,283.9,273.0,279.5,-0.18
2026-04-16,296.7,296.7,275.0,280.0,-3.75
2026-04-15,292.0,294.6,284.0,290.9,1.36
2026-04-13,275.1,287.8,275.1,287.0,2.87
2026-04-10,274.4,285.0,274.4,279.0,-0.36
2026-04-09,282.8,286.0,275.0,280.0,0.36
2026-04-08,276.9,281.5,272.6,279.0,1.82
2026-04-07,270.1,286.0,268.1,274.0,-0.58
2026-04-06,261.0,276.8,256.1,275.6,7.45
2026-04-05,270.0,270.0,255.3,256.5,-6.39
2026-04-02,274.0,285.0,268.8,274.0,-1.08
2026-04-01,296.0,296.0,276.1,277.0,-6.39
2026-03-31,300.0,301.0,291.2,295.9,0.48
2026-03-30,287.0,302.0,285.0,294.5,2.97
2026-03-29,294.0,295.0,284.2,286.0,-2.72
2026-03-26,294.0,294.7,289.0,294.0,0.34
2026-03-25,294.1,298.0,290.0,293.0,-1.01
2026-03-24,299.9,300.0,292.1,296.0,0.37
2026-03-23,299.0,300.3,291.0,294.9,-1.37
2026-03-22,305.0,311.0,295.0,299.0,-1.97
2026-03-19,297.0,312.1,297.0,305.0,0.76
2026-03-17,290.0,305.0,290.0,302.7,2.85
2026-03-16,299.0,306.2,293.0,294.3,-3.41
2026-03-15,308.0,308.0,297.0,304.7,0.89
2026-03-12,285.0,310.0,285.0,302.0,5.45
2026-03-11,290.0,297.0,281.0,286.4,0.46
2026-03-10,288.0,291.9,274.5,285.1,0.92
2026-03-09,272.1,292.0,272.1,282.5,5.88
2026-03-03,260.3,269.9,256.0,266.8,2.5
2026-03-01,260.1,264.9,247.0,260.3,2.08
2026-02-26,259.0,259.0,253.2,255.0,-0.7
2026-02-25,255.0,257.4,253.0,256.8,1.1
2026-02-24,243.0,255.3,243.0,254.0,2.5
2026-02-23,252.0,256.8,245.0,247.8,-1.67
2026-02-22,264.0,264.0,251.0,252.0,-4.18
2026-02-17,276.6,278.0,261.0,263.0,-3.02
2026-02-16,284.0,284.0,269.7,271.2,-4.47
2026-02-12,276.5,295.0,276.0,283.9,0.92
2026-02-11,275.2,282.3,266.3,281.3,4.22
2026-02-10,270.0,276.0,263.0,269.9,0.37
2026-02-09,263.0,274.9,259.9,268.9,3.58
2026-02-08,259.0,266.9,258.0,259.6,1.76
2026-02-05,240.1,260.9,239.5,255.1,4.55
2026-02-04,249.5,249.5,237.4,244.0,-0.29
2026-02-03,260.1,260.1,244.7,244.7,-4.04
2026-02-02,258.0,259.79,250.0,255.0,-0.78
2026-02-01,249.0,261.0,245.4,257.0,3.63
2026-01-29,239.9,256.4,234.8,248.0,4.64
2026-01-28,232.0,238.8,230.6,237.0,1.2
2026-01-27,247.1,247.1,233.5,234.2,-3.58
2026-01-26,247.1,247.5,239.0,242.9,-1.26
2026-01-25,241.9,247.7,239.0,246.0,3.58
2026-01-22,232.0,237.6,228.6,237.5,3.31
2026-01-21,233.0,234.9,228.7,229.9,-0.69
2026-01-20,230.0,233.0,226.1,231.5,2.52
2026-01-18,224.2,228.0,221.5,225.8,1.71
2026-01-14,224.0,224.0,220.7,222.0,0.41
2026-01-13,224.0,224.1,219.1,221.1,-0.85
2026-01-12,221.1,224.6,221.1,223.0,-0.22
2026-01-08,220.0,224.0,219.7,223.5,1.13
2026-01-07,227.0,227.0,220.2,221.0,-0.81
2026-01-06,220.0,224.6,220.0,222.8,-0.09
2026-01-05,221.0,223.0,218.3,223.0,1.41
2026-01-04,220.0,221.9,218.7,219.9,-0.54
2026-01-01,227.9,227.9,221.1,221.1,-1.51
2025-12-31,226.9,229.9,224.0,224.5,0.22
2025-12-29,224.6,227.0,220.2,224.0,-0.8
2025-12-28,222.9,225.8,221.0,225.8,2.78
2025-12-24,216.3,220.9,216.2,219.7,0.78
2025-12-23,218.0,218.0,215.0,218.0,0.0
2025-12-22,219.0,220.0,216.0,218.0,-0.46
2025-12-21,222.0,222.0,218.1,219.0,-1.35
2025-12-18,226.0,227.0,222.0,222.0,-1.2
2025-12-17,223.0,225.9,223.0,224.7,1.22
2025-12-16,222.0,223.0,220.5,222.0,0.45
2025-12-15,218.6,221.5,218.5,221.0,0.0
2025-12-14,222.0,223.0,219.2,221.0,-0.45
2025-12-11,222.0,222.9,221.0,222.0,-0.22
2025-12-10,222.1,223.8,220.8,222.5,-0.13
2025-12-09,219.4,225.0,219.3,222.8,0.36
2025-12-08,227.9,227.9,220.2,222.0,-0.89
2025-12-07,230.7,230.7,222.4,224.0,-0.97
2025-12-03,223.1,231.5,223.1,226.2,-0.57
2025-12-02,231.5,231.5,226.5,227.5,0.18
2025-12-01,230.0,231.7,226.6,227.1,-0.26
2025-11-30,230.0,235.0,227.1,227.7,-1.73
2025-11-27,230.1,232.5,230.0,231.7,0.35
2025-11-26,239.3,239.3,230.5,230.9,-1.62
2025-11-25,236.0,236.0,230.3,234.7,0.73
2025-11-24,234.9,237.0,230.3,233.0,1.17
2025-11-23,226.0,233.4,221.5,230.3,3.51
2025-11-20,222.0,228.0,220.2,222.5,-0.67
2025-11-19,230.0,230.0,223.8,224.0,-1.41
2025-11-18,225.5,229.5,225.3,227.2,1.34
2025-11-17,223.5,225.5,218.3,224.2,0.76
2025-11-16,224.4,224.4,217.0,222.5,1.14
2025-11-13,225.8,225.8,218.6,220.0,-0.9
2025-11-12,227.1,227.1,218.9,222.0,-0.31
2025-11-11,222.0,224.0,218.0,222.7,1.23
2025-11-10,222.0,222.0,217.0,220.0,0.0
2025-11-09,220.0,224.4,220.0,220.0,-1.57
2025-11-06,226.0,230.5,223.0,223.5,-1.97
2025-11-05,222.6,229.0,221.0,228.0,0.44
2025-11-04,235.6,235.6,223.0,227.0,-1.73
2025-11-03,232.3,239.9,230.3,231.0,-2.53
2025-11-02,220.0,239.8,220.0,237.0,5.9
2025-10-30,220.3,224.0,214.2,223.8,3.61
2025-10-29,220.0,221.3,213.0,216.0,-0.46
2025-10-28,208.0,218.8,208.0,217.0,3.83
2025-10-26,208.7,209.0,204.6,209.0,0.14
2025-10-19,209.8,209.8,205.8,208.7,1.31
2025-10-16,211.0,211.5,205.0,206.0,-2.14
2025-10-15,211.0,214.9,210.5,210.5,-1.41
2025-10-14,217.5,217.5,213.0,213.5,-1.84
2025-10-13,213.0,219.0,213.0,217.5,2.11
2025-10-12,217.0,219.0,212.0,213.0,-3.18
2025-10-09,219.8,233.0,219.4,220.0,2.09
2025-10-08,224.0,224.0,214.0,215.5,-3.32
2025-10-07,226.1,228.0,220.1,222.9,-3.17
2025-09-28,228.9,233.4,227.2,230.2,1.41
2025-09-25,223.4,228.8,223.4,227.0,0.62
2025-09-24,235.0,235.0,225.4,225.6,-3.51
2025-09-23,229.0,234.0,226.0,233.8,3.05
2025-09-21,206.0,227.7,206.0,226.87,8.03
2025-09-18,217.6,219.8,207.0,210.0,-5.4
2025-09-08,226.0,228.0,221.1,221.99,-1.6
2025-09-07,224.6,230.5,224.6,225.6,-1.53
2025-09-04,225.7,232.5,222.9,229.1,-0.52
2025-09-03,225.8,234.6,225.8,230.29,-0.01
2025-09-02,228.9,237.9,228.9,230.31,-1.36
2025-09-01,238.4,238.4,230.0,233.49,-0.12
2025-08-31,242.5,242.5,233.5,233.78,-1.68
2025-08-28,243.0,244.0,237.0,237.78,-1.48
2025-08-27,230.1,242.0,230.1,241.35,2.79
2025-08-26,239.8,239.8,234.2,234.79,-0.31
2025-08-25,235.9,237.7,233.4,235.51,0.5
2025-08-24,237.0,239.9,233.1,234.34,-0.77
2025-08-21,234.1,241.4,234.1,236.17,-1.13
2025-08-20,243.0,243.0,238.0,238.87,-0.28
2025-08-19,242.3,246.9,235.1,239.55,0.82
2025-08-18,233.3,242.6,233.3,237.59,-0.16
2025-08-17,234.1,243.0,234.1,237.97,-0.37
2025-08-14,243.9,243.9,238.0,238.86,-0.4
2025-08-13,237.5,246.0,237.5,239.82,-1.02
2025-08-12,250.4,250.4,242.0,242.3,-1.31
2025-08-11,250.0,254.0,245.0,245.52,-2.07
2025-08-07,242.4,253.0,242.4,250.7,1.39
2025-08-06,242.8,251.0,242.8,247.26,-0.16
2025-08-05,254.0,254.0,247.1,247.66,-1.42
2025-08-04,254.0,254.0,248.6,251.23,-0.03
2025-08-03,249.2,256.4,249.2,251.31,-1.16
2025-07-31,256.0,260.0,253.0,254.25,-1.2
2025-07-30,265.0,265.0,256.0,257.35,-2.39
