date,open,high,low,close,volume
2026-06-08,642.90,657.70,642.90,649.00,"29,514,112.90"
2026-06-05,642.90,657.70,642.90,649.00,1.41
2026-06-04,643.00,650.00,635.00,640.00,-0.47
2026-06-03,645.10,647.90,637.00,643.00,-0.31
2026-06-02,630.90,650.00,628.00,645.00,3.7
2026-06-01,631.00,631.00,619.00,622.00,-1.22
2026-05-27,623.00,632.00,620.40,629.70,-0.36
2026-05-26,640.00,640.00,621.00,632.00,-0.47
2026-05-25,631.00,639.50,629.00,635.00,0.63
2026-05-22,637.90,637.90,622.00,631.00,-0.06
2026-05-21,635.00,635.00,624.50,631.40,0.57
2026-05-20,636.00,636.00,615.00,627.80,1.26
2026-05-19,624.00,626.90,620.00,620.00,-0.64
2026-05-18,620.00,629.00,614.30,624.00,0.65
2026-05-15,620.00,628.00,615.00,620.00,-0.31
2026-05-14,625.00,625.00,620.00,621.90,0.27
2026-05-13,625.00,625.00,620.00,620.20,-0.03
2026-05-12,636.10,636.10,620.40,620.40,-2.31
2026-05-11,640.00,643.00,632.20,635.10,0.02
2026-05-08,623.00,635.00,622.00,635.00,1.76
2026-05-07,620.00,627.70,620.00,624.00,0.16
2026-05-06,618.00,628.90,618.00,623.00,0.81
2026-05-05,619.50,620.00,610.00,618.00,-0.24
2026-05-04,610.10,620.00,610.10,619.50,-0.42
2026-04-30,618.00,628.50,615.00,622.10,-0.22
2026-04-29,625.00,642.00,620.10,623.50,-0.24
2026-04-28,625.80,630.00,625.00,625.00,-0.13
2026-04-27,622.00,630.00,622.00,625.80,0.61
2026-04-24,629.50,626.50,621.20,622.00,-1.19
2026-04-23,620.20,633.00,620.00,629.50,-0.71
2026-04-22,625.10,638.00,616.20,634.00,1.93
2026-04-21,639.90,639.90,622.00,622.00,-0.48
2026-04-20,622.10,635.00,622.10,625.00,-1.57
2026-04-17,650.00,654.00,626.30,635.00,-1.09
2026-04-16,640.00,649.00,635.10,642.00,-1.22
2026-04-15,649.00,658.00,648.10,649.90,0.14
2026-04-13,650.00,654.80,644.50,649.00,-0.14
2026-04-10,659.00,659.00,644.20,649.90,-0.2
2026-04-09,632.50,661.00,631.00,651.20,2.23
2026-04-08,631.00,643.50,629.00,637.00,2.08
2026-04-07,635.00,635.00,619.80,624.00,-0.62
2026-04-06,620.00,630.00,615.00,627.90,2.77
2026-04-05,635.00,635.00,607.00,611.00,-3.93
2026-04-02,631.10,644.00,622.30,636.00,-0.93
2026-04-01,654.20,654.60,633.10,642.00,-1.83
2026-03-31,650.00,655.00,637.00,654.00,1.1
2026-03-30,655.00,665.00,644.30,646.90,-1.54
2026-03-29,678.00,678.00,655.00,657.00,-3.1
2026-03-26,675.00,684.90,670.00,678.00,-0.73
2026-03-25,690.00,690.00,676.00,683.00,-1.01
2026-03-24,690.00,693.00,677.00,690.00,0.01
2026-03-23,691.00,695.00,681.10,689.90,0.42
2026-03-22,687.00,690.00,676.20,687.00,1.78
2026-03-19,668.00,680.00,658.10,675.00,1.83
2026-03-17,670.00,670.00,655.00,662.90,-1.04
2026-03-16,663.00,674.20,661.00,669.90,-0.34
2026-03-15,667.30,680.00,667.30,672.20,-0.41
2026-03-12,660.10,680.00,657.00,675.00,0.75
2026-03-11,680.00,684.00,670.00,670.00,-1.46
2026-03-10,704.00,704.00,670.00,679.90,-1.62
2026-03-09,677.60,691.10,677.60,691.10,4.02
2026-03-03,652.00,666.00,652.00,664.40,1.57
2026-03-01,638.00,660.00,633.00,654.10,0.63
2026-02-26,650.00,650.00,640.00,650.00,0.78
2026-02-25,644.00,652.00,640.00,645.00,-0.46
2026-02-24,635.00,649.00,631.00,648.00,2.76
2026-02-23,630.00,638.00,620.40,630.60,0.9
2026-02-22,650.00,650.90,625.00,625.00,-2.37
2026-02-17,655.00,656.00,640.20,640.20,-2.24
2026-02-16,646.50,664.20,645.10,654.90,0.57
2026-02-12,650.00,658.90,645.00,651.20,0.34
2026-02-11,658.20,658.20,647.00,649.00,0.57
2026-02-10,655.00,664.70,645.00,645.30,-1.41
2026-02-09,675.00,675.00,653.00,654.50,-1.56
