date,open,high,low,close,volume
2026-06-08,"1,095.00","1,097.00","1,090.00","1,105.00","54,800.00"
2026-06-05,"1,095.00","1,097.00","1,090.00","1,105.00",0.73
2026-06-04,"1,095.00","1,100.00","1,090.00","1,097.00",-0.09
2026-06-03,"1,080.00","1,099.70","1,080.00","1,098.00",0.0
2026-06-02,"1,088.00","1,098.00","1,088.00","1,098.00",0.0
2026-06-01,"1,085.00","1,098.00","1,085.00","1,098.00",0.73
2026-05-27,"1,095.00","1,095.00","1,090.00","1,090.00",-0.91
2026-05-26,"1,090.00","1,100.00","1,083.00","1,100.00",0.09
2026-05-25,"1,081.00","1,099.00","1,081.00","1,099.00",0.0
2026-05-22,"1,080.30","1,099.00","1,080.20","1,099.00",-0.08
2026-05-21,"1,083.00","1,100.00","1,083.00","1,099.90",0.91
2026-05-20,"1,090.00","1,099.00","1,090.00","1,090.00",0.0
2026-05-19,"1,085.00","1,097.90","1,075.80","1,090.00",0.46
2026-05-18,"1,087.00","1,100.00","1,084.10","1,085.00",-0.18
2026-05-15,"1,099.00","1,099.00","1,083.10","1,087.00",0.36
2026-05-14,"1,081.00","1,100.00","1,081.00","1,083.10",-0.08
2026-05-13,"1,085.00","1,086.00","1,080.00","1,084.00",-0.09
2026-05-12,"1,094.00","1,095.00","1,085.00","1,085.00",0.0
2026-05-11,"1,085.00","1,090.00","1,084.00","1,085.00",0.0
2026-05-08,"1,086.40","1,086.40","1,081.10","1,085.00",0.18
2026-05-07,"1,084.10","1,090.00","1,083.10","1,083.10",-0.18
2026-05-06,"1,076.20","1,087.00","1,076.20","1,085.10",-0.04
2026-05-05,"1,090.00","1,090.00","1,085.00","1,085.50",0.05
2026-05-04,"1,086.60","1,087.00","1,085.00","1,085.00",-0.19
2026-04-30,"1,098.00","1,098.00","1,085.00","1,087.10",-0.81
2026-04-29,"1,090.00","1,100.00","1,086.00","1,096.00",0.55
2026-04-28,"1,115.00","1,115.00","1,090.00","1,090.00",-0.81
2026-04-27,"1,083.10","1,110.00","1,085.10","1,098.90",1.46
2026-04-24,"1,100.00","1,100.00","1,082.00","1,083.10",-0.05
2026-04-23,"1,081.20","1,083.60","1,081.20","1,083.60",-0.04
2026-04-22,"1,085.00","1,085.00","1,073.10","1,084.00",-0.01
2026-04-21,"1,076.60","1,090.90","1,076.60","1,084.10",-0.13
2026-04-20,"1,083.00","1,089.00","1,083.00","1,085.50",-0.41
2026-04-17,"1,082.10","1,099.90","1,082.10","1,090.00",0.0
2026-04-16,"1,089.00","1,110.00","1,080.50","1,090.00",0.0
2026-04-15,"1,087.00","1,095.00","1,087.00","1,090.00",0.2
2026-04-13,"1,084.00","1,091.50","1,084.00","1,087.80",-0.29
2026-04-10,"1,080.00","1,095.00","1,080.00","1,091.00",0.09
2026-04-09,"1,078.00","1,101.00","1,078.00","1,090.00",-0.91
2026-04-08,"1,020.00","1,100.00","1,020.00","1,100.00",7.84
