date,open,high,low,close,volume
2026-06-08,461.00,474.80,460.00,460.70,"6,685,600.10"
2026-06-05,461.0,474.8,460.0,460.7,-0.07
2026-06-04,470.0,475.0,461.0,461.0,-1.91
2026-06-03,455.2,478.9,455.1,470.0,3.27
2026-06-02,459.0,459.0,447.1,455.1,1.25
2026-06-01,450.0,465.0,439.0,449.5,2.16
2026-05-27,444.0,450.0,436.0,440.0,0.34
2026-05-26,440.0,440.0,433.5,438.5,-0.3
2026-05-25,439.9,439.9,431.8,439.8,2.28
2026-05-22,431.0,431.0,426.1,430.0,-0.67
2026-05-21,430.0,433.0,427.0,432.9,0.23
2026-05-20,429.0,431.9,422.2,431.9,1.62
2026-05-19,421.9,427.9,420.0,425.0,0.73
2026-05-18,444.1,444.1,418.9,421.9,-0.26
2026-05-15,428.5,428.5,420.0,423.0,0.48
2026-05-14,421.0,424.9,418.0,421.0,-0.94
2026-05-13,427.0,427.0,420.1,425.0,-0.42
2026-05-12,443.9,443.9,421.1,426.8,-1.2
2026-05-11,434.9,435.0,422.9,432.0,1.17
2026-05-08,421.2,428.0,419.0,427.0,0.47
2026-05-07,422.5,430.0,422.0,425.0,0.12
2026-05-06,434.9,434.9,422.2,424.5,-0.09
2026-05-05,421.0,425.0,418.0,424.9,0.09
2026-05-04,428.0,428.0,418.0,424.5,-1.03
2026-04-30,421.0,429.0,418.0,428.9,1.16
2026-04-29,430.0,430.0,424.0,424.0,-1.4
2026-04-28,434.0,440.3,427.3,430.0,-0.92
2026-04-27,430.0,437.5,425.1,434.0,0.93
2026-04-24,430.0,432.0,422.5,430.0,-1.15
2026-04-23,449.9,449.9,433.0,435.0,-1.58
2026-04-22,441.1,445.0,433.1,442.0,0.2
2026-04-21,439.1,450.0,439.0,441.1,-1.5
2026-04-20,450.0,450.0,438.2,447.8,1.77
2026-04-17,437.0,445.7,436.2,440.0,-0.48
2026-04-16,453.5,453.5,440.1,442.1,-1.54
2026-04-15,445.0,456.0,445.0,449.0,1.35
2026-04-13,450.0,450.0,440.0,443.0,-1.51
2026-04-10,446.0,451.0,437.0,449.8,-0.71
2026-04-09,440.0,455.0,436.0,453.0,3.33
2026-04-08,443.0,445.0,435.1,438.4,0.9
2026-04-07,437.0,448.0,432.0,434.5,-0.11
2026-04-06,422.0,439.0,422.0,435.0,3.3
2026-04-05,437.0,449.9,421.1,421.1,-5.37
2026-04-02,441.0,449.9,437.1,445.0,-0.67
2026-04-01,451.1,457.8,443.0,448.0,-2.61
2026-03-31,465.0,465.0,446.9,460.0,0.02
2026-03-30,461.3,470.0,454.0,459.9,-2.15
2026-03-29,486.0,486.0,466.0,470.0,-3.29
2026-03-26,471.0,492.0,470.0,486.0,1.67
2026-03-25,490.9,490.9,475.0,478.0,-2.63
2026-03-24,501.0,501.0,484.9,490.9,-0.22
2026-03-23,498.0,498.0,485.0,492.0,-0.2
2026-03-22,470.0,494.0,470.0,493.0,6.87
2026-03-19,453.0,468.2,447.0,461.3,1.61
2026-03-17,447.0,462.9,447.0,454.0,0.0
2026-03-16,459.0,459.0,448.0,454.0,-0.66
2026-03-15,457.0,460.0,449.0,457.0,0.42
2026-03-12,469.2,469.2,445.0,455.1,-1.07
2026-03-11,471.0,471.0,451.0,460.0,-0.65
2026-03-10,479.0,479.0,450.0,463.0,-1.49
2026-03-09,443.5,470.0,443.5,470.0,8.07
2026-03-03,436.4,436.4,427.7,434.9,1.64
2026-03-01,422.0,428.0,422.0,427.9,-0.14
2026-02-26,418.0,430.0,418.0,428.5,2.02
2026-02-25,422.0,422.0,415.1,420.0,0.24
2026-02-24,421.9,421.9,415.0,419.0,0.0
2026-02-23,412.0,420.0,412.0,419.0,0.72
2026-02-22,419.0,420.0,410.0,416.0,-0.88
2026-02-17,420.5,427.4,412.2,419.7,-1.15
2026-02-16,425.0,429.0,420.0,424.6,-0.23
2026-02-12,427.4,430.0,423.4,425.6,-0.47
2026-02-11,435.5,435.5,426.5,427.6,0.14
2026-02-10,431.0,437.0,426.1,427.0,-0.77
2026-02-09,437.1,437.1,430.0,430.3,-2.18
2026-02-08,448.7,448.7,434.0,439.9,-0.02
2026-02-05,423.0,440.0,421.0,440.0,3.53
