date,open,high,low,close,volume
2026-06-08,448.90,449.00,441.00,441.50,"3,830,028.40"
2026-06-05,448.9,449.0,441.0,441.5,-0.59
2026-06-04,448.0,450.0,442.2,444.1,-0.96
2026-06-03,440.3,454.9,440.3,448.4,1.22
2026-06-02,438.0,447.0,438.0,443.0,-0.23
2026-06-01,445.0,445.0,440.0,444.0,-0.67
2026-05-27,440.0,447.0,440.0,447.0,1.13
2026-05-26,438.3,442.9,438.3,442.0,0.16
2026-05-25,437.0,444.0,437.0,441.3,0.32
2026-05-22,434.0,440.0,434.0,439.9,-0.02
2026-05-21,439.0,440.0,435.6,440.0,0.23
2026-05-20,433.1,440.0,433.1,439.0,0.94
2026-05-19,430.5,435.0,430.5,434.9,0.07
2026-05-18,433.4,437.0,433.4,434.6,-0.32
2026-05-15,433.1,440.0,432.0,436.0,0.25
2026-05-14,432.0,436.0,431.5,434.9,-0.25
2026-05-13,436.0,439.0,431.0,436.0,-0.02
2026-05-12,450.0,450.0,435.0,436.1,-1.56
2026-05-11,438.0,443.0,437.0,443.0,1.26
2026-05-08,434.0,440.8,434.0,437.5,0.69
2026-05-07,432.0,435.9,430.0,434.5,0.35
2026-05-06,442.0,442.0,427.1,433.0,0.23
2026-05-05,436.0,439.9,426.1,432.0,0.23
2026-05-04,431.2,440.0,431.0,431.0,-0.58
2026-04-30,431.1,439.0,429.0,433.5,-0.12
2026-04-29,435.7,437.0,431.1,434.0,-0.39
2026-04-28,436.0,440.0,432.1,435.7,-0.07
2026-04-27,437.8,438.0,435.0,436.0,-0.41
2026-04-24,432.0,438.0,430.1,437.8,0.32
2026-04-23,435.1,438.0,432.4,436.4,-0.37
2026-04-22,435.0,440.0,430.0,438.0,0.23
2026-04-21,437.0,442.0,435.2,437.0,-0.57
2026-04-20,440.0,444.0,435.0,439.5,-0.57
2026-04-17,442.0,446.0,439.0,442.0,-0.67
2026-04-16,453.0,453.0,444.0,445.0,-1.11
2026-04-15,442.0,451.0,442.0,450.0,0.9
2026-04-13,451.0,453.9,442.8,446.0,0.22
2026-04-10,443.0,451.0,443.0,445.0,-1.33
2026-04-09,449.0,451.5,441.0,451.0,0.89
2026-04-08,440.0,450.0,440.0,447.0,1.59
2026-04-07,448.0,449.9,437.0,440.0,-1.12
2026-04-06,430.1,446.0,430.0,445.0,2.53
2026-04-05,442.0,442.0,433.0,434.0,-2.69
2026-04-02,442.0,448.0,436.4,446.0,0.63
2026-04-01,453.8,453.8,443.0,443.2,-2.31
2026-03-31,450.1,455.5,443.0,453.7,0.67
2026-03-30,453.3,459.8,450.3,450.7,-1.59
2026-03-29,468.0,468.0,455.2,458.0,-2.14
2026-03-26,460.1,469.0,460.1,468.0,0.21
2026-03-25,475.0,475.0,466.0,467.0,-1.6
2026-03-24,475.0,477.0,470.5,474.6,-0.5
2026-03-23,483.0,483.0,470.0,477.0,-0.63
2026-03-22,466.0,483.0,465.0,480.0,3.47
2026-03-19,455.0,465.1,451.0,463.9,2.63
2026-03-17,453.0,454.0,448.0,452.0,-0.22
2026-03-16,454.0,458.0,451.6,453.0,-1.09
2026-03-15,468.0,469.8,456.5,458.0,-0.65
2026-03-12,451.0,462.0,451.0,461.0,1.03
2026-03-11,458.1,466.0,456.3,456.3,-1.28
2026-03-10,470.0,474.0,456.0,462.2,-0.6
2026-03-09,447.0,474.3,447.0,465.0,4.03
2026-03-03,450.8,450.8,439.0,447.0,1.13
2026-03-01,436.0,444.9,435.0,442.0,0.11
2026-02-26,442.0,443.9,436.6,441.5,-0.27
2026-02-25,435.0,442.8,435.0,442.7,1.77
2026-02-24,433.1,437.0,430.4,435.0,0.44
2026-02-23,430.2,437.0,430.2,433.1,0.0
2026-02-22,434.0,442.6,431.0,433.1,-0.32
2026-02-17,436.0,438.0,434.0,434.5,-0.39
2026-02-16,436.2,440.0,436.2,436.2,-0.25
2026-02-12,436.0,443.9,436.0,437.3,-0.57
2026-02-11,437.0,443.0,435.3,439.8,0.94
2026-02-10,435.5,440.0,435.5,435.7,-0.39
2026-02-09,441.5,443.0,437.3,437.4,-0.82
2026-02-08,442.0,445.9,441.0,441.0,0.07
2026-02-05,433.0,441.0,433.0,440.7,0.73
2026-02-04,444.0,444.0,431.0,437.5,-0.79
2026-02-03,442.2,445.0,440.6,441.0,-0.27
2026-02-02,445.0,446.0,441.2,442.2,-0.63
2026-02-01,447.1,449.0,444.4,445.0,-0.47
2026-01-29,460.0,460.0,446.3,447.1,-1.08
2026-01-28,450.0,452.0,445.0,452.0,0.0
2026-01-27,452.3,459.7,451.1,452.0,-1.25
2026-01-26,453.2,461.8,453.2,457.7,-0.15
2026-01-25,451.0,460.9,451.0,458.4,1.64
2026-01-22,445.0,453.9,445.0,451.0,-0.44
2026-01-21,464.6,464.6,451.0,453.0,-0.92
2026-01-20,453.0,463.0,453.0,457.2,1.26
2026-01-18,440.5,451.5,440.5,451.5,1.44
2026-01-14,438.2,449.8,438.2,445.1,1.27
2026-01-13,440.0,443.0,439.3,439.5,-0.34
2026-01-12,440.0,444.0,440.0,441.0,-0.23
2026-01-08,441.0,443.8,437.2,442.0,0.41
2026-01-07,435.2,443.0,435.2,440.2,-0.25
2026-01-06,445.0,445.0,438.3,441.3,0.68
2026-01-05,436.0,440.0,435.6,438.3,0.39
2026-01-04,438.0,439.5,436.5,436.6,-0.77
2026-01-01,440.0,443.0,440.0,440.0,-0.27
2025-12-31,440.9,445.0,440.0,441.2,0.07
2025-12-29,445.0,453.0,440.5,440.9,-1.36
2025-12-28,440.0,452.7,435.0,447.0,1.13
2025-12-24,446.0,450.0,441.1,442.0,-0.67
2025-12-23,444.1,446.0,443.0,445.0,0.34
2025-12-22,444.1,452.0,443.1,443.5,-1.29
2025-12-21,455.0,456.9,448.4,449.3,-1.66
2025-12-18,461.0,463.0,455.8,456.9,-0.89
2025-12-17,458.3,464.8,455.3,461.0,0.59
2025-12-16,454.0,462.0,451.3,458.3,0.95
2025-12-15,455.1,457.8,452.0,454.0,-0.68
2025-12-14,465.0,465.0,456.0,457.1,-3.16
2025-12-11,466.1,475.0,466.1,472.0,0.21
2025-12-10,475.0,479.4,469.0,471.0,-0.78
2025-12-09,460.0,474.9,460.0,474.7,3.2
2025-12-08,460.0,460.9,452.1,460.0,0.86
2025-12-07,460.1,463.8,456.1,456.1,-0.87
