date,open,high,low,close,volume
2026-06-08,422.00,433.00,421.00,428.60,"8,510,870.90"
2026-06-05,422.00,433.00,421.0,428.60,3.28
2026-06-04,427.00,427.00,414.2,415.00,-1.17
2026-06-03,425.00,425.00,415.0,419.90,-0.73
2026-06-02,404.30,425.10,404.0,423.00,3.17
2026-06-01,410.00,412.00,404.0,410.00,-0.49
2026-05-27,405.20,412.00,405.1,412.00,0.98
2026-05-26,413.20,418.90,408.0,408.00,-1.23
2026-05-25,409.00,414.90,409.0,413.10,1.25
2026-05-22,417.40,417.40,405.1,408.00,0.0
2026-05-21,414.90,414.90,408.0,408.00,-0.73
2026-05-20,408.00,417.00,408.0,411.00,0.74
2026-05-19,387.60,410.00,387.6,408.00,0.0
2026-05-18,385.40,430.00,385.4,408.00,0.59
2026-05-15,410.00,410.00,404.0,405.60,-0.34
2026-05-14,408.00,412.00,407.0,407.00,0.0
2026-05-13,405.10,409.00,405.1,407.00,-0.49
2026-05-12,423.00,423.00,405.0,409.00,-1.45
2026-05-11,424.30,424.30,412.0,415.00,0.73
2026-05-08,407.00,413.00,406.2,412.00,1.73
2026-05-07,406.00,408.00,403.2,405.00,-0.74
2026-05-06,416.00,416.00,405.0,408.00,-0.99
2026-05-05,406.00,415.00,406.0,412.10,-0.17
2026-05-04,421.20,446.80,410.0,412.80,0.93
2026-04-30,409.00,411.50,406.0,409.00,-0.61
2026-04-29,417.00,419.00,410.0,411.50,-1.32
2026-04-28,417.40,418.00,415.0,417.00,-0.1
2026-04-27,413.10,417.40,413.0,417.40,1.04
2026-04-24,415.00,418.50,413.0,413.10,-0.46
2026-04-23,429.00,430.00,415.0,415.00,-0.72
2026-04-22,410.00,423.00,405.0,418.00,0.12
2026-04-21,429.00,429.00,416.3,417.50,-0.36
2026-04-20,425.00,425.00,419.0,419.00,-1.41
2026-04-17,422.00,425.00,419.0,425.00,0.71
2026-04-16,426.00,431.60,420.0,422.00,-2.09
2026-04-15,433.50,439.90,425.0,431.00,1.41
2026-04-13,425.00,432.90,425.0,425.00,0.57
2026-04-10,431.00,431.00,422.0,422.60,-1.72
2026-04-09,415.70,434.00,415.7,430.00,1.65
2026-04-08,427.00,427.00,420.0,423.00,0.95
2026-04-07,426.00,437.00,419.0,419.00,-1.64
2026-04-06,407.00,426.00,407.0,426.00,4.87
2026-04-05,415.00,424.00,406.0,406.20,-3.29
