date,open,high,low,close,volume
2026-06-08,"1,320.40","1,391.00","1,320.40","1,380.00","26,432,066.70"
2026-06-05,"1,320.40","1,391.00","1,320.40","1,380.00",-0.71
2026-06-04,"1,400.00","1,470.00","1,328.90","1,389.80",-2.13
2026-06-03,"1,418.00","1,500.00","1,378.00","1,420.00",0.14
2026-06-02,"1,407.00","1,471.90","1,382.00","1,418.00",-4.19
2026-06-01,"1,525.00","1,529.90","1,440.00","1,480.00",-2.95
2026-05-27,"1,480.00","1,597.00","1,471.00","1,525.00",1.67
2026-05-26,"1,425.00","1,563.00","1,425.00","1,500.00",0.01
2026-05-25,"1,480.00","1,543.70","1,438.00","1,499.90",0.06
2026-05-22,"1,334.80","1,500.00","1,334.80","1,499.00",6.69
2026-05-21,"1,483.20","1,550.00","1,390.00","1,405.00",-8.11
2026-05-20,"1,433.60","1,575.00","1,433.60","1,529.00",1.33
2026-05-19,"1,500.00","1,578.90","1,458.00","1,509.00",-4.43
2026-05-18,"1,650.00","1,650.00","1,500.00","1,578.90",-1.32
2026-05-15,"1,520.00","1,660.00","1,520.00","1,600.00",0.0
2026-05-14,"1,648.50","1,648.50","1,468.00","1,600.00",1.91
2026-05-13,"1,592.00","1,717.00","1,459.10","1,570.00",-6.27
2026-05-12,"1,883.00","1,883.00","1,590.00","1,675.00",-6.89
2026-05-11,"1,785.00","1,929.00","1,698.00","1,799.00",-2.23
2026-05-08,"1,705.30","1,860.00","1,705.30","1,840.00",2.51
2026-05-07,"1,790.00","1,810.00","1,690.00","1,795.00",0.17
2026-05-06,"1,681.50","1,835.40","1,681.50","1,792.00",1.24
2026-05-05,"1,605.00","1,800.00","1,605.00","1,770.00",4.8
2026-05-04,"1,564.00","1,689.00","1,551.10","1,689.00",7.99
2026-04-30,"1,700.00","1,700.00","1,483.00","1,564.00",-4.05
2026-04-29,"1,731.00","1,679.10","1,506.50","1,630.00",-5.83
2026-04-28,"1,663.50","1,738.60","1,565.20","1,731.00",-1.14
2026-04-27,"1,520.00","1,800.00","1,520.00","1,751.00",9.44
2026-04-24,"1,610.00","1,610.00","1,510.00","1,600.00",-0.74
2026-04-23,"1,523.80","1,692.00","1,500.00","1,612.00",0.5
2026-04-22,"1,363.90","1,604.00","1,363.90","1,604.00",14.08
2026-04-21,"1,440.00","1,490.00","1,385.00","1,406.00",-2.36
2026-04-20,"1,225.00","1,443.00","1,225.00","1,440.00",11.88
2026-04-17,"1,280.00","1,318.00","1,275.00","1,287.10",-0.92
2026-04-16,"1,310.00","1,314.00","1,285.00","1,299.00",-1.44
2026-04-15,"1,310.00","1,323.70","1,298.30","1,318.00",0.69
2026-04-13,"1,305.00","1,331.00","1,300.10","1,309.00",-0.83
2026-04-10,"1,323.00","1,376.00","1,307.00","1,320.00",-2.22
2026-04-09,"1,349.00","1,380.00","1,313.00","1,350.00",0.37
2026-04-08,"1,310.70","1,350.00","1,301.20","1,345.00",4.67
2026-04-07,"1,315.00","1,339.70","1,285.00","1,285.00",-3.96
2026-04-06,"1,290.00","1,410.00","1,265.00","1,338.00",2.99
2026-04-05,"1,360.00","1,360.00","1,260.00","1,299.10",-6.0
2026-04-02,"1,386.70","1,414.00","1,313.00","1,382.00",-2.33
2026-04-01,"1,415.60","1,440.00","1,315.00","1,415.00",1.95
2026-03-31,"1,390.00","1,400.00","1,371.00","1,387.90",-0.79
2026-03-30,"1,363.00","1,460.00","1,363.00","1,399.00",0.79
2026-03-29,"1,425.00","1,440.00","1,388.00","1,388.00",-3.94
2026-03-26,"1,420.00","1,473.70","1,420.00","1,445.00",1.05
2026-03-25,"1,466.20","1,494.00","1,405.10","1,430.00",-0.52
2026-03-24,"1,410.30","1,439.00","1,410.30","1,437.50",-0.1
2026-03-23,"1,417.00","1,442.00","1,397.00","1,439.00",1.55
2026-03-22,"1,445.30","1,500.00","1,388.70","1,417.00",0.0
2026-03-19,"1,447.00","1,447.00","1,400.10","1,417.00",-0.16
2026-03-17,"1,440.00","1,525.00","1,415.60","1,419.20",-2.12
2026-03-16,"1,477.90","1,477.90","1,419.50","1,450.00",-3.85
2026-03-15,"1,450.00","1,508.00","1,411.30","1,508.00",3.01
2026-03-12,"1,527.00","1,527.00","1,455.00","1,464.00",-2.27
2026-03-11,"1,519.00","1,600.00","1,470.10","1,498.00",-3.35
2026-03-10,"1,530.00","1,550.00","1,460.00","1,550.00",1.37
2026-03-09,"1,499.40","1,559.50","1,499.40","1,529.00",4.01
2026-03-03,"1,450.40","1,500.00","1,431.00","1,470.00",-0.68
2026-03-01,"1,445.00","1,500.00","1,398.10","1,480.00",1.72
2026-02-26,"1,372.00","1,455.00","1,372.00","1,455.00",3.93
2026-02-25,"1,393.90","1,402.00","1,366.10","1,400.00",2.34
2026-02-24,"1,315.00","1,389.00","1,304.10","1,368.00",4.83
2026-02-23,"1,325.00","1,325.00","1,300.00","1,305.00",-1.44
2026-02-22,"1,371.90","1,372.00","1,300.00","1,324.00",-1.56
2026-02-17,"1,336.00","1,360.00","1,335.00","1,345.00",-1.1
2026-02-16,"1,300.10","1,417.60","1,300.10","1,360.00",4.62
2026-02-12,"1,305.30","1,316.00","1,285.00","1,300.00",-1.52
2026-02-11,"1,402.00","1,415.00","1,320.00","1,320.00",-4.0
2026-02-10,"1,396.00","1,423.00","1,358.00","1,375.00",-1.5
2026-02-09,"1,422.00","1,440.00","1,395.00","1,396.00",-3.39
2026-02-08,"1,408.00","1,487.00","1,408.00","1,445.00",0.63
2026-02-05,"1,440.00","1,458.00","1,416.10","1,436.00",-0.28
2026-02-04,"1,445.00","1,490.00","1,417.10","1,440.00",-1.71
2026-02-03,"1,520.00","1,544.20","1,450.40","1,465.00",-3.24
2026-02-02,"1,420.00","1,560.00","1,420.00","1,514.00",6.62
2026-02-01,"1,460.00","1,469.90","1,404.40","1,420.00",-3.6
2026-01-29,"1,570.00","1,581.00","1,450.00","1,473.00",-5.21
2026-01-28,"1,538.00","1,580.00","1,490.10","1,554.00",0.58
2026-01-27,"1,648.00","1,665.00","1,535.00","1,545.00",-6.25
2026-01-26,"1,700.00","1,705.00","1,600.00","1,648.00",-1.9
