date,open,high,low,close,volume
2026-06-08,"1,096.00","1,096.00","1,095.00","1,095.00","76,700.00"
2026-06-05,"1,096.00","1,096.00","1,095.00","1,095.00",0.0
2026-06-04,"1,120.00","1,120.00","1,095.00","1,095.00",-0.54
2026-06-03,"1,080.00","1,101.00","1,076.00","1,101.00",1.94
2026-06-02,"1,080.00","1,081.00","1,080.00","1,080.00",0.18
2026-06-01,"1,076.20","1,100.00","1,076.20","1,078.10",-0.65
2026-05-27,"1,080.20","1,092.00","1,080.00","1,085.10",-1.35
2026-05-26,"1,084.00","1,100.00","1,083.10","1,100.00",-1.42
2026-05-25,"1,078.50","1,115.90","1,078.10","1,115.90",2.46
2026-05-22,"1,089.10","1,089.10","1,089.10","1,089.10",1.3
2026-05-21,"1,100.00","1,100.00","1,073.10","1,075.10",-2.26
2026-05-20,"1,103.00","1,160.00","1,100.00","1,100.00",2.33
2026-05-19,"1,075.00","1,075.00","1,075.00","1,075.00",-2.45
2026-05-15,"1,102.00","1,102.00","1,102.00","1,102.00",1.1
2026-05-14,"1,072.30","1,090.00","1,072.30","1,090.00",-0.91
2026-05-13,"1,114.90","1,147.90","1,100.00","1,100.00",1.38
2026-05-12,"1,111.00","1,111.00","1,085.00","1,085.00",-3.13
2026-05-11,"1,130.00","1,130.00","1,100.00","1,120.00",0.01
2026-05-08,"1,080.00","1,130.00","1,080.00","1,119.90",4.66
2026-05-07,"1,065.00","1,070.00","1,065.00","1,070.00",0.93
2026-05-06,"1,061.00","1,065.00","1,060.10","1,060.10",-0.09
2026-05-05,"1,070.00","1,070.00","1,061.10","1,061.10",-0.11
2026-05-04,"1,080.00","1,080.00","1,062.30","1,062.30",-2.81
2026-04-30,"1,080.00","1,093.00","1,062.40","1,093.00",-0.09
2026-04-29,"1,101.00","1,101.00","1,068.30","1,094.00",-0.64
2026-04-28,"1,128.00","1,105.00","1,097.00","1,101.00",-2.39
2026-04-27,"1,117.00","1,128.00","1,100.00","1,128.00",0.98
2026-04-24,"1,138.90","1,138.90","1,085.00","1,117.00",0.89
2026-04-23,"1,106.10","1,107.10","1,106.00","1,107.10",0.19
2026-04-22,"1,110.00","1,135.00","1,105.00","1,105.00",-3.34
2026-04-21,"1,110.10","1,143.20","1,110.00","1,143.20",0.28
2026-04-20,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-04-17,"1,155.00","1,155.00","1,133.00","1,140.00",-1.3
2026-04-16,"1,135.10","1,155.00","1,134.50","1,155.00",0.09
2026-04-15,"1,167.00","1,167.00","1,152.60","1,154.00",0.79
2026-04-13,"1,126.30","1,167.00","1,126.30","1,145.00",0.76
2026-04-10,"1,130.00","1,153.70","1,130.00","1,136.40",-0.4
2026-04-09,"1,146.00","1,162.80","1,137.00","1,141.00",-0.44
2026-04-08,"1,147.00","1,169.90","1,146.00","1,146.00",1.87
2026-04-07,"1,162.80","1,162.80","1,108.60","1,125.00",-1.32
2026-04-06,"1,124.90","1,150.00","1,124.90","1,140.00",2.93
2026-04-05,"1,135.00","1,135.00","1,107.00","1,107.50",-3.86
2026-04-02,"1,168.80","1,170.00","1,150.00","1,152.00",-1.54
2026-04-01,"1,166.90","1,189.00","1,160.00","1,170.00",-1.68
2026-03-31,"1,193.00","1,193.00","1,169.00","1,190.00",1.09
2026-03-30,"1,205.40","1,225.00","1,177.20","1,177.20",-2.34
2026-03-29,"1,258.60","1,280.00","1,205.40","1,205.40",-2.32
2026-03-26,"1,220.00","1,234.00","1,202.00","1,234.00",0.33
2026-03-25,"1,245.00","1,245.00","1,230.00","1,230.00",-1.2
2026-03-24,"1,230.00","1,250.00","1,230.00","1,245.00",-0.56
2026-03-23,"1,280.00","1,303.00","1,229.20","1,252.00",-2.19
