date,open,high,low,close,volume
2026-06-08,840.00,849.60,815.00,834.00,"1,321,954.60"
2026-06-05,840.00,849.60,815.00,834.00,0.97
2026-06-04,815.20,835.00,815.20,826.00,-1.31
2026-06-03,830.00,839.60,820.10,837.00,1.94
2026-06-02,812.20,829.00,812.20,821.10,-0.29
2026-06-01,836.00,836.00,820.10,823.50,-1.44
2026-05-27,835.00,839.90,827.10,835.50,0.06
2026-05-26,826.00,840.00,825.10,835.00,0.59
2026-05-25,850.00,850.00,812.00,830.10,0.4
2026-05-22,833.00,833.00,821.00,826.80,-0.74
2026-05-21,823.00,840.00,820.00,833.00,1.09
2026-05-20,811.00,830.00,810.00,824.00,0.73
2026-05-19,810.00,819.90,810.00,818.00,-0.49
2026-05-18,815.00,822.00,812.00,822.00,0.0
2026-05-15,803.00,829.90,803.00,822.00,0.0
2026-05-14,819.00,837.50,814.00,822.00,0.49
2026-05-13,805.00,818.00,805.00,818.00,-0.49
2026-05-12,840.00,840.00,815.00,822.00,-0.98
2026-05-11,820.00,865.00,819.00,830.10,0.02
2026-05-08,810.00,829.90,808.00,829.90,1.95
2026-05-07,826.50,826.50,801.00,814.00,1.37
2026-05-06,785.00,816.50,785.00,803.00,-0.62
2026-05-05,806.00,818.00,800.00,808.00,0.36
2026-05-04,812.00,830.00,800.00,805.10,-1.82
2026-04-30,795.00,820.00,795.00,820.00,0.49
2026-04-29,841.10,839.90,815.00,816.00,-2.98
2026-04-28,845.10,846.00,841.10,841.10,-0.47
2026-04-27,849.00,870.00,844.00,845.10,-0.46
2026-04-24,840.00,850.00,820.50,849.00,1.07
2026-04-23,843.00,850.00,840.00,840.00,-1.18
2026-04-22,851.00,856.50,840.00,850.00,-1.51
2026-04-21,860.00,881.00,859.10,863.00,0.12
2026-04-20,870.00,872.00,860.00,862.00,-1.15
2026-04-17,888.00,888.00,858.60,872.00,0.11
2026-04-16,871.10,880.00,870.00,871.00,-1.84
2026-04-15,870.00,887.40,870.00,887.30,1.74
2026-04-13,859.00,872.10,859.00,872.10,0.01
2026-04-10,860.10,892.50,860.10,872.00,-0.46
2026-04-09,887.90,888.00,865.00,876.00,0.57
2026-04-08,843.50,872.40,843.50,871.00,1.4
2026-04-07,843.00,870.00,843.00,859.00,2.63
2026-04-06,829.90,862.90,829.90,837.00,0.84
2026-04-05,867.00,867.00,825.20,830.00,-2.58
2026-04-02,855.00,869.90,840.00,852.00,-1.05
2026-04-01,872.10,891.20,856.60,861.00,-2.72
2026-03-31,885.00,890.00,871.50,885.10,0.01
2026-03-30,895.00,911.90,883.90,885.00,-1.12
2026-03-29,914.00,914.00,889.00,895.00,-2.08
2026-03-26,890.20,915.00,890.20,914.00,1.33
2026-03-25,900.00,914.00,895.00,902.00,0.2
2026-03-24,897.00,915.00,897.00,900.20,-1.29
2026-03-23,920.00,933.30,910.00,912.00,-0.33
2026-03-22,914.50,925.00,882.20,915.00,1.89
2026-03-19,907.80,907.80,880.20,898.00,0.9
2026-03-17,907.20,907.20,867.80,890.00,0.0
2026-03-16,935.00,935.00,890.00,890.00,-2.94
2026-03-15,936.00,936.00,910.00,917.00,-0.11
2026-03-12,957.60,957.60,918.00,918.00,-2.23
2026-03-11,963.90,963.90,930.00,938.90,-0.65
2026-03-10,937.30,969.00,925.00,945.00,2.83
2026-03-09,919.00,919.00,919.00,919.00,2.0
2026-03-03,904.90,918.00,873.00,901.00,1.51
2026-03-01,880.00,905.00,863.00,887.60,-0.49
2026-02-26,920.00,920.00,886.10,892.00,-1.43
2026-02-25,923.90,923.90,893.00,904.90,-0.23
2026-02-24,873.00,936.00,860.00,907.00,3.89
2026-02-23,854.00,875.00,854.00,873.00,1.03
2026-02-22,910.00,910.00,864.10,864.10,-3.45
