date,open,high,low,close,volume
2026-06-08,10.84,10.91,10.84,10.90,"76,269.00"
2026-06-05,10.84,10.91,10.84,10.9,-0.09
2026-06-04,10.83,11.0,10.83,10.91,-0.82
2026-06-03,10.82,11.0,10.82,11.0,1.2
2026-06-02,10.77,11.0,10.77,10.87,-0.28
2026-06-01,10.97,11.0,10.9,10.9,-0.91
2026-05-27,10.98,11.15,10.98,11.0,0.09
2026-05-26,10.72,11.0,10.72,10.99,-0.09
2026-05-25,10.75,11.0,10.72,11.0,2.33
2026-05-22,10.67,10.89,10.67,10.75,0.66
2026-05-21,10.72,10.83,10.43,10.68,-0.56
2026-05-20,10.65,10.85,10.65,10.74,0.75
2026-05-19,10.61,10.66,10.61,10.66,-1.57
2026-05-18,10.62,10.84,10.6,10.83,1.98
2026-05-15,10.62,10.85,10.62,10.62,-0.28
2026-05-14,10.61,10.8,10.61,10.65,-1.75
2026-05-13,10.6,10.84,10.6,10.84,1.31
2026-05-12,10.55,10.99,10.55,10.7,0.19
2026-05-11,10.36,10.8,10.21,10.68,1.52
2026-05-08,10.46,10.6,10.46,10.52,-1.13
2026-05-07,10.54,10.64,10.54,10.64,0.38
2026-05-06,10.58,10.6,10.52,10.6,0.19
2026-05-05,10.46,10.6,10.45,10.58,0.09
2026-05-04,10.59,10.64,10.56,10.57,0.0
2026-04-30,10.6,10.7,10.57,10.57,-0.66
2026-04-29,10.79,10.92,10.6,10.64,-1.39
2026-04-28,10.89,10.8,10.7,10.79,-0.92
2026-04-27,10.86,10.9,10.7,10.89,0.28
2026-04-24,10.57,10.88,10.57,10.86,0.56
2026-04-23,10.4,10.85,10.4,10.8,1.6
2026-04-22,11.1,11.1,10.6,10.63,-2.12
2026-04-21,11.3,11.3,10.8,10.86,-1.09
2026-04-20,10.7,10.98,10.7,10.98,-0.09
2026-04-17,10.75,11.0,10.74,10.99,0.83
2026-04-16,10.69,11.1,10.5,10.9,0.0
2026-04-15,10.63,10.9,10.51,10.9,0.55
2026-04-13,10.32,10.93,10.32,10.84,3.44
2026-04-10,10.37,10.58,10.37,10.48,-0.95
2026-04-09,10.4,10.58,10.2,10.58,0.0
2026-04-08,10.09,10.6,10.07,10.58,4.86
2026-04-07,10.05,10.2,10.05,10.09,0.4
2026-04-06,9.61,10.05,9.61,10.05,3.5
2026-04-05,9.78,10.05,9.67,9.71,-0.72
2026-04-02,9.71,9.78,9.71,9.78,-1.01
2026-04-01,9.85,9.91,9.85,9.88,-1.1
2026-03-31,9.8,9.99,9.76,9.99,0.4
2026-03-30,9.82,10.0,9.82,9.95,-0.5
2026-03-29,9.98,10.1,9.97,10.0,-1.48
2026-03-26,10.0,10.2,10.0,10.15,2.01
2026-03-25,9.82,10.03,9.82,9.95,-0.7
2026-03-24,10.0,10.02,9.81,10.02,0.2
2026-03-23,9.71,10.0,9.71,10.0,1.11
2026-03-22,9.9,9.9,9.7,9.89,0.0
2026-03-19,9.41,9.89,9.41,9.89,3.02
2026-03-17,9.46,9.64,9.46,9.6,0.0
2026-03-16,9.47,9.75,9.45,9.6,0.31
2026-03-15,9.55,9.7,9.51,9.57,-0.31
2026-03-12,9.74,9.74,9.36,9.6,0.52
2026-03-11,9.35,9.72,9.35,9.55,0.21
2026-03-10,9.18,9.54,9.18,9.53,1.82
2026-03-03,9.05,9.36,9.05,9.36,1.96
2026-03-01,9.3,9.3,9.12,9.18,-1.29
2026-02-26,9.14,9.32,9.14,9.3,0.43
2026-02-25,9.13,9.3,9.12,9.26,-0.43
2026-02-24,9.1,9.47,9.05,9.3,0.98
2026-02-23,9.39,9.39,9.1,9.21,-2.02
2026-02-22,9.55,9.55,9.36,9.4,-1.67
2026-02-17,9.4,9.56,9.22,9.56,0.0
2026-02-16,9.3,9.56,9.18,9.56,1.92
2026-02-12,9.4,9.49,9.31,9.38,0.86
2026-02-11,9.39,9.39,9.2,9.3,-2.92
2026-02-10,9.34,9.58,9.31,9.58,2.57
2026-02-09,9.31,9.5,9.31,9.34,-0.11
2026-02-08,9.22,9.55,9.22,9.35,-0.21
2026-02-05,9.16,9.51,9.16,9.37,0.32
2026-02-04,9.5,9.5,9.31,9.34,-3.61
2026-02-03,9.41,9.69,9.41,9.69,0.94
2026-02-02,9.79,9.79,9.44,9.6,0.0
2026-02-01,9.7,9.75,9.54,9.6,-2.93
2026-01-29,9.89,9.89,9.7,9.89,1.96
2026-01-28,9.93,9.93,9.6,9.7,-0.41
2026-01-27,9.94,9.94,9.36,9.74,-0.1
2026-01-26,9.5,9.83,9.2,9.75,4.61
2026-01-25,9.43,9.43,9.25,9.32,0.76
2026-01-22,9.28,9.4,9.12,9.25,-2.22
2026-01-21,9.48,9.64,9.13,9.46,1.72
2026-01-20,9.58,10.34,9.15,9.3,-1.06
2026-01-18,9.47,9.47,9.11,9.4,1.18
2026-01-14,9.38,9.38,8.31,9.29,0.98
2026-01-13,9.07,9.25,9.07,9.2,-0.54
2026-01-12,9.42,9.42,9.15,9.25,0.11
2026-01-08,9.4,9.4,9.06,9.24,0.0
2026-01-07,9.25,9.25,8.95,9.24,1.87
2026-01-06,9.29,9.29,8.93,9.07,-0.44
2026-01-05,9.3,9.3,9.11,9.11,-0.98
2026-01-04,9.3,9.38,9.02,9.2,0.0
2026-01-01,9.2,9.28,9.02,9.2,2.0
2025-12-31,8.98,9.18,8.98,9.02,-0.99
2025-12-29,9.35,9.35,8.82,9.11,-0.65
2025-12-28,9.36,9.36,8.93,9.17,-0.11
2025-12-24,9.1,9.18,8.92,9.18,2.0
2025-12-23,8.84,9.19,8.84,9.0,-0.22
2025-12-22,8.95,9.12,8.95,9.02,-0.88
2025-12-21,9.3,9.3,8.94,9.1,-0.98
2025-12-18,8.93,9.21,8.93,9.19,1.77
2025-12-17,8.95,9.21,8.95,9.03,0.0
2025-12-16,8.93,9.1,8.92,9.03,0.0
2025-12-15,9.0,9.12,9.0,9.03,-0.77
2025-12-14,9.02,9.2,8.87,9.1,0.89
2025-12-11,8.98,9.16,8.98,9.02,-1.53
2025-12-10,9.01,9.19,9.01,9.16,-0.33
2025-12-09,9.32,9.32,9.08,9.19,0.55
2025-12-08,8.83,9.17,8.82,9.14,1.56
2025-12-07,9.0,9.18,9.0,9.0,-0.55
2025-12-03,9.27,9.27,9.05,9.05,-0.44
2025-12-02,9.09,9.25,8.92,9.09,1.91
2025-12-01,9.26,9.26,8.92,8.92,-1.98
2025-11-30,9.15,9.15,8.81,9.1,0.55
2025-11-27,8.85,9.05,8.85,9.05,1.12
2025-11-26,9.13,9.13,8.88,8.95,-0.11
2025-11-25,9.28,9.28,8.95,8.96,-1.54
2025-11-24,9.0,9.1,8.82,9.1,1.11
2025-11-23,8.87,9.18,8.87,9.0,-0.55
2025-11-20,9.02,9.2,8.88,9.05,0.33
2025-11-19,8.97,9.02,8.85,9.02,2.5
2025-11-18,8.95,8.95,8.73,8.8,0.23
2025-11-17,9.25,9.25,8.78,8.78,-3.94
2025-11-16,9.2,9.2,8.84,9.14,1.33
2025-11-13,8.82,9.02,8.82,9.02,0.22
2025-11-12,8.7,9.03,8.7,9.0,1.58
2025-11-11,8.84,9.14,8.84,8.86,-1.77
2025-11-10,9.08,9.2,9.02,9.02,1.23
2025-11-09,9.0,9.18,8.86,8.91,-1.0
2025-11-06,9.15,9.36,8.85,9.0,0.0
2025-11-05,9.09,9.27,9.0,9.0,-2.91
2025-11-04,8.96,9.3,8.96,9.27,1.42
2025-11-03,9.1,9.18,9.0,9.14,1.56
2025-11-02,9.2,9.2,8.89,9.0,-1.1
2025-10-30,9.09,9.16,8.81,9.1,2.02
2025-10-29,9.06,9.21,8.88,8.92,0.34
2025-10-28,9.29,9.29,8.65,8.89,-2.41
2025-10-26,9.3,9.3,9.11,9.11,-0.11
2025-10-19,9.13,9.13,8.96,9.12,1.79
2025-10-16,8.9,8.96,8.75,8.96,0.9
2025-10-15,8.71,9.06,8.71,8.88,0.0
2025-10-14,8.82,8.88,8.61,8.88,-1.33
2025-10-13,9.0,9.1,8.92,9.0,0.0
2025-10-12,9.3,9.3,9.0,9.0,-1.32
2025-10-09,8.93,9.14,8.93,9.12,2.24
2025-10-08,8.9,8.93,8.89,8.92,-0.89
2025-10-07,9.15,9.2,8.9,9.0,-2.7
2025-09-28,8.82,9.35,8.82,9.25,2.78
2025-09-25,9.22,9.22,8.86,9.0,-0.44
2025-09-24,9.21,9.21,9.04,9.04,-1.95
2025-09-23,8.7,9.4,8.7,9.22,5.98
2025-09-21,8.77,8.82,8.6,8.7,-2.68
2025-09-08,8.99,9.12,8.94,8.94,-2.51
2025-09-07,8.91,9.26,8.74,9.17,0.99
2025-09-04,8.99,9.08,8.85,9.08,1.91
2025-09-03,8.91,9.08,8.91,8.91,0.0
2025-09-02,8.81,9.09,8.81,8.91,-0.78
2025-09-01,8.92,9.0,8.77,8.98,-1.32
2025-08-31,8.9,9.15,8.9,9.1,0.55
2025-08-28,8.8,9.05,8.71,9.05,1.12
2025-08-27,9.08,9.08,8.8,8.95,0.11
2025-08-26,8.84,9.01,8.84,8.94,-0.89
2025-08-25,9.08,9.08,8.89,9.02,1.23
2025-08-24,10.1,10.19,10.01,10.06,0.0
2025-08-21,9.99,10.07,9.99,10.06,0.1
2025-08-20,10.01,10.1,10.0,10.05,-0.2
2025-08-19,10.03,10.15,10.03,10.07,-0.1
2025-08-18,10.07,10.18,10.02,10.08,-0.98
2025-08-17,10.31,10.31,10.11,10.18,0.69
2025-08-14,10.19,10.2,9.99,10.11,0.8
2025-08-13,9.74,10.14,9.71,10.03,1.01
2025-08-12,10.0,10.19,9.82,9.93,0.71
