date,open,high,low,close,volume
2026-06-08,"1,132.00","1,132.00","1,132.00","1,132.00","22,640.00"
2026-06-05,"1,132.00","1,132.00","1,132.00","1,132.00",-2.07
2026-06-04,"1,155.90","1,155.90","1,155.90","1,155.90",2.11
2026-05-25,"1,132.00","1,132.00","1,132.00","1,132.00",0.09
2026-05-22,"1,131.00","1,131.00","1,131.00","1,131.00",0.97
2026-05-21,"1,120.10","1,120.10","1,120.10","1,120.10",0.85
2026-05-13,"1,110.70","1,110.70","1,110.70","1,110.70",3.0
2026-04-30,"1,078.40","1,078.40","1,078.40","1,078.40",3.0
2026-04-27,"1,100.10","1,100.10","1,100.10","1,047.00",-4.83
2026-04-23,"1,201.00","1,201.00","1,100.10","1,100.10",-8.4
2026-04-22,"1,201.00","1,201.00","1,201.00","1,201.00",2.13
2026-04-21,"1,176.00","1,176.00","1,176.00","1,176.00",2.98
2026-04-16,"1,142.00","1,142.00","1,142.00","1,142.00",-1.56
2026-04-08,"1,160.10","1,160.10","1,160.10","1,160.10",-0.92
2026-04-01,"1,160.00","1,170.90","1,160.00","1,170.90",1.99
2026-03-31,"1,148.00","1,148.00","1,148.00","1,148.00",-1.27
2026-03-25,"1,162.80","1,162.80","1,162.80","1,162.80",2.0
2026-03-24,"1,140.00","1,140.00","1,140.00","1,140.00",-1.3
2026-03-22,"1,157.00","1,157.00","1,155.00","1,155.00",1.75
2026-03-16,"1,135.10","1,135.10","1,135.10","1,135.10",0.0
2026-03-12,"1,149.00","1,149.00","1,135.00","1,135.10",0.72
2026-03-10,"1,127.00","1,127.00","1,127.00","1,127.00",-0.09
2026-03-01,"1,128.00","1,128.00","1,128.00","1,128.00",-1.05
2026-02-17,"1,118.00","1,140.00","1,118.00","1,140.00",1.97
2026-02-16,"1,118.00","1,118.00","1,118.00","1,118.00",0.0
2026-02-11,"1,118.00","1,118.00","1,118.00","1,118.00",-0.18
2026-02-08,"1,120.00","1,120.00","1,120.00","1,120.00",-1.75
2026-01-18,"1,140.00","1,140.00","1,140.00","1,140.00",-1.72
2026-01-13,"1,160.00","1,160.00","1,160.00","1,160.00",0.87
2026-01-12,"1,150.00","1,150.00","1,150.00","1,150.00",-0.44
2026-01-07,"1,155.10","1,155.10","1,155.10","1,155.10",-0.51
2026-01-01,"1,161.00","1,161.00","1,161.00","1,161.00",0.42
2025-12-31,"1,160.10","1,160.10","1,156.10","1,156.10",-0.34
2025-12-23,"1,160.00","1,160.00","1,160.00","1,160.00",-0.5
2025-12-21,"1,165.80","1,165.80","1,165.80","1,165.80",1.99
2025-12-18,"1,143.00","1,143.00","1,143.00","1,143.00",-0.61
2025-12-17,"1,145.00","1,150.00","1,145.00","1,150.00",0.52
2025-12-15,"1,144.00","1,144.00","1,144.00","1,144.00",-1.79
