date,open,high,low,close,volume
2026-06-08,505.00,505.00,498.10,500.00,"9,622,598.70"
2026-06-05,505.0,505.0,498.1,500.0,0.0
2026-06-04,508.8,509.2,495.0,500.0,-0.79
2026-06-03,502.0,505.0,493.0,504.0,2.02
2026-06-02,491.0,495.0,483.1,494.0,1.65
2026-06-01,491.0,496.0,483.0,486.0,-0.98
2026-05-27,491.0,493.7,485.0,490.8,0.06
2026-05-26,498.7,498.9,487.5,490.5,-0.81
2026-05-25,498.1,498.1,491.0,494.5,0.71
2026-05-22,484.0,491.8,484.0,491.0,0.82
2026-05-21,492.0,492.3,485.0,487.0,-0.81
2026-05-20,489.6,491.8,487.0,491.0,0.82
2026-05-19,486.0,488.0,484.0,487.0,0.56
2026-05-18,485.0,487.9,484.2,484.3,-0.14
2026-05-15,481.0,488.0,480.0,485.0,0.83
2026-05-14,480.3,489.9,480.3,481.0,-0.74
2026-05-13,483.1,485.0,478.0,484.6,-0.06
2026-05-12,494.5,495.0,483.4,484.9,-1.62
2026-05-11,490.5,496.3,489.0,492.9,0.59
2026-05-08,488.0,491.5,477.2,490.0,1.05
2026-05-07,481.0,484.9,477.0,484.9,0.19
2026-05-06,496.9,496.9,477.1,484.0,-1.43
2026-05-05,497.6,497.6,482.7,491.0,1.17
2026-05-04,504.0,504.0,485.1,485.3,-1.36
2026-04-30,490.0,494.0,480.1,492.0,0.2
2026-04-29,487.0,491.0,480.0,491.0,0.82
2026-04-28,486.0,491.9,485.0,487.0,0.21
2026-04-27,487.0,492.0,478.0,486.0,-0.21
2026-04-24,480.0,490.0,480.0,487.0,-0.61
2026-04-23,495.0,495.0,481.2,490.0,-0.81
2026-04-22,485.0,495.4,476.1,494.0,1.65
2026-04-21,498.0,498.0,485.1,486.0,-1.42
2026-04-20,502.0,503.9,493.0,493.0,-1.93
2026-04-17,504.9,507.0,495.0,502.7,-0.44
2026-04-16,500.0,508.0,495.0,504.9,1.02
2026-04-15,495.0,505.0,492.1,499.8,0.77
2026-04-13,498.9,500.0,492.0,496.0,-0.4
2026-04-10,512.0,512.0,495.0,498.0,-0.97
2026-04-09,490.1,507.0,490.0,502.9,1.39
2026-04-08,490.0,496.0,485.0,496.0,2.31
2026-04-07,494.9,494.9,479.0,484.8,-0.45
2026-04-06,470.0,490.0,470.0,487.0,4.28
2026-04-05,479.0,479.0,465.0,467.0,-4.3
2026-04-02,480.0,494.6,477.0,488.0,0.41
2026-04-01,500.0,500.0,482.0,486.0,-3.09
2026-03-31,488.3,507.7,488.3,501.5,0.7
2026-03-30,506.9,511.0,496.0,498.0,-1.78
2026-03-29,514.0,522.0,504.0,507.0,-3.24
2026-03-26,510.0,524.0,505.0,524.0,0.96
2026-03-25,540.0,544.8,514.0,519.0,-2.99
2026-03-24,535.5,539.0,522.1,535.0,1.9
2026-03-23,528.0,535.0,516.1,525.0,-0.57
2026-03-22,522.9,535.0,518.6,528.0,2.15
2026-03-19,506.0,522.2,495.0,516.9,4.05
2026-03-17,495.0,497.0,487.2,496.8,0.16
2026-03-16,504.0,511.9,486.1,496.0,-1.59
2026-03-15,497.0,512.0,495.7,504.0,-0.34
2026-03-12,504.0,507.8,493.0,505.7,2.16
2026-03-11,505.0,515.0,492.0,495.0,-3.79
2026-03-10,524.0,525.0,498.9,514.5,-1.81
2026-03-09,494.4,524.0,494.4,524.0,8.09
2026-03-03,469.0,484.8,469.0,484.8,2.08
2026-03-01,465.0,474.9,461.0,474.9,1.04
2026-02-26,466.0,471.5,464.0,470.0,0.47
2026-02-25,471.0,472.0,465.3,467.8,-0.89
2026-02-24,469.5,473.0,463.0,472.0,1.72
2026-02-23,460.0,467.5,459.0,464.0,0.87
2026-02-22,468.2,470.0,458.2,460.0,-2.95
2026-02-17,478.3,478.3,472.0,474.0,-1.86
2026-02-16,485.9,485.9,476.0,483.0,1.28
2026-02-12,480.4,487.0,470.0,476.9,1.25
2026-02-11,477.0,480.0,467.1,471.0,-0.21
2026-02-10,482.0,492.0,467.1,472.0,-0.21
2026-02-09,480.0,485.0,470.5,473.0,-1.46
2026-02-08,493.8,493.9,479.0,480.0,-1.03
2026-02-05,482.9,486.9,475.0,485.0,1.04
2026-02-04,481.0,483.4,473.1,480.0,1.27
2026-02-03,490.0,490.0,474.0,474.0,-2.47
2026-02-02,484.1,490.0,483.8,486.0,0.41
2026-02-01,483.0,490.0,478.0,484.0,-0.41
2026-01-29,508.9,508.9,486.0,486.0,-2.9
2026-01-28,505.0,514.9,492.3,500.5,-0.89
2026-01-27,523.7,555.0,500.0,505.0,-1.94
2026-01-26,527.3,530.0,510.0,515.0,-1.53
2026-01-25,488.1,525.0,488.1,523.0,5.02
2026-01-22,500.0,500.0,491.0,498.0,-0.4
2026-01-21,515.0,515.0,495.1,500.0,-1.19
2026-01-20,504.8,515.0,502.0,506.0,2.22
2026-01-18,487.0,509.0,487.0,495.0,1.68
2026-01-14,486.6,502.0,486.1,486.8,-1.95
2026-01-13,490.1,505.0,489.2,496.5,1.74
2026-01-12,476.1,493.0,476.1,488.0,2.87
2026-01-08,479.0,480.0,469.0,474.4,0.08
2026-01-07,491.0,492.0,471.1,474.0,-2.67
2026-01-06,495.6,502.0,482.0,487.0,0.21
2026-01-05,446.0,486.0,446.0,486.0,6.81
2026-01-04,456.2,464.9,453.0,455.0,-1.09
2026-01-01,463.9,466.0,457.0,460.0,0.44
2025-12-31,466.0,474.0,458.0,458.0,-1.51
2025-12-29,476.0,483.0,463.1,465.0,-2.31
2025-12-28,468.5,479.0,464.2,476.0,3.05
2025-12-24,475.0,481.0,461.9,461.9,-3.57
2025-12-23,489.0,489.0,475.0,479.0,-2.04
2025-12-22,479.0,490.0,470.0,489.0,3.06
2025-12-21,465.0,477.0,460.0,474.5,1.41
2025-12-18,469.0,473.0,461.0,467.9,-0.4
2025-12-17,472.0,479.8,466.0,469.8,-0.45
2025-12-16,450.9,473.0,446.2,471.9,5.81
2025-12-15,444.0,448.7,440.0,446.0,0.79
2025-12-14,440.0,456.0,440.0,442.5,-1.43
2025-12-11,450.0,452.0,446.0,448.9,-0.24
2025-12-10,441.8,456.9,441.8,450.0,-0.18
2025-12-09,450.0,450.9,445.0,450.8,1.49
2025-12-08,445.0,452.5,442.3,444.2,-0.18
2025-12-07,443.0,452.0,441.0,445.0,0.02
2025-12-03,454.0,458.0,442.0,444.9,-1.13
2025-12-02,450.0,458.0,450.0,450.0,-0.55
2025-12-01,449.0,461.0,447.1,452.5,0.78
2025-11-30,458.0,460.0,447.3,449.0,-1.75
2025-11-27,465.0,467.0,455.0,457.0,-1.3
2025-11-26,465.7,472.0,458.1,463.0,-0.64
2025-11-25,482.0,482.0,460.6,466.0,-1.58
2025-11-24,457.0,477.0,457.0,473.5,1.61
2025-11-23,448.0,467.9,448.0,466.0,4.23
2025-11-20,444.0,454.0,444.0,447.1,-1.3
2025-11-19,465.0,465.0,448.0,453.0,-1.29
2025-11-18,453.2,469.5,452.1,458.9,1.96
2025-11-17,444.0,461.0,444.0,450.1,0.92
2025-11-16,459.5,459.5,442.0,446.0,-1.33
2025-11-13,438.4,460.0,438.4,452.0,1.05
2025-11-12,455.0,455.0,446.0,447.3,-0.69
2025-11-11,454.5,459.9,441.0,450.4,-0.99
2025-11-10,465.0,470.0,449.1,454.9,-1.96
2025-11-09,477.1,477.1,460.0,464.0,-4.68
2025-11-06,504.9,504.9,482.0,486.8,-1.66
2025-11-05,478.3,495.7,476.5,495.0,2.68
2025-11-04,492.2,500.0,481.4,482.1,-2.21
2025-11-03,498.0,509.0,489.0,493.0,-0.82
2025-11-02,503.0,518.0,497.1,497.1,-1.37
2025-10-30,479.0,505.0,472.0,504.0,5.22
2025-10-29,492.0,505.0,473.0,479.0,-2.44
2025-10-28,452.0,492.0,452.0,491.0,9.35
2025-10-26,433.0,449.0,433.0,449.0,1.63
2025-10-19,440.0,448.0,435.5,441.8,-0.47
2025-10-16,455.0,455.0,435.0,443.9,-1.14
2025-10-15,447.0,453.0,436.0,449.0,-1.1
2025-10-14,463.5,468.0,445.0,454.0,-2.05
2025-10-13,455.0,465.0,445.6,463.5,2.09
2025-10-12,481.0,481.0,440.0,454.0,-5.36
2025-10-09,475.0,494.0,473.0,479.7,2.94
2025-10-08,494.7,494.7,460.0,466.0,-3.92
2025-10-07,497.0,503.0,478.1,485.0,-3.75
2025-09-28,514.0,514.0,498.0,503.9,-0.42
2025-09-25,502.7,510.0,495.0,506.0,-0.98
2025-09-24,513.0,526.0,501.2,511.0,-1.56
2025-09-23,512.0,529.0,512.0,519.1,0.85
2025-09-21,489.1,522.0,482.0,514.71,3.15
2025-09-18,511.9,511.9,472.0,499.0,-4.46
2025-09-08,519.0,534.0,519.0,522.27,-1.37
2025-09-07,536.0,548.0,520.0,529.53,0.19
2025-09-04,536.9,536.9,521.0,528.5,0.03
2025-09-03,525.9,540.0,525.9,528.32,-1.14
2025-09-02,551.0,551.0,533.0,534.4,-1.08
2025-09-01,544.9,544.9,530.0,540.26,0.91
2025-08-31,550.0,554.6,526.5,535.38,-3.18
2025-08-28,572.0,580.0,550.0,552.99,-4.18
2025-08-27,550.0,579.0,550.0,577.1,5.23
2025-08-26,533.0,550.0,533.0,548.42,2.29
2025-08-25,522.0,539.0,511.8,536.14,2.67
2025-08-24,536.5,543.9,520.9,522.19,-2.47
2025-08-21,531.8,545.0,531.8,535.41,-0.07
2025-08-20,544.0,546.9,532.1,535.77,0.07
2025-08-19,548.0,551.8,534.0,535.4,-0.62
2025-08-18,539.0,548.2,531.0,538.75,0.69
2025-08-17,546.1,561.0,531.0,535.06,-2.99
2025-08-14,568.2,569.5,549.2,551.56,-1.52
2025-08-13,548.7,575.0,548.7,560.08,0.04
2025-08-12,560.0,569.0,540.0,559.88,1.61
2025-08-11,576.0,579.8,548.1,551.03,-4.1
2025-08-07,562.1,584.9,562.1,574.56,1.18
2025-08-06,581.0,592.0,565.5,567.87,-2.39
2025-08-05,627.2,627.2,578.1,581.77,-5.4
2025-08-04,613.5,638.0,612.4,614.96,-1.75
2025-08-03,605.0,633.0,605.0,625.93,2.5
2025-07-31,617.0,628.8,600.0,610.66,-1.0
2025-07-30,635.0,643.0,614.0,616.83,-2.97
2025-07-29,640.0,646.3,623.2,635.68,0.3
2025-07-28,633.0,645.0,610.0,633.81,2.0
2025-07-27,575.0,627.0,575.0,621.39,8.47
2025-07-24,558.0,579.0,546.0,572.85,4.05
2025-07-23,564.0,564.0,542.1,550.55,-0.45
2025-07-22,555.0,566.0,546.0,553.02,0.61
2025-07-21,500.2,554.0,500.2,549.69,7.7
2025-07-20,493.0,517.0,486.1,510.38,3.59
2025-07-17,490.3,500.0,475.3,492.67,2.49
2025-07-16,458.0,484.0,456.0,480.69,6.26
2025-07-15,455.0,455.0,446.5,452.36,1.12
2025-07-14,447.0,455.0,446.3,447.37,-1.24
2025-07-13,451.2,460.0,444.1,453.0,2.39
2025-07-10,440.0,448.8,434.0,442.44,2.55
2025-07-09,438.0,444.0,429.3,431.43,0.46
2025-07-08,430.0,434.9,427.3,429.47,-0.51
2025-07-07,438.5,443.8,431.1,431.65,-1.52
2025-07-06,443.0,450.0,436.1,438.32,-1.37
2025-07-03,448.9,459.0,441.5,444.4,-0.55
2025-07-02,443.0,455.0,434.0,446.85,2.5
2025-07-01,428.5,440.0,428.5,435.95,1.27
2025-06-30,430.0,438.6,425.0,430.48,1.61
2025-06-29,415.0,426.0,413.2,423.64,1.67
2025-06-26,421.0,426.0,415.2,416.7,-1.47
2025-06-25,413.9,426.7,413.9,422.93,1.09
2025-06-24,422.2,429.0,417.0,418.39,-0.76
2025-06-23,413.0,428.0,413.0,421.61,0.34
2025-06-22,424.4,446.7,418.0,420.2,-2.97
2025-06-19,437.0,445.0,430.0,433.05,-0.99
2025-06-18,435.0,447.7,432.3,437.38,0.48
2025-06-17,432.9,441.9,432.9,435.27,0.18
2025-06-16,432.6,449.0,432.6,434.49,-1.46
2025-06-15,452.0,452.0,440.4,440.94,-0.64
2025-06-12,447.5,452.8,440.0,443.8,-0.5
2025-06-11,445.7,462.0,443.3,446.01,-1.92
2025-06-10,443.9,458.0,440.6,454.74,3.77
2025-06-09,432.2,445.0,432.2,438.24,-0.35
2025-06-08,450.0,455.0,435.6,439.8,-1.05
2025-06-05,445.1,459.9,442.0,444.45,-1.81
2025-06-04,450.1,464.0,450.1,452.63,-1.04
2025-06-03,453.0,468.3,453.0,457.38,-1.0
2025-06-02,470.1,472.0,460.0,462.02,0.23
2025-05-28,445.0,465.9,445.0,460.97,2.36
2025-05-27,443.0,463.0,440.0,450.36,1.36
2025-05-26,456.9,466.0,442.1,444.31,-0.82
2025-05-25,452.0,464.8,445.0,448.0,-2.5
2025-05-22,452.0,469.0,452.0,459.5,-0.1
2025-05-21,488.2,493.0,458.0,459.95,-3.91
2025-05-20,454.6,487.0,454.6,478.69,3.23
2025-05-19,448.8,468.9,448.8,463.71,1.27
2025-05-18,474.0,485.0,452.0,457.89,-2.74
2025-05-15,470.4,489.0,465.5,470.78,-1.92
2025-05-14,465.0,490.0,458.1,480.0,4.15
2025-05-13,451.0,469.9,450.0,460.86,4.22
2025-05-11,420.2,450.0,419.1,442.18,6.55
2025-05-08,410.0,417.2,396.0,414.99,1.44
2025-05-07,390.0,413.0,385.8,409.09,3.93
2025-05-06,381.0,399.0,381.0,393.63,1.26
2025-05-05,376.5,390.5,376.5,388.72,1.25
