date,open,high,low,close,volume
2026-06-08,"1,063.00","1,144.80","1,063.00","1,144.80","73,630,402.40"
2026-06-05,"1,063.00","1,144.80","1,063.00","1,144.80",7.7
2026-05-27,"1,087.40","1,087.40","1,063.00","1,063.00",-1.97
2026-05-21,"1,084.40","1,084.40","1,084.40","1,084.40",0.38
2026-05-11,"1,080.40","1,080.40","1,080.30","1,080.30",-2.68
2026-04-28,"1,100.00","1,110.00","1,110.00","1,110.00",0.91
2026-04-07,"1,100.00","1,100.00","1,100.00","1,100.00",0.46
2026-04-06,"1,110.00","1,110.00","1,095.00","1,095.00",-3.1
2026-03-22,"1,100.00","1,130.00","1,100.00","1,130.00",2.63
2026-03-17,"1,102.00","1,102.00","1,101.00","1,101.00",0.54
2026-03-16,"1,119.00","1,119.00","1,095.00","1,095.10",-3.94
2026-03-03,"1,140.00","1,140.00","1,140.00","1,140.00",-1.72
2026-01-26,"1,161.00","1,161.00","1,161.00","1,160.00",-0.09
2026-01-13,"1,161.00","1,161.00","1,161.00","1,161.00",0.0
2026-01-12,"1,161.00","1,161.00","1,161.00","1,161.00",-0.34
2025-12-28,"1,165.00","1,165.00","1,165.00","1,165.00",-0.09
2025-12-18,"1,122.00","1,166.00","1,122.00","1,166.00",3.92
2025-11-30,"1,100.00","1,122.00","1,100.00","1,122.00",2.0
2025-11-27,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-11-12,"1,113.00","1,113.00","1,113.00","1,100.00",0.79
2025-10-13,"1,091.40","1,091.40","1,091.40","1,091.40",2.0
2025-10-12,"1,071.10","1,071.10","1,070.00","1,070.00",-1.59
2025-10-09,"1,087.00","1,087.30","1,087.00","1,087.30",2.0
2025-10-08,"1,045.10","1,045.10","1,045.10","1,066.00",2.0
2025-09-21,"1,045.10","1,045.10","1,045.10","1,045.10",0.49
2025-09-02,"1,040.10","1,040.10","1,040.00","1,040.00",-1.42
2025-08-31,"1,055.00","1,055.00","1,055.00","1,055.00",1.44
