date,open,high,low,close,volume
2026-06-08,223.60,225.90,222.10,223.10,"12,381,092.30"
2026-06-05,223.6,225.9,222.1,223.1,-1.24
2026-06-04,229.4,229.8,223.0,225.9,-0.44
2026-06-03,225.0,230.0,225.0,226.9,-0.35
2026-06-02,224.4,229.8,224.0,227.7,1.61
2026-06-01,233.0,234.0,223.5,224.1,-4.03
2026-05-27,242.2,242.2,230.0,233.5,0.04
2026-05-26,238.0,238.0,231.5,233.4,-1.1
2026-05-25,222.0,237.9,222.0,236.0,1.29
2026-05-22,238.3,238.3,225.5,233.0,2.64
2026-05-21,241.0,241.0,226.0,227.0,-1.13
2026-05-20,225.0,230.0,222.0,229.6,2.96
2026-05-19,228.5,228.5,222.1,223.0,-1.11
2026-05-18,225.0,226.0,222.3,225.5,1.12
2026-05-15,223.0,227.0,222.0,223.0,-0.36
2026-05-14,222.0,224.7,221.1,223.8,0.36
2026-05-13,224.0,226.0,220.6,223.0,-0.49
2026-05-12,235.0,235.9,223.0,224.1,-3.41
2026-05-11,230.0,233.2,227.0,232.0,2.02
2026-05-08,211.0,230.0,211.0,227.4,2.52
2026-05-07,216.0,222.0,216.0,221.8,1.28
2026-05-06,218.0,223.0,218.0,219.0,-0.45
2026-05-05,218.0,224.5,216.3,220.0,0.92
2026-05-04,223.0,225.0,216.6,218.0,-1.8
2026-04-30,220.2,225.0,219.0,222.0,-0.8
2026-04-29,236.7,236.7,222.0,223.8,-0.75
2026-04-28,233.0,234.8,225.0,225.5,-2.04
2026-04-27,232.0,237.0,230.0,230.2,-0.78
2026-04-24,226.0,235.0,226.0,232.0,0.43
2026-04-23,237.0,240.0,230.1,231.0,-1.7
2026-04-22,244.0,244.0,226.0,235.0,1.08
2026-04-21,245.0,245.0,232.2,232.5,-2.72
2026-04-20,240.1,244.0,237.0,239.0,-2.45
2026-04-17,241.0,245.5,235.2,245.0,1.66
2026-04-16,253.0,253.0,240.0,241.0,-3.75
2026-04-15,250.0,258.4,250.0,250.4,0.16
2026-04-13,248.0,254.3,239.2,250.0,2.46
2026-04-10,238.1,246.1,237.1,244.0,0.83
2026-04-09,235.8,242.3,231.0,242.0,3.64
2026-04-08,234.6,237.0,230.0,233.5,0.65
2026-04-07,237.7,240.0,228.7,232.0,-1.28
2026-04-06,219.0,236.0,216.0,235.0,8.8
2026-04-05,230.4,231.0,215.1,216.0,-8.05
2026-04-02,227.0,237.0,226.0,234.9,2.13
2026-04-01,239.3,244.9,227.0,230.0,-5.78
2026-03-31,242.0,248.1,235.0,244.1,1.2
2026-03-30,250.0,254.9,241.0,241.2,-3.52
2026-03-29,260.0,263.0,248.3,250.0,-4.03
2026-03-26,262.0,262.7,252.8,260.5,1.13
2026-03-25,267.0,268.3,257.0,257.6,-4.17
2026-03-24,271.0,276.0,267.0,268.8,0.3
2026-03-23,261.0,271.0,256.1,268.0,2.68
2026-03-22,265.4,269.0,255.0,261.0,-1.62
2026-03-19,267.0,275.0,262.9,265.3,0.91
2026-03-17,249.3,265.9,240.0,262.9,7.53
2026-03-16,256.0,256.0,242.4,244.5,-2.59
2026-03-15,255.0,255.0,245.2,251.0,-0.2
2026-03-12,241.0,254.0,238.0,251.5,6.25
2026-03-11,239.0,244.8,232.9,236.7,-0.13
2026-03-10,247.0,247.0,229.0,237.0,-2.47
2026-03-09,226.0,243.7,226.0,243.0,9.66
2026-03-03,216.0,224.9,215.0,221.6,1.74
