date,open,high,low,close,volume
2026-06-08,820.10,821.00,816.10,818.00,"31,502,825.70"
2026-06-05,820.10,821.00,816.10,818.00,-0.24
2026-06-04,821.00,830.00,815.20,820.00,0.0
2026-06-03,817.00,840.00,813.50,820.00,0.68
2026-06-02,827.90,827.90,812.00,814.50,0.18
2026-06-01,818.00,827.00,811.30,813.00,-0.61
2026-05-27,815.00,822.50,810.20,818.00,0.37
2026-05-26,815.10,825.00,810.10,815.00,-0.61
2026-05-25,829.00,829.00,813.00,820.00,0.86
2026-05-22,815.00,815.00,809.10,813.00,-0.72
2026-05-21,825.00,825.00,807.00,818.90,0.11
2026-05-20,814.00,818.00,812.20,818.00,0.49
2026-05-19,810.00,815.00,806.00,814.00,0.25
2026-05-18,810.50,824.70,810.50,812.00,-0.25
2026-05-15,808.60,815.00,805.20,814.00,0.01
2026-05-14,815.00,815.00,807.70,813.90,0.23
2026-05-13,812.00,815.00,808.00,812.00,0.0
2026-05-12,821.00,828.80,810.30,812.00,-0.73
2026-05-11,820.00,820.00,812.00,818.00,0.2
2026-05-08,827.60,827.60,809.10,816.40,0.54
2026-05-07,805.30,815.90,805.20,812.00,0.37
2026-05-06,805.10,813.00,805.10,809.00,0.25
2026-05-05,805.00,815.00,805.00,807.00,-0.12
2026-05-04,805.20,823.00,802.20,808.00,-0.01
2026-04-30,806.10,814.80,802.10,808.10,-0.97
2026-04-29,818.00,818.00,811.00,816.00,-0.24
2026-04-28,814.90,830.00,810.10,818.00,0.38
2026-04-27,820.00,828.00,810.00,814.90,-0.62
2026-04-24,821.00,821.00,806.10,820.00,-0.12
2026-04-23,814.00,829.00,811.00,821.00,0.11
2026-04-22,813.50,833.90,805.60,820.10,-0.21
2026-04-21,861.00,861.00,815.50,821.80,0.22
2026-04-20,823.50,834.00,810.00,820.00,-0.5
2026-04-17,825.00,837.40,810.00,824.10,-0.11
2026-04-16,829.00,831.00,822.00,825.00,-0.59
2026-04-15,844.50,844.50,821.30,829.90,-0.01
2026-04-13,849.60,849.60,829.00,830.00,-0.36
2026-04-10,833.20,842.00,833.00,833.00,-1.65
2026-04-09,840.00,853.00,834.00,847.00,1.07
2026-04-08,830.00,840.00,826.00,838.00,1.95
2026-04-07,836.90,838.00,820.00,822.00,-0.36
