date,open,high,low,close,volume
2026-06-08,253.90,254.00,248.00,249.70,"21,137,301.40"
2026-06-05,253.9,254.0,248.0,249.7,-1.65
2026-06-04,254.0,254.4,250.0,253.9,0.75
2026-06-03,255.0,255.0,250.0,252.0,-0.24
2026-06-02,253.8,253.8,249.0,252.6,0.64
2026-06-01,257.0,257.0,249.3,251.0,-0.87
2026-05-27,254.0,254.9,250.0,253.2,-0.31
2026-05-26,255.0,256.0,251.0,254.0,-0.2
2026-05-25,253.7,256.8,253.7,254.5,0.63
2026-05-22,253.0,253.0,248.1,252.9,0.76
2026-05-21,252.0,253.6,250.0,251.0,-1.18
2026-05-20,248.5,254.0,247.1,254.0,2.21
2026-05-19,246.3,250.0,246.0,248.5,-0.56
2026-05-18,249.0,250.0,245.0,249.9,0.36
2026-05-15,251.0,251.0,246.5,249.0,0.4
2026-05-14,251.0,251.0,246.0,248.0,-0.6
2026-05-13,249.5,250.1,245.5,249.5,0.0
2026-05-12,253.0,254.0,248.1,249.5,-1.38
2026-05-11,253.0,253.5,250.5,253.0,0.96
2026-05-08,249.0,250.7,246.1,250.6,0.64
2026-05-07,250.0,250.0,242.6,249.0,1.63
2026-05-06,246.8,247.0,243.0,245.0,0.41
2026-05-05,242.0,246.0,240.5,244.0,0.83
2026-05-04,242.0,247.0,240.0,242.0,-0.04
2026-04-30,243.7,247.0,240.0,242.1,-0.78
2026-04-29,247.0,250.0,244.0,244.0,-1.21
2026-04-28,250.0,256.0,245.9,247.0,-1.2
2026-04-27,244.6,252.1,244.7,250.0,2.21
2026-04-24,238.4,247.9,238.4,244.6,-0.16
2026-04-23,252.9,252.9,244.0,245.0,-2.0
2026-04-22,249.2,252.1,244.2,250.0,0.0
2026-04-21,254.0,254.0,250.0,250.0,-0.44
2026-04-20,240.0,257.0,240.0,251.1,-0.36
2026-04-17,250.1,253.0,249.1,252.0,0.36
2026-04-16,254.0,255.9,250.0,251.1,-1.14
2026-04-15,257.0,262.0,253.0,254.0,0.79
2026-04-13,252.0,253.0,248.8,252.0,-0.2
2026-04-10,254.1,258.0,250.9,252.5,-2.13
2026-04-09,250.9,259.0,250.9,258.0,0.78
2026-04-08,253.8,257.0,247.0,256.0,2.85
2026-04-07,245.0,254.0,244.7,248.9,-0.44
2026-04-06,238.1,250.0,238.0,250.0,3.95
2026-04-05,243.1,247.9,237.1,240.5,-3.02
2026-04-02,243.1,256.0,243.0,248.0,0.0
2026-04-01,259.5,259.5,245.0,248.0,-2.55
2026-03-31,248.0,256.0,248.0,254.5,1.39
2026-03-30,254.3,263.1,247.0,251.0,-2.37
2026-03-29,272.2,272.2,257.0,257.1,-3.67
2026-03-26,266.0,269.0,252.9,266.9,-0.04
2026-03-25,269.2,284.0,265.4,267.0,-2.73
2026-03-24,274.0,275.0,265.0,274.5,0.55
2026-03-23,272.0,282.9,265.1,273.0,-1.09
2026-03-22,271.9,280.0,264.0,276.0,3.53
2026-03-19,247.5,268.0,247.5,266.6,5.58
2026-03-17,245.0,255.3,245.0,252.5,1.0
2026-03-16,260.6,260.6,249.0,250.0,-2.15
2026-03-15,254.5,256.0,249.9,255.5,2.0
2026-03-12,244.0,252.9,237.2,250.5,2.66
2026-03-11,251.0,252.0,242.0,244.0,-0.85
2026-03-10,257.0,258.0,242.0,246.1,-3.72
2026-03-09,240.9,255.6,240.9,255.6,8.21
2026-03-03,237.2,237.2,230.0,236.2,1.55
2026-03-01,226.0,233.0,218.0,232.6,1.31
2026-02-26,232.5,232.5,227.3,229.6,0.7
2026-02-25,229.2,229.2,224.0,228.0,-0.13
2026-02-24,229.5,229.5,224.0,228.3,0.62
2026-02-23,222.4,227.0,222.4,226.9,0.89
2026-02-22,227.0,227.9,223.7,224.9,-0.49
2026-02-17,230.0,230.0,224.0,226.0,-0.88
2026-02-16,230.0,230.0,227.0,228.0,-0.44
2026-02-12,228.0,230.2,227.0,229.0,0.84
2026-02-11,229.8,230.4,225.0,227.1,0.53
2026-02-10,225.0,227.0,223.5,225.9,0.4
2026-02-09,228.0,230.0,225.0,225.0,-2.17
2026-02-08,230.9,233.7,228.0,230.0,1.32
2026-02-05,224.5,227.5,223.0,227.0,1.25
2026-02-04,222.4,228.5,222.4,224.2,-1.19
2026-02-03,230.0,230.0,224.5,226.9,-0.92
2026-02-02,230.0,231.0,228.0,229.0,0.44
2026-02-01,230.0,233.0,227.0,228.0,-1.68
2026-01-29,230.5,234.5,229.0,231.9,0.61
2026-01-28,230.0,233.6,228.0,230.5,-0.43
2026-01-27,235.2,239.9,230.5,231.5,-2.32
2026-01-26,246.8,246.8,236.1,237.0,-2.07
2026-01-25,231.9,242.3,230.5,242.0,5.22
2026-01-22,234.6,234.6,226.4,230.0,0.0
2026-01-21,235.0,235.0,227.0,230.0,-0.43
