date,open,high,low,close,volume
2026-06-08,734.00,744.90,720.00,730.70,"3,559,761.10"
2026-06-05,734.00,744.90,720.00,730.70,-0.45
2026-06-04,771.70,771.70,730.00,734.00,-0.14
2026-06-03,730.00,738.70,730.00,735.00,0.44
2026-06-02,715.00,734.00,715.00,731.80,1.78
2026-06-01,729.00,729.00,712.00,719.00,-1.37
2026-05-27,717.00,729.00,716.00,729.00,1.67
2026-05-26,723.00,732.90,715.00,717.00,-1.1
2026-05-25,732.90,733.00,720.00,725.00,0.97
2026-05-22,712.00,721.70,712.00,718.00,0.84
2026-05-21,756.00,756.00,711.50,712.00,-1.11
2026-05-20,729.90,729.90,707.70,720.00,1.15
2026-05-19,707.00,711.80,707.00,711.80,0.88
2026-05-18,730.00,730.00,703.00,705.60,-0.62
2026-05-15,717.00,717.00,709.00,710.00,-0.71
2026-05-14,714.00,720.00,713.00,715.10,0.01
2026-05-13,710.00,727.00,710.00,715.00,-0.29
2026-05-12,730.00,735.00,715.10,717.10,-2.44
2026-05-11,725.00,740.00,725.00,735.00,1.38
2026-05-08,709.00,725.00,709.00,725.00,1.41
2026-05-07,730.00,730.00,708.10,714.90,0.83
2026-05-06,713.00,713.00,709.00,709.00,-0.56
2026-05-05,700.10,714.00,700.10,713.00,0.85
2026-05-04,707.10,715.00,705.10,707.00,-1.64
2026-04-30,711.20,723.00,705.00,718.80,0.53
2026-04-29,761.10,761.10,710.00,715.00,-1.37
2026-04-28,728.00,740.00,719.00,724.90,-0.43
2026-04-27,726.00,740.00,722.10,728.00,0.28
2026-04-24,731.10,730.00,720.00,726.00,-0.7
2026-04-23,740.00,740.00,720.50,731.10,-0.53
2026-04-22,720.00,740.00,718.50,735.00,1.24
2026-04-21,731.00,745.00,725.50,726.00,-0.68
2026-04-20,702.10,766.90,702.10,731.00,-1.08
2026-04-17,728.00,742.00,728.00,739.00,0.54
2026-04-16,731.00,743.00,730.30,735.00,-0.94
2026-04-15,761.90,761.90,741.40,742.00,-0.67
2026-04-13,750.00,755.80,741.00,747.00,-0.4
2026-04-10,769.80,769.80,740.10,750.00,-0.79
2026-04-09,761.40,761.40,740.00,756.00,1.2
2026-04-08,750.00,754.00,736.20,747.00,0.97
2026-04-07,757.80,757.80,732.10,739.80,-0.43
2026-04-06,731.20,774.10,700.00,743.00,3.64
2026-04-05,730.00,735.00,706.10,716.90,-2.46
2026-04-02,763.00,763.00,733.00,735.00,-1.87
