date,open,high,low,close,volume
2026-06-08,350.60,355.00,348.00,354.00,"3,606,999.80"
2026-06-05,350.6,355.0,348.0,354.0,-0.28
2026-06-04,346.0,356.0,346.0,355.0,0.88
2026-06-03,355.0,355.9,348.4,351.9,-0.57
2026-06-02,350.0,355.0,346.0,353.9,1.11
2026-06-01,360.0,360.5,346.6,350.0,-2.78
2026-05-27,358.5,365.0,356.1,360.0,-0.55
2026-05-26,360.0,364.5,360.0,362.0,-1.36
2026-05-25,370.0,372.0,362.0,367.0,-0.52
2026-05-22,335.4,370.0,335.4,368.9,4.5
2026-05-21,343.7,360.4,343.7,353.0,-0.28
2026-05-20,342.6,354.0,342.6,354.0,2.02
2026-05-19,330.6,361.0,330.6,347.0,-0.29
2026-05-18,348.1,352.0,348.0,348.0,-0.11
2026-05-15,346.0,351.0,346.0,348.4,-0.46
2026-05-14,346.0,353.0,346.0,350.0,-0.99
2026-05-13,340.1,355.0,340.1,353.5,1.58
2026-05-12,338.0,360.0,338.0,348.0,-1.97
2026-05-11,344.0,358.0,344.0,355.0,2.9
2026-05-08,340.0,345.0,340.0,345.0,0.82
2026-05-07,340.0,350.0,340.0,342.2,-0.84
2026-05-06,335.4,345.1,335.4,345.1,0.32
2026-05-05,345.1,350.0,335.1,344.0,-0.32
2026-05-04,341.2,350.0,341.2,345.1,-1.57
2026-04-30,345.0,350.6,335.0,350.6,0.17
2026-04-29,358.0,358.0,348.0,350.0,-2.23
2026-04-28,353.0,358.0,350.0,358.0,1.42
2026-04-27,351.0,355.9,351.0,353.0,0.57
2026-04-24,350.0,351.1,343.2,351.0,-0.57
2026-04-23,350.1,358.9,344.2,353.0,-1.4
2026-04-22,358.0,358.0,350.5,358.0,-0.58
2026-04-21,370.0,370.0,360.0,360.1,-1.61
2026-04-20,357.2,380.0,357.2,366.0,0.55
2026-04-17,366.0,369.8,363.0,364.0,-0.87
2026-04-16,375.0,375.0,367.2,367.2,-2.6
2026-04-15,372.0,380.0,366.0,377.0,1.62
2026-04-13,358.0,374.0,358.0,371.0,1.64
2026-04-10,368.1,371.0,365.0,365.0,-2.67
2026-04-09,370.0,379.3,366.0,375.0,0.81
2026-04-08,367.0,373.3,362.0,372.0,3.28
2026-04-07,367.2,369.0,357.0,360.2,0.06
2026-04-06,340.0,363.9,339.3,360.0,6.19
2026-04-05,352.0,354.0,338.1,339.0,-5.31
2026-04-02,360.0,365.0,348.0,358.0,-1.1
2026-04-01,360.0,373.1,359.0,362.0,0.56
2026-03-31,362.0,370.0,354.0,360.0,-2.17
2026-03-30,377.1,381.0,366.6,368.0,-3.41
2026-03-29,385.0,390.0,380.0,381.0,-2.31
2026-03-26,385.0,392.7,380.1,390.0,1.83
2026-03-25,388.0,390.0,380.0,383.0,-1.29
2026-03-24,387.0,394.5,385.5,388.0,-0.15
2026-03-23,394.0,394.0,384.1,388.6,-1.37
2026-03-22,393.2,398.0,390.0,394.0,0.2
2026-03-19,380.0,397.0,380.0,393.2,2.66
2026-03-17,383.0,388.0,377.0,383.0,0.0
2026-03-16,386.0,389.0,380.0,383.0,-0.78
2026-03-15,390.6,390.6,380.0,386.0,0.78
2026-03-12,378.0,397.7,376.0,383.0,0.63
2026-03-11,395.0,395.0,380.3,380.6,-2.91
2026-03-10,389.0,398.0,368.5,392.0,2.62
2026-03-09,368.0,382.9,368.0,382.0,5.82
2026-03-03,345.0,367.1,345.0,361.0,6.18
2026-03-01,350.0,353.9,335.0,340.0,-2.86
2026-02-26,337.0,351.8,335.1,350.0,3.73
2026-02-25,343.0,345.4,336.2,337.4,-1.63
2026-02-24,347.9,351.9,325.0,343.0,-1.41
2026-02-23,364.0,365.0,345.0,347.9,-4.42
2026-02-22,382.0,382.1,364.0,364.0,-4.74
2026-02-17,376.1,384.0,375.1,382.1,0.0
2026-02-16,392.0,395.0,381.1,382.1,-2.1
2026-02-12,399.7,407.7,390.2,390.3,-0.43
2026-02-11,395.0,400.0,390.0,392.0,-1.26
2026-02-10,402.0,403.9,392.1,397.0,-1.24
2026-02-09,400.0,402.0,392.0,402.0,1.13
2026-02-08,395.5,406.0,395.5,397.5,-0.13
2026-02-05,398.0,398.0,390.1,398.0,2.0
2026-02-04,387.0,397.0,387.0,390.2,0.31
2026-02-03,390.0,395.9,388.7,389.0,-0.97
2026-02-02,392.0,400.0,390.0,392.8,0.08
2026-02-01,398.0,404.0,392.2,392.5,-1.88
2026-01-29,400.0,412.0,399.9,400.0,0.13
2026-01-28,388.0,402.5,387.5,399.5,1.16
2026-01-27,392.0,404.9,389.0,394.9,-1.0
2026-01-26,406.0,406.0,394.1,398.9,-0.77
2026-01-25,390.0,404.0,390.0,402.0,3.08
2026-01-22,377.6,390.0,377.6,390.0,1.38
2026-01-21,375.5,389.0,375.5,384.7,0.71
2026-01-20,385.0,394.9,379.8,382.0,0.58
2026-01-18,378.5,382.0,375.0,379.8,-0.03
2026-01-14,375.0,382.9,375.0,379.9,0.5
2026-01-13,389.0,389.0,373.0,378.0,-1.28
2026-01-12,384.4,384.9,378.0,382.9,-0.39
2026-01-08,384.0,388.9,384.0,384.4,-1.41
2026-01-07,384.1,397.5,384.1,389.9,-0.28
2026-01-06,391.9,400.7,380.0,391.0,1.51
2026-01-05,385.0,393.0,378.5,385.2,-0.21
2026-01-04,382.0,399.0,377.0,386.0,-0.77
2026-01-01,384.0,396.9,383.8,389.0,-0.26
2025-12-31,382.1,395.7,382.1,390.0,0.52
2025-12-29,388.2,395.0,388.0,388.0,-1.25
2025-12-28,382.0,392.9,382.0,392.9,2.85
2025-12-24,391.0,391.0,379.0,382.0,-0.52
2025-12-23,380.9,388.0,380.9,384.0,-1.16
