date,open,high,low,close,volume
2026-06-08,"1,260.00","1,270.00","1,251.00","1,267.00","2,011,058.00"
2026-06-05,"1,260.00","1,270.00","1,251.00","1,267.00",0.55
2026-06-04,"1,283.90","1,285.00","1,260.00","1,260.10",-1.78
2026-06-03,"1,231.00","1,283.00","1,231.00","1,283.00",1.42
2026-06-02,"1,261.00","1,295.00","1,260.20","1,265.00",-1.17
2026-06-01,"1,275.00","1,285.00","1,260.00","1,280.00",-1.23
2026-05-27,"1,295.00","1,299.00","1,272.00","1,296.00",0.47
2026-05-26,"1,291.00","1,325.00","1,270.00","1,290.00",-0.54
2026-05-25,"1,290.00","1,310.00","1,265.00","1,297.00",0.7
2026-05-22,"1,277.00","1,299.00","1,275.00","1,288.00",0.86
2026-05-21,"1,297.00","1,300.00","1,277.00","1,277.00",-1.39
2026-05-20,"1,251.10","1,306.00","1,251.10","1,295.00",2.61
2026-05-19,"1,255.00","1,270.00","1,255.00","1,262.00",-0.71
2026-05-18,"1,270.00","1,275.00","1,261.00","1,271.00",0.16
2026-05-15,"1,235.10","1,269.00","1,235.10","1,269.00",1.03
2026-05-14,"1,230.00","1,285.00","1,230.00","1,256.10",-2.63
2026-05-13,"1,280.00","1,300.00","1,277.00","1,290.00",-1.53
2026-05-12,"1,295.00","1,340.00","1,280.10","1,310.00",-0.76
2026-05-11,"1,319.00","1,320.00","1,297.00","1,320.00",2.33
2026-05-08,"1,285.00","1,300.00","1,280.00","1,290.00",0.39
2026-05-07,"1,268.00","1,305.00","1,268.00","1,285.00",0.39
2026-05-06,"1,286.00","1,290.00","1,273.10","1,280.00",-0.47
2026-05-05,"1,286.00","1,315.00","1,285.00","1,286.00",0.0
2026-05-04,"1,343.00","1,343.00","1,286.00","1,286.00",-2.21
2026-04-30,"1,305.00","1,319.00","1,304.00","1,315.00",0.16
2026-04-29,"1,338.00","1,330.00","1,310.00","1,312.90",-1.88
2026-04-28,"1,330.00","1,345.00","1,320.00","1,338.00",0.6
2026-04-27,"1,320.00","1,340.00","1,310.00","1,330.00",0.76
2026-04-24,"1,330.10","1,339.00","1,320.00","1,320.00",-1.23
2026-04-23,"1,349.00","1,350.00","1,330.00","1,336.50",-0.93
2026-04-22,"1,336.10","1,349.00","1,335.00","1,349.00",0.35
2026-04-21,"1,340.00","1,355.00","1,340.00","1,344.30",-1.08
2026-04-20,"1,342.00","1,359.00","1,337.00","1,359.00",0.89
2026-04-17,"1,355.00","1,356.00","1,347.00","1,347.00",-0.59
2026-04-16,"1,355.00","1,362.00","1,345.00","1,355.00",-1.45
2026-04-15,"1,350.00","1,383.00","1,350.00","1,375.00",1.36
2026-04-13,"1,365.20","1,365.20","1,342.00","1,356.50",0.02
