date,open,high,low,close,volume
2026-06-08,324.00,325.00,316.10,321.00,"4,957,714.50"
2026-06-05,324.0,325.0,316.1,321.0,0.16
2026-06-04,324.2,332.9,320.5,320.5,-1.35
2026-06-03,322.2,330.0,321.0,324.9,0.12
2026-06-02,319.1,329.0,319.1,324.5,-0.46
2026-06-01,328.0,334.0,323.0,326.0,-2.51
2026-05-27,337.0,337.0,326.0,334.4,-0.77
2026-05-26,340.0,345.9,335.8,337.0,-0.03
2026-05-25,320.0,342.9,320.0,337.1,5.34
2026-05-22,320.0,325.0,317.0,320.0,0.16
2026-05-21,317.5,321.0,317.0,319.5,-0.16
2026-05-20,314.1,323.0,314.1,320.0,0.16
2026-05-19,324.9,324.9,313.4,319.5,-1.08
2026-05-18,315.0,324.8,315.0,323.0,2.22
2026-05-15,318.0,321.0,316.0,316.0,-0.63
2026-05-14,315.0,324.0,315.0,318.0,-0.59
2026-05-13,315.1,320.0,314.0,319.9,0.28
2026-05-12,325.1,326.0,318.0,319.0,-0.93
2026-05-11,322.0,325.7,318.0,322.0,1.9
2026-05-08,310.2,317.6,310.2,316.0,0.99
2026-05-07,312.6,315.0,310.5,312.9,0.1
2026-05-06,313.0,318.0,312.1,312.6,-0.76
2026-05-05,313.0,319.0,311.8,315.0,0.0
2026-05-04,325.0,325.0,315.0,315.0,-1.25
2026-04-30,316.1,322.0,315.3,319.0,0.19
2026-04-29,321.7,324.4,316.1,318.4,-1.03
2026-04-28,322.6,326.0,319.4,321.7,-0.28
2026-04-27,338.1,338.1,322.6,322.6,0.19
2026-04-24,322.1,330.0,322.0,322.0,-1.23
2026-04-23,346.5,346.5,325.0,326.0,-1.21
2026-04-22,336.0,336.0,323.1,330.0,-0.6
2026-04-21,330.0,337.9,329.0,332.0,-0.6
2026-04-20,335.1,341.0,330.2,334.0,-1.21
2026-04-17,344.7,344.7,333.6,338.1,0.03
2026-04-16,344.0,348.7,336.0,338.0,-3.1
2026-04-15,344.0,355.0,344.0,348.8,1.19
2026-04-13,342.0,351.5,340.0,344.7,1.98
2026-04-10,341.5,345.0,335.0,338.0,-1.17
2026-04-09,332.0,346.5,330.0,342.0,1.66
2026-04-08,331.0,339.8,325.0,336.4,3.38
2026-04-07,336.0,336.0,325.2,325.4,-2.14
2026-04-06,314.0,333.4,314.0,332.5,5.89
2026-04-05,325.3,328.9,313.0,314.0,-5.39
2026-04-02,325.2,338.9,322.5,331.9,0.88
2026-04-01,348.0,351.0,328.0,329.0,-5.46
2026-03-31,343.5,349.9,335.1,348.0,1.31
2026-03-30,350.3,357.3,343.1,343.5,-2.69
2026-03-29,370.0,370.0,350.6,353.0,-3.55
2026-03-26,349.1,367.1,345.0,366.0,4.84
2026-03-25,353.0,358.0,349.1,349.1,-1.83
2026-03-24,353.1,359.9,353.0,355.6,-0.11
2026-03-23,358.0,358.0,351.0,356.0,-0.56
2026-03-22,368.3,368.3,350.0,358.0,-0.86
2026-03-19,361.0,367.1,358.0,361.1,2.01
2026-03-17,354.0,355.0,347.0,354.0,0.0
2026-03-16,371.1,371.1,350.0,354.0,-2.72
2026-03-15,355.0,367.0,353.5,363.9,3.09
2026-03-12,338.2,360.0,335.0,353.0,4.53
2026-03-11,347.9,348.0,331.4,337.7,-1.03
2026-03-10,353.2,360.0,334.2,341.2,-1.47
2026-03-09,339.6,346.3,339.6,346.3,3.99
2026-03-03,319.0,333.0,319.0,333.0,4.26
2026-03-01,315.0,319.5,313.0,319.4,0.44
2026-02-26,319.9,320.0,314.0,318.0,0.32
2026-02-25,316.1,318.0,314.0,317.0,0.38
2026-02-24,316.0,316.0,310.7,315.8,1.19
2026-02-23,316.9,318.0,311.0,312.1,-1.55
2026-02-22,323.3,323.3,313.0,317.0,0.0
2026-02-17,320.1,323.9,315.0,317.0,-0.63
2026-02-16,325.0,325.0,318.0,319.0,-1.24
2026-02-12,329.0,329.0,319.1,323.0,-0.06
2026-02-11,330.0,343.3,322.0,323.2,-2.06
2026-02-10,337.0,346.8,324.5,330.0,-0.33
2026-02-09,343.0,349.6,317.0,331.1,-5.4
2026-02-08,340.0,364.8,334.0,350.0,4.29
2026-02-05,348.0,351.0,335.6,335.6,-3.78
2026-02-04,340.0,349.9,339.0,348.8,1.4
2026-02-03,355.0,358.9,340.0,344.0,-2.55
2026-02-02,359.0,359.0,340.0,353.0,0.28
2026-02-01,370.0,370.0,345.0,352.0,-3.3
2026-01-29,379.0,381.5,357.8,364.0,-2.39
2026-01-28,376.0,380.0,368.0,372.9,-0.82
2026-01-27,347.0,381.0,341.1,376.0,8.36
2026-01-26,357.0,357.0,340.1,347.0,-0.86
2026-01-25,350.0,350.0,343.5,350.0,1.77
2026-01-22,342.0,343.9,335.0,343.9,1.99
2026-01-21,350.9,352.4,337.1,337.2,-2.82
2026-01-20,353.0,353.0,342.1,347.0,0.0
2026-01-18,352.0,352.8,336.0,347.0,0.32
2026-01-14,338.0,345.9,335.0,345.9,1.74
2026-01-13,337.2,340.0,332.2,340.0,0.89
2026-01-12,350.0,354.0,337.0,337.0,-3.71
2026-01-08,348.0,350.0,340.0,350.0,0.06
2026-01-07,348.0,352.0,342.2,349.8,-1.19
2026-01-06,354.0,360.0,349.2,354.0,-0.28
2026-01-05,356.5,356.5,344.0,355.0,1.43
2026-01-04,353.0,359.5,343.0,350.0,-1.96
2026-01-01,356.1,357.0,351.0,357.0,-0.28
2025-12-31,355.0,363.0,355.0,358.0,-1.08
2025-12-29,366.0,370.0,356.8,361.9,-0.85
2025-12-28,356.0,366.0,356.0,365.0,2.24
2025-12-24,367.0,367.0,357.0,357.0,-1.92
2025-12-23,366.0,367.5,353.3,364.0,-0.25
2025-12-22,355.0,367.6,350.5,364.9,0.91
2025-12-21,365.1,366.7,361.2,361.6,-2.24
2025-12-18,367.4,387.0,360.1,369.9,-1.31
2025-12-17,390.0,390.0,367.9,374.8,-2.32
2025-12-16,372.0,383.7,370.5,383.7,1.53
2025-12-15,366.7,377.9,359.5,377.9,1.02
2025-12-14,383.2,384.0,370.5,374.1,-4.05
2025-12-11,386.2,401.4,380.7,389.9,-1.04
2025-12-10,393.0,398.0,390.0,394.0,-0.66
2025-12-09,395.0,397.0,380.2,396.6,1.69
2025-12-08,382.5,397.5,382.5,390.0,0.0
2025-12-07,400.0,400.0,384.6,390.0,-1.27
2025-12-03,392.0,399.0,388.0,395.0,0.03
2025-12-02,389.2,404.1,383.0,394.9,-0.53
2025-12-01,381.0,401.0,381.0,397.0,2.32
2025-11-30,389.2,409.8,388.0,388.0,-1.52
2025-11-27,397.9,408.7,390.0,394.0,-2.96
2025-11-26,414.9,414.9,396.0,406.0,-0.25
2025-11-25,402.7,410.0,402.5,407.0,-0.71
2025-11-24,390.2,409.9,390.2,409.9,2.99
2025-11-23,386.0,399.0,380.0,398.0,1.25
2025-11-20,379.0,400.0,371.5,393.1,1.87
2025-11-19,375.0,386.0,368.0,385.9,1.55
2025-11-18,363.0,392.0,363.0,380.0,2.7
2025-11-17,360.2,371.9,353.3,370.0,0.74
2025-11-16,357.7,367.3,355.3,367.3,0.66
2025-11-13,360.0,366.0,353.2,364.9,-0.55
2025-11-12,373.7,373.7,360.7,366.9,-0.3
2025-11-11,360.0,369.0,358.3,368.0,0.77
2025-11-10,358.3,365.2,355.0,365.2,-0.08
2025-11-09,365.0,370.0,352.9,365.5,-1.22
2025-11-06,362.1,374.9,358.4,370.0,0.27
2025-11-05,363.0,371.9,360.5,369.0,-0.22
2025-11-04,367.2,379.9,360.2,369.8,-1.26
2025-11-03,383.0,389.5,373.5,374.5,-1.71
2025-11-02,367.0,384.2,367.0,381.0,1.93
2025-10-30,358.9,379.3,347.2,373.8,4.44
2025-10-29,355.9,368.0,353.0,357.9,-0.83
2025-10-28,337.2,363.9,337.2,360.9,4.91
2025-10-26,341.0,345.0,339.0,344.0,-0.86
2025-10-19,350.0,350.0,340.1,347.0,0.87
2025-10-16,358.3,372.7,334.2,344.0,-2.08
2025-10-15,365.0,365.0,351.3,351.3,-4.8
2025-10-14,373.0,373.0,361.0,369.0,-2.84
2025-10-13,356.9,381.0,351.1,379.8,4.34
2025-10-12,380.0,380.0,361.5,364.0,-6.06
2025-10-09,386.5,402.0,377.1,387.5,2.24
2025-10-08,386.9,387.0,372.0,379.0,-3.95
2025-10-07,401.0,401.8,384.0,394.6,-3.52
2025-09-28,406.0,409.0,406.0,409.0,0.66
2025-09-25,416.0,416.0,400.0,406.3,-0.42
2025-09-24,398.0,421.0,396.0,408.0,0.77
2025-09-23,400.0,409.3,398.2,404.9,0.53
2025-09-21,365.0,405.0,365.0,402.76,8.56
2025-09-18,378.5,378.5,371.0,371.0,-3.94
2025-09-08,395.0,400.0,378.0,386.21,-3.32
2025-09-07,400.1,403.0,392.1,399.46,-1.67
2025-09-04,407.9,414.0,404.0,406.26,-1.46
2025-09-03,410.0,418.5,410.0,412.26,-0.24
2025-09-02,420.0,425.0,411.0,413.26,-1.42
2025-09-01,419.1,427.0,412.0,419.22,-1.69
2025-08-31,431.3,445.7,425.0,426.41,-2.77
2025-08-28,437.5,453.0,437.0,438.58,-1.73
2025-08-27,449.7,449.7,433.0,446.3,1.2
2025-08-26,453.1,462.1,435.5,441.0,-0.74
2025-08-25,444.9,449.8,437.1,444.3,1.58
2025-08-24,446.1,446.1,435.0,437.4,-1.92
2025-08-21,455.0,462.0,445.0,445.94,-2.31
2025-08-20,463.0,472.0,455.1,456.47,-1.4
2025-08-19,458.0,470.9,458.0,462.97,0.28
2025-08-18,471.7,478.0,454.0,461.69,-0.18
2025-08-17,480.0,483.0,447.0,462.52,-3.45
2025-08-14,460.0,482.9,456.1,479.06,3.89
2025-08-13,431.0,479.6,431.0,461.13,5.74
2025-08-12,438.5,444.3,431.5,436.08,-1.88
2025-08-11,446.1,451.0,441.0,444.44,-1.83
2025-08-07,456.5,456.5,446.0,452.73,1.16
2025-08-06,449.9,459.0,435.6,447.56,0.75
2025-08-05,462.0,462.0,444.0,444.21,-1.95
2025-08-04,437.4,468.9,437.4,453.03,1.51
2025-08-03,470.0,470.0,445.0,446.27,-3.81
2025-07-31,470.5,474.3,461.0,463.93,-1.48
2025-07-30,500.2,500.2,470.0,470.89,-3.99
2025-07-29,493.6,503.4,485.1,490.48,1.35
2025-07-28,480.0,487.0,465.0,483.93,-0.01
2025-07-27,475.0,502.0,475.0,484.0,2.95
2025-07-24,435.1,474.0,435.1,470.15,7.39
2025-07-23,449.0,450.0,435.2,437.78,-1.2
2025-07-22,447.0,448.8,440.0,443.1,0.7
2025-07-21,436.7,443.5,425.0,440.04,2.77
2025-07-20,440.0,447.0,425.2,428.18,-0.84
2025-07-17,422.0,435.0,415.0,431.79,4.36
2025-07-16,411.2,422.8,411.0,413.74,-1.11
2025-07-15,412.6,425.0,412.6,418.4,0.92
2025-07-14,424.0,441.0,414.0,414.57,-0.44
2025-07-13,425.0,433.5,413.6,416.4,-0.48
2025-07-10,420.0,430.0,416.6,418.41,0.3
2025-07-09,411.7,430.0,411.7,417.16,0.76
2025-07-08,412.1,419.8,412.1,414.03,-0.1
2025-07-07,415.0,424.3,413.2,414.44,-1.41
2025-07-06,423.0,431.4,417.0,420.38,-0.71
2025-07-03,430.0,440.9,422.2,423.38,-2.09
2025-07-02,432.1,447.0,425.1,432.4,-1.87
2025-07-01,455.2,455.2,426.3,440.64,-1.28
2025-06-30,458.5,458.5,440.0,446.35,-0.71
2025-06-29,425.0,459.0,423.0,449.55,3.76
2025-06-26,436.9,445.6,420.0,433.26,1.13
