date,open,high,low,close,volume
2026-06-08,"1,200.00","1,209.50","1,181.00","1,209.50","1,834,257.90"
2026-06-05,"1,200.00","1,209.50","1,181.00","1,209.50",-0.03
2026-06-04,"1,190.00","1,214.00","1,190.00","1,209.90",0.07
2026-06-03,"1,195.00","1,210.00","1,190.00","1,209.00",1.17
2026-06-02,"1,180.00","1,195.00","1,180.00","1,195.00",-0.25
2026-06-01,"1,200.00","1,229.00","1,181.70","1,198.00",-0.17
2026-05-27,"1,195.00","1,200.00","1,190.00","1,200.00",0.33
2026-05-26,"1,190.00","1,196.00","1,185.00","1,196.00",-0.17
2026-05-25,"1,220.00","1,220.00","1,183.00","1,198.00",0.0
2026-05-22,"1,172.00","1,199.80","1,172.00","1,198.00",1.53
2026-05-21,"1,195.00","1,200.00","1,180.00","1,180.00",-0.92
2026-05-20,"1,190.00","1,191.00","1,190.00","1,191.00",0.17
2026-05-19,"1,218.50","1,218.50","1,173.00","1,189.00",-0.5
2026-05-18,"1,190.00","1,195.00","1,180.10","1,195.00",-0.33
2026-05-15,"1,181.50","1,199.00","1,169.00","1,199.00",1.61
2026-05-14,"1,164.50","1,190.00","1,164.50","1,180.00",-1.01
2026-05-13,"1,170.20","1,199.80","1,170.20","1,192.00",-0.25
2026-05-12,"1,207.00","1,207.00","1,191.00","1,195.00",-1.89
2026-05-11,"1,224.50","1,225.00","1,206.10","1,218.00",1.5
2026-05-08,"1,196.00","1,209.00","1,196.00","1,200.00",-0.33
2026-05-07,"1,150.00","1,230.00","1,143.00","1,204.00",0.75
2026-05-06,"1,180.00","1,195.10","1,180.00","1,195.00",0.42
2026-05-05,"1,190.00","1,204.50","1,186.00","1,190.00",0.0
2026-05-04,"1,201.00","1,201.10","1,176.10","1,190.00",-1.24
2026-04-30,"1,190.10","1,221.20","1,190.10","1,205.00",-1.47
2026-04-29,"1,225.00","1,225.00","1,210.70","1,223.00",-0.16
2026-04-28,"1,232.20","1,240.00","1,220.00","1,225.00",-0.58
2026-04-27,"1,245.00","1,250.00","1,232.20","1,232.20",-1.03
2026-04-24,"1,232.00","1,250.00","1,231.00","1,245.00",-0.4
2026-04-23,"1,273.00","1,273.00","1,240.00","1,250.00",-1.8
2026-04-22,"1,294.00","1,294.00","1,212.50","1,272.90",-0.18
2026-04-21,"1,291.00","1,291.00","1,275.00","1,275.20",-1.45
2026-04-20,"1,310.00","1,310.00","1,276.60","1,294.00",-0.46
2026-04-17,"1,278.10","1,300.00","1,250.10","1,300.00",0.39
2026-04-16,"1,290.00","1,295.00","1,288.20","1,295.00",-1.07
2026-04-15,"1,285.10","1,317.00","1,285.00","1,309.00",1.71
2026-04-13,"1,291.00","1,300.00","1,287.00","1,287.00",-0.62
2026-04-10,"1,320.00","1,320.00","1,288.10","1,295.00",-1.97
2026-04-09,"1,286.00","1,322.00","1,285.00","1,321.00",2.72
2026-04-08,"1,276.00","1,300.00","1,276.00","1,286.00",0.55
2026-04-07,"1,280.00","1,298.00","1,265.00","1,279.00",-0.85
2026-04-06,"1,265.00","1,295.00","1,250.00","1,290.00",3.2
2026-04-05,"1,285.00","1,310.00","1,240.50","1,250.00",-3.18
2026-04-02,"1,288.40","1,312.00","1,288.20","1,291.00",-1.15
2026-04-01,"1,322.00","1,328.00","1,293.70","1,306.00",-2.76
2026-03-31,"1,330.00","1,343.00","1,304.10","1,343.00",0.98
