date,open,high,low,close,volume
2026-06-08,"1,255.00","1,289.90","1,217.90","1,275.00","456,432.00"
2026-06-05,"1,255.00","1,289.90","1,217.90","1,275.00",-1.32
2026-06-04,"1,239.10","1,292.00","1,239.10","1,292.00",1.17
2026-06-03,"1,254.30","1,277.00","1,222.00","1,277.00",-1.24
2026-06-02,"1,239.00","1,293.00","1,239.00","1,293.00",1.33
2026-06-01,"1,255.00","1,288.00","1,254.00","1,276.00",-1.09
2026-05-27,"1,289.00","1,293.00","1,254.30","1,290.00",0.08
2026-05-26,"1,289.00","1,290.00","1,259.00","1,289.00",-0.08
2026-05-25,"1,250.00","1,300.00","1,250.00","1,290.00",0.86
2026-05-22,"1,250.00","1,279.00","1,245.00","1,279.00",1.03
2026-05-21,"1,277.00","1,277.00","1,251.00","1,266.00",-0.86
2026-05-20,"1,280.00","1,280.00","1,250.00","1,277.00",1.04
2026-05-19,"1,264.90","1,264.90","1,227.10","1,263.90",2.34
2026-05-18,"1,216.00","1,272.00","1,216.00","1,235.00",-1.28
2026-05-15,"1,225.00","1,251.00","1,225.00","1,251.00",-0.32
2026-05-14,"1,233.90","1,255.00","1,230.00","1,255.00",-1.34
2026-05-13,"1,273.00","1,273.00","1,217.00","1,272.00",1.76
2026-05-12,"1,308.00","1,308.00","1,236.50","1,250.00",-1.57
2026-05-11,"1,265.80","1,285.00","1,240.00","1,270.00",3.34
2026-05-08,"1,206.00","1,229.00","1,206.00","1,229.00",0.33
2026-05-07,"1,201.00","1,248.00","1,201.00","1,225.00",-1.05
2026-05-06,"1,236.00","1,249.00","1,212.60","1,238.00",3.17
2026-05-05,"1,190.00","1,240.00","1,190.00","1,200.00",-1.96
2026-05-04,"1,223.00","1,230.00","1,195.00","1,224.00",-1.69
2026-04-30,"1,251.00","1,261.00","1,230.00","1,245.00",-2.69
2026-04-29,"1,315.00","1,285.10","1,250.00","1,279.40",-2.71
2026-04-28,"1,327.00","1,320.00","1,295.00","1,315.00",-0.9
2026-04-27,"1,341.00","1,345.00","1,311.00","1,327.00",-1.04
2026-04-24,"1,400.00","1,400.00","1,340.00","1,341.00",-1.4
2026-04-23,"1,409.00","1,409.00","1,344.00","1,360.00",-0.73
2026-04-22,"1,361.00","1,370.00","1,344.00","1,370.00",-1.08
2026-04-21,"1,400.00","1,400.00","1,360.00","1,385.00",1.17
2026-04-20,"1,437.00","1,437.00","1,369.00","1,369.00",-2.0
2026-04-17,"1,386.00","1,397.00","1,367.10","1,397.00",-0.85
2026-04-16,"1,420.00","1,420.00","1,386.00","1,409.00",0.28
2026-04-15,"1,380.20","1,410.00","1,380.20","1,405.00",0.36
2026-04-13,"1,415.00","1,430.00","1,381.80","1,400.00",-2.56
2026-04-10,"1,460.00","1,460.00","1,435.20","1,436.80",-1.58
2026-04-09,"1,454.80","1,461.60","1,433.00","1,459.90",1.88
2026-04-08,"1,409.90","1,433.00","1,399.50","1,433.00",0.35
2026-04-07,"1,391.00","1,428.00","1,380.00","1,428.00",0.64
2026-04-06,"1,394.00","1,418.90","1,370.00","1,418.90",3.8
2026-04-05,"1,430.00","1,430.00","1,366.00","1,367.00",-5.14
2026-04-02,"1,440.00","1,443.00","1,415.00","1,441.00",-0.28
2026-04-01,"1,451.60","1,458.00","1,402.00","1,445.00",-0.45
2026-03-31,"1,430.00","1,481.00","1,415.10","1,451.60",-0.03
2026-03-30,"1,475.00","1,485.00","1,451.00","1,452.00",-2.22
2026-03-29,"1,506.00","1,515.00","1,477.00","1,485.00",-3.32
2026-03-26,"1,536.00","1,536.00","1,490.10","1,536.00",0.0
2026-03-25,"1,515.00","1,536.00","1,509.20","1,536.00",-0.25
2026-03-24,"1,533.00","1,539.90","1,508.30","1,539.90",0.45
2026-03-23,"1,580.00","1,581.00","1,512.00","1,533.00",-1.1
2026-03-22,"1,528.00","1,571.00","1,490.00","1,550.00",3.33
2026-03-19,"1,468.00","1,500.00","1,453.00","1,500.00",2.39
2026-03-17,"1,441.20","1,465.00","1,439.10","1,465.00",0.96
2026-03-16,"1,460.00","1,460.00","1,450.00","1,451.10",-1.02
2026-03-15,"1,465.00","1,490.00","1,460.00","1,466.00",0.07
2026-03-12,"1,462.10","1,490.00","1,462.10","1,465.00",-1.68
2026-03-11,"1,480.10","1,490.00","1,464.50","1,490.00",-0.27
2026-03-10,"1,497.30","1,540.00","1,460.00","1,494.00",1.77
2026-03-03,"1,420.00","1,468.00","1,420.00","1,468.00",1.95
2026-03-01,"1,407.00","1,439.90","1,400.00","1,439.90",0.8
2026-02-26,"1,430.10","1,430.10","1,425.20","1,428.50",-0.17
2026-02-25,"1,430.00","1,436.90","1,420.20","1,431.00",0.07
2026-02-24,"1,440.00","1,440.00","1,420.00","1,430.00",-0.35
2026-02-23,"1,425.00","1,435.00","1,425.00","1,435.00",1.27
2026-02-22,"1,410.00","1,430.00","1,410.00","1,417.00",-0.42
2026-02-17,"1,440.00","1,440.00","1,421.00","1,423.00",-2.4
2026-02-16,"1,445.00","1,495.00","1,417.20","1,458.00",2.68
2026-02-12,"1,450.00","1,450.00","1,417.90","1,420.00",-2.73
2026-02-11,"1,461.60","1,461.60","1,423.00","1,459.90",1.88
2026-02-10,"1,455.10","1,465.00","1,430.00","1,433.00",-1.61
2026-02-09,"1,498.00","1,507.50","1,450.60","1,456.50",-3.38
2026-02-08,"1,460.00","1,507.50","1,445.00","1,507.50",2.0
2026-02-05,"1,483.00","1,512.00","1,455.00","1,478.00",1.64
2026-02-04,"1,454.30","1,480.00","1,454.20","1,454.20",-1.01
2026-02-03,"1,479.00","1,499.40","1,449.50","1,469.00",0.14
2026-02-02,"1,426.20","1,469.00","1,426.20","1,467.00",1.17
2026-02-01,"1,435.00","1,508.00","1,435.00","1,450.00",0.0
2026-01-29,"1,460.00","1,468.00","1,426.10","1,450.00",0.69
2026-01-28,"1,450.00","1,460.00","1,430.00","1,440.00",-0.76
2026-01-27,"1,488.00","1,489.00","1,423.10","1,451.00",-0.62
2026-01-26,"1,475.00","1,500.00","1,460.00","1,460.00",-0.68
2026-01-25,"1,465.00","1,509.00","1,450.00","1,470.00",1.38
2026-01-22,"1,430.10","1,465.80","1,430.00","1,450.00",-0.34
2026-01-21,"1,435.30","1,460.00","1,434.80","1,455.00",-0.61
2026-01-20,"1,465.00","1,470.00","1,442.00","1,464.00",1.88
2026-01-18,"1,438.00","1,495.00","1,437.00","1,437.00",1.91
2026-01-14,"1,440.00","1,445.00","1,410.00","1,410.00",-1.4
2026-01-13,"1,416.00","1,447.00","1,416.00","1,430.00",-0.97
2026-01-12,"1,427.00","1,444.00","1,422.00","1,444.00",-0.48
2026-01-08,"1,425.00","1,476.90","1,425.00","1,451.00",0.21
2026-01-07,"1,450.00","1,470.90","1,435.00","1,448.00",-0.14
2026-01-06,"1,441.00","1,467.00","1,430.00","1,450.00",-1.28
2026-01-05,"1,477.00","1,477.00","1,424.00","1,468.80",1.3
2026-01-04,"1,422.10","1,458.00","1,410.00","1,450.00",0.0
2026-01-01,"1,437.00","1,450.00","1,425.00","1,450.00",-0.61
2025-12-31,"1,450.00","1,472.00","1,431.10","1,458.90",1.31
2025-12-29,"1,468.00","1,484.90","1,440.00","1,440.00",-3.23
2025-12-28,"1,456.00","1,497.00","1,439.00","1,488.00",0.2
2025-12-24,"1,437.00","1,523.00","1,437.00","1,485.00",1.28
2025-12-23,"1,469.10","1,589.00","1,445.00","1,466.30",-2.18
2025-12-22,"1,576.90","1,576.90","1,456.00","1,499.00",-6.84
2025-12-21,"1,470.00","1,609.00","1,470.00","1,609.00",8.14
2025-12-18,"1,463.00","1,492.00","1,462.00","1,487.90",1.07
2025-12-17,"1,490.00","1,500.00","1,471.00","1,472.20",-1.46
2025-12-16,"1,500.00","1,509.90","1,490.00","1,494.00",0.27
2025-12-15,"1,472.60","1,490.00","1,472.60","1,490.00",-0.6
