date,open,high,low,close,volume
2026-06-08,"1,222.00","1,242.00","1,222.00","1,228.00","818,488.70"
2026-06-05,"1,222.00","1,242.00","1,222.00","1,228.00",-1.37
2026-06-04,"1,244.20","1,250.00","1,231.10","1,245.00",-0.56
2026-06-03,"1,242.00","1,252.00","1,240.00","1,252.00",0.87
2026-06-02,"1,238.00","1,250.00","1,237.00","1,241.20",0.1
2026-06-01,"1,250.00","1,250.00","1,236.20","1,240.00",-1.27
2026-05-27,"1,235.00","1,271.00","1,235.00","1,256.00",1.01
2026-05-26,"1,227.20","1,250.00","1,227.20","1,243.50",-1.15
2026-05-25,"1,272.00","1,272.00","1,235.00","1,258.00",1.45
2026-05-22,"1,211.00","1,258.00","1,203.00","1,240.00",0.16
2026-05-21,"1,233.00","1,243.00","1,212.10","1,238.00",-2.52
2026-05-20,"1,239.80","1,270.00","1,218.20","1,270.00",2.44
2026-05-19,"1,166.20","1,248.00","1,166.20","1,239.80",1.0
2026-05-18,"1,204.00","1,240.00","1,204.00","1,227.50",-0.2
2026-05-15,"1,222.10","1,230.00","1,222.10","1,230.00",0.33
2026-05-14,"1,245.00","1,245.00","1,225.00","1,226.00",-1.53
2026-05-13,"1,230.00","1,245.00","1,230.00","1,245.00",0.0
2026-05-12,"1,245.00","1,255.00","1,230.20","1,245.00",0.0
2026-05-11,"1,250.00","1,255.00","1,235.00","1,245.00",0.1
2026-05-08,"1,212.00","1,243.80","1,212.00","1,243.80",0.47
2026-05-07,"1,220.20","1,250.00","1,183.60","1,238.00",-1.28
2026-05-06,"1,235.00","1,254.00","1,230.00","1,254.00",1.13
2026-05-05,"1,221.00","1,269.90","1,221.00","1,240.00",-1.04
2026-05-04,"1,265.00","1,274.90","1,228.00","1,253.00",0.96
2026-04-30,"1,260.00","1,289.90","1,230.00","1,241.10",-1.5
2026-04-29,"1,289.00","1,319.00","1,176.60","1,260.00",-2.25
2026-04-28,"1,298.00","1,336.00","1,121.10","1,289.00",-0.69
2026-04-27,"1,269.00","1,411.10","1,089.90","1,298.00",2.29
2026-04-24,"1,237.00","1,275.00","1,237.00","1,269.00",0.71
2026-04-23,"1,254.00","1,298.00","1,220.00","1,260.00",-2.48
2026-04-22,"1,226.50","1,292.00","1,226.50","1,292.00",0.08
2026-04-21,"1,295.00","1,295.00","1,267.20","1,291.00",-0.31
2026-04-20,"1,244.50","1,400.50","1,244.50","1,295.00",-1.15
2026-04-17,"1,285.00","1,323.00","1,284.00","1,310.00",0.01
2026-04-16,"1,297.60","1,309.90","1,275.00","1,309.90",-1.06
2026-04-15,"1,314.90","1,327.00","1,300.00","1,324.00",1.44
2026-04-13,"1,290.70","1,320.80","1,290.70","1,305.20",-0.9
2026-04-10,"1,293.00","1,345.00","1,241.90","1,317.00",-0.15
2026-04-09,"1,287.80","1,326.00","1,236.90","1,319.00",0.38
