date,open,high,low,close,volume
2026-06-08,905.00,917.00,905.00,916.90,"1,198,158.90"
2026-06-05,905.00,917.00,905.00,916.90,-0.23
2026-06-04,892.00,919.90,892.00,919.00,0.45
2026-06-03,919.00,924.00,890.00,914.90,-1.09
2026-06-02,920.00,936.60,920.00,925.00,0.43
2026-06-01,935.00,958.00,921.00,921.00,-4.06
2026-05-27,960.00,"1,018.00",917.00,960.00,1.92
2026-05-26,948.00,948.00,926.00,941.90,-0.85
2026-05-25,930.00,968.00,930.00,950.00,0.0
2026-05-22,960.00,970.00,930.00,950.00,-1.03
2026-05-21,967.00,970.00,945.00,959.90,-0.73
2026-05-20,988.00,988.00,952.00,967.00,0.74
2026-05-19,935.10,962.00,934.00,959.90,0.2
2026-05-18,936.00,958.00,936.00,958.00,0.95
2026-05-15,935.00,982.00,930.20,949.00,0.96
2026-05-14,"1,009.80","1,010.00",890.00,940.00,-5.91
2026-05-13,"1,043.00","1,043.00",980.00,999.00,-1.87
2026-05-12,"1,060.00","1,079.00","1,015.10","1,018.00",-3.42
2026-05-11,"1,059.00","1,080.00","1,008.80","1,054.00",-0.47
2026-05-08,"1,019.10","1,060.00","1,009.00","1,059.00",0.95
2026-05-07,"1,008.20","1,139.00","1,008.20","1,049.00",2.84
2026-05-06,"1,067.00","1,096.00","1,005.00","1,020.00",-7.27
2026-05-05,"1,063.00","1,126.00","1,000.00","1,100.00",0.55
2026-05-04,"1,157.00","1,184.00","1,070.00","1,094.00",-8.22
2026-04-30,"1,155.00","1,195.00","1,105.00","1,192.00",1.89
2026-04-29,"1,172.00","1,208.00","1,156.00","1,169.90",-3.23
2026-04-28,"1,174.00","1,260.00","1,174.00","1,209.00",-0.17
2026-04-27,"1,198.00","1,249.00","1,198.00","1,211.00",-2.02
2026-04-24,"1,222.00","1,293.00","1,200.00","1,236.00",-1.9
2026-04-23,"1,164.00","1,335.00","1,164.00","1,260.00",5.0
2026-04-22,"1,184.00","1,229.90","1,175.00","1,200.00",-1.72
2026-04-21,"1,160.00","1,245.00","1,150.00","1,221.00",2.01
2026-04-20,"1,200.00","1,200.00","1,156.10","1,197.00",1.79
2026-04-17,"1,238.00","1,238.00","1,174.00","1,176.00",-3.37
2026-04-16,"1,216.00","1,220.00","1,195.00","1,217.00",-1.69
2026-04-15,"1,196.00","1,248.00","1,156.10","1,237.90",5.53
2026-04-13,"1,220.00","1,220.00","1,172.10","1,173.00",-2.22
2026-04-10,"1,190.50","1,234.00","1,178.00","1,199.60",-0.85
2026-04-09,"1,182.90","1,209.90","1,180.00","1,209.90",0.24
2026-04-08,"1,220.00","1,222.00","1,176.00","1,207.00",0.58
2026-04-07,"1,192.00","1,232.00","1,174.10","1,200.00",2.65
2026-04-06,"1,159.90","1,238.00","1,078.00","1,169.00",-1.23
2026-04-05,"1,288.70","1,313.00","1,183.50","1,183.50",-10.0
2026-04-02,"1,319.50","1,340.00","1,290.00","1,315.00",-2.33
2026-04-01,"1,428.00","1,428.00","1,320.00","1,346.40",-3.83
2026-03-31,"1,362.20","1,447.00","1,310.00","1,400.00",0.72
2026-03-30,"1,410.30","1,439.00","1,383.00","1,390.00",-3.41
2026-03-29,"1,438.70","1,466.00","1,412.10","1,439.00",-1.98
2026-03-26,"1,430.80","1,520.00","1,348.00","1,468.00",0.55
2026-03-25,"1,489.00","1,599.30","1,431.00","1,460.00",-2.08
2026-03-24,"1,519.00","1,519.00","1,431.00","1,491.00",-3.81
2026-03-23,"1,448.50","1,575.00","1,375.00","1,550.00",4.87
2026-03-22,"1,500.00","1,588.00","1,450.00","1,478.00",-1.47
2026-03-19,"1,436.70","1,580.00","1,385.00","1,500.00",2.32
2026-03-17,"1,436.70","1,527.00","1,436.70","1,466.00",0.0
2026-03-16,"1,499.40","1,559.00","1,466.00","1,466.00",-4.18
2026-03-15,"1,606.50","1,606.50","1,490.00","1,530.00",-2.86
2026-03-12,"1,509.20","1,581.00","1,449.70","1,575.00",2.28
2026-03-11,"1,438.00","1,587.10","1,356.00","1,539.90",4.97
2026-03-10,"1,522.00","1,522.00","1,414.00","1,467.00",-3.61
2026-03-09,"1,454.00","1,523.70","1,454.00","1,522.00",6.74
2026-03-03,"1,372.70","1,440.00","1,372.70","1,425.90",1.92
2026-03-01,"1,394.50","1,419.00","1,368.10","1,399.00",-1.68
2026-02-26,"1,405.00","1,457.00","1,364.00","1,422.90",0.2
2026-02-25,"1,450.40","1,477.00","1,420.00","1,420.00",-0.7
2026-02-24,"1,332.80","1,477.00","1,332.80","1,430.00",5.15
2026-02-23,"1,293.60","1,360.00","1,270.40","1,360.00",3.03
2026-02-22,"1,389.70","1,413.90","1,282.00","1,320.00",-6.91
2026-02-17,"1,489.60","1,547.70","1,368.00","1,418.00",-6.71
2026-02-16,"1,568.00","1,580.00","1,505.00","1,520.00",-5.0
2026-02-12,"1,547.50","1,695.00","1,547.50","1,600.00",1.33
2026-02-11,"1,621.90","1,704.00","1,551.00","1,579.00",-4.59
2026-02-10,"1,642.50","1,708.60","1,640.00","1,655.00",-1.25
2026-02-09,"1,655.30","1,835.00","1,622.20","1,676.00",-0.77
2026-02-08,"1,754.20","1,754.20","1,611.00","1,689.00",-5.64
2026-02-05,"1,679.40","1,800.00","1,613.10","1,789.90",4.45
2026-02-04,"1,804.30","1,804.30","1,632.70","1,713.60",-3.13
2026-02-03,"1,665.10","1,834.00","1,568.00","1,769.00",4.12
2026-02-02,"1,572.00","1,734.00","1,550.00","1,699.00",5.92
2026-02-01,"1,548.40","1,669.00","1,519.10","1,604.00",1.52
2026-01-29,"1,645.50","1,725.00","1,519.00","1,580.00",-5.9
2026-01-28,"1,724.80","1,724.80","1,625.00","1,679.00",-4.6
