date,open,high,low,close,volume
2026-06-08,537.00,540.00,535.00,535.00,"20,863,977.40"
2026-06-05,537.00,540.00,535.00,535.00,-0.71
2026-06-04,563.00,563.00,531.10,538.80,0.43
2026-06-03,536.00,539.00,532.00,536.50,-0.07
2026-06-02,540.00,540.00,530.00,536.90,0.54
2026-06-01,537.00,544.00,531.00,534.00,-0.56
2026-05-27,538.70,540.00,534.00,537.00,0.0
2026-05-26,540.00,540.00,532.10,537.00,0.3
2026-05-25,530.00,536.00,530.00,535.40,1.02
2026-05-22,529.00,530.80,527.90,530.00,0.4
2026-05-21,527.40,530.00,526.20,527.90,0.09
2026-05-20,529.90,531.00,524.00,527.40,0.27
2026-05-19,526.00,530.00,523.00,526.00,0.0
2026-05-18,527.00,532.00,525.00,526.00,-0.19
2026-05-15,525.10,531.00,525.00,527.00,0.0
2026-05-14,530.00,530.00,525.00,527.00,0.0
2026-05-13,527.00,528.00,523.10,527.00,0.0
2026-05-12,530.00,533.00,527.00,527.00,0.0
2026-05-11,523.00,532.00,523.00,527.00,0.76
2026-05-08,525.00,528.00,520.10,523.00,0.0
2026-05-07,525.00,525.00,522.20,523.00,0.13
2026-05-06,525.00,527.00,522.00,522.30,0.13
2026-05-05,520.00,526.00,516.00,521.60,0.12
2026-05-04,528.00,535.00,516.00,521.00,-1.33
2026-04-30,524.00,528.10,520.00,528.00,0.59
2026-04-29,525.00,527.00,522.00,524.90,-0.02
2026-04-28,519.20,532.00,519.20,525.00,1.12
2026-04-27,518.00,522.00,517.50,519.20,0.23
2026-04-24,520.00,520.00,515.00,518.00,-0.38
2026-04-23,530.00,530.00,518.00,520.00,-1.23
2026-04-22,526.00,527.00,519.00,526.50,0.1
2026-04-21,550.00,550.00,525.00,526.00,-0.38
2026-04-20,533.00,534.90,527.10,528.00,-0.38
2026-04-17,541.60,541.60,528.00,530.00,-0.19
2026-04-16,535.00,538.00,530.00,531.00,-0.17
2026-04-15,530.50,534.00,530.00,531.90,0.36
2026-04-13,540.00,540.00,520.00,530.00,0.09
2026-04-10,532.00,538.00,526.20,529.50,0.28
2026-04-09,521.00,530.00,521.00,528.00,0.76
2026-04-08,520.00,525.00,520.00,524.00,0.77
2026-04-07,523.90,525.90,518.00,520.00,0.39
2026-04-06,506.00,522.00,505.00,518.00,2.51
2026-04-05,510.00,518.00,499.80,505.30,-2.36
2026-04-02,512.60,524.90,512.00,517.50,-1.05
2026-04-01,531.00,531.00,520.00,523.00,-1.51
2026-03-31,535.00,535.00,520.00,531.00,0.76
2026-03-30,533.00,539.00,525.10,527.00,-1.33
2026-03-29,550.00,550.00,534.00,534.10,-1.64
2026-03-26,539.00,543.00,533.00,543.00,0.74
2026-03-25,544.00,548.00,538.00,539.00,-1.03
2026-03-24,546.00,546.00,542.50,544.60,0.48
2026-03-23,542.10,546.00,536.70,542.00,-0.02
2026-03-22,545.00,545.90,537.00,542.10,1.29
2026-03-19,528.00,536.00,527.00,535.20,1.79
2026-03-17,523.00,530.00,523.00,525.80,0.54
2026-03-16,530.00,532.00,523.00,523.00,-1.41
2026-03-15,531.00,539.00,528.50,530.50,0.28
2026-03-12,522.10,531.70,522.00,529.00,0.38
2026-03-11,539.00,539.00,525.00,527.00,-1.46
2026-03-10,545.00,555.00,528.00,534.80,-1.87
2026-03-09,514.00,550.00,514.00,545.00,8.13
2026-03-03,508.90,508.90,497.00,504.00,1.0
2026-03-01,497.90,500.00,494.00,499.00,0.22
2026-02-26,498.00,499.00,496.50,497.90,0.38
2026-02-25,497.00,499.00,495.00,496.00,0.0
2026-02-24,496.00,497.90,495.00,496.00,0.12
2026-02-23,494.50,498.60,493.00,495.40,0.08
2026-02-22,497.80,497.80,490.00,495.00,-0.4
2026-02-17,495.00,498.50,492.00,497.00,-0.18
2026-02-16,498.70,498.80,493.00,497.90,0.59
2026-02-12,495.00,498.70,492.50,495.00,-0.2
2026-02-11,500.00,500.00,495.00,496.00,-0.08
2026-02-10,496.00,499.80,492.10,496.40,0.1
