date,open,high,low,close,volume
2026-06-08,"1,152.00","1,152.10","1,152.00","1,152.10","32,689,682.80"
2026-06-05,"1,152.00","1,152.10","1,152.00","1,152.10",1.68
2026-05-27,"1,133.10","1,133.10","1,133.10","1,133.10",-1.47
2026-05-26,"1,130.00","1,150.00","1,130.00","1,150.00",1.77
2026-05-06,"1,130.00","1,130.00","1,130.00","1,130.00",2.26
2026-05-04,"1,135.00","1,135.00","1,135.00","1,105.00",-2.64
2026-04-30,"1,200.00","1,200.00","1,129.90","1,135.00",-5.42
2026-04-28,"1,174.00","1,200.00","1,200.00","1,200.00",2.21
2026-04-27,"1,140.00","1,174.00","1,174.00","1,174.00",2.98
2026-04-24,"1,121.10","1,140.00","1,140.00","1,140.00",1.69
2026-04-22,"1,121.10","1,121.10","1,121.10","1,121.10",-2.09
2026-04-15,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-13,"1,145.00","1,145.00","1,145.00","1,145.00",0.25
2026-04-06,"1,142.10","1,142.10","1,142.10","1,142.10",-0.25
2026-04-05,"1,145.00","1,145.00","1,145.00","1,145.00",0.26
2026-04-01,"1,142.00","1,142.00","1,142.00","1,142.00",0.0
2026-03-25,"1,142.00","1,142.00","1,142.00","1,142.00",0.62
2026-03-23,"1,135.00","1,135.00","1,135.00","1,135.00",0.13
2026-02-26,"1,133.00","1,133.50","1,133.00","1,133.50",-1.95
2026-02-25,"1,156.00","1,156.00","1,156.00","1,156.00",-1.7
2026-01-26,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0
2026-01-18,"1,156.00","1,180.00","1,156.00","1,200.00",3.81
2026-01-13,"1,156.00","1,156.00","1,156.00","1,156.00",0.0
2026-01-05,"1,156.00","1,156.00","1,156.00","1,156.00",-1.88
2026-01-01,"1,178.10","1,178.10","1,178.10","1,178.10",0.0
2025-12-31,"1,155.00","1,155.00","1,155.00","1,178.10",2.0
2025-12-29,"1,155.00","1,155.00","1,155.00","1,155.00",-0.43
2025-12-28,"1,160.00","1,160.00","1,160.00","1,160.00",-1.28
2025-12-23,"1,175.00","1,175.00","1,175.00","1,175.00",1.56
2025-12-22,"1,168.00","1,168.00","1,157.00","1,157.00",1.04
2025-12-18,"1,145.10","1,145.10","1,145.10","1,145.10",0.62
2025-12-08,"1,138.00","1,138.00","1,138.00","1,138.00",-0.39
2025-12-03,"1,142.50","1,142.50","1,142.50","1,142.50",-1.68
2025-11-30,"1,131.10","1,162.00","1,131.10","1,162.00",2.73
2025-11-27,"1,131.10","1,131.10","1,131.10","1,131.10",0.1
2025-11-26,"1,146.00","1,150.00","1,144.00","1,130.00",-1.4
2025-11-23,"1,146.10","1,146.10","1,146.00","1,146.00",-0.48
2025-11-20,"1,129.00","1,129.00","1,129.00","1,151.50",1.99
2025-11-10,"1,129.00","1,129.00","1,129.00","1,129.00",-0.96
2025-11-09,"1,127.00","1,140.00","1,127.00","1,140.00",3.16
2025-10-30,"1,105.10","1,105.10","1,105.10","1,105.10",-0.8
2025-10-26,"1,114.00","1,114.00","1,114.00","1,114.00",-1.68
2025-10-13,"1,111.00","1,152.00","1,111.00","1,133.00",1.98
2025-10-08,"1,128.00","1,128.00","1,111.00","1,111.00",-3.48
2025-10-07,"1,151.00","1,151.00","1,151.00","1,151.00",0.26
2025-09-25,"1,148.00","1,148.00","1,148.00","1,148.00",1.59
2025-09-23,"1,100.00","1,130.00","1,100.00","1,130.00",0.72
2025-09-21,"1,100.00","1,122.00","1,100.00","1,121.91",1.71
2025-09-08,"1,103.00","1,103.00","1,103.00","1,103.00",1.94
2025-09-07,"1,082.00","1,082.00","1,082.00","1,082.00",1.6
2025-08-31,"1,065.10","1,065.10","1,065.00","1,065.00",-0.47
2025-08-26,"1,070.00","1,070.00","1,070.00","1,070.00",0.94
2025-08-25,"1,060.00","1,060.00","1,060.00","1,060.00",0.47
2025-08-20,"1,060.00","1,060.00","1,055.00","1,055.00",-0.47
2025-08-19,"1,060.00","1,060.00","1,060.00","1,060.00",-1.4
2025-08-13,"1,070.00","1,075.00","1,070.00","1,075.00",1.34
2025-08-11,"1,060.80","1,060.80","1,060.80","1,060.80",2.0
2025-08-04,"1,040.10","1,040.10","1,040.00","1,040.02",-0.2
2025-08-03,"1,042.10","1,042.10","1,042.10","1,042.10",-1.22
2025-07-30,"1,045.50","1,055.00","1,045.10","1,055.00",0.48
2025-07-29,"1,050.00","1,050.00","1,050.00","1,050.00",0.71
2025-07-28,"1,042.60","1,042.60","1,042.60","1,042.60",-1.6
2025-07-27,"1,059.50","1,059.50","1,059.50","1,059.50",-1.9
2025-07-16,"1,080.00","1,080.00","1,080.00","1,080.00",0.37
2025-07-10,"1,076.10","1,076.10","1,076.10","1,076.00",0.09
2025-07-06,"1,075.00","1,075.00","1,075.00","1,075.00",-1.83
2025-07-03,"1,095.00","1,095.00","1,095.00","1,095.00",0.0
2025-06-29,"1,095.00","1,095.00","1,095.00","1,095.00",0.37
2025-06-24,"1,070.10","1,091.00","1,070.10","1,090.98",1.95
2025-06-22,"1,070.00","1,070.10","1,070.00","1,070.10",-0.1
2025-06-12,"1,071.30","1,071.30","1,071.30","1,071.20",-1.72
2025-06-09,"1,090.00","1,090.00","1,090.00","1,090.00",-0.46
2025-05-27,"1,095.00","1,095.00","1,095.00","1,095.00",1.38
2025-05-26,"1,082.00","1,082.00","1,070.10","1,080.10",-0.25
2025-05-22,"1,083.00","1,083.00","1,082.00","1,082.83",-1.13
2025-05-21,"1,095.00","1,095.00","1,095.00","1,095.20",0.02
2025-05-18,"1,096.00","1,096.00","1,096.00","1,095.00",-0.01
2025-05-14,"1,095.00","1,095.00","1,095.00","1,095.10",0.01
2025-05-07,"1,094.70","1,094.70","1,094.70","1,095.00",0.03
2025-04-28,"1,094.70","1,094.70","1,094.70","1,094.70",-2.0
2025-04-27,"1,117.00","1,117.00","1,117.00","1,117.00",1.94
2025-04-24,"1,095.70","1,095.70","1,095.70","1,095.70",-1.99
2025-04-21,"1,118.00","1,118.00","1,118.00","1,118.00",1.54
2025-04-20,"1,101.00","1,101.00","1,101.00","1,101.00",-0.81
2025-04-07,"1,079.00","1,110.00","1,079.00","1,110.00",2.87
2025-04-01,"1,073.00","1,073.00","1,073.00","1,079.00",0.75
2025-03-30,"1,071.00","1,071.00","1,071.00","1,071.00",0.0
2025-03-27,"1,071.00","1,071.00","1,071.00","1,071.00",2.0
2025-03-26,"1,050.00","1,050.00","1,050.00","1,050.00",0.0
2025-03-25,"1,046.00","1,046.00","1,046.00","1,050.00",0.38
2025-03-24,"1,042.60","1,042.60","1,042.60","1,046.00",0.33
2025-03-23,"1,041.00","1,042.60","1,041.00","1,042.60",0.12
2025-03-20,"1,041.30","1,041.30","1,041.30","1,041.30",-0.83
2025-03-18,"1,050.00","1,050.00","1,050.00","1,050.00",0.0
2025-03-17,"1,050.00","1,050.00","1,050.00","1,050.00",0.0
2025-03-16,"1,050.00","1,050.00","1,050.00","1,050.00",0.77
2025-03-12,"1,042.00","1,042.00","1,042.00","1,042.00",-0.76
2025-03-06,"1,050.00","1,050.00","1,050.00","1,050.00",-0.94
2025-03-04,"1,060.00","1,060.00","1,060.00","1,060.00",0.47
2025-03-03,"1,055.00","1,055.00","1,055.00","1,055.00",0.28
2025-03-02,"1,052.10","1,052.10","1,052.10","1,052.10",0.2
2025-02-25,"1,050.00","1,050.00","1,050.00","1,050.00",-0.79
2025-02-24,"1,058.40","1,058.40","1,058.40","1,058.40",-2.0
2025-02-13,"1,080.00","1,080.00","1,080.00","1,080.00",-1.55
2025-02-03,"1,062.00","1,083.00","1,062.00","1,083.00",0.65
2025-02-02,"1,076.00","1,076.00","1,076.00","1,076.00",-0.09
2025-01-27,"1,072.00","1,077.00","1,072.00","1,077.00",1.99
2025-01-26,"1,056.00","1,056.00","1,056.00","1,056.00",0.0
2025-01-23,"1,055.00","1,056.00","1,055.00","1,056.00",0.09
2025-01-22,"1,055.00","1,055.00","1,055.00","1,055.00",-0.64
2025-01-21,"1,061.80","1,061.80","1,061.80","1,061.80",0.17
2025-01-19,"1,060.00","1,060.00","1,060.00","1,060.00",0.03
2025-01-16,"1,059.70","1,059.70","1,059.70","1,059.70",1.99
2025-01-13,"1,068.00","1,068.00","1,056.00","1,056.00",-2.72
2025-01-12,"1,068.00","1,068.00","1,068.00","1,068.00",-1.66
2025-01-09,"1,086.00","1,086.00","1,086.00","1,086.00",0.0
2025-01-05,"1,091.40","1,105.00","1,086.00","1,086.00",1.5
2024-12-29,"1,070.00","1,070.00","1,070.00","1,070.00",-1.02
2024-12-24,"1,081.00","1,081.00","1,081.00","1,081.00",-1.99
2024-12-23,"1,082.00","1,103.00","1,082.00","1,103.00",3.91
2024-12-22,"1,061.50","1,061.50","1,061.50","1,061.50",0.0
2024-12-18,"1,064.00","1,064.00","1,064.00","1,064.00",-0.66
2024-12-12,"1,090.30","1,090.30","1,068.50","1,068.50",-0.14
2024-12-11,"1,069.00","1,070.00","1,069.00","1,070.00",1.13
2024-12-09,"1,058.00","1,058.00","1,058.00","1,058.00",0.09
2024-12-08,"1,057.00","1,057.00","1,057.00","1,057.00",-1.92
2024-12-04,"1,077.70","1,077.70","1,077.70","1,077.70",2.0
2024-12-03,"1,056.60","1,056.60","1,056.60","1,056.60",0.03
2024-11-28,"1,056.30","1,056.30","1,056.30","1,056.30",0.12
2024-11-24,"1,055.00","1,055.00","1,055.00","1,055.00",-1.59
2024-11-17,"1,072.00","1,072.00","1,072.00","1,072.00",2.78
2024-11-13,"1,043.00","1,043.00","1,043.00","1,043.00",-1.14
2024-11-10,"1,050.00","1,055.00","1,050.00","1,055.00",0.38
2024-11-05,"1,051.00","1,051.00","1,051.00","1,051.00",0.1
2024-10-29,"1,050.00","1,050.00","1,050.00","1,050.00",-1.87
2024-10-22,"1,070.00","1,070.00","1,070.00","1,070.00",0.0
