date,open,high,low,close,volume
2026-06-08,"1,115.40","1,150.00","1,085.00","1,150.00","188,620,553.00"
2026-06-05,"1,115.40","1,150.00","1,085.00","1,150.00",6.19
2026-06-03,"1,130.00","1,130.00","1,083.00","1,083.00",-3.56
2026-06-01,"1,123.00","1,123.00","1,123.00","1,123.00",1.81
2026-05-27,"1,127.00","1,127.00","1,103.00","1,103.00",-2.03
2026-05-18,"1,125.90","1,125.90","1,125.90","1,125.90",0.08
2026-05-15,"1,125.00","1,125.00","1,125.00","1,125.00",0.18
2026-05-04,"1,123.00","1,123.00","1,123.00","1,123.00",-1.84
2026-04-15,"1,144.00","1,144.00","1,144.00","1,144.00",-1.93
2026-04-09,"1,166.50","1,166.50","1,166.50","1,166.50",-2.0
2026-03-17,"1,180.00","1,190.30","1,180.00","1,190.30",2.0
2026-03-15,"1,167.00","1,167.00","1,167.00","1,167.00",1.48
2026-02-26,"1,150.00","1,150.00","1,150.00","1,150.00",1.32
2026-02-22,"1,135.00","1,135.00","1,135.00","1,135.00",-1.73
2026-02-09,"1,155.00","1,155.00","1,155.00","1,155.00",0.43
2026-01-29,"1,150.00","1,150.00","1,150.00","1,150.00",-1.71
2026-01-13,"1,180.00","1,180.00","1,170.00","1,170.00",-0.85
2026-01-12,"1,180.00","1,180.00","1,180.00","1,180.00",-1.99
2026-01-08,"1,186.30","1,204.00","1,186.30","1,204.00",3.52
2026-01-01,"1,164.00","1,164.00","1,164.00","1,163.10",-1.68
2025-12-29,"1,149.00","1,183.00","1,149.00","1,183.00",2.96
2025-12-28,"1,135.00","1,135.00","1,135.00","1,149.00",1.23
2025-12-18,"1,159.70","1,206.30","1,159.70","1,135.00",-0.18
2025-12-15,"1,137.00","1,137.00","1,137.00","1,137.00",-0.82
2025-12-09,"1,146.40","1,146.40","1,146.40","1,146.40",0.02
2025-12-08,"1,146.20","1,146.20","1,146.20","1,146.20",1.25
2025-11-30,"1,132.00","1,132.00","1,132.00","1,132.00",0.79
2025-11-23,"1,123.10","1,123.10","1,123.10","1,123.10",-0.71
2025-11-19,"1,150.10","1,150.10","1,150.10","1,131.10",-1.65
2025-11-17,"1,150.10","1,150.10","1,150.10","1,150.10",-1.7
2025-11-04,"1,170.00","1,170.00","1,170.00","1,170.00",0.26
2025-11-03,"1,130.00","1,167.00","1,130.00","1,167.00",3.27
2025-11-02,"1,130.00","1,130.00","1,130.00","1,130.00",0.79
2025-10-30,"1,121.10","1,121.10","1,121.10","1,121.10",-0.96
2025-10-16,"1,130.00","1,132.00","1,130.00","1,132.00",-1.68
2025-10-08,"1,175.00","1,175.00","1,151.40","1,151.40",-2.01
