date,open,high,low,close,volume
2026-06-08,10.69,10.69,10.37,10.37,"2,416.01"
2026-06-05,10.69,10.69,10.37,10.37,-2.99
2026-06-04,10.7,10.7,10.69,10.69,2.89
2026-06-03,10.35,10.39,10.1,10.39,0.0
2026-06-02,10.39,10.4,10.1,10.39,2.87
2026-06-01,9.98,10.2,9.98,10.1,-0.88
2026-05-27,10.0,10.19,9.73,10.19,1.9
2026-05-26,10.15,10.15,9.91,10.0,0.4
2026-05-25,9.95,10.1,9.9,9.96,0.1
2026-05-22,9.95,9.95,9.95,9.95,-0.5
2026-05-21,9.9,10.0,9.9,10.0,0.0
2026-05-20,10.0,10.0,10.0,10.0,1.01
2026-05-19,9.92,10.1,9.89,9.9,-1.0
2026-05-18,10.0,10.0,10.0,10.0,0.0
2026-05-15,10.2,10.28,10.0,10.0,0.0
2026-05-14,10.0,10.0,10.0,10.0,0.0
2026-05-13,10.0,10.0,10.0,10.0,0.0
2026-05-12,10.01,10.01,10.0,10.0,0.0
2026-05-11,10.0,10.0,10.0,10.0,-1.77
2026-05-08,10.0,10.18,10.0,10.18,1.8
2026-05-07,9.86,10.0,9.86,10.0,1.21
2026-05-06,10.1,10.12,9.86,9.88,-1.2
2026-05-05,10.0,10.0,9.9,10.0,1.42
2026-05-04,9.84,10.12,9.84,9.86,-1.4
2026-04-30,10.0,10.0,9.87,10.0,-1.48
2026-04-29,9.94,10.2,9.9,10.15,2.11
2026-04-28,10.0,10.24,9.94,9.94,-0.6
2026-04-27,9.95,10.0,9.75,10.0,0.5
2026-04-24,10.1,9.95,9.9,9.95,-1.49
2026-04-23,10.14,10.14,10.0,10.1,2.54
2026-04-22,9.77,9.85,9.77,9.85,-0.91
2026-04-21,9.75,9.94,9.75,9.94,-0.6
2026-04-20,10.0,10.0,10.0,10.0,-0.7
2026-04-17,9.87,10.17,9.87,10.07,0.9
2026-04-16,9.95,9.98,9.9,9.98,-0.3
2026-04-15,9.87,10.1,9.87,10.01,0.0
2026-04-13,10.0,10.2,10.0,10.01,0.1
2026-04-10,10.2,10.2,9.95,10.0,-0.5
2026-04-09,10.32,10.32,10.05,10.05,-1.47
2026-04-08,10.01,10.29,10.01,10.2,1.09
2026-04-07,9.83,10.09,9.83,10.09,0.9
2026-04-06,9.89,10.08,9.89,10.0,-0.5
2026-04-05,9.78,10.28,9.78,10.05,1.41
2026-04-02,9.8,9.91,9.8,9.91,-0.7
2026-04-01,10.18,10.18,9.98,9.98,-0.2
2026-03-31,9.99,10.1,9.99,10.0,-0.5
2026-03-30,9.95,10.14,9.95,10.05,-0.1
2026-03-29,10.05,10.24,9.93,10.06,0.1
2026-03-26,10.2,10.25,10.0,10.05,0.0
2026-03-25,10.15,10.55,10.05,10.05,0.0
2026-03-24,10.06,10.1,10.01,10.05,-0.1
2026-03-23,10.2,10.6,10.06,10.06,-0.2
2026-03-22,10.0,10.18,10.0,10.08,0.6
2026-03-19,9.95,10.16,9.95,10.02,0.5
2026-03-17,9.98,9.98,9.94,9.97,0.61
2026-03-16,9.8,9.99,9.8,9.91,0.1
2026-03-15,10.0,10.0,9.89,9.9,0.3
2026-03-12,9.81,10.0,9.81,9.87,-0.3
2026-03-11,9.87,9.9,9.87,9.9,-1.0
2026-03-10,10.08,10.08,9.81,10.0,1.11
2026-03-09,9.89,9.89,9.89,9.89,1.75
2026-03-03,9.53,9.72,9.53,9.72,1.99
2026-03-01,9.8,9.8,9.48,9.53,-1.24
2026-02-26,9.88,9.88,9.63,9.65,-0.52
2026-02-25,9.51,9.7,9.51,9.7,0.94
2026-02-24,9.5,9.8,9.5,9.61,0.0
2026-02-23,9.77,9.77,9.5,9.61,0.1
2026-02-22,9.8,9.8,9.53,9.6,-0.21
2026-02-17,9.61,9.8,9.61,9.62,0.1
2026-02-16,9.8,9.99,9.61,9.61,-2.44
2026-02-12,9.87,10.1,9.83,9.85,1.76
2026-02-11,9.55,9.77,9.55,9.68,1.04
2026-02-10,9.8,9.8,9.58,9.58,-1.44
2026-02-09,9.65,9.72,9.5,9.72,-1.12
2026-02-08,9.67,9.91,9.67,9.83,-0.1
2026-02-05,9.6,9.84,9.6,9.84,1.97
2026-02-04,9.5,9.65,9.5,9.65,0.31
2026-02-03,9.7,9.75,9.56,9.62,-1.33
2026-02-02,9.75,9.75,9.75,9.75,-1.52
2026-02-01,9.7,9.9,9.7,9.9,1.12
2026-01-29,9.6,9.81,9.6,9.79,1.77
2026-01-28,9.61,9.62,9.61,9.62,-1.84
2026-01-27,9.45,9.88,9.45,9.8,2.08
2026-01-26,9.58,9.8,9.58,9.6,-0.1
2026-01-25,9.58,9.76,9.58,9.61,-1.64
2026-01-22,9.58,9.77,9.58,9.77,0.0
2026-01-21,9.41,9.77,9.41,9.77,1.98
2026-01-20,9.37,9.58,9.36,9.58,1.7
2026-01-18,9.38,9.56,9.38,9.42,-1.57
2026-01-14,9.49,9.65,9.49,9.57,-0.73
2026-01-13,9.52,9.65,9.52,9.64,1.37
2026-01-12,9.51,9.62,9.51,9.51,0.53
2026-01-08,9.5,9.55,9.46,9.46,-1.66
2026-01-07,9.62,9.62,9.62,9.62,1.8
2026-01-06,9.41,9.5,9.41,9.45,-1.05
2026-01-05,9.69,9.69,9.55,9.55,0.53
2026-01-04,9.55,9.59,9.5,9.5,-0.94
2026-01-01,9.5,9.59,9.5,9.59,0.84
2025-12-31,9.63,9.69,9.31,9.51,0.63
2025-12-29,9.41,9.55,9.41,9.45,-1.36
2025-12-28,9.32,9.58,9.31,9.58,0.84
2025-12-24,9.6,9.69,9.5,9.5,0.0
2025-12-23,9.5,9.5,9.5,9.5,1.28
2025-12-22,9.5,9.5,9.38,9.38,-1.26
2025-12-21,9.42,9.69,9.42,9.5,0.0
2025-12-18,9.53,9.53,9.5,9.5,-0.11
2025-12-17,9.63,9.63,9.47,9.51,0.63
2025-12-16,9.4,9.51,9.4,9.45,0.75
2025-12-15,9.36,9.4,9.36,9.38,-0.53
2025-12-14,9.12,9.44,9.12,9.43,2.5
2025-12-11,9.63,9.63,9.2,9.2,-2.65
2025-12-10,9.25,9.45,9.2,9.45,1.07
2025-12-09,9.3,9.42,9.21,9.35,0.0
2025-12-08,9.3,9.35,9.25,9.35,0.54
2025-12-07,9.31,9.36,9.18,9.3,-0.11
2025-12-03,9.17,9.31,9.17,9.31,0.43
2025-12-02,9.2,9.32,9.2,9.27,0.76
2025-12-01,9.05,9.2,9.05,9.2,0.33
2025-11-30,9.1,9.31,9.1,9.17,0.44
2025-11-27,9.19,9.19,9.08,9.13,-0.65
2025-11-26,9.03,9.19,9.03,9.19,0.33
2025-11-25,9.3,9.3,9.16,9.16,-0.43
2025-11-24,9.0,9.2,9.0,9.2,1.32
2025-11-23,9.13,9.18,9.08,9.08,0.89
2025-11-20,8.91,9.0,8.9,9.0,-0.55
2025-11-19,9.28,9.3,9.05,9.05,-0.77
2025-11-18,9.0,9.12,8.89,9.12,1.9
2025-11-17,8.9,9.08,8.9,8.95,-1.1
2025-11-16,8.99,9.27,8.99,9.05,-1.09
2025-11-13,9.15,9.15,9.0,9.15,1.89
2025-11-12,9.06,9.24,8.98,8.98,-1.32
2025-11-11,9.22,9.22,9.04,9.1,-3.19
2025-11-10,9.27,9.4,9.25,9.4,-0.32
2025-11-09,9.3,9.43,9.3,9.43,1.95
2025-11-06,9.4,9.4,9.25,9.25,0.33
2025-11-05,9.22,9.22,9.22,9.22,-1.5
2025-11-04,9.2,9.36,9.1,9.36,1.52
2025-11-03,9.26,9.26,9.09,9.22,-0.54
2025-11-02,9.22,9.27,9.22,9.27,-1.38
2025-10-30,9.6,9.6,9.4,9.4,-2.19
2025-10-29,9.35,9.62,9.3,9.61,3.33
2025-10-28,9.16,9.34,9.16,9.3,-0.21
2025-10-26,9.38,9.5,9.32,9.32,1.3
2025-10-19,9.38,9.38,9.2,9.2,0.0
2025-10-16,9.2,9.2,9.2,9.2,-1.92
2025-10-15,9.38,9.38,9.02,9.38,1.96
2025-10-14,9.1,9.2,9.1,9.2,0.77
2025-10-13,9.1,9.28,9.1,9.13,-0.98
2025-10-12,9.4,9.51,9.22,9.22,-1.18
2025-10-09,9.4,9.5,9.32,9.33,-1.79
2025-10-08,9.42,9.5,9.35,9.5,0.42
2025-10-07,9.5,9.5,9.45,9.46,-1.46
2025-09-28,9.97,9.97,9.39,9.6,-5.6
2025-09-25,9.8,10.17,9.8,10.17,1.9
2025-09-24,9.6,9.98,9.45,9.98,3.96
2025-09-23,9.75,9.75,9.6,9.6,0.42
2025-09-21,9.23,9.56,9.21,9.56,1.92
2025-09-08,9.63,9.63,9.37,9.38,-0.74
2025-09-07,9.55,9.6,9.4,9.45,-0.63
2025-09-04,10.8,10.95,10.55,10.81,2.08
2025-09-03,10.8,10.8,10.59,10.59,-0.94
2025-09-02,10.85,10.87,10.68,10.69,0.28
2025-09-01,10.75,10.79,10.61,10.66,0.76
2025-08-31,10.3,10.93,10.26,10.58,3.12
2025-08-28,10.09,10.37,10.09,10.26,0.39
2025-08-27,10.32,10.41,10.21,10.22,0.79
2025-08-26,10.11,10.38,10.11,10.14,-0.2
2025-08-25,10.36,10.39,10.16,10.16,0.0
2025-08-24,10.05,10.5,10.05,10.16,-0.68
2025-08-21,10.22,10.4,10.22,10.23,-0.78
2025-08-20,10.2,10.5,10.2,10.31,-0.29
2025-08-19,10.2,10.4,10.2,10.34,-0.58
2025-08-18,10.22,10.42,10.22,10.4,-0.19
2025-08-17,10.1,10.44,10.1,10.42,1.56
2025-08-14,10.17,10.38,10.17,10.26,-0.29
2025-08-13,10.5,10.55,10.0,10.29,-1.06
2025-08-12,10.5,10.62,10.4,10.4,-0.19
2025-08-11,10.71,10.71,10.42,10.42,-0.76
2025-08-07,10.71,10.88,10.48,10.5,0.0
2025-08-06,10.6,10.6,10.39,10.5,0.96
2025-08-05,10.61,10.61,10.4,10.4,-0.1
2025-08-04,10.75,10.75,10.37,10.41,-1.51
2025-08-03,10.94,10.94,10.53,10.57,-1.49
2025-07-31,10.5,10.75,10.5,10.73,0.28
2025-07-30,10.92,10.95,10.32,10.7,-0.37
2025-07-29,10.36,10.92,10.25,10.74,1.61
2025-07-28,10.56,10.6,10.35,10.57,2.03
2025-07-27,10.51,10.72,10.3,10.36,0.48
2025-07-24,10.69,11.1,10.21,10.31,-1.72
2025-07-23,10.84,10.99,10.48,10.49,-1.32
2025-07-22,10.5,10.71,10.29,10.63,3.2
2025-07-21,10.56,10.56,10.2,10.3,-0.58
2025-07-20,10.3,10.6,10.2,10.36,1.17
2025-07-17,10.11,10.25,9.94,10.24,1.29
2025-07-16,10.2,10.32,10.11,10.11,-0.39
2025-07-15,10.17,10.17,10.15,10.15,-0.2
2025-07-14,10.17,10.2,10.17,10.17,0.0
2025-07-13,10.06,10.25,10.06,10.17,0.2
2025-07-10,9.99,10.2,9.99,10.15,0.89
2025-07-09,10.05,10.09,10.05,10.06,-0.3
2025-07-08,9.9,10.09,9.9,10.09,-0.1
2025-07-07,10.06,10.1,10.06,10.1,-0.69
2025-07-06,10.24,10.24,10.07,10.17,1.09
2025-07-03,9.96,10.09,9.8,10.06,1.0
2025-07-02,9.98,10.1,9.96,9.96,-0.3
2025-07-01,9.98,10.15,9.98,9.99,0.0
2025-06-30,10.0,10.0,9.99,9.99,0.1
2025-06-29,10.0,10.11,9.85,9.98,-0.1
2025-06-26,9.81,10.0,9.81,9.99,1.52
2025-06-25,10.0,10.0,9.75,9.84,-0.51
2025-06-24,9.83,9.9,9.83,9.89,-1.0
2025-06-23,9.96,10.14,9.92,9.99,2.25
2025-06-22,9.71,9.88,9.7,9.77,-1.11
2025-06-19,9.81,9.9,9.81,9.88,-0.8
2025-06-18,10.15,10.15,9.96,9.96,-1.87
2025-06-17,9.86,10.15,9.86,10.15,1.2
2025-06-16,9.85,10.05,9.84,10.03,-0.1
2025-06-15,9.82,10.05,9.82,10.04,0.2
2025-06-12,9.85,10.04,9.85,10.02,1.73
2025-06-11,9.83,9.99,9.83,9.85,-1.01
2025-06-10,10.0,10.0,9.81,9.95,0.0
2025-06-09,10.05,10.05,9.5,9.95,0.91
2025-06-08,10.08,10.08,9.81,9.86,-0.3
2025-06-05,10.05,10.05,9.8,9.89,0.0
2025-06-04,10.0,10.0,9.81,9.89,-0.1
2025-06-03,9.85,10.0,9.85,9.9,-1.0
2025-06-02,9.88,10.0,9.81,10.0,-0.6
2025-05-28,10.13,10.13,9.93,10.06,0.7
2025-05-27,9.95,9.99,9.8,9.99,2.04
2025-05-26,10.1,10.1,9.78,9.79,-1.61
2025-05-25,10.0,10.0,9.81,9.95,0.61
2025-05-22,10.09,10.09,9.89,9.89,-0.1
2025-05-21,10.17,10.17,9.9,9.9,-0.8
2025-05-20,10.08,10.08,9.88,9.98,0.71
2025-05-19,10.14,10.14,9.79,9.91,-0.5
2025-05-18,10.04,10.04,9.78,9.96,-0.1
2025-05-15,9.9,10.05,9.52,9.97,2.68
2025-05-14,9.72,9.97,9.71,9.71,-1.82
