date,open,high,low,close,volume
2026-06-08,"1,162.10","1,181.50","1,162.10","1,181.50","27,645,724.50"
2026-06-05,"1,162.10","1,181.50","1,162.10","1,181.50",4.72
2026-06-03,"1,128.40","1,128.40","1,128.30","1,128.30",-2.98
2026-05-21,"1,163.00","1,163.00","1,163.00","1,163.00",2.92
2026-05-19,"1,130.00","1,130.00","1,130.00","1,130.00",0.44
2026-04-28,"1,131.00","1,125.10","1,125.10","1,125.10",-0.52
2026-04-23,"1,143.00","1,143.00","1,124.00","1,131.00",-1.05
2026-04-21,"1,143.00","1,143.00","1,143.00","1,143.00",-2.89
2026-04-20,"1,213.00","1,213.00","1,177.00","1,177.00",-2.97
2026-04-01,"1,212.00","1,213.00","1,212.00","1,213.00",0.25
2026-03-23,"1,165.00","1,210.00","1,165.00","1,210.00",3.84
2026-03-22,"1,120.00","1,165.20","1,120.00","1,165.20",4.04
2026-03-19,"1,120.00","1,120.00","1,120.00","1,120.00",0.52
2026-03-15,"1,118.10","1,118.10","1,114.20","1,114.20",-0.25
2026-02-17,"1,117.00","1,117.00","1,117.00","1,117.00",-1.83
2026-02-16,"1,121.00","1,137.80","1,121.00","1,137.80",2.0
2026-02-08,"1,116.00","1,116.00","1,115.50","1,115.50",0.04
2026-02-05,"1,115.00","1,115.00","1,115.00","1,115.00",-1.33
2026-01-29,"1,130.00","1,130.00","1,130.00","1,130.00",-1.88
2026-01-28,"1,151.60","1,151.60","1,151.60","1,151.60",-2.0
2026-01-20,"1,175.10","1,175.10","1,175.10","1,175.10",-1.99
2025-12-31,"1,199.00","1,199.00","1,199.00","1,199.00",0.42
2025-12-28,"1,194.00","1,194.00","1,194.00","1,194.00",-1.97
2025-12-21,"1,199.90","1,218.00","1,199.90","1,218.00",1.54
2025-12-18,"1,199.50","1,199.50","1,199.50","1,199.50",2.0
2025-12-17,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0
2025-12-15,"1,200.00","1,200.00","1,200.00","1,200.00",-1.96
2025-12-14,"1,224.00","1,224.00","1,224.00","1,224.00",-0.49
2025-12-11,"1,210.00","1,230.00","1,209.00","1,230.00",1.65
2025-12-10,"1,208.00","1,210.00","1,208.00","1,210.00",0.83
2025-12-09,"1,181.00","1,230.00","1,181.00","1,200.00",1.61
2025-12-08,"1,181.00","1,181.00","1,181.00","1,181.00",0.0
2025-12-03,"1,181.00","1,181.00","1,181.00","1,181.00",1.92
2025-12-02,"1,158.80","1,158.80","1,158.80","1,158.80",2.0
2025-12-01,"1,157.70","1,157.70","1,136.10","1,136.10",0.1
2025-11-30,"1,135.00","1,135.00","1,135.00","1,135.00",1.69
2025-11-13,"1,116.10","1,116.10","1,116.10","1,116.10",-1.93
2025-11-04,"1,161.00","1,161.00","1,161.00","1,138.10",-1.97
2025-11-03,"1,161.00","1,161.00","1,161.00","1,161.00",0.0
2025-09-25,"1,180.00","1,180.00","1,160.00","1,161.00",-0.36
2025-09-21,"1,120.00","1,180.00","1,120.00","1,165.20",2.45
2025-09-08,"1,100.00","1,142.00","1,100.00","1,137.37",4.35
2025-09-02,"1,085.00","1,090.00","1,085.00","1,090.00",1.87
2025-08-06,"1,060.10","1,070.00","1,060.10","1,070.00",0.74
2025-08-05,"1,062.10","1,062.10","1,062.10","1,062.10",-0.41
2025-08-04,"1,070.00","1,071.00","1,061.00","1,066.52",-0.97
2025-07-30,"1,077.00","1,077.00","1,077.00","1,077.00",0.0
2025-07-28,"1,077.00","1,077.00","1,077.00","1,077.00",-1.91
2025-07-24,"1,098.00","1,098.00","1,098.00","1,098.00",0.0
2025-07-23,"1,098.00","1,098.00","1,098.00","1,098.00",-1.96
2025-07-21,"1,120.00","1,120.00","1,120.00","1,120.00",0.0
2025-07-20,"1,120.00","1,120.00","1,120.00","1,120.00",0.0
2025-07-14,"1,120.00","1,120.00","1,120.00","1,120.00",1.73
2025-07-10,"1,101.00","1,101.00","1,101.00","1,101.00",1.94
2025-07-07,"1,080.00","1,080.00","1,080.00","1,080.00",-1.82
2025-06-22,"1,100.00","1,100.00","1,100.00","1,100.00",0.09
2025-06-12,"1,078.00","1,099.00","1,078.00","1,099.02",1.95
2025-06-11,"1,078.00","1,078.00","1,078.00","1,078.00",-1.73
2025-05-28,"1,118.40","1,118.40","1,118.40","1,097.00",-1.91
2025-05-20,"1,118.40","1,118.40","1,118.40","1,118.40",-2.0
2025-05-19,"1,141.20","1,141.20","1,141.20","1,141.20",0.55
