date,open,high,low,close,volume
2026-06-08,636.30,639.00,633.70,637.90,"479,166.80"
2026-06-05,636.3,639.00,633.7,637.9,0.3
2026-06-04,650.0,679.00,635.6,636.0,-0.83
2026-06-03,635.0,649.90,635.0,641.3,0.98
2026-06-02,630.2,640.00,630.1,635.1,-0.3
2026-06-01,661.0,680.00,630.0,637.0,-0.81
2026-05-27,651.7,651.70,635.0,642.2,1.45
2026-05-26,660.0,660.00,630.0,633.0,-1.26
2026-05-25,636.9,646.00,636.9,641.1,0.66
2026-05-22,626.0,638.00,620.1,636.9,-0.31
2026-05-21,639.0,639.00,620.3,638.9,-0.08
2026-05-20,635.0,639.50,631.0,639.4,0.71
2026-05-19,625.0,635.00,621.2,634.9,0.17
2026-05-18,634.0,635.00,626.0,633.8,0.6
2026-05-15,639.0,639.00,630.0,630.0,-1.41
2026-05-14,650.0,650.00,630.0,639.0,-1.6
2026-05-13,644.0,683.90,634.0,649.4,0.68
2026-05-12,635.0,645.00,630.0,645.0,1.27
2026-05-11,655.0,655.00,635.4,636.9,0.14
2026-05-08,647.0,647.00,627.0,636.0,0.32
2026-05-07,642.5,642.50,623.5,634.0,1.6
2026-05-06,624.0,624.00,616.1,624.0,0.0
2026-05-05,616.0,624.00,615.0,624.0,1.43
2026-05-04,642.0,642.00,615.2,615.2,-1.88
2026-04-30,619.0,635.00,619.0,627.0,-0.44
2026-04-29,626.0,629.80,618.0,629.8,0.61
2026-04-28,636.2,640.00,626.0,626.0,-1.6
2026-04-27,645.0,650.00,634.0,636.2,-1.36
2026-04-24,636.0,649.00,630.0,645.0,1.42
2026-04-23,655.0,655.00,629.0,636.0,-0.86
2026-04-22,650.0,650.00,628.0,641.5,-1.31
2026-04-21,629.0,655.00,629.0,650.0,0.31
2026-04-20,665.0,665.00,648.0,648.0,-1.22
2026-04-17,656.1,660.00,655.2,656.0,-1.06
2026-04-16,664.0,677.20,656.1,663.0,-0.15
2026-04-15,664.9,670.00,655.4,664.0,1.37
2026-04-13,641.0,655.00,641.0,655.0,2.34
2026-04-10,657.8,657.80,635.0,640.0,-0.78
2026-04-09,636.0,646.00,631.0,645.0,1.57
2026-04-08,627.0,643.00,627.0,635.0,1.28
2026-04-07,639.5,639.50,625.0,627.0,-1.15
2026-04-06,632.4,638.90,622.0,634.3,2.31
2026-04-05,633.0,644.50,620.0,620.0,-3.13
2026-04-02,657.0,658.00,638.0,640.0,-1.08
2026-04-01,658.0,658.00,644.9,647.0,-1.67
2026-03-31,651.0,660.00,643.0,658.0,1.08
2026-03-30,660.0,669.00,651.0,651.0,-1.88
2026-03-29,682.0,682.00,660.0,663.5,-1.85
2026-03-26,672.0,684.00,670.0,676.0,-0.59
2026-03-25,688.0,688.00,671.0,680.0,0.0
2026-03-24,690.0,690.40,668.0,680.0,0.0
2026-03-23,680.0,680.00,669.0,680.0,0.0
2026-03-22,689.0,690.00,677.0,680.0,0.37
2026-03-19,684.0,684.00,671.1,677.5,0.97
