date,open,high,low,close,volume
2026-06-08,9.20,9.20,9.00,9.20,"167,188.90"
2026-06-05,9.2,9.2,9.0,9.2,0.22
2026-06-04,9.2,9.2,9.01,9.18,0.88
2026-06-03,9.4,9.4,8.9,9.1,-0.33
2026-06-02,9.35,9.35,9.12,9.13,-2.25
2026-06-01,9.13,9.34,9.13,9.34,0.11
2026-05-27,9.16,9.34,9.16,9.33,-0.11
2026-05-26,9.0,9.34,9.0,9.34,0.21
2026-05-25,9.13,9.35,9.13,9.32,0.32
2026-05-22,9.34,9.34,9.1,9.29,-0.21
2026-05-21,9.06,9.33,9.0,9.31,-0.21
2026-05-20,9.35,9.35,9.08,9.33,-0.11
2026-05-19,9.0,9.34,9.0,9.34,2.08
2026-05-18,9.65,9.65,9.14,9.15,-2.87
2026-05-15,9.75,9.75,9.18,9.42,-0.11
2026-05-14,9.04,9.59,9.04,9.43,3.63
2026-05-13,9.29,9.76,9.1,9.1,-2.05
2026-05-12,9.32,9.4,9.29,9.29,-3.23
2026-05-11,9.47,9.66,9.3,9.6,1.16
2026-05-08,8.93,9.64,8.93,9.49,1.06
2026-05-07,9.37,9.6,9.09,9.39,0.21
2026-05-06,8.88,9.39,8.88,9.37,3.31
2026-05-05,8.86,9.57,8.67,9.07,0.78
2026-05-04,9.0,9.44,8.8,9.0,0.0
2026-04-30,8.96,9.0,8.96,9.0,-0.55
2026-04-29,9.02,9.3,8.95,9.05,0.33
2026-04-28,9.2,9.2,9.01,9.02,-1.96
2026-04-27,9.25,9.2,9.01,9.2,-0.54
2026-04-24,9.25,9.25,9.25,9.25,0.0
2026-04-23,9.06,9.25,9.0,9.25,1.76
2026-04-22,9.21,9.3,9.05,9.09,-1.3
2026-04-21,9.14,9.37,8.96,9.21,-0.11
2026-04-20,9.14,9.38,9.14,9.22,-0.54
2026-04-17,9.14,9.27,9.14,9.27,0.43
2026-04-16,9.15,9.35,9.15,9.23,-0.65
2026-04-15,9.28,9.3,9.15,9.29,0.0
2026-04-13,9.28,9.35,9.28,9.29,0.11
2026-04-10,9.25,9.43,9.1,9.28,0.32
2026-04-09,9.12,9.38,8.94,9.25,-0.54
2026-04-08,9.12,9.34,9.12,9.3,0.0
2026-04-07,9.2,9.38,9.2,9.3,0.65
2026-04-06,8.98,9.34,8.98,9.24,0.87
2026-04-05,9.32,9.32,9.16,9.16,-1.82
2026-04-02,9.32,9.33,9.32,9.33,-0.11
2026-04-01,9.2,9.67,9.2,9.34,0.32
