date,open,high,low,close,volume
2026-06-08,9.20,9.30,9.15,9.22,"20,276.00"
2026-06-05,9.2,9.3,9.15,9.22,-1.07
2026-06-04,9.15,9.57,9.15,9.32,0.22
2026-06-03,9.0,9.57,9.0,9.3,1.09
2026-06-02,9.09,9.21,9.09,9.2,1.77
2026-06-01,9.31,9.32,9.04,9.04,-5.64
2026-05-27,9.19,9.6,9.19,9.58,1.27
2026-05-26,9.15,9.48,9.15,9.46,2.27
2026-05-25,9.14,9.41,9.14,9.25,-1.07
2026-05-22,9.29,9.4,9.21,9.35,0.65
2026-05-21,9.27,9.5,9.27,9.29,-2.72
2026-05-20,9.14,9.68,9.14,9.55,3.24
2026-05-19,9.23,9.26,9.23,9.25,-2.63
2026-05-18,9.1,9.5,9.0,9.5,3.26
2026-05-15,9.3,9.3,9.1,9.2,-1.08
2026-05-14,9.22,9.39,9.22,9.3,-1.8
2026-05-13,9.4,9.47,9.21,9.47,-0.11
2026-05-12,9.16,9.48,9.1,9.48,3.49
2026-05-11,9.03,9.3,9.03,9.16,-0.65
2026-05-08,9.15,9.43,9.15,9.22,0.77
2026-05-07,9.2,9.31,9.15,9.15,-1.61
2026-05-06,9.3,9.4,9.06,9.3,1.64
2026-05-05,9.03,9.52,9.03,9.15,0.33
2026-05-04,9.02,9.2,9.02,9.12,-1.62
2026-04-30,9.23,9.5,9.23,9.27,-2.42
2026-04-29,9.5,9.5,8.98,9.5,0.0
2026-04-28,9.38,9.5,9.16,9.5,1.28
2026-04-27,9.27,9.39,9.0,9.38,1.19
2026-04-24,9.35,9.27,9.26,9.27,-0.86
2026-04-23,9.2,9.35,9.2,9.35,0.32
2026-04-22,9.23,9.6,9.23,9.32,-1.89
2026-04-21,9.08,9.63,9.08,9.5,1.6
2026-04-20,9.09,9.35,9.09,9.35,-0.11
2026-04-17,9.18,9.36,9.18,9.36,0.86
2026-04-16,9.45,9.45,9.28,9.28,-1.8
2026-04-15,9.29,9.47,9.29,9.45,0.0
2026-04-13,9.41,9.53,9.34,9.45,-0.21
