date,open,high,low,close,volume
2026-06-08,9.50,9.75,9.50,9.75,"32,550.00"
2026-06-05,9.5,9.75,9.5,9.75,2.63
2026-06-04,9.42,9.5,9.42,9.5,0.74
2026-06-03,9.7,9.7,9.43,9.43,-2.78
2026-05-27,9.7,9.8,9.7,9.7,-0.51
2026-05-26,9.75,9.75,9.7,9.75,0.72
2026-05-25,9.68,9.68,9.68,9.68,2.98
2026-05-22,9.65,9.65,9.3,9.4,-2.59
2026-05-20,9.65,9.65,9.65,9.65,0.52
2026-05-19,9.76,9.76,9.6,9.6,-2.04
2026-05-15,9.8,9.8,9.8,9.8,-0.31
2026-05-14,9.83,9.83,9.83,9.83,-0.2
2026-05-13,9.85,9.85,9.85,9.85,1.97
2026-05-12,9.66,9.66,9.66,9.66,-2.91
2026-05-08,9.69,9.95,9.69,9.95,5.74
2026-05-07,9.4,9.41,9.4,9.41,0.86
2026-05-06,9.45,9.45,9.33,9.33,-4.21
2026-05-05,9.19,9.74,9.19,9.74,4.62
2026-05-04,9.47,9.47,9.19,9.31,-2.0
2026-04-30,9.47,9.5,9.47,9.5,0.32
2026-04-29,9.47,9.98,9.47,9.47,0.0
2026-04-28,9.47,9.48,9.47,9.47,0.0
2026-04-24,9.7,9.47,9.42,9.47,-2.37
2026-04-23,9.32,9.7,9.32,9.7,4.08
2026-04-22,9.51,9.52,9.31,9.32,-2.1
2026-04-21,9.26,9.52,9.26,9.52,0.0
2026-04-17,9.48,9.52,9.48,9.52,-0.83
2026-04-16,9.6,9.6,9.6,9.6,0.84
2026-04-15,9.52,9.52,9.5,9.52,1.93
2026-04-13,9.3,9.34,9.3,9.34,-0.85
2026-04-10,9.64,9.64,9.29,9.42,-4.17
2026-04-09,10.69,10.69,9.81,9.83,-6.74
2026-04-08,10.14,10.54,9.71,10.54,1.93
2026-04-07,9.89,10.34,9.89,10.34,3.82
2026-04-06,9.79,9.96,9.79,9.96,3.75
2026-04-05,9.2,9.75,8.45,9.6,2.35
2026-04-02,9.57,9.57,9.38,9.38,-0.11
2026-04-01,9.76,9.76,9.39,9.39,-1.98
2026-03-31,9.96,10.16,9.58,9.58,-5.71
2026-03-30,10.14,11.2,10.14,10.16,-0.29
2026-03-29,10.34,10.34,10.1,10.19,-3.41
2026-03-26,10.6,11.07,10.55,10.55,0.96
2026-03-25,10.28,10.45,9.5,10.45,-0.29
2026-03-24,9.8,10.48,9.8,10.48,5.12
2026-03-23,9.4,9.98,9.03,9.97,4.07
2026-03-22,10.16,11.17,9.58,9.58,-5.71
2026-03-19,9.79,10.16,9.79,10.16,1.8
2026-03-17,9.41,9.98,8.7,9.98,3.96
2026-03-16,9.52,9.6,9.52,9.6,-1.13
2026-03-15,9.68,9.71,9.53,9.71,0.0
2026-03-12,9.5,9.85,9.5,9.71,3.96
2026-03-11,9.15,9.34,9.13,9.34,3.09
2026-03-10,9.42,9.42,9.06,9.06,-5.72
2026-03-03,9.61,9.61,9.61,9.61,1.91
2026-03-01,9.42,9.43,9.42,9.43,-1.87
2026-02-26,9.61,9.61,9.61,9.61,0.1
2026-02-23,9.42,9.6,9.42,9.6,-0.1
2026-02-22,9.8,9.8,9.61,9.61,-0.41
2026-02-17,9.21,9.69,9.21,9.65,3.54
2026-02-16,9.03,9.32,9.03,9.32,1.3
2026-02-12,9.37,9.37,9.2,9.2,0.11
2026-02-11,9.12,9.2,9.12,9.19,-1.18
2026-02-10,9.3,9.3,9.3,9.3,-0.21
2026-02-09,9.32,9.32,9.32,9.32,-1.89
2026-02-08,9.33,9.51,9.33,9.5,0.0
2026-02-05,9.5,9.62,9.5,9.5,0.53
2026-02-04,9.43,9.45,9.43,9.45,-1.66
