date,open,high,low,close,volume
2026-06-08,9.65,9.65,9.34,9.36,"113,276.00"
2026-06-05,9.65,9.65,9.34,9.36,-0.11
2026-06-04,9.13,9.4,8.92,9.37,-0.32
2026-06-03,9.32,9.5,9.32,9.4,0.86
2026-06-02,9.3,9.58,9.3,9.32,-2.71
2026-06-01,9.43,9.6,9.31,9.58,-1.44
2026-05-27,9.8,9.8,9.28,9.72,0.31
2026-05-26,9.28,9.7,9.28,9.69,2.0
2026-05-25,9.92,9.92,9.4,9.5,-1.45
2026-05-22,9.98,9.98,9.4,9.64,-0.92
2026-05-21,9.5,9.73,9.21,9.73,2.96
2026-05-20,9.4,9.68,9.21,9.45,0.0
2026-05-19,9.68,9.68,9.4,9.45,0.53
2026-05-18,9.28,9.5,9.28,9.4,1.51
2026-05-15,9.5,9.68,9.25,9.26,-2.53
2026-05-14,9.9,9.9,9.4,9.5,-1.86
2026-05-13,9.3,9.75,9.3,9.68,4.09
2026-05-12,9.4,9.4,9.25,9.3,-1.06
2026-05-11,9.5,9.78,9.33,9.4,-1.26
2026-05-08,9.25,9.81,9.25,9.52,-0.1
2026-05-07,9.49,9.78,9.26,9.53,-2.56
2026-05-06,9.3,9.78,9.15,9.78,5.16
2026-05-05,9.29,9.3,9.29,9.3,-2.82
2026-05-04,9.05,9.57,9.05,9.57,2.79
2026-04-30,9.49,9.49,9.3,9.31,-4.81
2026-04-29,9.5,9.78,9.06,9.78,2.95
2026-04-28,9.36,9.64,9.08,9.5,1.5
2026-04-27,9.22,9.36,9.0,9.36,1.52
2026-04-24,9.4,9.22,9.2,9.22,-1.91
2026-04-23,9.07,9.4,9.07,9.4,1.95
2026-04-22,9.07,9.22,9.07,9.22,-1.18
2026-04-21,9.19,9.33,9.19,9.33,-1.17
2026-04-20,9.65,9.65,9.38,9.44,-5.03
2026-04-17,9.9,9.94,9.9,9.94,-0.1
2026-04-16,9.5,10.03,9.5,9.95,2.68
2026-04-15,9.42,9.69,9.25,9.69,0.83
2026-04-13,9.3,9.61,9.3,9.61,1.37
2026-04-10,9.31,9.5,9.31,9.48,0.11
2026-04-09,9.36,9.54,9.36,9.47,-0.63
2026-04-08,9.26,9.53,9.26,9.53,1.06
2026-04-07,9.4,9.58,9.35,9.43,-1.15
2026-04-06,9.01,9.54,9.01,9.54,3.92
