date,open,high,low,close,volume
2026-06-08,9.40,9.40,9.13,9.35,"24,809.40"
2026-06-05,9.4,9.4,9.13,9.35,0.65
2026-06-04,9.4,9.4,9.1,9.29,-0.32
2026-06-03,9.4,9.4,9.11,9.32,2.08
2026-06-02,9.37,9.37,9.1,9.13,0.33
2026-06-01,9.4,9.46,9.1,9.1,-2.36
2026-05-27,9.07,9.34,9.07,9.32,0.22
2026-05-26,9.3,9.4,9.13,9.3,1.09
2026-05-25,9.39,9.39,9.11,9.2,-0.97
2026-05-22,9.4,9.58,9.17,9.29,1.75
2026-05-21,9.36,9.6,9.12,9.13,-2.46
2026-05-20,9.0,9.4,9.0,9.36,1.19
2026-05-19,9.02,9.25,9.01,9.25,0.0
2026-05-18,9.2,9.4,9.0,9.25,1.09
2026-05-15,9.5,9.5,8.97,9.15,-1.08
2026-05-14,9.25,9.25,9.0,9.25,0.11
2026-05-13,9.4,9.78,9.14,9.24,-3.55
2026-05-12,9.4,9.6,9.32,9.58,-0.21
2026-05-11,9.97,9.97,9.25,9.6,-1.03
2026-05-08,9.32,9.7,9.25,9.7,1.04
2026-05-07,9.7,9.7,9.6,9.6,1.59
2026-05-06,9.25,9.55,9.12,9.45,1.83
2026-05-05,9.4,9.52,9.2,9.28,0.32
2026-05-04,9.1,9.67,8.89,9.25,-1.39
2026-04-30,9.3,9.38,9.07,9.38,-0.21
2026-04-29,9.16,9.4,9.15,9.4,2.62
2026-04-28,9.26,9.25,9.1,9.16,-1.08
2026-04-27,9.2,9.4,9.2,9.26,0.65
2026-04-24,9.18,9.37,9.01,9.2,0.22
2026-04-23,9.12,9.19,9.12,9.18,-2.24
2026-04-22,9.2,9.39,9.11,9.39,1.95
2026-04-21,9.2,9.3,8.94,9.21,0.55
2026-04-20,9.3,9.37,9.06,9.16,-1.19
2026-04-17,9.27,9.45,9.25,9.27,-1.9
2026-04-16,9.27,9.45,9.27,9.45,0.53
2026-04-15,9.3,9.47,9.28,9.4,-0.32
2026-04-13,9.27,9.44,9.27,9.43,1.4
2026-04-10,9.3,9.4,9.27,9.3,0.0
2026-04-09,9.27,9.48,9.27,9.3,-1.59
2026-04-08,9.32,9.5,9.32,9.45,1.39
2026-04-07,9.13,9.32,9.13,9.32,0.11
2026-04-06,8.96,9.47,8.96,9.31,2.2
2026-04-05,9.22,9.3,9.04,9.11,-3.09
2026-04-02,9.22,9.7,9.22,9.4,0.0
2026-04-01,9.25,9.41,9.17,9.4,-0.11
2026-03-31,9.5,9.58,9.3,9.41,0.32
2026-03-30,9.32,9.38,9.32,9.38,-1.26
2026-03-29,9.4,9.54,9.37,9.5,-0.52
2026-03-26,9.34,9.58,9.34,9.55,0.32
