date,open,high,low,close,volume
2026-06-08,770.00,777.00,765.20,767.60,"20,076,627.00"
2026-06-05,770.00,777.00,765.20,767.60,-1.21
2026-06-04,779.80,781.00,775.00,777.00,-0.03
2026-06-03,762.00,784.90,762.00,777.20,1.58
2026-06-02,762.00,769.90,762.00,765.10,0.28
2026-06-01,774.00,782.00,762.50,763.00,-1.45
2026-05-27,770.10,776.00,765.20,774.20,0.78
2026-05-26,776.00,779.00,764.10,768.20,-1.01
2026-05-25,770.00,779.80,765.00,776.00,0.81
2026-05-22,769.00,779.90,765.00,769.80,0.1
2026-05-21,805.30,805.30,761.50,769.00,0.26
2026-05-20,765.00,767.00,759.00,767.00,0.72
2026-05-19,769.90,769.90,761.00,761.50,-0.41
2026-05-18,762.00,764.60,758.50,764.60,0.34
2026-05-15,760.00,768.00,760.00,762.00,-0.18
2026-05-14,760.00,764.00,759.90,763.40,0.16
2026-05-13,768.60,768.60,755.00,762.20,-0.83
2026-05-12,779.80,779.80,768.00,768.60,-0.18
2026-05-11,766.00,775.00,765.00,770.00,0.81
2026-05-08,769.00,770.00,750.00,763.80,0.37
2026-05-07,774.90,774.90,755.00,761.00,0.13
2026-05-06,760.00,775.00,755.00,760.00,-0.39
2026-05-05,770.00,772.00,755.50,763.00,0.0
2026-05-04,765.00,775.00,756.20,763.00,0.01
2026-04-30,762.00,770.00,756.30,762.90,0.12
2026-04-29,768.00,770.00,761.00,762.00,-0.78
2026-04-28,771.00,777.00,767.00,768.00,-0.39
2026-04-27,770.00,777.90,765.10,771.00,0.13
2026-04-24,767.00,774.00,765.00,770.00,-0.13
2026-04-23,776.00,776.00,768.00,771.00,-0.64
2026-04-22,773.00,784.90,767.10,776.00,0.39
2026-04-21,811.20,811.20,771.60,773.00,0.05
2026-04-20,775.00,788.00,768.00,772.60,-0.31
2026-04-17,777.00,780.00,773.00,775.00,-0.51
2026-04-16,780.00,789.00,778.20,779.00,-1.02
2026-04-15,785.00,792.40,785.00,787.00,0.9
2026-04-13,786.00,789.80,775.10,780.00,-0.76
2026-04-10,800.00,804.00,777.00,786.00,-0.88
2026-04-09,775.00,796.00,774.10,793.00,1.19
2026-04-08,789.40,789.40,770.00,783.70,1.25
2026-04-07,777.90,784.90,770.00,774.00,0.13
2026-04-06,755.10,780.00,755.00,773.00,2.38
2026-04-05,771.00,779.00,754.60,755.00,-3.82
2026-04-02,780.00,795.70,769.00,785.00,0.0
2026-04-01,791.10,798.10,780.00,785.00,-1.75
2026-03-31,796.00,804.00,785.00,799.00,0.38
2026-03-30,801.00,805.00,792.00,796.00,-1.27
2026-03-29,839.40,839.40,805.00,806.20,-2.1
2026-03-26,821.00,825.00,815.00,823.50,-0.18
2026-03-25,835.00,835.00,821.00,825.00,-0.96
2026-03-24,840.00,845.00,826.00,833.00,-0.83
2026-03-23,856.00,856.00,826.20,840.00,-0.01
2026-03-22,844.50,848.00,828.00,840.10,1.46
2026-03-19,802.00,829.00,800.20,828.00,3.24
2026-03-17,801.00,809.00,795.00,802.00,-0.1
2026-03-16,824.50,824.50,800.00,802.80,-0.69
2026-03-15,805.00,820.00,805.00,808.40,-0.44
2026-03-12,815.00,815.00,805.00,812.00,0.62
2026-03-11,840.40,840.40,805.00,807.00,-2.06
2026-03-10,829.00,829.00,797.00,824.00,1.37
2026-03-09,796.60,828.70,796.60,812.90,4.08
2026-03-03,790.50,790.50,770.00,781.00,0.77
2026-03-01,760.00,777.00,756.70,775.00,0.38
2026-02-26,783.30,783.30,765.00,772.10,0.53
2026-02-25,760.00,775.00,755.00,768.00,1.45
2026-02-24,743.00,759.90,743.00,757.00,0.53
2026-02-23,756.00,756.00,741.00,753.00,0.57
2026-02-22,750.00,753.00,740.40,748.70,-0.17
2026-02-17,751.00,752.60,734.10,750.00,-0.13
2026-02-16,769.00,769.00,749.50,751.00,-0.4
2026-02-12,747.50,759.00,745.00,754.00,0.4
2026-02-11,768.50,768.50,746.00,751.00,-0.33
2026-02-10,762.00,764.00,742.00,753.50,-0.88
2026-02-09,770.00,770.00,760.10,760.20,-0.67
2026-02-08,775.00,775.00,765.20,765.30,-0.62
2026-02-05,766.20,773.00,760.00,770.10,0.54
2026-02-04,748.00,777.00,748.00,766.00,0.39
2026-02-03,770.00,775.00,763.00,763.00,-0.03
2026-02-02,754.20,780.00,754.20,763.20,-0.81
