date,open,high,low,close,volume
2026-06-08,"1,140.00","1,146.00","1,136.00","1,146.00","6,870,022.80"
2026-06-05,"1,140.00","1,146.00","1,136.00","1,146.00",0.53
2026-06-04,"1,134.10","1,147.00","1,134.10","1,140.00",-0.44
2026-06-03,"1,162.90","1,162.90","1,132.20","1,145.00",0.35
2026-06-02,"1,133.00","1,141.00","1,122.30","1,141.00",0.44
2026-06-01,"1,149.00","1,149.00","1,130.00","1,136.00",-0.35
2026-05-27,"1,155.00","1,155.00","1,137.10","1,140.00",-0.02
2026-05-26,"1,150.00","1,150.00","1,139.80","1,140.20",-0.85
2026-05-25,"1,117.00","1,155.00","1,117.00","1,150.00",0.88
2026-05-22,"1,131.10","1,146.00","1,124.00","1,140.00",-0.35
2026-05-21,"1,141.00","1,144.00","1,132.30","1,144.00",0.33
2026-05-20,"1,131.00","1,148.90","1,131.00","1,140.20",-0.51
2026-05-19,"1,118.00","1,147.00","1,118.00","1,146.00",1.42
2026-05-18,"1,120.00","1,130.00","1,118.00","1,130.00",0.89
2026-05-15,"1,120.00","1,124.90","1,113.20","1,120.00",0.0
2026-05-14,"1,125.00","1,126.00","1,110.00","1,120.00",0.45
2026-05-13,"1,115.00","1,122.00","1,106.00","1,115.00",0.0
2026-05-12,"1,120.00","1,122.00","1,106.00","1,115.00",-0.45
2026-05-11,"1,120.00","1,130.00","1,095.00","1,120.00",1.18
2026-05-08,"1,119.00","1,119.00","1,083.00","1,106.90",1.55
2026-05-07,"1,092.00","1,104.00","1,085.00","1,090.00",-0.18
2026-05-06,"1,090.00","1,117.60","1,088.00","1,092.00",0.0
2026-05-05,"1,090.10","1,095.00","1,089.00","1,092.00",-1.36
2026-05-04,"1,051.90","1,110.00","1,051.90","1,107.00",0.9
2026-04-30,"1,095.00","1,111.00","1,090.00","1,097.10",-1.16
2026-04-29,"1,109.90","1,110.00","1,097.00","1,110.00",0.01
2026-04-28,"1,105.00","1,130.00","1,105.00","1,109.90",0.44
2026-04-27,"1,098.20","1,117.00","1,090.20","1,105.00",0.62
2026-04-24,"1,100.20","1,108.00","1,090.00","1,098.20",-0.18
2026-04-23,"1,100.00","1,120.00","1,096.50","1,100.20",0.02
2026-04-22,"1,120.00","1,120.00","1,100.00","1,100.00",-1.79
2026-04-21,"1,116.10","1,125.00","1,105.00","1,120.00",-0.44
2026-04-20,"1,153.70","1,153.70","1,122.30","1,125.00",-2.49
2026-04-17,"1,131.10","1,153.70","1,131.10","1,153.70",0.58
2026-04-16,"1,145.00","1,154.00","1,131.00","1,147.00",0.17
2026-04-15,"1,168.00","1,170.00","1,132.00","1,145.00",-0.09
2026-04-13,"1,150.00","1,168.70","1,146.00","1,146.00",-0.35
2026-04-10,"1,151.00","1,164.00","1,147.00","1,150.00",-0.03
2026-04-09,"1,130.00","1,164.00","1,130.00","1,150.30",0.03
2026-04-08,"1,126.00","1,155.00","1,126.00","1,150.00",1.14
2026-04-07,"1,140.00","1,150.00","1,122.10","1,137.00",0.18
2026-04-06,"1,115.20","1,155.00","1,114.00","1,135.00",1.89
2026-04-05,"1,137.00","1,142.00","1,114.00","1,114.00",-3.97
2026-04-02,"1,162.19","1,183.00","1,137.00","1,160.00",-0.43
2026-04-01,"1,182.90","1,182.90","1,163.00","1,165.00",-1.51
2026-03-31,"1,203.00","1,225.00","1,160.00","1,182.90",0.25
2026-03-30,"1,182.00","1,188.00","1,172.00","1,180.00",-0.84
2026-03-29,"1,205.00","1,206.00","1,190.00","1,190.00",-1.24
2026-03-26,"1,185.10","1,220.00","1,185.10","1,205.00",0.5
2026-03-25,"1,200.00","1,208.80","1,195.00","1,199.00",-0.66
2026-03-24,"1,206.10","1,242.00","1,202.00","1,207.00",-1.15
2026-03-23,"1,208.50","1,230.00","1,208.50","1,221.00",0.49
2026-03-22,"1,167.00","1,230.00","1,167.00","1,215.00",2.1
2026-03-19,"1,190.00","1,197.00","1,169.10","1,190.00",0.42
2026-03-17,"1,181.00","1,192.00","1,175.10","1,185.00",0.42
2026-03-16,"1,177.50","1,185.00","1,177.00","1,180.00",-0.42
2026-03-15,"1,185.00","1,190.00","1,183.00","1,185.00",0.17
2026-03-12,"1,180.00","1,198.00","1,178.00","1,183.00",0.0
2026-03-11,"1,190.00","1,200.00","1,181.00","1,183.00",-0.34
2026-03-10,"1,191.20","1,214.90","1,180.00","1,187.00",1.64
2026-03-09,"1,167.90","1,167.90","1,167.90","1,167.90",2.0
2026-03-03,"1,128.00","1,145.00","1,126.00","1,145.00",1.33
2026-03-01,"1,122.69","1,130.00","1,115.00","1,130.00",0.65
2026-02-26,"1,120.40","1,130.00","1,120.30","1,122.70",-0.2
2026-02-25,"1,130.00","1,130.00","1,120.50","1,125.00",-0.44
2026-02-24,"1,108.80","1,135.00","1,108.80","1,130.00",0.7
2026-02-23,"1,116.20","1,126.00","1,116.20","1,122.20",-0.07
2026-02-22,"1,100.00","1,125.00","1,100.00","1,123.00",0.36
2026-02-17,"1,112.50","1,128.00","1,112.50","1,119.00",-0.53
2026-02-16,"1,110.00","1,130.00","1,110.00","1,125.00",0.99
2026-02-12,"1,121.00","1,134.50","1,114.00","1,114.00",-0.54
2026-02-11,"1,115.90","1,126.80","1,108.00","1,120.00",0.9
2026-02-10,"1,090.00","1,114.00","1,090.00","1,110.00",-0.09
2026-02-09,"1,116.00","1,124.90","1,111.00","1,111.00",0.0
2026-02-08,"1,110.50","1,124.90","1,110.00","1,111.00",0.4
2026-02-05,"1,110.00","1,125.00","1,106.00","1,106.60",0.03
2026-02-04,"1,106.00","1,107.10","1,106.00","1,106.30",-0.05
2026-02-03,"1,125.00","1,125.00","1,106.80","1,106.80",-0.02
2026-02-02,"1,108.00","1,116.00","1,105.00","1,107.00",0.16
2026-02-01,"1,106.00","1,111.00","1,096.00","1,105.20",0.01
2026-01-29,"1,120.00","1,121.00","1,103.20","1,105.10",-1.86
2026-01-28,"1,117.20","1,131.80","1,117.20","1,126.00",0.79
2026-01-27,"1,125.00","1,143.00","1,113.50","1,117.20",-1.66
2026-01-26,"1,148.00","1,150.00","1,135.20","1,136.10",0.1
2026-01-25,"1,130.00","1,145.00","1,120.00","1,135.00",0.44
2026-01-22,"1,143.50","1,143.50","1,115.00","1,130.00",-0.09
2026-01-21,"1,147.90","1,147.90","1,125.20","1,131.00",0.02
2026-01-20,"1,113.80","1,136.00","1,113.80","1,130.80",3.55
2026-01-18,"1,118.10","1,118.10","1,086.00","1,092.00",-0.38
2026-01-14,"1,129.00","1,129.00","1,096.10","1,096.20",-1.69
2026-01-13,"1,137.00","1,137.00","1,094.00","1,115.00",-1.93
2026-01-12,"1,125.00","1,140.00","1,125.00","1,137.00",0.01
2026-01-08,"1,150.00","1,150.00","1,111.00","1,136.90",-0.95
2026-01-07,"1,154.00","1,158.00","1,143.20","1,147.80",-0.2
2026-01-06,"1,164.00","1,173.00","1,150.10","1,150.10",0.69
2026-01-05,"1,329.00","1,329.00","1,299.00","1,305.00",-0.38
2026-01-04,"1,310.00","1,317.00","1,304.00","1,310.00",0.0
2026-01-01,"1,305.90","1,318.90","1,296.20","1,310.00",-0.69
2025-12-31,"1,336.00","1,336.90","1,315.10","1,319.10",0.16
2025-12-29,"1,293.20","1,330.00","1,293.20","1,317.00",0.53
2025-12-28,"1,299.00","1,313.00","1,280.00","1,310.00",2.75
2025-12-24,"1,273.00","1,292.00","1,266.00","1,275.00",-1.28
2025-12-23,"1,275.00","1,295.00","1,275.00","1,291.50",1.29
2025-12-22,"1,290.00","1,290.00","1,267.00","1,275.00",-1.01
2025-12-21,"1,300.00","1,315.00","1,276.10","1,288.00",-0.92
2025-12-18,"1,320.00","1,329.00","1,295.00","1,300.00",-1.43
