date,open,high,low,close,volume
2026-06-08,"1,137.10","1,137.10","1,058.00","1,067.80","4,940,662.00"
2026-06-05,"1,137.10","1,137.10","1,058.00","1,067.80",-1.4
2026-06-04,"1,100.00","1,122.00","1,070.00","1,083.00",-3.13
2026-06-03,"1,112.00","1,140.00","1,092.20","1,118.00",2.29
2026-06-02,"1,035.10","1,112.50","1,035.10","1,093.00",3.71
2026-06-01,"1,040.00","1,094.00","1,015.00","1,053.90",0.39
2026-05-27,"1,065.00","1,067.00","1,030.30","1,049.80",0.46
2026-05-26,"1,111.90","1,111.90","1,040.00","1,045.00",-1.32
2026-05-25,"1,040.00","1,059.80","1,025.00","1,059.00",3.32
2026-05-22,"1,030.00","1,040.00","1,001.10","1,025.00",-1.44
2026-05-21,"1,096.20","1,096.20","1,025.00","1,040.00",-0.38
2026-05-20,965.00,"1,050.00",965.00,"1,044.00",2.86
2026-05-19,"1,057.30","1,057.30","1,000.10","1,015.00",0.79
2026-05-18,"1,000.00","1,016.00","1,000.00","1,007.00",-0.05
2026-05-15,"1,000.00","1,015.00","1,000.00","1,007.50",0.75
2026-05-14,"1,000.00","1,015.00",991.00,"1,000.00",-1.57
2026-05-13,"1,015.00","1,017.80",997.20,"1,016.00",-1.17
2026-05-12,"1,075.00","1,080.90","1,019.50","1,028.00",-3.02
2026-05-11,"1,015.00","1,060.00","1,012.10","1,060.00",5.37
2026-05-08,980.00,"1,006.00",980.00,"1,006.00",1.51
2026-05-07,999.00,"1,000.00",974.20,991.00,-0.27
2026-05-06,970.00,"1,011.00",970.00,993.70,-0.12
2026-05-05,970.00,"1,010.00",970.00,994.90,-0.01
2026-05-04,"1,038.00","1,038.00",975.00,995.00,-1.49
2026-04-30,"1,026.00","1,026.00",998.20,"1,010.00",-1.56
2026-04-29,"1,084.00","1,061.00","1,020.00","1,026.00",-5.35
2026-04-28,"1,120.00","1,120.00","1,067.00","1,084.00",-1.36
2026-04-27,"1,078.00","1,110.00","1,078.00","1,098.90",1.94
2026-04-24,"1,080.00","1,090.00","1,065.00","1,078.00",-1.64
2026-04-23,"1,132.00","1,132.00","1,090.00","1,096.00",-3.17
2026-04-22,"1,165.00","1,165.00","1,080.00","1,131.90",-1.38
2026-04-21,"1,178.90","1,182.00","1,140.00","1,147.70",-2.65
2026-04-20,"1,123.00","1,193.90","1,123.00","1,179.00",1.19
2026-04-17,"1,175.10","1,180.00","1,155.00","1,165.10",-0.84
2026-04-16,"1,181.00","1,199.90","1,170.00","1,175.00",-2.08
2026-04-15,"1,203.00","1,215.00","1,195.10","1,200.00",0.43
2026-04-13,"1,218.00","1,218.90","1,185.00","1,194.90",-0.01
2026-04-10,"1,226.00","1,226.00","1,192.00","1,195.00",-2.53
2026-04-09,"1,199.00","1,240.30","1,190.00","1,226.00",2.59
2026-04-08,"1,190.00","1,198.80","1,167.00","1,195.00",1.27
2026-04-07,"1,187.00","1,210.00","1,153.50","1,180.00",-0.59
2026-04-06,"1,084.90","1,187.00","1,084.90","1,187.00",7.23
2026-04-05,"1,208.00","1,208.00","1,100.00","1,107.00",-8.36
2026-04-02,"1,215.00","1,235.00","1,188.00","1,208.00",-0.58
2026-04-01,"1,260.00","1,260.00","1,212.00","1,215.00",-4.63
2026-03-31,"1,292.00","1,292.00","1,245.00","1,274.00",0.31
2026-03-30,"1,276.10","1,300.00","1,265.00","1,270.00",-2.07
2026-03-29,"1,331.00","1,357.00","1,271.00","1,296.90",-3.93
2026-03-26,"1,335.00","1,355.00","1,335.00","1,350.00",0.15
2026-03-25,"1,348.20","1,364.00","1,339.00","1,348.00",-0.37
2026-03-24,"1,369.00","1,369.00","1,350.00","1,353.00",-0.15
2026-03-23,"1,366.00","1,367.00","1,340.00","1,355.00",-0.65
2026-03-22,"1,370.00","1,372.00","1,350.20","1,363.90",1.18
2026-03-19,"1,325.00","1,358.00","1,308.00","1,348.00",2.12
2026-03-17,"1,320.00","1,320.00","1,300.00","1,320.00",0.0
2026-03-16,"1,370.00","1,370.00","1,316.00","1,320.00",-1.86
2026-03-15,"1,365.00","1,389.00","1,345.00","1,345.00",-1.47
2026-03-12,"1,341.20","1,380.00","1,341.20","1,365.00",-0.15
